ENSTNIP00000006282	ENSACAP00000008923
ENSTNIP00000004863	ENSACAP00000005936
ENSTNIP00000000782	ENSACAP00000017014
ENSTNIP00000014782	ENSACAP00000013370
ENSTNIP00000018279	ENSACAP00000001737
ENSTNIP00000007712	ENSACAP00000013552
ENSTNIP00000010478	ENSACAP00000003212
ENSTNIP00000015128	ENSACAP00000019299
ENSTNIP00000013577	ENSACAP00000011250
ENSTNIP00000006735	ENSACAP00000011817
ENSTNIP00000019716	ENSACAP00000005957
ENSTNIP00000022203	ENSACAP00000003898
ENSTNIP00000019148	ENSACAP00000008564
ENSTNIP00000021849	ENSACAP00000009531
ENSTNIP00000011698	ENSACAP00000007380
ENSTNIP00000005529	ENSACAP00000007380
ENSTNIP00000005402	ENSACAP00000009158
ENSTNIP00000004390	ENSACAP00000001723
ENSTNIP00000016699	ENSACAP00000006548
ENSTNIP00000013161	ENSACAP00000014601
ENSTNIP00000020722	ENSACAP00000017344
ENSTNIP00000011565	ENSACAP00000015321
ENSTNIP00000008871	ENSACAP00000011594
ENSTNIP00000006170	ENSACAP00000015067
ENSTNIP00000014150	ENSACAP00000003045
ENSTNIP00000010280	ENSACAP00000015078
ENSTNIP00000010281	ENSACAP00000014992
ENSTNIP00000023041	ENSACAP00000009043
ENSTNIP00000004304	ENSACAP00000019568
ENSTNIP00000006171	ENSACAP00000005444
ENSTNIP00000011460	ENSACAP00000005444
ENSTNIP00000017513	ENSACAP00000005623
ENSTNIP00000005138	ENSACAP00000000193
ENSTNIP00000016461	ENSACAP00000006987
ENSTNIP00000013509	ENSACAP00000006987
ENSTNIP00000012472	ENSACAP00000005007
ENSTNIP00000011270	ENSACAP00000010047
ENSTNIP00000011480	ENSACAP00000004219
ENSTNIP00000016134	ENSACAP00000004219
ENSTNIP00000021647	ENSACAP00000023104
ENSTNIP00000011443	ENSACAP00000004798
ENSTNIP00000021926	ENSACAP00000004078
ENSTNIP00000018299	ENSACAP00000001835
ENSTNIP00000020489	ENSACAP00000014840
ENSTNIP00000003517	ENSACAP00000008406
ENSTNIP00000003418	ENSACAP00000009680
ENSTNIP00000004064	ENSACAP00000007792
ENSTNIP00000010517	ENSACAP00000019211
ENSTNIP00000018824	ENSACAP00000008106
ENSTNIP00000010483	ENSACAP00000003419
ENSTNIP00000013568	ENSACAP00000012467
ENSTNIP00000016288	ENSACAP00000015858
ENSTNIP00000017450	ENSACAP00000013670
ENSTNIP00000016676	ENSACAP00000015929
ENSTNIP00000009262	ENSACAP00000007518
ENSTNIP00000018140	ENSACAP00000011870
ENSTNIP00000014336	ENSACAP00000012669
ENSTNIP00000020689	ENSACAP00000011796
ENSTNIP00000010887	ENSACAP00000011796
ENSTNIP00000022426	ENSACAP00000009619
ENSTNIP00000021883	ENSACAP00000001319
ENSTNIP00000020563	ENSACAP00000016842
ENSTNIP00000020641	ENSACAP00000002959
ENSTNIP00000019827	ENSACAP00000011884
ENSTNIP00000007081	ENSACAP00000016298
ENSTNIP00000002296	ENSACAP00000022391
ENSTNIP00000020347	ENSACAP00000022391
ENSTNIP00000001653	ENSACAP00000000477
ENSTNIP00000018097	ENSACAP00000019060
ENSTNIP00000020081	ENSACAP00000011970
ENSTNIP00000000829	ENSACAP00000012809
ENSTNIP00000006467	ENSACAP00000014097
ENSTNIP00000000186	ENSACAP00000005123
ENSTNIP00000009228	ENSACAP00000012263
ENSTNIP00000013970	ENSACAP00000016998
ENSTNIP00000012496	ENSACAP00000002974
ENSTNIP00000020402	ENSACAP00000013481
ENSTNIP00000007715	ENSACAP00000008599
ENSTNIP00000004648	ENSACAP00000013864
ENSTNIP00000017400	ENSACAP00000011579
ENSTNIP00000006361	ENSACAP00000006096
ENSTNIP00000021648	ENSACAP00000013141
ENSTNIP00000008907	ENSACAP00000004949
ENSTNIP00000004911	ENSACAP00000007355
ENSTNIP00000005718	ENSACAP00000018297
ENSTNIP00000011862	ENSACAP00000015927
ENSTNIP00000013215	ENSACAP00000008830
ENSTNIP00000019644	ENSACAP00000008830
ENSTNIP00000011017	ENSACAP00000014517
ENSTNIP00000001471	ENSACAP00000016774
ENSTNIP00000015450	ENSACAP00000016774
ENSTNIP00000006548	ENSACAP00000019597
ENSTNIP00000006011	ENSACAP00000003327
ENSTNIP00000012789	ENSACAP00000013174
ENSTNIP00000007675	ENSACAP00000001174
ENSTNIP00000002037	ENSACAP00000015338
ENSTNIP00000003018	ENSACAP00000005084
ENSTNIP00000008097	ENSACAP00000010928
ENSTNIP00000011488	ENSACAP00000010696
ENSTNIP00000011323	ENSACAP00000005094
ENSTNIP00000014635	ENSACAP00000016443
ENSTNIP00000020177	ENSACAP00000012452
ENSTNIP00000015675	ENSACAP00000014884
ENSTNIP00000008502	ENSACAP00000005904
ENSTNIP00000011795	ENSACAP00000012803
ENSTNIP00000008278	ENSACAP00000008215
ENSTNIP00000019819	ENSACAP00000009961
ENSTNIP00000003984	ENSACAP00000011440
ENSTNIP00000020469	ENSACAP00000013070
ENSTNIP00000016383	ENSACAP00000014146
ENSTNIP00000007331	ENSACAP00000015780
ENSTNIP00000018334	ENSACAP00000002299
ENSTNIP00000000638	ENSACAP00000002299
ENSTNIP00000020868	ENSACAP00000003195
ENSTNIP00000005462	ENSACAP00000020267
ENSTNIP00000019031	ENSACAP00000015236
ENSTNIP00000016206	ENSACAP00000015236
ENSTNIP00000011294	ENSACAP00000002335
