ENSMGAP00000004951	ENSTNIP00000004863
ENSMGAP00000003068	ENSTNIP00000000782
ENSMGAP00000000132	ENSTNIP00000014782
ENSMGAP00000010739	ENSTNIP00000018279
ENSMGAP00000004925	ENSTNIP00000007712
ENSMGAP00000002621	ENSTNIP00000010478
ENSMGAP00000011180	ENSTNIP00000015128
ENSMGAP00000003978	ENSTNIP00000018487
ENSMGAP00000015197	ENSTNIP00000013577
ENSMGAP00000003388	ENSTNIP00000006735
ENSMGAP00000002654	ENSTNIP00000019716
ENSMGAP00000009217	ENSTNIP00000019148
ENSMGAP00000002648	ENSTNIP00000021849
ENSMGAP00000009326	ENSTNIP00000011698
ENSMGAP00000009326	ENSTNIP00000005529
ENSMGAP00000001572	ENSTNIP00000005402
ENSMGAP00000010575	ENSTNIP00000004390
ENSMGAP00000000479	ENSTNIP00000016699
ENSMGAP00000003900	ENSTNIP00000019972
ENSMGAP00000015491	ENSTNIP00000013161
ENSMGAP00000000415	ENSTNIP00000020722
ENSMGAP00000000909	ENSTNIP00000011565
ENSMGAP00000012849	ENSTNIP00000008871
ENSMGAP00000000973	ENSTNIP00000006170
ENSMGAP00000015435	ENSTNIP00000014150
ENSMGAP00000010566	ENSTNIP00000010280
ENSMGAP00000010545	ENSTNIP00000010281
ENSMGAP00000007436	ENSTNIP00000010886
ENSMGAP00000007436	ENSTNIP00000020690
ENSMGAP00000000941	ENSTNIP00000006171
ENSMGAP00000000941	ENSTNIP00000011460
ENSMGAP00000015853	ENSTNIP00000019469
ENSMGAP00000015605	ENSTNIP00000017513
ENSMGAP00000014132	ENSTNIP00000005138
ENSMGAP00000000271	ENSTNIP00000016461
ENSMGAP00000000271	ENSTNIP00000013509
ENSMGAP00000010789	ENSTNIP00000012472
ENSMGAP00000013478	ENSTNIP00000019321
ENSMGAP00000010388	ENSTNIP00000011270
ENSMGAP00000005618	ENSTNIP00000011480
ENSMGAP00000005618	ENSTNIP00000016134
ENSMGAP00000001450	ENSTNIP00000011443
ENSMGAP00000003400	ENSTNIP00000018299
ENSMGAP00000018942	ENSTNIP00000020489
ENSMGAP00000004974	ENSTNIP00000003517
ENSMGAP00000004440	ENSTNIP00000003418
ENSMGAP00000009720	ENSTNIP00000018824
ENSMGAP00000004973	ENSTNIP00000010483
ENSMGAP00000015643	ENSTNIP00000013568
ENSMGAP00000012790	ENSTNIP00000016288
ENSMGAP00000003923	ENSTNIP00000017450
ENSMGAP00000013787	ENSTNIP00000016676
ENSMGAP00000013930	ENSTNIP00000014336
ENSMGAP00000006584	ENSTNIP00000020689
ENSMGAP00000006584	ENSTNIP00000010887
ENSMGAP00000004536	ENSTNIP00000018584
ENSMGAP00000013514	ENSTNIP00000020563
ENSMGAP00000006458	ENSTNIP00000020641
ENSMGAP00000002526	ENSTNIP00000002296
ENSMGAP00000002526	ENSTNIP00000020347
ENSMGAP00000010640	ENSTNIP00000001653
