ENSTGUP00000008915	ENSDARP00000074624
ENSTGUP00000002935	ENSDARP00000118051
ENSTGUP00000010401	ENSDARP00000093807
ENSTGUP00000005020	ENSDARP00000023678
ENSTGUP00000014038	ENSDARP00000117083
ENSTGUP00000005254	ENSDARP00000001240
ENSTGUP00000007673	ENSDARP00000101815
ENSTGUP00000005389	ENSDARP00000123904
ENSTGUP00000006862	ENSDARP00000106622
ENSTGUP00000008706	ENSDARP00000039056
ENSTGUP00000007828	ENSDARP00000003432
ENSTGUP00000003676	ENSDARP00000042321
ENSTGUP00000004968	ENSDARP00000085160
ENSTGUP00000001623	ENSDARP00000035017
ENSTGUP00000005458	ENSDARP00000099341
ENSTGUP00000008967	ENSDARP00000083503
ENSTGUP00000005263	ENSDARP00000016279
ENSTGUP00000003862	ENSDARP00000120245
ENSTGUP00000003819	ENSDARP00000086278
ENSTGUP00000001695	ENSDARP00000096255
ENSTGUP00000002205	ENSDARP00000108480
ENSTGUP00000010714	ENSDARP00000111278
ENSTGUP00000002960	ENSDARP00000071397
ENSTGUP00000016783	ENSDARP00000043235
ENSTGUP00000016783	ENSDARP00000112135
ENSTGUP00000008885	ENSDARP00000117890
ENSTGUP00000003276	ENSDARP00000040549
ENSTGUP00000013203	ENSDARP00000105765
ENSTGUP00000006737	ENSDARP00000091948
ENSTGUP00000002510	ENSDARP00000016657
ENSTGUP00000002510	ENSDARP00000043465
ENSTGUP00000010462	ENSDARP00000036715
ENSTGUP00000009884	ENSDARP00000128322
ENSTGUP00000009884	ENSDARP00000052396
ENSTGUP00000006567	ENSDARP00000097747
ENSTGUP00000006567	ENSDARP00000102479
ENSTGUP00000007517	ENSDARP00000017456
ENSTGUP00000002402	ENSDARP00000075275
ENSTGUP00000007645	ENSDARP00000010921
ENSTGUP00000006436	ENSDARP00000025441
ENSTGUP00000006914	ENSDARP00000115728
ENSTGUP00000007511	ENSDARP00000060526
ENSTGUP00000011707	ENSDARP00000102702
ENSTGUP00000011705	ENSDARP00000128926
ENSTGUP00000018265	ENSDARP00000104196
ENSTGUP00000010829	ENSDARP00000072786
ENSTGUP00000001184	ENSDARP00000122905
ENSTGUP00000002856	ENSDARP00000083020
ENSTGUP00000002856	ENSDARP00000129294
ENSTGUP00000012053	ENSDARP00000104491
ENSTGUP00000012053	ENSDARP00000050378
ENSTGUP00000004874	ENSDARP00000099879
ENSTGUP00000004874	ENSDARP00000076418
ENSTGUP00000009101	ENSDARP00000052791
ENSTGUP00000009101	ENSDARP00000102159
ENSTGUP00000007812	ENSDARP00000070109
ENSTGUP00000014440	ENSDARP00000087079
ENSTGUP00000003097	ENSDARP00000033311
ENSTGUP00000007507	ENSDARP00000067607
ENSTGUP00000000912	ENSDARP00000096178
ENSTGUP00000000912	ENSDARP00000087500
ENSTGUP00000002880	ENSDARP00000010426
ENSTGUP00000009297	ENSDARP00000062853
ENSTGUP00000012744	ENSDARP00000036016
ENSTGUP00000001335	ENSDARP00000104838
ENSTGUP00000001616	ENSDARP00000110537
ENSTGUP00000017784	ENSDARP00000066622
ENSTGUP00000008788	ENSDARP00000022709
ENSTGUP00000000920	ENSDARP00000011180
ENSTGUP00000006514	ENSDARP00000109781
