ENSORLP00000017023	ENSTGUP00000008915
ENSORLP00000011982	ENSTGUP00000002935
ENSORLP00000019139	ENSTGUP00000010998
ENSORLP00000021204	ENSTGUP00000010909
ENSORLP00000017158	ENSTGUP00000008898
ENSORLP00000014861	ENSTGUP00000010401
ENSORLP00000011600	ENSTGUP00000005020
ENSORLP00000020191	ENSTGUP00000014038
ENSORLP00000018033	ENSTGUP00000005254
ENSORLP00000014071	ENSTGUP00000007673
ENSORLP00000014078	ENSTGUP00000011252
ENSORLP00000024532	ENSTGUP00000005389
ENSORLP00000001259	ENSTGUP00000006862
ENSORLP00000018991	ENSTGUP00000008706
ENSORLP00000000678	ENSTGUP00000008706
ENSORLP00000015857	ENSTGUP00000007828
ENSORLP00000003595	ENSTGUP00000003676
ENSORLP00000006648	ENSTGUP00000004968
ENSORLP00000001741	ENSTGUP00000002319
ENSORLP00000003123	ENSTGUP00000000909
ENSORLP00000025526	ENSTGUP00000001623
ENSORLP00000003018	ENSTGUP00000005458
ENSORLP00000007356	ENSTGUP00000008967
ENSORLP00000016722	ENSTGUP00000005263
ENSORLP00000005821	ENSTGUP00000003862
ENSORLP00000005856	ENSTGUP00000003819
ENSORLP00000022254	ENSTGUP00000002960
ENSORLP00000007952	ENSTGUP00000016783
ENSORLP00000025578	ENSTGUP00000008885
ENSORLP00000001368	ENSTGUP00000003276
ENSORLP00000024257	ENSTGUP00000013203
ENSORLP00000003220	ENSTGUP00000002510
ENSORLP00000020860	ENSTGUP00000002510
ENSORLP00000001290	ENSTGUP00000010462
ENSORLP00000008446	ENSTGUP00000009884
ENSORLP00000002593	ENSTGUP00000009884
ENSORLP00000008437	ENSTGUP00000006567
ENSORLP00000011200	ENSTGUP00000006567
ENSORLP00000006701	ENSTGUP00000000503
ENSORLP00000008651	ENSTGUP00000007517
ENSORLP00000015785	ENSTGUP00000002402
ENSORLP00000020633	ENSTGUP00000006436
ENSORLP00000011714	ENSTGUP00000007511
ENSORLP00000007515	ENSTGUP00000011705
ENSORLP00000000443	ENSTGUP00000018265
ENSORLP00000019930	ENSTGUP00000010829
ENSORLP00000018127	ENSTGUP00000001184
ENSORLP00000003515	ENSTGUP00000012380
ENSORLP00000014267	ENSTGUP00000002856
ENSORLP00000019966	ENSTGUP00000012053
ENSORLP00000003243	ENSTGUP00000004874
ENSORLP00000013178	ENSTGUP00000004874
ENSORLP00000021323	ENSTGUP00000007812
ENSORLP00000021828	ENSTGUP00000014440
ENSORLP00000020822	ENSTGUP00000012631
ENSORLP00000021812	ENSTGUP00000007507
ENSORLP00000006376	ENSTGUP00000001158
ENSORLP00000019321	ENSTGUP00000000912
