ENSTGUP00000008915	ENSCAFP00000014731
ENSTGUP00000011592	ENSCAFP00000021101
ENSTGUP00000010998	ENSCAFP00000000536
ENSTGUP00000010909	ENSCAFP00000026820
ENSTGUP00000008898	ENSCAFP00000014703
ENSTGUP00000005020	ENSCAFP00000027009
ENSTGUP00000005254	ENSCAFP00000014101
ENSTGUP00000007673	ENSCAFP00000010599
ENSTGUP00000005191	ENSCAFP00000016175
ENSTGUP00000005389	ENSCAFP00000041478
ENSTGUP00000014566	ENSCAFP00000019851
ENSTGUP00000010982	ENSCAFP00000041897
ENSTGUP00000003676	ENSCAFP00000011228
ENSTGUP00000002319	ENSCAFP00000025906
ENSTGUP00000011474	ENSCAFP00000000844
ENSTGUP00000013282	ENSCAFP00000006503
ENSTGUP00000012847	ENSCAFP00000004514
ENSTGUP00000000909	ENSCAFP00000019636
ENSTGUP00000001623	ENSCAFP00000008815
ENSTGUP00000005458	ENSCAFP00000012433
ENSTGUP00000005263	ENSCAFP00000022926
ENSTGUP00000000371	ENSCAFP00000018010
ENSTGUP00000003862	ENSCAFP00000003668
ENSTGUP00000003819	ENSCAFP00000003657
ENSTGUP00000000526	ENSCAFP00000028428
ENSTGUP00000004420	ENSCAFP00000026110
ENSTGUP00000002205	ENSCAFP00000007426
ENSTGUP00000016783	ENSCAFP00000035869
ENSTGUP00000003276	ENSCAFP00000041440
ENSTGUP00000013203	ENSCAFP00000026713
ENSTGUP00000002510	ENSCAFP00000028894
ENSTGUP00000010462	ENSCAFP00000010159
ENSTGUP00000009884	ENSCAFP00000025741
ENSTGUP00000001025	ENSCAFP00000028253
ENSTGUP00000006567	ENSCAFP00000023060
ENSTGUP00000013314	ENSCAFP00000023616
ENSTGUP00000007517	ENSCAFP00000029957
ENSTGUP00000002402	ENSCAFP00000007014
ENSTGUP00000005879	ENSCAFP00000025988
ENSTGUP00000006914	ENSCAFP00000029580
ENSTGUP00000007511	ENSCAFP00000027190
ENSTGUP00000006599	ENSCAFP00000021251
ENSTGUP00000011707	ENSCAFP00000032029
ENSTGUP00000017731	ENSCAFP00000012523
ENSTGUP00000011705	ENSCAFP00000012528
ENSTGUP00000018265	ENSCAFP00000012512
ENSTGUP00000006604	ENSCAFP00000021250
ENSTGUP00000010836	ENSCAFP00000014319
ENSTGUP00000001184	ENSCAFP00000019089
ENSTGUP00000012380	ENSCAFP00000035150
ENSTGUP00000003773	ENSCAFP00000003298
ENSTGUP00000003831	ENSCAFP00000003277
ENSTGUP00000004874	ENSCAFP00000018115
ENSTGUP00000009101	ENSCAFP00000015735
ENSTGUP00000007812	ENSCAFP00000017392
ENSTGUP00000003687	ENSCAFP00000012144
ENSTGUP00000014440	ENSCAFP00000030690
ENSTGUP00000003097	ENSCAFP00000018258
ENSTGUP00000012631	ENSCAFP00000025261
ENSTGUP00000007507	ENSCAFP00000011525
ENSTGUP00000001158	ENSCAFP00000000688
ENSTGUP00000000912	ENSCAFP00000028846
ENSTGUP00000002880	ENSCAFP00000004119
ENSTGUP00000014205	ENSCAFP00000030651
ENSTGUP00000009297	ENSCAFP00000019894
ENSTGUP00000012744	ENSCAFP00000041229
ENSTGUP00000001335	ENSCAFP00000039048
ENSTGUP00000001616	ENSCAFP00000025974
ENSTGUP00000012121	ENSCAFP00000017436
ENSTGUP00000017784	ENSCAFP00000000191
ENSTGUP00000008788	ENSCAFP00000016481
ENSTGUP00000000920	ENSCAFP00000011295
ENSTGUP00000006514	ENSCAFP00000041377
ENSTGUP00000005575	ENSCAFP00000037675
ENSTGUP00000007512	ENSCAFP00000000678
ENSTGUP00000008852	ENSCAFP00000004185
ENSTGUP00000015232	ENSCAFP00000001898
ENSTGUP00000006775	ENSCAFP00000010553
ENSTGUP00000013703	ENSCAFP00000011914
ENSTGUP00000014768	ENSCAFP00000003505
ENSTGUP00000000421	ENSCAFP00000022241
ENSTGUP00000008875	ENSCAFP00000016043
ENSTGUP00000013567	ENSCAFP00000022750
ENSTGUP00000016110	ENSCAFP00000035073
ENSTGUP00000004581	ENSCAFP00000013243
ENSTGUP00000007902	ENSCAFP00000014218
ENSTGUP00000000228	ENSCAFP00000042751
ENSTGUP00000002076	ENSCAFP00000019792
ENSTGUP00000005006	ENSCAFP00000023624
ENSTGUP00000008308	ENSCAFP00000023867
ENSTGUP00000013118	ENSCAFP00000026382
ENSTGUP00000003528	ENSCAFP00000009752
ENSTGUP00000011586	ENSCAFP00000007928
ENSTGUP00000003067	ENSCAFP00000027825
ENSTGUP00000005646	ENSCAFP00000018637
ENSTGUP00000012331	ENSCAFP00000009013
ENSTGUP00000001808	ENSCAFP00000038852
ENSTGUP00000007259	ENSCAFP00000004138
ENSTGUP00000010021	ENSCAFP00000027841
ENSTGUP00000008703	ENSCAFP00000029742
ENSTGUP00000011510	ENSCAFP00000016350
ENSTGUP00000004236	ENSCAFP00000025289
ENSTGUP00000002050	ENSCAFP00000005947
ENSTGUP00000001084	ENSCAFP00000021524
ENSTGUP00000017815	ENSCAFP00000019815
ENSTGUP00000004566	ENSCAFP00000016801
ENSTGUP00000001855	ENSCAFP00000017186
ENSTGUP00000007193	ENSCAFP00000019101
ENSTGUP00000001146	ENSCAFP00000031903
ENSTGUP00000004826	ENSCAFP00000030461
ENSTGUP00000009073	ENSCAFP00000011995
ENSTGUP00000010457	ENSCAFP00000018117
ENSTGUP00000006886	ENSCAFP00000022596
ENSTGUP00000005604	ENSCAFP00000008348
ENSTGUP00000000719	ENSCAFP00000023182
ENSTGUP00000010484	ENSCAFP00000018253
ENSTGUP00000001484	ENSCAFP00000002791
ENSTGUP00000017785	ENSCAFP00000014825
ENSTGUP00000008359	ENSCAFP00000017550
ENSTGUP00000003284	ENSCAFP00000018354
ENSTGUP00000005747	ENSCAFP00000024345
ENSTGUP00000008668	ENSCAFP00000010262
ENSTGUP00000013552	ENSCAFP00000022958
ENSTGUP00000001739	ENSCAFP00000001922
ENSTGUP00000013534	ENSCAFP00000005678
ENSTGUP00000004152	ENSCAFP00000000979
ENSTGUP00000003859	ENSCAFP00000013479
ENSTGUP00000014941	ENSCAFP00000021172
ENSTGUP00000003338	ENSCAFP00000018541
ENSTGUP00000001990	ENSCAFP00000018897
ENSTGUP00000004793	ENSCAFP00000017225
ENSTGUP00000000367	ENSCAFP00000001025
ENSTGUP00000003797	ENSCAFP00000029725
ENSTGUP00000009690	ENSCAFP00000013959
ENSTGUP00000004020	ENSCAFP00000007656
ENSTGUP00000009469	ENSCAFP00000042734
ENSTGUP00000002508	ENSCAFP00000023374
ENSTGUP00000010870	ENSCAFP00000033673
ENSTGUP00000007392	ENSCAFP00000018107
ENSTGUP00000007382	ENSCAFP00000018097
ENSTGUP00000005260	ENSCAFP00000021381
ENSTGUP00000002415	ENSCAFP00000023677
ENSTGUP00000005613	ENSCAFP00000020181
ENSTGUP00000010013	ENSCAFP00000003057
ENSTGUP00000003654	ENSCAFP00000042913
ENSTGUP00000007258	ENSCAFP00000030233
ENSTGUP00000015841	ENSCAFP00000011046
ENSTGUP00000003258	ENSCAFP00000041421
ENSTGUP00000015287	ENSCAFP00000007210
ENSTGUP00000001094	ENSCAFP00000018683
ENSTGUP00000007581	ENSCAFP00000032670
ENSTGUP00000002636	ENSCAFP00000010258
ENSTGUP00000001638	ENSCAFP00000005013
ENSTGUP00000002188	ENSCAFP00000027533
ENSTGUP00000002551	ENSCAFP00000042805
ENSTGUP00000013312	ENSCAFP00000027189
ENSTGUP00000012297	ENSCAFP00000001269
ENSTGUP00000010642	ENSCAFP00000015344
ENSTGUP00000010646	ENSCAFP00000015347
ENSTGUP00000012301	ENSCAFP00000001267
ENSTGUP00000000742	ENSCAFP00000011829
ENSTGUP00000006629	ENSCAFP00000030086
ENSTGUP00000011117	ENSCAFP00000016128
ENSTGUP00000011415	ENSCAFP00000040632
ENSTGUP00000001560	ENSCAFP00000003004
ENSTGUP00000009514	ENSCAFP00000025369
ENSTGUP00000002561	ENSCAFP00000004896
ENSTGUP00000013124	ENSCAFP00000026399
ENSTGUP00000004234	ENSCAFP00000023863
ENSTGUP00000002417	ENSCAFP00000004789
ENSTGUP00000016403	ENSCAFP00000021003
ENSTGUP00000013167	ENSCAFP00000003598
ENSTGUP00000012988	ENSCAFP00000001665
ENSTGUP00000009670	ENSCAFP00000030367
ENSTGUP00000009752	ENSCAFP00000014716
ENSTGUP00000000287	ENSCAFP00000028722
ENSTGUP00000008638	ENSCAFP00000034674
ENSTGUP00000009518	ENSCAFP00000025245
ENSTGUP00000010255	ENSCAFP00000030999
ENSTGUP00000008451	ENSCAFP00000009236
ENSTGUP00000000354	ENSCAFP00000020942
ENSTGUP00000007254	ENSCAFP00000016465
ENSTGUP00000000578	ENSCAFP00000028496
ENSTGUP00000013264	ENSCAFP00000006408
ENSTGUP00000009842	ENSCAFP00000019067
ENSTGUP00000004389	ENSCAFP00000002566
ENSTGUP00000004395	ENSCAFP00000002573
ENSTGUP00000004777	ENSCAFP00000015681
ENSTGUP00000014311	ENSCAFP00000015697
ENSTGUP00000005434	ENSCAFP00000005055
ENSTGUP00000010722	ENSCAFP00000008315
ENSTGUP00000009765	ENSCAFP00000010158
ENSTGUP00000006018	ENSCAFP00000014368
ENSTGUP00000017723	ENSCAFP00000002336
ENSTGUP00000012921	ENSCAFP00000001557
ENSTGUP00000008600	ENSCAFP00000023110
ENSTGUP00000013380	ENSCAFP00000022969
ENSTGUP00000003980	ENSCAFP00000003716
ENSTGUP00000003970	ENSCAFP00000003708
ENSTGUP00000009936	ENSCAFP00000020170
ENSTGUP00000017814	ENSCAFP00000012996
ENSTGUP00000013262	ENSCAFP00000027024
ENSTGUP00000001041	ENSCAFP00000028252
ENSTGUP00000010929	ENSCAFP00000013467
ENSTGUP00000002766	ENSCAFP00000006489
ENSTGUP00000017804	ENSCAFP00000019378
ENSTGUP00000013550	ENSCAFP00000021364
ENSTGUP00000008206	ENSCAFP00000002917
ENSTGUP00000013344	ENSCAFP00000004775
ENSTGUP00000011271	ENSCAFP00000010009
ENSTGUP00000003913	ENSCAFP00000011007
ENSTGUP00000012263	ENSCAFP00000001321
ENSTGUP00000002408	ENSCAFP00000043077
ENSTGUP00000005066	ENSCAFP00000041266
ENSTGUP00000001303	ENSCAFP00000004485
ENSTGUP00000008161	ENSCAFP00000040526
ENSTGUP00000007176	ENSCAFP00000015470
ENSTGUP00000017739	ENSCAFP00000042532
ENSTGUP00000000131	ENSCAFP00000024642
ENSTGUP00000001243	ENSCAFP00000006187
ENSTGUP00000007549	ENSCAFP00000017041
ENSTGUP00000011679	ENSCAFP00000012677
ENSTGUP00000008110	ENSCAFP00000002131
ENSTGUP00000002531	ENSCAFP00000028913
ENSTGUP00000005472	ENSCAFP00000003031
ENSTGUP00000012284	ENSCAFP00000001307
ENSTGUP00000018091	ENSCAFP00000003191
ENSTGUP00000003301	ENSCAFP00000026835
ENSTGUP00000010657	ENSCAFP00000020819
ENSTGUP00000003950	ENSCAFP00000042339
ENSTGUP00000012352	ENSCAFP00000008984
ENSTGUP00000008770	ENSCAFP00000036076
ENSTGUP00000016151	ENSCAFP00000008259
ENSTGUP00000007045	ENSCAFP00000026616
ENSTGUP00000009034	ENSCAFP00000022787
ENSTGUP00000000219	ENSCAFP00000041145
ENSTGUP00000010553	ENSCAFP00000018218
ENSTGUP00000005825	ENSCAFP00000031887
ENSTGUP00000006209	ENSCAFP00000012092
ENSTGUP00000003563	ENSCAFP00000020325
ENSTGUP00000008691	ENSCAFP00000010756
ENSTGUP00000012771	ENSCAFP00000004620
ENSTGUP00000003264	ENSCAFP00000028873
ENSTGUP00000009628	ENSCAFP00000025456
ENSTGUP00000004600	ENSCAFP00000002279
ENSTGUP00000006527	ENSCAFP00000030020
ENSTGUP00000000237	ENSCAFP00000018839
ENSTGUP00000013904	ENSCAFP00000041849
ENSTGUP00000017637	ENSCAFP00000042471
ENSTGUP00000000233	ENSCAFP00000037953
ENSTGUP00000008275	ENSCAFP00000009132
ENSTGUP00000011791	ENSCAFP00000015936
ENSTGUP00000011245	ENSCAFP00000008783
ENSTGUP00000013609	ENSCAFP00000003035
ENSTGUP00000005413	ENSCAFP00000013874
ENSTGUP00000011588	ENSCAFP00000039644
ENSTGUP00000008513	ENSCAFP00000017037
ENSTGUP00000012176	ENSCAFP00000001426
ENSTGUP00000011569	ENSCAFP00000010681
ENSTGUP00000015009	ENSCAFP00000008523
ENSTGUP00000002938	ENSCAFP00000021553
ENSTGUP00000009423	ENSCAFP00000029683
ENSTGUP00000009389	ENSCAFP00000000032
ENSTGUP00000004504	ENSCAFP00000039820
ENSTGUP00000006373	ENSCAFP00000025905
ENSTGUP00000011052	ENSCAFP00000039613
ENSTGUP00000005971	ENSCAFP00000025477
ENSTGUP00000013320	ENSCAFP00000024003
ENSTGUP00000001792	ENSCAFP00000005367
ENSTGUP00000013464	ENSCAFP00000022150
ENSTGUP00000005217	ENSCAFP00000029639
ENSTGUP00000012701	ENSCAFP00000001191
ENSTGUP00000008583	ENSCAFP00000018942
ENSTGUP00000001687	ENSCAFP00000003177
ENSTGUP00000000051	ENSCAFP00000041233
ENSTGUP00000003162	ENSCAFP00000019683
ENSTGUP00000006712	ENSCAFP00000014137
ENSTGUP00000017666	ENSCAFP00000020384
ENSTGUP00000013116	ENSCAFP00000037494
ENSTGUP00000010757	ENSCAFP00000036652
ENSTGUP00000003663	ENSCAFP00000008824
ENSTGUP00000008481	ENSCAFP00000024276
ENSTGUP00000011888	ENSCAFP00000004919
ENSTGUP00000004522	ENSCAFP00000005317
ENSTGUP00000005546	ENSCAFP00000015478
ENSTGUP00000006158	ENSCAFP00000027600
ENSTGUP00000009193	ENSCAFP00000022673
