ENSMODP00000016222	ENSLOCP00000009128
ENSMODP00000022186	ENSLOCP00000003817
ENSMODP00000006413	ENSLOCP00000018009
ENSMODP00000021006	ENSLOCP00000021014
ENSMODP00000020505	ENSLOCP00000007024
ENSMODP00000012374	ENSLOCP00000007725
ENSMODP00000016247	ENSLOCP00000009060
ENSMODP00000009976	ENSLOCP00000011549
ENSMODP00000024314	ENSLOCP00000018593
ENSMODP00000023878	ENSLOCP00000011472
ENSMODP00000002624	ENSLOCP00000013012
ENSMODP00000020244	ENSLOCP00000009147
ENSMODP00000028608	ENSLOCP00000020429
ENSMODP00000019742	ENSLOCP00000019200
ENSMODP00000023074	ENSLOCP00000006554
ENSMODP00000002660	ENSLOCP00000003596
ENSMODP00000005540	ENSLOCP00000004161
ENSMODP00000003267	ENSLOCP00000007780
ENSMODP00000011631	ENSLOCP00000017232
ENSMODP00000026393	ENSLOCP00000009530
ENSMODP00000010124	ENSLOCP00000020825
ENSMODP00000020165	ENSLOCP00000005280
ENSMODP00000001568	ENSLOCP00000010078
ENSMODP00000020576	ENSLOCP00000007610
ENSMODP00000026284	ENSLOCP00000002487
ENSMODP00000028394	ENSLOCP00000020267
ENSMODP00000000677	ENSLOCP00000020273
ENSMODP00000023578	ENSLOCP00000007870
ENSMODP00000020923	ENSLOCP00000019319
ENSMODP00000024842	ENSLOCP00000007227
ENSMODP00000020567	ENSLOCP00000007649
ENSMODP00000000005	ENSLOCP00000012473
ENSMODP00000003305	ENSLOCP00000019175
ENSMODP00000016701	ENSLOCP00000012015
ENSMODP00000030326	ENSLOCP00000007747
ENSMODP00000021625	ENSLOCP00000001624
ENSMODP00000024756	ENSLOCP00000001262
ENSMODP00000024090	ENSLOCP00000007089
ENSMODP00000034686	ENSLOCP00000017180
ENSMODP00000001331	ENSLOCP00000005887
ENSMODP00000024667	ENSLOCP00000005999
ENSMODP00000021116	ENSLOCP00000020663
ENSMODP00000015137	ENSLOCP00000014860
ENSMODP00000021051	ENSLOCP00000004833
ENSMODP00000011243	ENSLOCP00000017952
ENSMODP00000006081	ENSLOCP00000008038
ENSMODP00000017560	ENSLOCP00000010721
ENSMODP00000026600	ENSLOCP00000002259
ENSMODP00000026601	ENSLOCP00000021479
ENSMODP00000035512	ENSLOCP00000002287
