ENSMODP00000016222	ENSP00000262384
ENSMODP00000022186	ENSP00000362179
ENSMODP00000018180	ENSP00000278590
ENSMODP00000021006	ENSP00000386616
ENSMODP00000012374	ENSP00000354794
ENSMODP00000016247	ENSP00000455426
ENSMODP00000023878	ENSP00000268876
ENSMODP00000020244	ENSP00000361900
ENSMODP00000028608	ENSP00000295408
ENSMODP00000031323	ENSP00000301178
ENSMODP00000015454	ENSP00000296474
ENSMODP00000019742	ENSP00000317272
ENSMODP00000027793	ENSP00000266458
ENSMODP00000022766	ENSP00000394008
ENSMODP00000003267	ENSP00000363970
ENSMODP00000011631	ENSP00000373518
ENSMODP00000022045	ENSP00000475084
ENSMODP00000022029	ENSP00000317997
ENSMODP00000026393	ENSP00000367851
ENSMODP00000010124	ENSP00000159060
ENSMODP00000003331	ENSP00000263317
ENSMODP00000001568	ENSP00000281722
ENSMODP00000020576	ENSP00000363107
ENSMODP00000026284	ENSP00000354995
ENSMODP00000016589	ENSP00000304111
ENSMODP00000028394	ENSP00000272286
ENSMODP00000000677	ENSP00000260645
ENSMODP00000023901	ENSP00000292672
ENSMODP00000020923	ENSP00000389951
ENSMODP00000025995	ENSP00000378945
ENSMODP00000020567	ENSP00000363092
ENSMODP00000003305	ENSP00000261464
ENSMODP00000016701	ENSP00000454207
ENSMODP00000030326	ENSP00000362994
ENSMODP00000021625	ENSP00000247668
ENSMODP00000024756	ENSP00000433623
ENSMODP00000028954	ENSP00000376765
ENSMODP00000034686	ENSP00000249636
ENSMODP00000000916	ENSP00000262971
ENSMODP00000001331	ENSP00000334474
ENSMODP00000020102	ENSP00000311778
ENSMODP00000005916	ENSP00000247207
ENSMODP00000004149	ENSP00000364805
ENSMODP00000024667	ENSP00000324173
ENSMODP00000021116	ENSP00000367623
ENSMODP00000015137	ENSP00000297185
ENSMODP00000010650	ENSP00000454748
ENSMODP00000011243	ENSP00000453273
ENSMODP00000024507	ENSP00000362962
ENSMODP00000006081	ENSP00000367815
ENSMODP00000017560	ENSP00000326870
ENSMODP00000037659	ENSP00000303549
ENSMODP00000026600	ENSP00000308361
ENSMODP00000026601	ENSP00000260843
ENSMODP00000035510	ENSP00000320376
ENSMODP00000035512	ENSP00000307259
ENSMODP00000035509	ENSP00000308479
ENSMODP00000037658	ENSP00000367384
ENSMODP00000000679	ENSP00000337618
ENSMODP00000025796	ENSP00000295461
ENSMODP00000010442	ENSP00000311687
ENSMODP00000016379	ENSP00000363520
ENSMODP00000008107	ENSP00000339256
ENSMODP00000022950	ENSP00000313059
ENSMODP00000010998	ENSP00000297954
ENSMODP00000011474	ENSP00000414055
ENSMODP00000026122	ENSP00000350676
ENSMODP00000010914	ENSP00000352185
ENSMODP00000023478	ENSP00000271688
ENSMODP00000015235	ENSP00000284382
ENSMODP00000041284	ENSP00000376453
ENSMODP00000004541	ENSP00000402697
ENSMODP00000003832	ENSP00000355929
ENSMODP00000006867	ENSP00000251089
ENSMODP00000000179	ENSP00000309142
ENSMODP00000014712	ENSP00000264903
ENSMODP00000004891	ENSP00000377024
ENSMODP00000006523	ENSP00000468788
ENSMODP00000000959	ENSP00000297071
ENSMODP00000012028	ENSP00000380252
ENSMODP00000026239	ENSP00000382805
ENSMODP00000029754	ENSP00000257749
ENSMODP00000012160	ENSP00000366827
ENSMODP00000004041	ENSP00000321343
ENSMODP00000022102	ENSP00000379353
ENSMODP00000025585	ENSP00000320431
ENSMODP00000016495	ENSP00000268164
ENSMODP00000024060	ENSP00000231461
ENSMODP00000014171	ENSP00000262904
ENSMODP00000003492	ENSP00000345571
ENSMODP00000007623	ENSP00000368686
ENSMODP00000013412	ENSP00000268989
ENSMODP00000016741	ENSP00000221543
ENSMODP00000037068	ENSP00000448182
ENSMODP00000015720	ENSP00000320434
ENSMODP00000036453	ENSP00000386141
ENSMODP00000024298	ENSP00000477059
ENSMODP00000011108	ENSP00000416707
ENSMODP00000013611	ENSP00000386881
ENSMODP00000034167	ENSP00000428280
ENSMODP00000019696	ENSP00000272371
ENSMODP00000021361	ENSP00000360475
ENSMODP00000014344	ENSP00000222250
ENSMODP00000016010	ENSP00000268042
ENSMODP00000023381	ENSP00000358323
ENSMODP00000022856	ENSP00000372067
ENSMODP00000029105	ENSP00000359095
ENSMODP00000011376	ENSP00000331879
ENSMODP00000019937	ENSP00000404179
ENSMODP00000020886	ENSP00000276440
ENSMODP00000008745	ENSP00000256935
ENSMODP00000013331	ENSP00000340677
ENSMODP00000017273	ENSP00000272164
ENSMODP00000013863	ENSP00000290015
ENSMODP00000036044	ENSP00000258411
ENSMODP00000012564	ENSP00000357077
ENSMODP00000008288	ENSP00000252456
ENSMODP00000032324	ENSP00000252809
ENSMODP00000013900	ENSP00000252677
ENSMODP00000017320	ENSP00000367942
ENSMODP00000015229	ENSP00000287139
ENSMODP00000002540	ENSP00000224605
ENSMODP00000025996	ENSP00000282701
ENSMODP00000026913	ENSP00000468312
ENSMODP00000016389	ENSP00000334314
ENSMODP00000000402	ENSP00000320663
ENSMODP00000009650	ENSP00000378254
ENSMODP00000003858	ENSP00000451998
ENSMODP00000009150	ENSP00000252660
ENSMODP00000004985	ENSP00000309782
ENSMODP00000008907	ENSP00000393251
ENSMODP00000004977	ENSP00000310631
ENSMODP00000011765	ENSP00000366267
ENSMODP00000019074	ENSP00000377836
ENSMODP00000019101	ENSP00000359864
ENSMODP00000005435	ENSP00000292377
ENSMODP00000016852	ENSP00000264039
ENSMODP00000000500	ENSP00000332886
ENSMODP00000012769	ENSP00000280481
ENSMODP00000018745	ENSP00000412940
ENSMODP00000026029	ENSP00000264895
ENSMODP00000003122	ENSP00000374507
ENSMODP00000013464	ENSP00000338728
ENSMODP00000008628	ENSP00000380785
ENSMODP00000004044	ENSP00000360252
ENSMODP00000002679	ENSP00000310015
ENSMODP00000007893	ENSP00000370713
ENSMODP00000021412	ENSP00000357459
ENSMODP00000006018	ENSP00000268624
ENSMODP00000023606	ENSP00000296513
ENSMODP00000004519	ENSP00000262803
ENSMODP00000039634	ENSP00000399797
ENSMODP00000004963	ENSP00000351524
ENSMODP00000007067	ENSP00000424737
ENSMODP00000021169	ENSP00000417401
ENSMODP00000024799	ENSP00000394314
ENSMODP00000016775	ENSP00000384725
ENSMODP00000015165	ENSP00000253008
ENSMODP00000005386	ENSP00000354960
ENSMODP00000007425	ENSP00000361929
ENSMODP00000005390	ENSP00000252599
ENSMODP00000013628	ENSP00000196061
ENSMODP00000006172	ENSP00000223127
ENSMODP00000026554	ENSP00000282903
ENSMODP00000004039	ENSP00000292807
ENSMODP00000005255	ENSP00000352603
ENSMODP00000000790	ENSP00000347408
ENSMODP00000012861	ENSP00000428787
ENSMODP00000031750	ENSP00000388996
ENSMODP00000020405	ENSP00000406472
ENSMODP00000013151	ENSP00000265741
ENSMODP00000013497	ENSP00000276052
ENSMODP00000002193	ENSP00000423665
ENSMODP00000004613	ENSP00000296525
ENSMODP00000021509	ENSP00000417914
ENSMODP00000023068	ENSP00000350331
ENSMODP00000002877	ENSP00000264607
ENSMODP00000008929	ENSP00000355195
ENSMODP00000009518	ENSP00000315167
ENSMODP00000009560	ENSP00000314879
ENSMODP00000013499	ENSP00000363512
ENSMODP00000034760	ENSP00000305426
ENSMODP00000022870	ENSP00000380321
ENSMODP00000017133	ENSP00000221399
ENSMODP00000031383	ENSP00000229771
ENSMODP00000009533	ENSP00000356064
ENSMODP00000027887	ENSP00000314444
ENSMODP00000006876	ENSP00000216271
ENSMODP00000012731	ENSP00000334061
ENSMODP00000032765	ENSP00000225983
ENSMODP00000017923	ENSP00000346236
ENSMODP00000012407	ENSP00000464050
ENSMODP00000012104	ENSP00000380033
ENSMODP00000004582	ENSP00000225792
ENSMODP00000002826	ENSP00000267842
ENSMODP00000041023	ENSP00000263093
ENSMODP00000021647	ENSP00000357650
ENSMODP00000007382	ENSP00000300456
ENSMODP00000005455	ENSP00000252595
ENSMODP00000004284	ENSP00000359520
ENSMODP00000020969	ENSP00000351520
ENSMODP00000006113	ENSP00000360250
ENSMODP00000021538	ENSP00000347213
ENSMODP00000021495	ENSP00000360561
ENSMODP00000019075	ENSP00000301825
ENSMODP00000019115	ENSP00000222803
ENSMODP00000012345	ENSP00000413152
ENSMODP00000026928	ENSP00000242209
ENSMODP00000018395	ENSP00000317232
ENSMODP00000013451	ENSP00000345964
ENSMODP00000013531	ENSP00000358715
ENSMODP00000002515	ENSP00000256637
ENSMODP00000019396	ENSP00000233813
ENSMODP00000011895	ENSP00000370473
ENSMODP00000033297	ENSP00000275525
ENSMODP00000019398	ENSP00000233809
ENSMODP00000016469	ENSP00000269593
ENSMODP00000016648	ENSP00000169298
ENSMODP00000003179	ENSP00000386942
ENSMODP00000007000	ENSP00000362239
ENSMODP00000024699	ENSP00000417583
ENSMODP00000003320	ENSP00000355968
ENSMODP00000017619	ENSP00000363394
ENSMODP00000021986	ENSP00000261867
ENSMODP00000024346	ENSP00000415900
ENSMODP00000022203	ENSP00000362195
ENSMODP00000001020	ENSP00000262345
ENSMODP00000025425	ENSP00000263409
ENSMODP00000025415	ENSP00000274276
ENSMODP00000039684	ENSP00000395461
ENSMODP00000024177	ENSP00000261721
ENSMODP00000006059	ENSP00000384545
ENSMODP00000032132	ENSP00000376337
ENSMODP00000022238	ENSP00000385836
ENSMODP00000013827	ENSP00000260743
ENSMODP00000013818	ENSP00000329926
ENSMODP00000022239	ENSP00000357588
ENSMODP00000006713	ENSP00000251527
ENSMODP00000025150	ENSP00000424126
ENSMODP00000000370	ENSP00000340594
ENSMODP00000018131	ENSP00000341489
ENSMODP00000017612	ENSP00000368566
ENSMODP00000012865	ENSP00000348429
ENSMODP00000014616	ENSP00000258873
ENSMODP00000013397	ENSP00000233156
ENSMODP00000015857	ENSP00000311184
ENSMODP00000020847	ENSP00000324763
ENSMODP00000004951	ENSP00000265132
ENSMODP00000031789	ENSP00000376652
ENSMODP00000035173	ENSP00000355809
ENSMODP00000028502	ENSP00000348753
ENSMODP00000018421	ENSP00000225275
ENSMODP00000018444	ENSP00000225371
ENSMODP00000018431	ENSP00000262290
ENSMODP00000012360	ENSP00000348645
ENSMODP00000023326	ENSP00000281156
ENSMODP00000001162	ENSP00000348108
ENSMODP00000007984	ENSP00000355094
ENSMODP00000013862	ENSP00000328694
ENSMODP00000023828	ENSP00000379366
ENSMODP00000005633	ENSP00000349575
ENSMODP00000002353	ENSP00000271139
ENSMODP00000015862	ENSP00000427695
ENSMODP00000020662	ENSP00000331305
ENSMODP00000001296	ENSP00000290551
ENSMODP00000018114	ENSP00000348300
ENSMODP00000026437	ENSP00000301046
ENSMODP00000003778	ENSP00000423541
ENSMODP00000023397	ENSP00000358142
ENSMODP00000003368	ENSP00000299134
ENSMODP00000023888	ENSP00000221561
ENSMODP00000034629	ENSP00000452871
ENSMODP00000003237	ENSP00000256999
ENSMODP00000004030	ENSP00000432481
ENSMODP00000012753	ENSP00000351484
ENSMODP00000005649	ENSP00000420525
