ENSP00000262384	ENSTGUP00000008915
ENSP00000278590	ENSTGUP00000011592
ENSP00000386616	ENSTGUP00000010998
ENSP00000354794	ENSTGUP00000010909
ENSP00000455426	ENSTGUP00000008898
ENSP00000268876	ENSTGUP00000005020
ENSP00000361900	ENSTGUP00000005254
ENSP00000295408	ENSTGUP00000007673
ENSP00000296474	ENSTGUP00000005191
ENSP00000317272	ENSTGUP00000005389
ENSP00000394008	ENSTGUP00000014566
ENSP00000363970	ENSTGUP00000003676
ENSP00000362057	ENSTGUP00000002319
ENSP00000159060	ENSTGUP00000011474
ENSP00000263317	ENSTGUP00000013282
ENSP00000358635	ENSTGUP00000012847
ENSP00000445366	ENSTGUP00000001623
ENSP00000281722	ENSTGUP00000005458
ENSP00000363107	ENSTGUP00000005263
ENSP00000304111	ENSTGUP00000000371
ENSP00000272286	ENSTGUP00000003862
ENSP00000260645	ENSTGUP00000003819
ENSP00000292672	ENSTGUP00000000526
ENSP00000389951	ENSTGUP00000002205
ENSP00000363092	ENSTGUP00000016783
ENSP00000261464	ENSTGUP00000003276
ENSP00000454207	ENSTGUP00000013203
ENSP00000362994	ENSTGUP00000006737
ENSP00000247668	ENSTGUP00000002510
ENSP00000433623	ENSTGUP00000010462
ENSP00000249636	ENSTGUP00000009884
ENSP00000262971	ENSTGUP00000001025
ENSP00000334474	ENSTGUP00000006567
ENSP00000311778	ENSTGUP00000003388
ENSP00000247207	ENSTGUP00000013314
ENSP00000324173	ENSTGUP00000007517
ENSP00000367623	ENSTGUP00000002402
ENSP00000234038	ENSTGUP00000006436
ENSP00000453273	ENSTGUP00000005879
ENSP00000367815	ENSTGUP00000006914
ENSP00000326870	ENSTGUP00000007511
ENSP00000303549	ENSTGUP00000006599
ENSP00000308361	ENSTGUP00000011707
ENSP00000260843	ENSTGUP00000017731
ENSP00000307259	ENSTGUP00000011705
ENSP00000308479	ENSTGUP00000018265
ENSP00000367384	ENSTGUP00000006604
ENSP00000337618	ENSTGUP00000010836
ENSP00000363520	ENSTGUP00000001184
ENSP00000339256	ENSTGUP00000012380
ENSP00000297954	ENSTGUP00000003773
ENSP00000352185	ENSTGUP00000003831
ENSP00000271688	ENSTGUP00000004874
ENSP00000284382	ENSTGUP00000009101
ENSP00000376453	ENSTGUP00000007812
ENSP00000325485	ENSTGUP00000003687
ENSP00000402697	ENSTGUP00000014440
ENSP00000355929	ENSTGUP00000003097
ENSP00000251089	ENSTGUP00000012631
ENSP00000309142	ENSTGUP00000007507
ENSP00000377024	ENSTGUP00000001158
ENSP00000468788	ENSTGUP00000000912
ENSP00000297071	ENSTGUP00000002880
ENSP00000354855	ENSTGUP00000014205
ENSP00000380252	ENSTGUP00000009297
ENSP00000257749	ENSTGUP00000012744
ENSP00000366827	ENSTGUP00000001335
ENSP00000321343	ENSTGUP00000001616
ENSP00000379353	ENSTGUP00000012121
ENSP00000320431	ENSTGUP00000017784
ENSP00000268164	ENSTGUP00000008788
ENSP00000231461	ENSTGUP00000000920
