ENSTGUP00000008915	ENSGALP00000006197
ENSTGUP00000011592	ENSGALP00000027652
ENSTGUP00000002935	ENSGALP00000007499
ENSTGUP00000006346	ENSGALP00000006308
ENSTGUP00000010909	ENSGALP00000024336
ENSTGUP00000008898	ENSGALP00000006178
ENSTGUP00000010401	ENSGALP00000013518
ENSTGUP00000005020	ENSGALP00000003417
ENSTGUP00000014038	ENSGALP00000024624
ENSTGUP00000005254	ENSGALP00000006527
ENSTGUP00000007673	ENSGALP00000013423
ENSTGUP00000011252	ENSGALP00000014051
ENSTGUP00000005191	ENSGALP00000035505
ENSTGUP00000005389	ENSGALP00000042226
ENSTGUP00000006862	ENSGALP00000010474
ENSTGUP00000008706	ENSGALP00000005074
ENSTGUP00000014566	ENSGALP00000023699
ENSTGUP00000010982	ENSGALP00000017457
ENSTGUP00000007828	ENSGALP00000041254
ENSTGUP00000003676	ENSGALP00000002938
ENSTGUP00000004968	ENSGALP00000003834
ENSTGUP00000002319	ENSGALP00000010835
ENSTGUP00000011474	ENSGALP00000022178
ENSTGUP00000013282	ENSGALP00000027810
ENSTGUP00000012847	ENSGALP00000025475
ENSTGUP00000000909	ENSGALP00000025476
ENSTGUP00000001623	ENSGALP00000009477
ENSTGUP00000005458	ENSGALP00000015078
ENSTGUP00000008967	ENSGALP00000023036
ENSTGUP00000005263	ENSGALP00000005964
ENSTGUP00000000371	ENSGALP00000010976
ENSTGUP00000003862	ENSGALP00000016167
ENSTGUP00000003819	ENSGALP00000016163
ENSTGUP00000000526	ENSGALP00000042824
ENSTGUP00000004420	ENSGALP00000039322
ENSTGUP00000002205	ENSGALP00000010845
ENSTGUP00000010714	ENSGALP00000013128
ENSTGUP00000002960	ENSGALP00000017721
ENSTGUP00000016783	ENSGALP00000006027
ENSTGUP00000008885	ENSGALP00000029643
ENSTGUP00000003276	ENSGALP00000016021
ENSTGUP00000013203	ENSGALP00000018553
ENSTGUP00000006737	ENSGALP00000002401
ENSTGUP00000002510	ENSGALP00000014649
ENSTGUP00000010462	ENSGALP00000012873
ENSTGUP00000009884	ENSGALP00000012927
ENSTGUP00000000010	ENSGALP00000002848
ENSTGUP00000001025	ENSGALP00000002836
ENSTGUP00000006567	ENSGALP00000007730
ENSTGUP00000013314	ENSGALP00000019120
ENSTGUP00000000503	ENSGALP00000010510
