ENSMODP00000016222	ENSCAFP00000014731
ENSMODP00000022186	ENSCAFP00000004893
ENSMODP00000018180	ENSCAFP00000021101
ENSMODP00000021006	ENSCAFP00000000536
ENSMODP00000012374	ENSCAFP00000026820
ENSMODP00000016247	ENSCAFP00000014703
ENSMODP00000023878	ENSCAFP00000027009
ENSMODP00000020244	ENSCAFP00000014101
ENSMODP00000028608	ENSCAFP00000010599
ENSMODP00000000113	ENSCAFP00000014168
ENSMODP00000031323	ENSCAFP00000007520
ENSMODP00000015454	ENSCAFP00000016175
ENSMODP00000019742	ENSCAFP00000041478
ENSMODP00000022766	ENSCAFP00000019851
ENSMODP00000008476	ENSCAFP00000041897
ENSMODP00000003267	ENSCAFP00000011228
ENSMODP00000011631	ENSCAFP00000025792
ENSMODP00000022029	ENSCAFP00000020209
ENSMODP00000026393	ENSCAFP00000020532
ENSMODP00000010124	ENSCAFP00000000844
ENSMODP00000003331	ENSCAFP00000006503
ENSMODP00000020165	ENSCAFP00000019636
ENSMODP00000001568	ENSCAFP00000012433
ENSMODP00000020576	ENSCAFP00000022926
ENSMODP00000026284	ENSCAFP00000015206
ENSMODP00000016589	ENSCAFP00000018010
ENSMODP00000028394	ENSCAFP00000003668
ENSMODP00000000677	ENSCAFP00000003657
ENSMODP00000023901	ENSCAFP00000028428
ENSMODP00000036724	ENSCAFP00000026110
ENSMODP00000020923	ENSCAFP00000007426
ENSMODP00000025995	ENSCAFP00000013072
ENSMODP00000020567	ENSCAFP00000035869
ENSMODP00000003305	ENSCAFP00000041440
ENSMODP00000016701	ENSCAFP00000026713
ENSMODP00000021625	ENSCAFP00000028894
ENSMODP00000024756	ENSCAFP00000010159
ENSMODP00000024090	ENSCAFP00000027741
ENSMODP00000028954	ENSCAFP00000016670
ENSMODP00000034686	ENSCAFP00000025741
ENSMODP00000000916	ENSCAFP00000028253
ENSMODP00000001331	ENSCAFP00000023060
ENSMODP00000005916	ENSCAFP00000023616
ENSMODP00000004149	ENSCAFP00000000900
ENSMODP00000024667	ENSCAFP00000029957
ENSMODP00000021116	ENSCAFP00000007014
ENSMODP00000015137	ENSCAFP00000001849
ENSMODP00000002619	ENSCAFP00000035628
ENSMODP00000010650	ENSCAFP00000039463
ENSMODP00000011243	ENSCAFP00000025988
ENSMODP00000024507	ENSCAFP00000005391
ENSMODP00000006081	ENSCAFP00000029580
ENSMODP00000017560	ENSCAFP00000027190
ENSMODP00000037659	ENSCAFP00000021251
ENSMODP00000026600	ENSCAFP00000032029
ENSMODP00000026601	ENSCAFP00000012523
ENSMODP00000035510	ENSCAFP00000012527
ENSMODP00000035512	ENSCAFP00000012528
ENSMODP00000035509	ENSCAFP00000012512
ENSMODP00000037658	ENSCAFP00000021250
ENSMODP00000000679	ENSCAFP00000014319
ENSMODP00000025796	ENSCAFP00000038033
