ENSGACP00000024945	ENSLOCP00000011371
ENSGACP00000003450	ENSLOCP00000009128
ENSGACP00000018304	ENSLOCP00000003817
ENSGACP00000003045	ENSLOCP00000003817
ENSGACP00000026872	ENSLOCP00000018009
ENSGACP00000008784	ENSLOCP00000021014
ENSGACP00000027282	ENSLOCP00000007024
ENSGACP00000017512	ENSLOCP00000007725
ENSGACP00000003444	ENSLOCP00000009060
ENSGACP00000027655	ENSLOCP00000011549
ENSGACP00000015229	ENSLOCP00000018593
ENSGACP00000013204	ENSLOCP00000011472
ENSGACP00000018412	ENSLOCP00000013012
ENSGACP00000004939	ENSLOCP00000009147
ENSGACP00000007033	ENSLOCP00000020429
ENSGACP00000017057	ENSLOCP00000017457
ENSGACP00000015909	ENSLOCP00000013339
ENSGACP00000012136	ENSLOCP00000019200
ENSGACP00000004873	ENSLOCP00000006554
ENSGACP00000002806	ENSLOCP00000003596
ENSGACP00000023126	ENSLOCP00000003596
ENSGACP00000013826	ENSLOCP00000010127
ENSGACP00000025635	ENSLOCP00000017832
ENSGACP00000026047	ENSLOCP00000019587
ENSGACP00000004170	ENSLOCP00000004161
ENSGACP00000000014	ENSLOCP00000007780
ENSGACP00000010389	ENSLOCP00000017232
ENSGACP00000008196	ENSLOCP00000016944
ENSGACP00000022876	ENSLOCP00000018831
ENSGACP00000020510	ENSLOCP00000009530
ENSGACP00000010533	ENSLOCP00000008728
ENSGACP00000012075	ENSLOCP00000020915
ENSGACP00000004209	ENSLOCP00000005280
ENSGACP00000025947	ENSLOCP00000013773
ENSGACP00000000488	ENSLOCP00000010078
ENSGACP00000021405	ENSLOCP00000015968
ENSGACP00000013531	ENSLOCP00000007610
ENSGACP00000026980	ENSLOCP00000004672
ENSGACP00000014122	ENSLOCP00000020267
ENSGACP00000014108	ENSLOCP00000020273
ENSGACP00000021962	ENSLOCP00000010732
ENSGACP00000022891	ENSLOCP00000016575
ENSGACP00000024574	ENSLOCP00000016575
ENSGACP00000017005	ENSLOCP00000006610
ENSGACP00000015493	ENSLOCP00000007870
ENSGACP00000004288	ENSLOCP00000007870
ENSGACP00000018787	ENSLOCP00000007227
ENSGACP00000013822	ENSLOCP00000012214
ENSGACP00000024909	ENSLOCP00000012214
ENSGACP00000002402	ENSLOCP00000008648
ENSGACP00000013540	ENSLOCP00000007649
ENSGACP00000012095	ENSLOCP00000007649
ENSGACP00000013490	ENSLOCP00000000762
ENSGACP00000020058	ENSLOCP00000012473
ENSGACP00000025883	ENSLOCP00000019175
ENSGACP00000005703	ENSLOCP00000012015
ENSGACP00000020860	ENSLOCP00000001624
ENSGACP00000006974	ENSLOCP00000001624
ENSGACP00000022084	ENSLOCP00000000941
ENSGACP00000022648	ENSLOCP00000001262
ENSGACP00000014759	ENSLOCP00000007089
ENSGACP00000006839	ENSLOCP00000017180
ENSGACP00000022315	ENSLOCP00000017180
ENSGACP00000016761	ENSLOCP00000007201
ENSGACP00000011561	ENSLOCP00000005887
ENSGACP00000002990	ENSLOCP00000005887
ENSGACP00000010471	ENSLOCP00000003218
ENSGACP00000021969	ENSLOCP00000005999
ENSGACP00000025513	ENSLOCP00000020663
ENSGACP00000025845	ENSLOCP00000014860
ENSGACP00000023903	ENSLOCP00000019922
ENSGACP00000005981	ENSLOCP00000013825
ENSGACP00000017996	ENSLOCP00000010959
ENSGACP00000011089	ENSLOCP00000012282
ENSGACP00000019294	ENSLOCP00000017952
ENSGACP00000009755	ENSLOCP00000008038
ENSGACP00000015915	ENSLOCP00000010721
ENSGACP00000013498	ENSLOCP00000021480
ENSGACP00000013505	ENSLOCP00000002287
ENSGACP00000023103	ENSLOCP00000018849
ENSGACP00000002295	ENSLOCP00000012061
ENSGACP00000018209	ENSLOCP00000009990
ENSGACP00000012521	ENSLOCP00000003317
ENSGACP00000004603	ENSLOCP00000011989
ENSGACP00000016002	ENSLOCP00000020953
ENSGACP00000004546	ENSLOCP00000015226
ENSGACP00000011567	ENSLOCP00000018208
ENSGACP00000013013	ENSLOCP00000019753
ENSGACP00000006206	ENSLOCP00000012353
ENSGACP00000019496	ENSLOCP00000004132
ENSGACP00000022493	ENSLOCP00000006157
ENSGACP00000015690	ENSLOCP00000006157
ENSGACP00000021682	ENSLOCP00000010044
ENSGACP00000011590	ENSLOCP00000018214
ENSGACP00000026389	ENSLOCP00000020601
ENSGACP00000013724	ENSLOCP00000005255
ENSGACP00000004274	ENSLOCP00000007900
ENSGACP00000015475	ENSLOCP00000007900
ENSGACP00000017407	ENSLOCP00000015688
ENSGACP00000007063	ENSLOCP00000010023
ENSGACP00000007544	ENSLOCP00000006473
ENSGACP00000013968	ENSLOCP00000004830
ENSGACP00000015931	ENSLOCP00000020756
ENSGACP00000009933	ENSLOCP00000013047
ENSGACP00000005141	ENSLOCP00000016356
ENSGACP00000023842	ENSLOCP00000012360
ENSGACP00000007915	ENSLOCP00000011681
ENSGACP00000013351	ENSLOCP00000011681
ENSGACP00000022780	ENSLOCP00000018637
ENSGACP00000009128	ENSLOCP00000014277
ENSGACP00000005129	ENSLOCP00000016536
ENSGACP00000012449	ENSLOCP00000007849
ENSGACP00000005885	ENSLOCP00000008437
ENSGACP00000009355	ENSLOCP00000014423
ENSGACP00000008256	ENSLOCP00000020956
ENSGACP00000021278	ENSLOCP00000013775
ENSGACP00000024121	ENSLOCP00000004341
ENSGACP00000014218	ENSLOCP00000017705
ENSGACP00000008788	ENSLOCP00000010892
ENSGACP00000012624	ENSLOCP00000006526
ENSGACP00000006233	ENSLOCP00000001142
ENSGACP00000018261	ENSLOCP00000007583
ENSGACP00000015509	ENSLOCP00000017090
ENSGACP00000022347	ENSLOCP00000004907
ENSGACP00000007046	ENSLOCP00000006346
ENSGACP00000017631	ENSLOCP00000017659
ENSGACP00000016853	ENSLOCP00000000889
ENSGACP00000010215	ENSLOCP00000020036
ENSGACP00000007839	ENSLOCP00000008734
ENSGACP00000024328	ENSLOCP00000014576
ENSGACP00000002797	ENSLOCP00000005356
ENSGACP00000008850	ENSLOCP00000005356
ENSGACP00000003106	ENSLOCP00000005033
ENSGACP00000003687	ENSLOCP00000004761
ENSGACP00000012330	ENSLOCP00000000938
ENSGACP00000013891	ENSLOCP00000006533
ENSGACP00000015752	ENSLOCP00000006533
ENSGACP00000019427	ENSLOCP00000006691
ENSGACP00000024876	ENSLOCP00000001361
ENSGACP00000012938	ENSLOCP00000006948
ENSGACP00000010785	ENSLOCP00000006948
ENSGACP00000005558	ENSLOCP00000007874
ENSGACP00000011056	ENSLOCP00000013471
ENSGACP00000011849	ENSLOCP00000019945
ENSGACP00000015166	ENSLOCP00000019945
ENSGACP00000023914	ENSLOCP00000001954
ENSGACP00000004412	ENSLOCP00000001954
ENSGACP00000013838	ENSLOCP00000001962
ENSGACP00000010614	ENSLOCP00000002578
ENSGACP00000000678	ENSLOCP00000009983
ENSGACP00000004693	ENSLOCP00000019179
ENSGACP00000008325	ENSLOCP00000012953
ENSGACP00000002669	ENSLOCP00000021847
ENSGACP00000007346	ENSLOCP00000007340
ENSGACP00000022578	ENSLOCP00000005920
ENSGACP00000000019	ENSLOCP00000016604
ENSGACP00000003509	ENSLOCP00000016604
ENSGACP00000025019	ENSLOCP00000019609
ENSGACP00000003466	ENSLOCP00000009405
ENSGACP00000016521	ENSLOCP00000019306
ENSGACP00000023637	ENSLOCP00000011895
ENSGACP00000011213	ENSLOCP00000006448
ENSGACP00000024426	ENSLOCP00000011962
ENSGACP00000023031	ENSLOCP00000011240
ENSGACP00000010089	ENSLOCP00000006499
ENSGACP00000012027	ENSLOCP00000009471
ENSGACP00000007945	ENSLOCP00000007628
ENSGACP00000003980	ENSLOCP00000005310
ENSGACP00000020505	ENSLOCP00000002972
ENSGACP00000000125	ENSLOCP00000009910
ENSGACP00000008514	ENSLOCP00000009918
ENSGACP00000024791	ENSLOCP00000017649
