ENSMGAP00000004951	ENSCAFP00000014731
ENSMGAP00000003068	ENSCAFP00000004893
ENSMGAP00000016060	ENSCAFP00000021101
ENSMGAP00000013265	ENSCAFP00000000536
ENSMGAP00000010739	ENSCAFP00000026820
ENSMGAP00000004925	ENSCAFP00000014703
ENSMGAP00000003978	ENSCAFP00000027009
ENSMGAP00000003388	ENSCAFP00000014101
ENSMGAP00000002654	ENSCAFP00000010599
ENSMGAP00000002402	ENSCAFP00000016175
ENSMGAP00000009217	ENSCAFP00000041478
ENSMGAP00000012078	ENSCAFP00000041897
ENSMGAP00000001572	ENSCAFP00000011228
ENSMGAP00000010575	ENSCAFP00000025792
ENSMGAP00000003900	ENSCAFP00000025906
ENSMGAP00000015491	ENSCAFP00000020532
ENSMGAP00000013487	ENSCAFP00000000844
ENSMGAP00000016149	ENSCAFP00000006503
ENSMGAP00000018471	ENSCAFP00000004514
ENSMGAP00000000415	ENSCAFP00000019636
ENSMGAP00000000276	ENSCAFP00000008815
ENSMGAP00000000909	ENSCAFP00000012433
ENSMGAP00000000973	ENSCAFP00000022926
ENSMGAP00000015435	ENSCAFP00000015206
ENSMGAP00000002277	ENSCAFP00000018010
ENSMGAP00000010566	ENSCAFP00000003668
ENSMGAP00000010545	ENSCAFP00000003657
ENSMGAP00000001323	ENSCAFP00000026110
ENSMGAP00000018658	ENSCAFP00000007426
ENSMGAP00000000941	ENSCAFP00000035869
ENSMGAP00000017353	ENSCAFP00000041440
ENSMGAP00000014132	ENSCAFP00000026713
ENSMGAP00000000271	ENSCAFP00000028894
ENSMGAP00000010789	ENSCAFP00000010159
ENSMGAP00000013478	ENSCAFP00000027741
ENSMGAP00000010388	ENSCAFP00000025741
ENSMGAP00000011657	ENSCAFP00000028253
ENSMGAP00000005618	ENSCAFP00000023060
ENSMGAP00000016332	ENSCAFP00000023616
ENSMGAP00000005019	ENSCAFP00000007014
ENSMGAP00000000922	ENSCAFP00000001849
ENSMGAP00000004974	ENSCAFP00000025988
ENSMGAP00000000263	ENSCAFP00000029580
ENSMGAP00000004440	ENSCAFP00000027190
ENSMGAP00000011375	ENSCAFP00000012523
ENSMGAP00000015477	ENSCAFP00000021250
ENSMGAP00000015641	ENSCAFP00000014319
ENSMGAP00000012633	ENSCAFP00000038033
ENSMGAP00000004973	ENSCAFP00000025582
ENSMGAP00000005906	ENSCAFP00000019089
ENSMGAP00000012790	ENSCAFP00000035150
ENSMGAP00000005521	ENSCAFP00000003298
ENSMGAP00000013787	ENSCAFP00000002012
ENSMGAP00000005425	ENSCAFP00000003277
ENSMGAP00000006584	ENSCAFP00000018115
ENSMGAP00000010970	ENSCAFP00000012144
ENSMGAP00000004536	ENSCAFP00000030690
ENSMGAP00000017297	ENSCAFP00000018258
ENSMGAP00000013514	ENSCAFP00000025261
ENSMGAP00000006458	ENSCAFP00000011525
ENSMGAP00000010640	ENSCAFP00000028846
ENSMGAP00000010940	ENSCAFP00000004119
ENSMGAP00000009863	ENSCAFP00000019894
ENSMGAP00000014406	ENSCAFP00000041229
ENSMGAP00000007874	ENSCAFP00000039048
ENSMGAP00000014447	ENSCAFP00000017436
ENSMGAP00000009216	ENSCAFP00000016481
ENSMGAP00000006576	ENSCAFP00000011295
ENSMGAP00000002105	ENSCAFP00000041377
ENSMGAP00000001972	ENSCAFP00000011055
ENSMGAP00000002149	ENSCAFP00000037675
ENSMGAP00000008809	ENSCAFP00000028469
ENSMGAP00000011192	ENSCAFP00000000678
ENSMGAP00000007478	ENSCAFP00000004185
ENSMGAP00000000881	ENSCAFP00000001898
ENSMGAP00000011996	ENSCAFP00000034643
ENSMGAP00000015040	ENSCAFP00000036968
ENSMGAP00000007423	ENSCAFP00000010553
ENSMGAP00000015017	ENSCAFP00000011914
ENSMGAP00000009294	ENSCAFP00000003505
ENSMGAP00000013335	ENSCAFP00000001467
ENSMGAP00000014950	ENSCAFP00000006614
ENSMGAP00000001910	ENSCAFP00000028666
ENSMGAP00000004061	ENSCAFP00000022241
ENSMGAP00000009429	ENSCAFP00000016043
ENSMGAP00000014704	ENSCAFP00000022750
ENSMGAP00000001781	ENSCAFP00000035073
ENSMGAP00000000418	ENSCAFP00000013243
ENSMGAP00000007539	ENSCAFP00000014218
ENSMGAP00000011139	ENSCAFP00000042751
ENSMGAP00000017915	ENSCAFP00000019792
ENSMGAP00000011894	ENSCAFP00000022068
ENSMGAP00000010071	ENSCAFP00000023624
ENSMGAP00000009399	ENSCAFP00000001306
ENSMGAP00000008128	ENSCAFP00000023867
ENSMGAP00000007518	ENSCAFP00000013047
ENSMGAP00000014040	ENSCAFP00000026382
ENSMGAP00000010374	ENSCAFP00000009752
ENSMGAP00000002878	ENSCAFP00000027825
ENSMGAP00000002860	ENSCAFP00000027822
ENSMGAP00000000231	ENSCAFP00000018637
ENSMGAP00000019713	ENSCAFP00000002219
ENSMGAP00000005399	ENSCAFP00000038852
ENSMGAP00000013813	ENSCAFP00000036156
ENSMGAP00000001795	ENSCAFP00000004138
ENSMGAP00000012130	ENSCAFP00000027841
ENSMGAP00000000432	ENSCAFP00000016350
ENSMGAP00000006701	ENSCAFP00000025289
ENSMGAP00000010996	ENSCAFP00000005947
ENSMGAP00000004600	ENSCAFP00000021524
ENSMGAP00000004769	ENSCAFP00000019815
ENSMGAP00000007577	ENSCAFP00000016801
ENSMGAP00000011438	ENSCAFP00000017186
ENSMGAP00000007028	ENSCAFP00000019101
ENSMGAP00000005346	ENSCAFP00000030461
ENSMGAP00000000964	ENSCAFP00000019811
ENSMGAP00000003538	ENSCAFP00000029719
ENSMGAP00000006152	ENSCAFP00000024310
ENSMGAP00000006673	ENSCAFP00000011995
ENSMGAP00000019154	ENSCAFP00000018117
ENSMGAP00000018976	ENSCAFP00000022596
ENSMGAP00000002706	ENSCAFP00000008348
ENSMGAP00000005664	ENSCAFP00000023182
ENSMGAP00000008306	ENSCAFP00000018253
ENSMGAP00000008756	ENSCAFP00000002791
ENSMGAP00000005181	ENSCAFP00000014825
ENSMGAP00000007164	ENSCAFP00000012387
ENSMGAP00000015568	ENSCAFP00000017550
ENSMGAP00000015570	ENSCAFP00000037940
ENSMGAP00000003190	ENSCAFP00000007818
ENSMGAP00000001772	ENSCAFP00000018354
ENSMGAP00000005589	ENSCAFP00000024345
ENSMGAP00000007854	ENSCAFP00000010341
ENSMGAP00000006564	ENSCAFP00000010262
ENSMGAP00000014728	ENSCAFP00000022958
ENSMGAP00000000062	ENSCAFP00000001922
ENSMGAP00000014847	ENSCAFP00000005678
ENSMGAP00000008226	ENSCAFP00000000979
ENSMGAP00000010913	ENSCAFP00000013479
ENSMGAP00000001752	ENSCAFP00000018541
ENSMGAP00000008466	ENSCAFP00000001491
ENSMGAP00000001356	ENSCAFP00000018897
ENSMGAP00000013090	ENSCAFP00000002001
ENSMGAP00000007848	ENSCAFP00000017225
ENSMGAP00000010300	ENSCAFP00000001025
ENSMGAP00000003617	ENSCAFP00000029725
ENSMGAP00000003530	ENSCAFP00000022577
ENSMGAP00000009825	ENSCAFP00000013959
ENSMGAP00000000737	ENSCAFP00000013459
ENSMGAP00000001802	ENSCAFP00000028861
ENSMGAP00000011815	ENSCAFP00000007656
ENSMGAP00000011218	ENSCAFP00000004543
ENSMGAP00000012705	ENSCAFP00000004699
ENSMGAP00000007078	ENSCAFP00000023374
ENSMGAP00000011134	ENSCAFP00000033673
ENSMGAP00000017509	ENSCAFP00000015628
ENSMGAP00000000718	ENSCAFP00000018107
ENSMGAP00000000730	ENSCAFP00000018097
ENSMGAP00000012182	ENSCAFP00000021381
ENSMGAP00000002485	ENSCAFP00000023677
ENSMGAP00000018544	ENSCAFP00000020181
ENSMGAP00000015716	ENSCAFP00000003057
ENSMGAP00000003367	ENSCAFP00000042913
ENSMGAP00000009944	ENSCAFP00000030233
ENSMGAP00000016886	ENSCAFP00000041421
ENSMGAP00000002250	ENSCAFP00000018683
ENSMGAP00000013153	ENSCAFP00000001179
ENSMGAP00000007392	ENSCAFP00000032670
ENSMGAP00000005750	ENSCAFP00000010258
ENSMGAP00000003262	ENSCAFP00000005013
ENSMGAP00000012561	ENSCAFP00000027366
ENSMGAP00000010564	ENSCAFP00000037510
ENSMGAP00000007926	ENSCAFP00000019445
ENSMGAP00000006160	ENSCAFP00000042805
ENSMGAP00000014264	ENSCAFP00000027189
ENSMGAP00000014136	ENSCAFP00000001269
ENSMGAP00000010923	ENSCAFP00000015344
ENSMGAP00000010925	ENSCAFP00000015347
ENSMGAP00000014140	ENSCAFP00000001267
ENSMGAP00000008318	ENSCAFP00000011829
ENSMGAP00000009205	ENSCAFP00000030086
ENSMGAP00000009009	ENSCAFP00000001165
ENSMGAP00000011385	ENSCAFP00000016128
ENSMGAP00000003590	ENSCAFP00000020918
ENSMGAP00000004457	ENSCAFP00000040632
ENSMGAP00000008988	ENSCAFP00000003004
ENSMGAP00000008872	ENSCAFP00000025369
ENSMGAP00000010443	ENSCAFP00000029086
ENSMGAP00000000679	ENSCAFP00000004896
ENSMGAP00000014048	ENSCAFP00000026399
ENSMGAP00000008543	ENSCAFP00000023863
ENSMGAP00000004391	ENSCAFP00000004789
ENSMGAP00000013592	ENSCAFP00000001665
ENSMGAP00000018702	ENSCAFP00000030367
ENSMGAP00000008743	ENSCAFP00000014716
ENSMGAP00000010280	ENSCAFP00000004331
ENSMGAP00000011153	ENSCAFP00000034674
ENSMGAP00000008868	ENSCAFP00000025245
ENSMGAP00000016657	ENSCAFP00000030999
ENSMGAP00000006427	ENSCAFP00000013904
ENSMGAP00000016637	ENSCAFP00000009236
ENSMGAP00000003533	ENSCAFP00000020942
ENSMGAP00000005907	ENSCAFP00000016465
ENSMGAP00000010650	ENSCAFP00000025949
ENSMGAP00000007940	ENSCAFP00000019067
ENSMGAP00000008522	ENSCAFP00000002566
ENSMGAP00000008533	ENSCAFP00000002573
ENSMGAP00000000892	ENSCAFP00000015681
ENSMGAP00000000865	ENSCAFP00000015600
ENSMGAP00000005766	ENSCAFP00000015697
ENSMGAP00000009232	ENSCAFP00000005055
ENSMGAP00000010471	ENSCAFP00000008315
ENSMGAP00000009367	ENSCAFP00000010158
ENSMGAP00000009748	ENSCAFP00000014368
ENSMGAP00000006262	ENSCAFP00000002336
ENSMGAP00000013528	ENSCAFP00000001557
ENSMGAP00000008585	ENSCAFP00000023110
ENSMGAP00000014342	ENSCAFP00000022969
ENSMGAP00000009243	ENSCAFP00000020170
ENSMGAP00000000980	ENSCAFP00000028252
ENSMGAP00000011431	ENSCAFP00000013467
ENSMGAP00000005911	ENSCAFP00000006489
ENSMGAP00000018438	ENSCAFP00000019378
ENSMGAP00000014536	ENSCAFP00000021364
ENSMGAP00000017551	ENSCAFP00000014166
ENSMGAP00000019340	ENSCAFP00000002917
ENSMGAP00000014778	ENSCAFP00000004775
ENSMGAP00000011272	ENSCAFP00000010009
ENSMGAP00000001815	ENSCAFP00000011007
ENSMGAP00000008157	ENSCAFP00000030087
ENSMGAP00000013247	ENSCAFP00000001366
ENSMGAP00000014108	ENSCAFP00000001321
ENSMGAP00000000499	ENSCAFP00000043077
ENSMGAP00000001688	ENSCAFP00000041266
ENSMGAP00000007893	ENSCAFP00000004485
ENSMGAP00000016365	ENSCAFP00000040526
ENSMGAP00000016855	ENSCAFP00000015470
ENSMGAP00000007245	ENSCAFP00000024642
ENSMGAP00000008731	ENSCAFP00000010770
ENSMGAP00000000086	ENSCAFP00000024338
ENSMGAP00000002593	ENSCAFP00000006187
ENSMGAP00000014707	ENSCAFP00000005216
ENSMGAP00000001163	ENSCAFP00000017041
ENSMGAP00000001348	ENSCAFP00000039810
ENSMGAP00000011290	ENSCAFP00000012677
ENSMGAP00000011156	ENSCAFP00000002131
ENSMGAP00000000369	ENSCAFP00000028913
ENSMGAP00000014124	ENSCAFP00000001307
ENSMGAP00000015691	ENSCAFP00000003191
ENSMGAP00000001278	ENSCAFP00000026835
ENSMGAP00000007400	ENSCAFP00000020819
ENSMGAP00000004554	ENSCAFP00000042339
ENSMGAP00000008420	ENSCAFP00000036076
ENSMGAP00000006754	ENSCAFP00000040205
ENSMGAP00000018204	ENSCAFP00000008259
ENSMGAP00000006573	ENSCAFP00000026616
ENSMGAP00000006764	ENSCAFP00000028568
ENSMGAP00000006790	ENSCAFP00000028560
ENSMGAP00000000887	ENSCAFP00000022787
ENSMGAP00000002328	ENSCAFP00000041145
ENSMGAP00000008286	ENSCAFP00000018218
ENSMGAP00000015441	ENSCAFP00000031887
ENSMGAP00000004156	ENSCAFP00000012092
ENSMGAP00000000762	ENSCAFP00000020325
ENSMGAP00000010097	ENSCAFP00000035638
ENSMGAP00000008714	ENSCAFP00000010756
ENSMGAP00000014425	ENSCAFP00000004620
ENSMGAP00000010586	ENSCAFP00000028873
ENSMGAP00000008852	ENSCAFP00000025456
ENSMGAP00000006785	ENSCAFP00000011534
ENSMGAP00000009255	ENSCAFP00000002279
ENSMGAP00000008876	ENSCAFP00000030020
ENSMGAP00000004670	ENSCAFP00000029648
ENSMGAP00000003422	ENSCAFP00000018839
ENSMGAP00000015273	ENSCAFP00000041849
ENSMGAP00000003689	ENSCAFP00000037953
ENSMGAP00000003725	ENSCAFP00000018846
ENSMGAP00000011689	ENSCAFP00000009132
ENSMGAP00000014117	ENSCAFP00000015936
ENSMGAP00000015781	ENSCAFP00000008783
ENSMGAP00000015109	ENSCAFP00000003035
ENSMGAP00000003710	ENSCAFP00000013874
ENSMGAP00000011655	ENSCAFP00000039644
ENSMGAP00000008858	ENSCAFP00000017037
ENSMGAP00000014047	ENSCAFP00000001426
ENSMGAP00000011625	ENSCAFP00000010681
ENSMGAP00000000744	ENSCAFP00000008523
ENSMGAP00000004123	ENSCAFP00000021553
ENSMGAP00000006694	ENSCAFP00000029683
ENSMGAP00000002056	ENSCAFP00000020737
ENSMGAP00000016378	ENSCAFP00000000032
ENSMGAP00000006418	ENSCAFP00000025905
ENSMGAP00000013338	ENSCAFP00000039613
ENSMGAP00000003711	ENSCAFP00000025477
ENSMGAP00000014767	ENSCAFP00000024003
ENSMGAP00000004080	ENSCAFP00000005367
ENSMGAP00000014427	ENSCAFP00000022150
ENSMGAP00000006889	ENSCAFP00000029639
ENSMGAP00000002312	ENSCAFP00000018700
ENSMGAP00000013161	ENSCAFP00000001191
ENSMGAP00000010402	ENSCAFP00000018942
ENSMGAP00000010056	ENSCAFP00000003177
ENSMGAP00000000497	ENSCAFP00000041233
ENSMGAP00000001532	ENSCAFP00000028708
ENSMGAP00000000859	ENSCAFP00000019683
ENSMGAP00000011580	ENSCAFP00000014137
ENSMGAP00000002371	ENSCAFP00000020384
ENSMGAP00000015954	ENSCAFP00000009003
ENSMGAP00000002720	ENSCAFP00000026323
ENSMGAP00000013724	ENSCAFP00000037494
ENSMGAP00000016876	ENSCAFP00000036652
ENSMGAP00000005211	ENSCAFP00000008824
ENSMGAP00000002247	ENSCAFP00000024276
ENSMGAP00000014035	ENSCAFP00000004919
ENSMGAP00000008702	ENSCAFP00000005317
ENSMGAP00000005660	ENSCAFP00000027600
ENSMGAP00000008955	ENSCAFP00000022673
ENSMGAP00000006471	ENSCAFP00000001958
ENSMGAP00000003984	ENSCAFP00000012263
ENSMGAP00000012377	ENSCAFP00000004740
ENSMGAP00000014886	ENSCAFP00000006886
ENSMGAP00000005972	ENSCAFP00000024133
ENSMGAP00000007616	ENSCAFP00000013729
ENSMGAP00000004677	ENSCAFP00000021570
ENSMGAP00000003309	ENSCAFP00000013230
ENSMGAP00000011808	ENSCAFP00000038471
ENSMGAP00000017043	ENSCAFP00000002925
ENSMGAP00000019018	ENSCAFP00000002924
ENSMGAP00000010091	ENSCAFP00000011342
ENSMGAP00000002106	ENSCAFP00000010211
ENSMGAP00000006474	ENSCAFP00000024154
ENSMGAP00000019025	ENSCAFP00000027229
ENSMGAP00000001538	ENSCAFP00000038401
ENSMGAP00000001897	ENSCAFP00000013877
ENSMGAP00000009060	ENSCAFP00000005116
ENSMGAP00000004606	ENSCAFP00000020107
ENSMGAP00000000642	ENSCAFP00000019645
ENSMGAP00000000728	ENSCAFP00000025091
ENSMGAP00000008536	ENSCAFP00000004554
ENSMGAP00000016272	ENSCAFP00000042713
ENSMGAP00000009488	ENSCAFP00000009964
ENSMGAP00000005069	ENSCAFP00000018157
ENSMGAP00000009336	ENSCAFP00000004942
ENSMGAP00000008115	ENSCAFP00000020374
ENSMGAP00000005020	ENSCAFP00000015121
ENSMGAP00000016743	ENSCAFP00000027678
ENSMGAP00000010642	ENSCAFP00000021753
ENSMGAP00000003290	ENSCAFP00000028620
ENSMGAP00000014760	ENSCAFP00000020375
ENSMGAP00000013176	ENSCAFP00000038936
ENSMGAP00000014789	ENSCAFP00000004845
ENSMGAP00000018162	ENSCAFP00000036441
ENSMGAP00000008195	ENSCAFP00000029873
ENSMGAP00000013287	ENSCAFP00000000550
ENSMGAP00000016002	ENSCAFP00000009897
ENSMGAP00000004013	ENSCAFP00000031869
ENSMGAP00000006825	ENSCAFP00000032071
ENSMGAP00000010088	ENSCAFP00000001786
ENSMGAP00000013864	ENSCAFP00000038509
ENSMGAP00000003424	ENSCAFP00000037679
ENSMGAP00000014323	ENSCAFP00000005292
ENSMGAP00000008303	ENSCAFP00000013398
ENSMGAP00000013753	ENSCAFP00000035883
ENSMGAP00000003442	ENSCAFP00000011536
ENSMGAP00000017075	ENSCAFP00000020404
ENSMGAP00000019054	ENSCAFP00000006427
ENSMGAP00000011324	ENSCAFP00000015605
ENSMGAP00000019123	ENSCAFP00000005101
ENSMGAP00000015982	ENSCAFP00000009488
ENSMGAP00000012956	ENSCAFP00000023599
ENSMGAP00000013146	ENSCAFP00000007651
ENSMGAP00000012051	ENSCAFP00000011875
ENSMGAP00000005889	ENSCAFP00000024108
ENSMGAP00000010883	ENSCAFP00000015277
ENSMGAP00000008681	ENSCAFP00000027492
ENSMGAP00000005466	ENSCAFP00000014581
ENSMGAP00000013654	ENSCAFP00000035619
ENSMGAP00000003801	ENSCAFP00000024019
ENSMGAP00000008615	ENSCAFP00000031589
ENSMGAP00000009543	ENSCAFP00000017479
ENSMGAP00000002974	ENSCAFP00000036252
ENSMGAP00000012582	ENSCAFP00000002884
ENSMGAP00000009859	ENSCAFP00000007560
ENSMGAP00000018681	ENSCAFP00000001057
ENSMGAP00000013979	ENSCAFP00000005803
ENSMGAP00000004205	ENSCAFP00000029704
ENSMGAP00000012517	ENSCAFP00000027380
ENSMGAP00000001548	ENSCAFP00000040628
ENSMGAP00000010456	ENSCAFP00000018734
ENSMGAP00000015665	ENSCAFP00000003369
ENSMGAP00000007322	ENSCAFP00000000511
ENSMGAP00000011636	ENSCAFP00000008964
ENSMGAP00000012013	ENSCAFP00000027972
ENSMGAP00000012026	ENSCAFP00000027955
ENSMGAP00000005302	ENSCAFP00000027458
ENSMGAP00000016750	ENSCAFP00000013818
ENSMGAP00000004470	ENSCAFP00000021258
ENSMGAP00000017241	ENSCAFP00000011826
ENSMGAP00000011560	ENSCAFP00000010606
ENSMGAP00000002069	ENSCAFP00000013783
ENSMGAP00000004515	ENSCAFP00000014278
ENSMGAP00000001088	ENSCAFP00000026031
ENSMGAP00000017435	ENSCAFP00000017880
ENSMGAP00000018236	ENSCAFP00000001183
ENSMGAP00000010087	ENSCAFP00000001198
ENSMGAP00000003283	ENSCAFP00000011396
ENSMGAP00000015103	ENSCAFP00000002982
ENSMGAP00000011665	ENSCAFP00000010757
ENSMGAP00000011513	ENSCAFP00000010535
ENSMGAP00000016934	ENSCAFP00000008003
ENSMGAP00000018477	ENSCAFP00000013721
ENSMGAP00000012426	ENSCAFP00000013170
ENSMGAP00000015431	ENSCAFP00000014998
ENSMGAP00000004052	ENSCAFP00000020477
ENSMGAP00000007852	ENSCAFP00000004081
ENSMGAP00000012793	ENSCAFP00000030253
ENSMGAP00000010423	ENSCAFP00000036535
