ENSTNIP00000006282	ENSDARP00000122973
ENSTNIP00000004863	ENSDARP00000074624
ENSTNIP00000000782	ENSDARP00000095914
ENSTNIP00000014782	ENSDARP00000118051
ENSTNIP00000010478	ENSDARP00000105714
ENSTNIP00000015128	ENSDARP00000093807
ENSTNIP00000018487	ENSDARP00000023678
ENSTNIP00000013577	ENSDARP00000117083
ENSTNIP00000006735	ENSDARP00000001240
ENSTNIP00000012005	ENSDARP00000104892
ENSTNIP00000019716	ENSDARP00000101815
ENSTNIP00000005193	ENSDARP00000116623
ENSTNIP00000007841	ENSDARP00000110210
ENSTNIP00000010138	ENSDARP00000124745
ENSTNIP00000017783	ENSDARP00000123874
ENSTNIP00000019148	ENSDARP00000123904
ENSTNIP00000021849	ENSDARP00000106622
ENSTNIP00000011698	ENSDARP00000039056
ENSTNIP00000011130	ENSDARP00000060036
ENSTNIP00000007394	ENSDARP00000065589
ENSTNIP00000019905	ENSDARP00000102425
ENSTNIP00000005402	ENSDARP00000042321
ENSTNIP00000004390	ENSDARP00000101214
ENSTNIP00000016699	ENSDARP00000085160
ENSTNIP00000013161	ENSDARP00000111829
ENSTNIP00000005384	ENSDARP00000105632
ENSTNIP00000020437	ENSDARP00000127882
ENSTNIP00000011565	ENSDARP00000099341
ENSTNIP00000008871	ENSDARP00000083503
ENSTNIP00000006170	ENSDARP00000016279
ENSTNIP00000014150	ENSDARP00000087241
ENSTNIP00000014695	ENSDARP00000081045
ENSTNIP00000017396	ENSDARP00000102351
ENSTNIP00000010280	ENSDARP00000120245
ENSTNIP00000010281	ENSDARP00000086278
ENSTNIP00000023041	ENSDARP00000126778
ENSTNIP00000013982	ENSDARP00000113983
ENSTNIP00000010621	ENSDARP00000063179
ENSTNIP00000013547	ENSDARP00000087742
ENSTNIP00000013594	ENSDARP00000122295
ENSTNIP00000010886	ENSDARP00000006351
ENSTNIP00000020690	ENSDARP00000039628
ENSTNIP00000004304	ENSDARP00000096255
ENSTNIP00000013350	ENSDARP00000110780
ENSTNIP00000017048	ENSDARP00000002825
ENSTNIP00000015136	ENSDARP00000023805
ENSTNIP00000006662	ENSDARP00000085704
