ENSLOCP00000009128	ENSMUSP00000034074
ENSLOCP00000003817	ENSMUSP00000037172
ENSLOCP00000021014	ENSMUSP00000040217
ENSLOCP00000007725	ENSMUSP00000025288
ENSLOCP00000009060	ENSMUSP00000105282
ENSLOCP00000011472	ENSMUSP00000018989
ENSLOCP00000009147	ENSMUSP00000018466
ENSLOCP00000020429	ENSMUSP00000014505
ENSLOCP00000019200	ENSMUSP00000111103
ENSLOCP00000007780	ENSMUSP00000029128
ENSLOCP00000018831	ENSMUSP00000033610
ENSLOCP00000009530	ENSMUSP00000015484
ENSLOCP00000020825	ENSMUSP00000024565
ENSLOCP00000013773	ENSMUSP00000054412
ENSLOCP00000010078	ENSMUSP00000045511
ENSLOCP00000007610	ENSMUSP00000075235
ENSLOCP00000002487	ENSMUSP00000024829
ENSLOCP00000020267	ENSMUSP00000035246
ENSLOCP00000020273	ENSMUSP00000069495
ENSLOCP00000019319	ENSMUSP00000110574
ENSLOCP00000007649	ENSMUSP00000073268
ENSLOCP00000019175	ENSMUSP00000082710
ENSLOCP00000012015	ENSMUSP00000021706
ENSLOCP00000007747	ENSMUSP00000130759
ENSLOCP00000001624	ENSMUSP00000028311
ENSLOCP00000001262	ENSMUSP00000004949
ENSLOCP00000007089	ENSMUSP00000017530
ENSLOCP00000017180	ENSMUSP00000096248
ENSLOCP00000005887	ENSMUSP00000124863
ENSLOCP00000005999	ENSMUSP00000097747
ENSLOCP00000020663	ENSMUSP00000027961
ENSLOCP00000014860	ENSMUSP00000025217
ENSLOCP00000010959	ENSMUSP00000027494
ENSLOCP00000017952	ENSMUSP00000070606
ENSLOCP00000008038	ENSMUSP00000090790
ENSLOCP00000010721	ENSMUSP00000104363
ENSLOCP00000002259	ENSMUSP00000088642
ENSLOCP00000021479	ENSMUSP00000059272
ENSLOCP00000002287	ENSMUSP00000051353
ENSLOCP00000002248	ENSMUSP00000082115
ENSLOCP00000021874	ENSMUSP00000042715
ENSLOCP00000009980	ENSMUSP00000114020
ENSLOCP00000014738	ENSMUSP00000084462
ENSLOCP00000012061	ENSMUSP00000020679
ENSLOCP00000003317	ENSMUSP00000099608
ENSLOCP00000011989	ENSMUSP00000038922
ENSLOCP00000017354	ENSMUSP00000089212
ENSLOCP00000012353	ENSMUSP00000019516
ENSLOCP00000004132	ENSMUSP00000033081
ENSLOCP00000005255	ENSMUSP00000138819
ENSLOCP00000007900	ENSMUSP00000015858
ENSLOCP00000015688	ENSMUSP00000069238
ENSLOCP00000010023	ENSMUSP00000028426
ENSLOCP00000004830	ENSMUSP00000120598
ENSLOCP00000020756	ENSMUSP00000064556
ENSLOCP00000013047	ENSMUSP00000021682
ENSLOCP00000016356	ENSMUSP00000059666
ENSLOCP00000009007	ENSMUSP00000108629
ENSLOCP00000012360	ENSMUSP00000020624
ENSLOCP00000014277	ENSMUSP00000031841
ENSLOCP00000007849	ENSMUSP00000122476
ENSLOCP00000008437	ENSMUSP00000099733
ENSLOCP00000014423	ENSMUSP00000005103
ENSLOCP00000020956	ENSMUSP00000103815
ENSLOCP00000015752	ENSMUSP00000003509
ENSLOCP00000013775	ENSMUSP00000074764
ENSLOCP00000004341	ENSMUSP00000025477
ENSLOCP00000017705	ENSMUSP00000026896
ENSLOCP00000011055	ENSMUSP00000043477
ENSLOCP00000010892	ENSMUSP00000100012
ENSLOCP00000001142	ENSMUSP00000099434
ENSLOCP00000007583	ENSMUSP00000015003
ENSLOCP00000006346	ENSMUSP00000050496
ENSLOCP00000000889	ENSMUSP00000048260
ENSLOCP00000020036	ENSMUSP00000020339
ENSLOCP00000008734	ENSMUSP00000036487
ENSLOCP00000014576	ENSMUSP00000049007
ENSLOCP00000004761	ENSMUSP00000085900
ENSLOCP00000006533	ENSMUSP00000049346
ENSLOCP00000019487	ENSMUSP00000113708
ENSLOCP00000001361	ENSMUSP00000080579
ENSLOCP00000007874	ENSMUSP00000105240
ENSLOCP00000013471	ENSMUSP00000125718
ENSLOCP00000001954	ENSMUSP00000028349
ENSLOCP00000002578	ENSMUSP00000002989
ENSLOCP00000017726	ENSMUSP00000044578
ENSLOCP00000009983	ENSMUSP00000102710
ENSLOCP00000012953	ENSMUSP00000097166
ENSLOCP00000021847	ENSMUSP00000102177
ENSLOCP00000005920	ENSMUSP00000032715
ENSLOCP00000019306	ENSMUSP00000036674
ENSLOCP00000006448	ENSMUSP00000042867
ENSLOCP00000011240	ENSMUSP00000104411
ENSLOCP00000006499	ENSMUSP00000006718
ENSLOCP00000009918	ENSMUSP00000001384
ENSLOCP00000001682	ENSMUSP00000003808
ENSLOCP00000017649	ENSMUSP00000024049
ENSLOCP00000013021	ENSMUSP00000018382
ENSLOCP00000006143	ENSMUSP00000039653
ENSLOCP00000004694	ENSMUSP00000128621
ENSLOCP00000008680	ENSMUSP00000031278
ENSLOCP00000018185	ENSMUSP00000105486
ENSLOCP00000020346	ENSMUSP00000094528
ENSLOCP00000005737	ENSMUSP00000022707
ENSLOCP00000018546	ENSMUSP00000064131
ENSLOCP00000016171	ENSMUSP00000124459
ENSLOCP00000006853	ENSMUSP00000047199
ENSLOCP00000010912	ENSMUSP00000038015
ENSLOCP00000008505	ENSMUSP00000119993
ENSLOCP00000019163	ENSMUSP00000048978
ENSLOCP00000009632	ENSMUSP00000067752
ENSLOCP00000010916	ENSMUSP00000030306
ENSLOCP00000003607	ENSMUSP00000034427
ENSLOCP00000015072	ENSMUSP00000064775
ENSLOCP00000011033	ENSMUSP00000101046
ENSLOCP00000003380	ENSMUSP00000115260
ENSLOCP00000002426	ENSMUSP00000075089
ENSLOCP00000012613	ENSMUSP00000126897
ENSLOCP00000016794	ENSMUSP00000074533
ENSLOCP00000007049	ENSMUSP00000106905
ENSLOCP00000010539	ENSMUSP00000089513
ENSLOCP00000006545	ENSMUSP00000109098
ENSLOCP00000000660	ENSMUSP00000044245
ENSLOCP00000012614	ENSMUSP00000037532
ENSLOCP00000003234	ENSMUSP00000041622
ENSLOCP00000010397	ENSMUSP00000047923
ENSLOCP00000017388	ENSMUSP00000004968
ENSLOCP00000009421	ENSMUSP00000125373
ENSLOCP00000010161	ENSMUSP00000007216
ENSLOCP00000016126	ENSMUSP00000019662
ENSLOCP00000005393	ENSMUSP00000117346
ENSLOCP00000004568	ENSMUSP00000003117
ENSLOCP00000012552	ENSMUSP00000109886
ENSLOCP00000012928	ENSMUSP00000030763
ENSLOCP00000014564	ENSMUSP00000027697
ENSLOCP00000011332	ENSMUSP00000030814
ENSLOCP00000009470	ENSMUSP00000033755
ENSLOCP00000012355	ENSMUSP00000033756
ENSLOCP00000019262	ENSMUSP00000046476
ENSLOCP00000011077	ENSMUSP00000027538
ENSLOCP00000017982	ENSMUSP00000033549
ENSLOCP00000011435	ENSMUSP00000026795
ENSLOCP00000003826	ENSMUSP00000033341
ENSLOCP00000011874	ENSMUSP00000049070
ENSLOCP00000021247	ENSMUSP00000082895
ENSLOCP00000018907	ENSMUSP00000080832
ENSLOCP00000018175	ENSMUSP00000033501
ENSLOCP00000012449	ENSMUSP00000133245
ENSLOCP00000014471	ENSMUSP00000021046
ENSLOCP00000014491	ENSMUSP00000055535
ENSLOCP00000016691	ENSMUSP00000021062
ENSLOCP00000010175	ENSMUSP00000029541
ENSLOCP00000010143	ENSMUSP00000025500
ENSLOCP00000003063	ENSMUSP00000078971
ENSLOCP00000003082	ENSMUSP00000034267
ENSLOCP00000010983	ENSMUSP00000079864
ENSLOCP00000018480	ENSMUSP00000138944
ENSLOCP00000001148	ENSMUSP00000036830
ENSLOCP00000007580	ENSMUSP00000002809
ENSLOCP00000003101	ENSMUSP00000031795
ENSLOCP00000015600	ENSMUSP00000001595
ENSLOCP00000014762	ENSMUSP00000072472
ENSLOCP00000014741	ENSMUSP00000077919
ENSLOCP00000016111	ENSMUSP00000020702
ENSLOCP00000004793	ENSMUSP00000023807
ENSLOCP00000016120	ENSMUSP00000020704
ENSLOCP00000011258	ENSMUSP00000046610
ENSLOCP00000008502	ENSMUSP00000023601
ENSLOCP00000010754	ENSMUSP00000084091
ENSLOCP00000005040	ENSMUSP00000092654
ENSLOCP00000004226	ENSMUSP00000036227
ENSLOCP00000005477	ENSMUSP00000099922
ENSLOCP00000020195	ENSMUSP00000042410
ENSLOCP00000019518	ENSMUSP00000031037
ENSLOCP00000005716	ENSMUSP00000101500
ENSLOCP00000003844	ENSMUSP00000035257
ENSLOCP00000016149	ENSMUSP00000005952
ENSLOCP00000003765	ENSMUSP00000101768
ENSLOCP00000008575	ENSMUSP00000010605
ENSLOCP00000015553	ENSMUSP00000126137
ENSLOCP00000002907	ENSMUSP00000138230
ENSLOCP00000015909	ENSMUSP00000026093
ENSLOCP00000019661	ENSMUSP00000074864
ENSLOCP00000012721	ENSMUSP00000002880
ENSLOCP00000014558	ENSMUSP00000047278
ENSLOCP00000014569	ENSMUSP00000107444
ENSLOCP00000021146	ENSMUSP00000064462
ENSLOCP00000004485	ENSMUSP00000026427
ENSLOCP00000015256	ENSMUSP00000098548
ENSLOCP00000001796	ENSMUSP00000105212
ENSLOCP00000006578	ENSMUSP00000041897
ENSLOCP00000010716	ENSMUSP00000043085
ENSLOCP00000012649	ENSMUSP00000104533
ENSLOCP00000015071	ENSMUSP00000046585
ENSLOCP00000018253	ENSMUSP00000034822
ENSLOCP00000007361	ENSMUSP00000107347
ENSLOCP00000013226	ENSMUSP00000031674
ENSLOCP00000013456	ENSMUSP00000053238
ENSLOCP00000008342	ENSMUSP00000093141
ENSLOCP00000002711	ENSMUSP00000030041
ENSLOCP00000014306	ENSMUSP00000021689
ENSLOCP00000019744	ENSMUSP00000090987
ENSLOCP00000002488	ENSMUSP00000121309
ENSLOCP00000021031	ENSMUSP00000027226
ENSLOCP00000020394	ENSMUSP00000095025
ENSLOCP00000001781	ENSMUSP00000081455
ENSLOCP00000014227	ENSMUSP00000006424
ENSLOCP00000001299	ENSMUSP00000003438
ENSLOCP00000004757	ENSMUSP00000030477
ENSLOCP00000014258	ENSMUSP00000061390
ENSLOCP00000013970	ENSMUSP00000020692
ENSLOCP00000006667	ENSMUSP00000124473
ENSLOCP00000011010	ENSMUSP00000037576
ENSLOCP00000005447	ENSMUSP00000050730
ENSLOCP00000017282	ENSMUSP00000124131
ENSLOCP00000008429	ENSMUSP00000023486
ENSLOCP00000016725	ENSMUSP00000031729
ENSLOCP00000019526	ENSMUSP00000031691
ENSLOCP00000019528	ENSMUSP00000031690
ENSLOCP00000017521	ENSMUSP00000010191
ENSLOCP00000017582	ENSMUSP00000042667
ENSLOCP00000016494	ENSMUSP00000032376
ENSLOCP00000001689	ENSMUSP00000104878
ENSLOCP00000015630	ENSMUSP00000063380
ENSLOCP00000001541	ENSMUSP00000030376
ENSLOCP00000007379	ENSMUSP00000053270
ENSLOCP00000018274	ENSMUSP00000045973
ENSLOCP00000012349	ENSMUSP00000036150
ENSLOCP00000012336	ENSMUSP00000059026
ENSLOCP00000020213	ENSMUSP00000125871
ENSLOCP00000020214	ENSMUSP00000135677
ENSLOCP00000006247	ENSMUSP00000022217
ENSLOCP00000012176	ENSMUSP00000021714
ENSLOCP00000004731	ENSMUSP00000036721
ENSLOCP00000009358	ENSMUSP00000102813
ENSLOCP00000020426	ENSMUSP00000132008
ENSLOCP00000006899	ENSMUSP00000106963
ENSLOCP00000019725	ENSMUSP00000085872
ENSLOCP00000014625	ENSMUSP00000021467
ENSLOCP00000011702	ENSMUSP00000041173
ENSLOCP00000017471	ENSMUSP00000032815
ENSLOCP00000020251	ENSMUSP00000024742
ENSLOCP00000020287	ENSMUSP00000021004
ENSLOCP00000007217	ENSMUSP00000111151
ENSLOCP00000000876	ENSMUSP00000105350
ENSLOCP00000003376	ENSMUSP00000037324
ENSLOCP00000011255	ENSMUSP00000041294
ENSLOCP00000021189	ENSMUSP00000020008
ENSLOCP00000002235	ENSMUSP00000109904
ENSLOCP00000003471	ENSMUSP00000099947
ENSLOCP00000022429	ENSMUSP00000126340
ENSLOCP00000021935	ENSMUSP00000122855
ENSLOCP00000022309	ENSMUSP00000137256
ENSLOCP00000017842	ENSMUSP00000006703
ENSLOCP00000002207	ENSMUSP00000090277
ENSLOCP00000011741	ENSMUSP00000041790
ENSLOCP00000000046	ENSMUSP00000058730
ENSLOCP00000016875	ENSMUSP00000137517
ENSLOCP00000014518	ENSMUSP00000028071
ENSLOCP00000017175	ENSMUSP00000104311
ENSLOCP00000010114	ENSMUSP00000031750
ENSLOCP00000011158	ENSMUSP00000066894
ENSLOCP00000006055	ENSMUSP00000030898
ENSLOCP00000021070	ENSMUSP00000073246
ENSLOCP00000001317	ENSMUSP00000092735
ENSLOCP00000007029	ENSMUSP00000062239
