ENSGACP00000024945	ENSDARP00000122973
ENSGACP00000003450	ENSDARP00000074624
ENSGACP00000018304	ENSDARP00000061719
ENSGACP00000003045	ENSDARP00000095914
ENSGACP00000026872	ENSDARP00000118051
ENSGACP00000027282	ENSDARP00000006624
ENSGACP00000027655	ENSDARP00000105714
ENSGACP00000015229	ENSDARP00000093807
ENSGACP00000013204	ENSDARP00000023678
ENSGACP00000018412	ENSDARP00000117083
ENSGACP00000004939	ENSDARP00000001240
ENSGACP00000004796	ENSDARP00000104892
ENSGACP00000007033	ENSDARP00000101815
ENSGACP00000005128	ENSDARP00000116623
ENSGACP00000001015	ENSDARP00000110210
ENSGACP00000015909	ENSDARP00000124745
ENSGACP00000013972	ENSDARP00000123874
ENSGACP00000012136	ENSDARP00000123904
ENSGACP00000004873	ENSDARP00000106622
ENSGACP00000002806	ENSDARP00000039056
ENSGACP00000013826	ENSDARP00000060036
ENSGACP00000025635	ENSDARP00000068351
ENSGACP00000026047	ENSDARP00000065589
ENSGACP00000023281	ENSDARP00000102425
ENSGACP00000004170	ENSDARP00000003432
ENSGACP00000000014	ENSDARP00000042321
ENSGACP00000010389	ENSDARP00000101214
ENSGACP00000008196	ENSDARP00000085160
ENSGACP00000020510	ENSDARP00000111829
ENSGACP00000015431	ENSDARP00000105632
ENSGACP00000012075	ENSDARP00000127882
ENSGACP00000025947	ENSDARP00000035017
ENSGACP00000000488	ENSDARP00000099341
ENSGACP00000021405	ENSDARP00000083503
ENSGACP00000013531	ENSDARP00000016279
ENSGACP00000026980	ENSDARP00000081045
ENSGACP00000007004	ENSDARP00000102351
ENSGACP00000014122	ENSDARP00000120245
ENSGACP00000014108	ENSDARP00000086278
ENSGACP00000021962	ENSDARP00000126778
ENSGACP00000022891	ENSDARP00000113983
ENSGACP00000024574	ENSDARP00000063179
ENSGACP00000017005	ENSDARP00000087742
ENSGACP00000011557	ENSDARP00000122295
ENSGACP00000015493	ENSDARP00000006351
ENSGACP00000004288	ENSDARP00000039628
ENSGACP00000018787	ENSDARP00000111278
ENSGACP00000013822	ENSDARP00000110780
ENSGACP00000024909	ENSDARP00000002825
ENSGACP00000012693	ENSDARP00000023805
ENSGACP00000002402	ENSDARP00000071397
ENSGACP00000013540	ENSDARP00000043235
ENSGACP00000012095	ENSDARP00000112135
ENSGACP00000013490	ENSDARP00000020894
ENSGACP00000020058	ENSDARP00000117890
ENSGACP00000025883	ENSDARP00000040549
ENSGACP00000005703	ENSDARP00000105765
ENSGACP00000020860	ENSDARP00000016657
ENSGACP00000006974	ENSDARP00000043465
