ENSORLP00000017023	ENSMODP00000016222
ENSORLP00000018100	ENSMODP00000022186
ENSORLP00000011872	ENSMODP00000022186
ENSORLP00000011982	ENSMODP00000006413
ENSORLP00000019139	ENSMODP00000021006
ENSORLP00000006953	ENSMODP00000020505
ENSORLP00000021204	ENSMODP00000012374
ENSORLP00000017158	ENSMODP00000016247
ENSORLP00000016021	ENSMODP00000009976
ENSORLP00000014861	ENSMODP00000024314
ENSORLP00000011600	ENSMODP00000023878
ENSORLP00000020191	ENSMODP00000002624
ENSORLP00000018033	ENSMODP00000020244
ENSORLP00000014071	ENSMODP00000028608
ENSORLP00000024532	ENSMODP00000019742
ENSORLP00000001259	ENSMODP00000023074
ENSORLP00000018991	ENSMODP00000002660
ENSORLP00000000678	ENSMODP00000002660
ENSORLP00000015857	ENSMODP00000005540
ENSORLP00000003595	ENSMODP00000003267
ENSORLP00000017662	ENSMODP00000011631
ENSORLP00000002049	ENSMODP00000026393
ENSORLP00000003123	ENSMODP00000020165
ENSORLP00000003018	ENSMODP00000001568
ENSORLP00000016722	ENSMODP00000020576
ENSORLP00000025748	ENSMODP00000026284
ENSORLP00000005821	ENSMODP00000028394
ENSORLP00000005856	ENSMODP00000000677
ENSORLP00000013089	ENSMODP00000023578
ENSORLP00000003278	ENSMODP00000023578
ENSORLP00000007952	ENSMODP00000020567
ENSORLP00000025578	ENSMODP00000000005
ENSORLP00000001368	ENSMODP00000003305
ENSORLP00000024257	ENSMODP00000016701
ENSORLP00000003220	ENSMODP00000021625
ENSORLP00000020860	ENSMODP00000021625
ENSORLP00000001290	ENSMODP00000024756
ENSORLP00000005579	ENSMODP00000024090
ENSORLP00000008446	ENSMODP00000034686
ENSORLP00000002593	ENSMODP00000034686
ENSORLP00000008437	ENSMODP00000001331
ENSORLP00000011200	ENSMODP00000001331
ENSORLP00000008651	ENSMODP00000024667
ENSORLP00000015785	ENSMODP00000021116
ENSORLP00000011714	ENSMODP00000017560
ENSORLP00000007515	ENSMODP00000035512
ENSORLP00000000443	ENSMODP00000035509
ENSORLP00000000994	ENSMODP00000014612
ENSORLP00000023088	ENSMODP00000010442
ENSORLP00000018127	ENSMODP00000016379
ENSORLP00000003515	ENSMODP00000008107
ENSORLP00000008956	ENSMODP00000026124
ENSORLP00000015272	ENSMODP00000011474
ENSORLP00000008997	ENSMODP00000026122
ENSORLP00000003243	ENSMODP00000023478
ENSORLP00000013178	ENSMODP00000023478
ENSORLP00000021323	ENSMODP00000041284
ENSORLP00000021828	ENSMODP00000004541
ENSORLP00000020822	ENSMODP00000006867
ENSORLP00000021812	ENSMODP00000000179
ENSORLP00000023561	ENSMODP00000014712
ENSORLP00000006376	ENSMODP00000004891
ENSORLP00000019321	ENSMODP00000006523
ENSORLP00000005874	ENSMODP00000000959
ENSORLP00000021980	ENSMODP00000012028
ENSORLP00000022436	ENSMODP00000029754
ENSORLP00000003775	ENSMODP00000012160
ENSORLP00000006361	ENSMODP00000004041
ENSORLP00000018342	ENSMODP00000022102
ENSORLP00000018930	ENSMODP00000025585
ENSORLP00000010509	ENSMODP00000016495
ENSORLP00000017999	ENSMODP00000015986
ENSORLP00000001148	ENSMODP00000003492
ENSORLP00000022426	ENSMODP00000007364
ENSORLP00000019667	ENSMODP00000007623
ENSORLP00000010168	ENSMODP00000030239
ENSORLP00000010566	ENSMODP00000013412
ENSORLP00000024016	ENSMODP00000012859
ENSORLP00000008012	ENSMODP00000040508
ENSORLP00000002272	ENSMODP00000016741
ENSORLP00000000244	ENSMODP00000037068
ENSORLP00000004298	ENSMODP00000015720
ENSORLP00000010698	ENSMODP00000000761
ENSORLP00000011805	ENSMODP00000000761
ENSORLP00000010106	ENSMODP00000036453
ENSORLP00000020930	ENSMODP00000024298
ENSORLP00000018662	ENSMODP00000024298
ENSORLP00000004264	ENSMODP00000013611
ENSORLP00000022821	ENSMODP00000034167
ENSORLP00000021772	ENSMODP00000021361
ENSORLP00000013008	ENSMODP00000025206
ENSORLP00000010763	ENSMODP00000014344
ENSORLP00000013654	ENSMODP00000023381
ENSORLP00000025491	ENSMODP00000023381
ENSORLP00000007167	ENSMODP00000029105
ENSORLP00000001018	ENSMODP00000011376
ENSORLP00000018097	ENSMODP00000020886
