ENSTGUP00000008915	ENSACAP00000005936
ENSTGUP00000011592	ENSACAP00000000964
ENSTGUP00000002935	ENSACAP00000013370
ENSTGUP00000010998	ENSACAP00000006833
ENSTGUP00000010909	ENSACAP00000001737
ENSTGUP00000008898	ENSACAP00000013552
ENSTGUP00000010401	ENSACAP00000019299
ENSTGUP00000014038	ENSACAP00000011250
ENSTGUP00000005254	ENSACAP00000011817
ENSTGUP00000007673	ENSACAP00000005957
ENSTGUP00000011252	ENSACAP00000014027
ENSTGUP00000005191	ENSACAP00000008269
ENSTGUP00000005389	ENSACAP00000008564
ENSTGUP00000006862	ENSACAP00000009531
ENSTGUP00000008706	ENSACAP00000007380
ENSTGUP00000010982	ENSACAP00000003299
ENSTGUP00000007828	ENSACAP00000014328
ENSTGUP00000003676	ENSACAP00000009158
ENSTGUP00000004968	ENSACAP00000006548
ENSTGUP00000011474	ENSACAP00000005110
ENSTGUP00000013282	ENSACAP00000014675
ENSTGUP00000012847	ENSACAP00000014993
ENSTGUP00000000909	ENSACAP00000017344
ENSTGUP00000001623	ENSACAP00000012678
ENSTGUP00000005458	ENSACAP00000015321
ENSTGUP00000008967	ENSACAP00000011594
ENSTGUP00000005263	ENSACAP00000015067
ENSTGUP00000000371	ENSACAP00000002376
ENSTGUP00000003862	ENSACAP00000015078
ENSTGUP00000003819	ENSACAP00000014992
ENSTGUP00000002279	ENSACAP00000012647
ENSTGUP00000000526	ENSACAP00000016695
ENSTGUP00000004420	ENSACAP00000005988
ENSTGUP00000001695	ENSACAP00000019568
ENSTGUP00000002205	ENSACAP00000007603
ENSTGUP00000010714	ENSACAP00000002119
ENSTGUP00000002960	ENSACAP00000010068
ENSTGUP00000016783	ENSACAP00000005444
ENSTGUP00000008885	ENSACAP00000005623
ENSTGUP00000003276	ENSACAP00000016112
ENSTGUP00000013203	ENSACAP00000000193
ENSTGUP00000006737	ENSACAP00000010321
ENSTGUP00000002510	ENSACAP00000006987
ENSTGUP00000010462	ENSACAP00000005007
ENSTGUP00000009884	ENSACAP00000010047
ENSTGUP00000000010	ENSACAP00000012012
ENSTGUP00000001025	ENSACAP00000018690
ENSTGUP00000006567	ENSACAP00000004219
ENSTGUP00000003388	ENSACAP00000001811
ENSTGUP00000013314	ENSACAP00000015494
ENSTGUP00000000503	ENSACAP00000004798
ENSTGUP00000007517	ENSACAP00000004078
ENSTGUP00000002402	ENSACAP00000001088
ENSTGUP00000007645	ENSACAP00000005873
ENSTGUP00000006436	ENSACAP00000001835
ENSTGUP00000005879	ENSACAP00000008406
ENSTGUP00000006914	ENSACAP00000012838
ENSTGUP00000007511	ENSACAP00000009680
ENSTGUP00000011707	ENSACAP00000007792
ENSTGUP00000017731	ENSACAP00000018412
ENSTGUP00000011705	ENSACAP00000019211
ENSTGUP00000018265	ENSACAP00000007789
ENSTGUP00000006604	ENSACAP00000017650
ENSTGUP00000010836	ENSACAP00000012446
ENSTGUP00000010829	ENSACAP00000012467
ENSTGUP00000012380	ENSACAP00000015858
ENSTGUP00000012993	ENSACAP00000000029
ENSTGUP00000002856	ENSACAP00000013670
ENSTGUP00000003773	ENSACAP00000001119
ENSTGUP00000015109	ENSACAP00000000552
ENSTGUP00000006171	ENSACAP00000007492
ENSTGUP00000003831	ENSACAP00000000777
ENSTGUP00000012053	ENSACAP00000012669
ENSTGUP00000004874	ENSACAP00000011796
ENSTGUP00000009101	ENSACAP00000009619
ENSTGUP00000007812	ENSACAP00000001319
ENSTGUP00000003687	ENSACAP00000016817
ENSTGUP00000003097	ENSACAP00000006086
ENSTGUP00000012631	ENSACAP00000016842
ENSTGUP00000007507	ENSACAP00000002959
ENSTGUP00000001158	ENSACAP00000016298
ENSTGUP00000000912	ENSACAP00000000477
ENSTGUP00000002880	ENSACAP00000013286
ENSTGUP00000009297	ENSACAP00000011970
ENSTGUP00000013988	ENSACAP00000001909
ENSTGUP00000012744	ENSACAP00000014097
