ENSDARP00000122973	ENSACAP00000008923
ENSDARP00000074624	ENSACAP00000005936
ENSDARP00000061719	ENSACAP00000017014
ENSDARP00000095914	ENSACAP00000017014
ENSDARP00000118051	ENSACAP00000013370
ENSDARP00000006624	ENSACAP00000005194
ENSDARP00000105714	ENSACAP00000003212
ENSDARP00000093807	ENSACAP00000019299
ENSDARP00000117083	ENSACAP00000011250
ENSDARP00000001240	ENSACAP00000011817
ENSDARP00000101815	ENSACAP00000005957
ENSDARP00000123904	ENSACAP00000008564
ENSDARP00000106622	ENSACAP00000009531
ENSDARP00000039056	ENSACAP00000007380
ENSDARP00000003432	ENSACAP00000014328
ENSDARP00000042321	ENSACAP00000009158
ENSDARP00000101214	ENSACAP00000001723
ENSDARP00000085160	ENSACAP00000006548
ENSDARP00000111829	ENSACAP00000014601
ENSDARP00000035017	ENSACAP00000012678
ENSDARP00000099341	ENSACAP00000015321
ENSDARP00000083503	ENSACAP00000011594
ENSDARP00000016279	ENSACAP00000015067
ENSDARP00000087241	ENSACAP00000003045
ENSDARP00000120245	ENSACAP00000015078
ENSDARP00000086278	ENSACAP00000014992
ENSDARP00000126778	ENSACAP00000009043
ENSDARP00000033222	ENSACAP00000009043
ENSDARP00000096255	ENSACAP00000019568
ENSDARP00000108480	ENSACAP00000007603
ENSDARP00000111278	ENSACAP00000002119
ENSDARP00000071397	ENSACAP00000010068
ENSDARP00000043235	ENSACAP00000005444
ENSDARP00000112135	ENSACAP00000005444
ENSDARP00000117890	ENSACAP00000005623
ENSDARP00000040549	ENSACAP00000016112
ENSDARP00000105765	ENSACAP00000000193
ENSDARP00000091948	ENSACAP00000010321
ENSDARP00000016657	ENSACAP00000006987
ENSDARP00000043465	ENSACAP00000006987
ENSDARP00000036715	ENSACAP00000005007
ENSDARP00000128322	ENSACAP00000010047
ENSDARP00000052396	ENSACAP00000010047
ENSDARP00000097747	ENSACAP00000004219
ENSDARP00000102479	ENSACAP00000004219
ENSDARP00000039324	ENSACAP00000023104
ENSDARP00000017456	ENSACAP00000004078
ENSDARP00000075275	ENSACAP00000001088
ENSDARP00000003744	ENSACAP00000015698
ENSDARP00000010921	ENSACAP00000005873
ENSDARP00000025441	ENSACAP00000001835
ENSDARP00000097768	ENSACAP00000014840
ENSDARP00000115728	ENSACAP00000012838
ENSDARP00000060526	ENSACAP00000009680
ENSDARP00000102702	ENSACAP00000007792
ENSDARP00000128926	ENSACAP00000019211
ENSDARP00000104196	ENSACAP00000007789
ENSDARP00000022016	ENSACAP00000020838
ENSDARP00000105356	ENSACAP00000008106
ENSDARP00000123389	ENSACAP00000003419
ENSDARP00000072786	ENSACAP00000012467
ENSDARP00000083020	ENSACAP00000013670
ENSDARP00000129294	ENSACAP00000013670
ENSDARP00000109018	ENSACAP00000015929
ENSDARP00000041145	ENSACAP00000015929
ENSDARP00000098378	ENSACAP00000007518
ENSDARP00000007140	ENSACAP00000011870
ENSDARP00000104491	ENSACAP00000012669
ENSDARP00000050378	ENSACAP00000012669
ENSDARP00000099879	ENSACAP00000011796
ENSDARP00000076418	ENSACAP00000011796
ENSDARP00000052791	ENSACAP00000009619
ENSDARP00000102159	ENSACAP00000009619
ENSDARP00000070109	ENSACAP00000001319
ENSDARP00000033311	ENSACAP00000006086
ENSDARP00000067607	ENSACAP00000002959
ENSDARP00000071278	ENSACAP00000011884
ENSDARP00000016139	ENSACAP00000022391
ENSDARP00000096178	ENSACAP00000000477
ENSDARP00000087500	ENSACAP00000000477
ENSDARP00000010426	ENSACAP00000013286
ENSDARP00000105608	ENSACAP00000019060
ENSDARP00000062853	ENSACAP00000011970
ENSDARP00000015027	ENSACAP00000012809
ENSDARP00000036016	ENSACAP00000014097
ENSDARP00000104838	ENSACAP00000005123
ENSDARP00000110537	ENSACAP00000012263
ENSDARP00000066622	ENSACAP00000009190
ENSDARP00000022709	ENSACAP00000000083
ENSDARP00000011180	ENSACAP00000004428
ENSDARP00000109781	ENSACAP00000002974
ENSDARP00000100111	ENSACAP00000013481
ENSDARP00000101968	ENSACAP00000008599
ENSDARP00000121362	ENSACAP00000000242
ENSDARP00000056678	ENSACAP00000013864
ENSDARP00000011396	ENSACAP00000022297
ENSDARP00000086789	ENSACAP00000011579
ENSDARP00000078040	ENSACAP00000006096
ENSDARP00000110256	ENSACAP00000013141
ENSDARP00000020784	ENSACAP00000004949
ENSDARP00000111457	ENSACAP00000007355
ENSDARP00000013157	ENSACAP00000018297
ENSDARP00000052440	ENSACAP00000015927
ENSDARP00000105799	ENSACAP00000008830
ENSDARP00000107372	ENSACAP00000014517
ENSDARP00000107947	ENSACAP00000016774
ENSDARP00000053660	ENSACAP00000016774
ENSDARP00000101407	ENSACAP00000019597
ENSDARP00000098075	ENSACAP00000003327
ENSDARP00000089131	ENSACAP00000003327
ENSDARP00000069080	ENSACAP00000013174
ENSDARP00000052420	ENSACAP00000001174
