ENSORLP00000011382	ENSTNIP00000006282
ENSORLP00000017023	ENSTNIP00000004863
ENSORLP00000011872	ENSTNIP00000000782
ENSORLP00000011526	ENSTNIP00000018759
ENSORLP00000011982	ENSTNIP00000014782
ENSORLP00000021204	ENSTNIP00000018279
ENSORLP00000017158	ENSTNIP00000007712
ENSORLP00000016021	ENSTNIP00000010478
ENSORLP00000014861	ENSTNIP00000015128
ENSORLP00000011600	ENSTNIP00000018487
ENSORLP00000020191	ENSTNIP00000013577
ENSORLP00000018033	ENSTNIP00000006735
ENSORLP00000003422	ENSTNIP00000016295
ENSORLP00000003489	ENSTNIP00000012005
ENSORLP00000014071	ENSTNIP00000019716
ENSORLP00000012612	ENSTNIP00000005193
ENSORLP00000001378	ENSTNIP00000022203
ENSORLP00000017918	ENSTNIP00000010138
ENSORLP00000004365	ENSTNIP00000017783
ENSORLP00000024532	ENSTNIP00000019148
ENSORLP00000001259	ENSTNIP00000021849
ENSORLP00000018991	ENSTNIP00000011698
ENSORLP00000000678	ENSTNIP00000005529
ENSORLP00000014971	ENSTNIP00000011130
ENSORLP00000024884	ENSTNIP00000007394
ENSORLP00000003491	ENSTNIP00000019905
ENSORLP00000003595	ENSTNIP00000005402
ENSORLP00000017662	ENSTNIP00000004390
ENSORLP00000006648	ENSTNIP00000016699
ENSORLP00000001741	ENSTNIP00000019972
ENSORLP00000002049	ENSTNIP00000013161
ENSORLP00000011527	ENSTNIP00000005384
ENSORLP00000018607	ENSTNIP00000020437
ENSORLP00000003123	ENSTNIP00000020722
ENSORLP00000003018	ENSTNIP00000011565
ENSORLP00000007356	ENSTNIP00000008871
ENSORLP00000016722	ENSTNIP00000006170
ENSORLP00000025748	ENSTNIP00000014150
ENSORLP00000009370	ENSTNIP00000014695
ENSORLP00000019247	ENSTNIP00000017396
ENSORLP00000005821	ENSTNIP00000010280
ENSORLP00000005856	ENSTNIP00000010281
ENSORLP00000011473	ENSTNIP00000023041
ENSORLP00000008769	ENSTNIP00000013982
ENSORLP00000003411	ENSTNIP00000010621
ENSORLP00000005783	ENSTNIP00000013547
ENSORLP00000011184	ENSTNIP00000013594
ENSORLP00000013089	ENSTNIP00000010886
ENSORLP00000003278	ENSTNIP00000020690
ENSORLP00000021411	ENSTNIP00000010004
ENSORLP00000004864	ENSTNIP00000019098
ENSORLP00000008832	ENSTNIP00000013350
ENSORLP00000018527	ENSTNIP00000017048
ENSORLP00000007943	ENSTNIP00000015136
ENSORLP00000021647	ENSTNIP00000011358
ENSORLP00000001301	ENSTNIP00000006662
ENSORLP00000000450	ENSTNIP00000016594
ENSORLP00000007952	ENSTNIP00000011460
ENSORLP00000021688	ENSTNIP00000019469
ENSORLP00000025578	ENSTNIP00000017513
ENSORLP00000024257	ENSTNIP00000005138
ENSORLP00000003220	ENSTNIP00000016461
ENSORLP00000020860	ENSTNIP00000013509
ENSORLP00000008989	ENSTNIP00000011878
ENSORLP00000001290	ENSTNIP00000012472
ENSORLP00000005579	ENSTNIP00000019321
ENSORLP00000008446	ENSTNIP00000011270
ENSORLP00000021702	ENSTNIP00000005780
ENSORLP00000006265	ENSTNIP00000005826
ENSORLP00000008437	ENSTNIP00000011480
ENSORLP00000011200	ENSTNIP00000016134
ENSORLP00000021916	ENSTNIP00000008577
ENSORLP00000001812	ENSTNIP00000016554
ENSORLP00000008024	ENSTNIP00000021647
ENSORLP00000000287	ENSTNIP00000006909
ENSORLP00000008651	ENSTNIP00000021926
ENSORLP00000009506	ENSTNIP00000005171
ENSORLP00000002804	ENSTNIP00000012710
ENSORLP00000023779	ENSTNIP00000020273
ENSORLP00000009543	ENSTNIP00000005172
ENSORLP00000020633	ENSTNIP00000018299
ENSORLP00000019791	ENSTNIP00000020489
ENSORLP00000011714	ENSTNIP00000003418
ENSORLP00000007530	ENSTNIP00000010518
ENSORLP00000007515	ENSTNIP00000010517
ENSORLP00000000994	ENSTNIP00000018824
ENSORLP00000019941	ENSTNIP00000013569
ENSORLP00000023088	ENSTNIP00000010483
ENSORLP00000019930	ENSTNIP00000013568
ENSORLP00000003515	ENSTNIP00000016288
ENSORLP00000013169	ENSTNIP00000010382
ENSORLP00000013997	ENSTNIP00000021092
ENSORLP00000008956	ENSTNIP00000018141
ENSORLP00000015452	ENSTNIP00000006801
ENSORLP00000014316	ENSTNIP00000020860
ENSORLP00000015272	ENSTNIP00000016676
ENSORLP00000016221	ENSTNIP00000009047
ENSORLP00000004226	ENSTNIP00000016121
ENSORLP00000013894	ENSTNIP00000005821
ENSORLP00000008997	ENSTNIP00000018140
ENSORLP00000019966	ENSTNIP00000014336
ENSORLP00000017429	ENSTNIP00000014013
