ENSP00000371994	ENSMUSP00000129557
ENSP00000251343	ENSMUSP00000022831
ENSP00000262384	ENSMUSP00000034074
ENSP00000362179	ENSMUSP00000037172
ENSP00000278590	ENSMUSP00000127603
ENSP00000340839	ENSMUSP00000080820
ENSP00000386616	ENSMUSP00000040217
ENSP00000354794	ENSMUSP00000025288
ENSP00000455426	ENSMUSP00000105282
ENSP00000326581	ENSMUSP00000050750
ENSP00000268876	ENSMUSP00000018989
ENSP00000284320	ENSMUSP00000129186
ENSP00000361900	ENSMUSP00000018466
ENSP00000373450	ENSMUSP00000047335
ENSP00000295408	ENSMUSP00000014505
ENSP00000301178	ENSMUSP00000002677
ENSP00000296474	ENSMUSP00000035203
ENSP00000317272	ENSMUSP00000111103
ENSP00000037243	ENSMUSP00000034428
ENSP00000394008	ENSMUSP00000032264
ENSP00000363970	ENSMUSP00000029128
ENSP00000475084	ENSMUSP00000050314
ENSP00000317997	ENSMUSP00000097060
ENSP00000362057	ENSMUSP00000033610
ENSP00000367851	ENSMUSP00000015484
ENSP00000159060	ENSMUSP00000024565
ENSP00000263317	ENSMUSP00000032781
ENSP00000358635	ENSMUSP00000133649
ENSP00000363745	ENSMUSP00000138399
ENSP00000445366	ENSMUSP00000054412
ENSP00000281722	ENSMUSP00000045511
ENSP00000363107	ENSMUSP00000075235
ENSP00000354995	ENSMUSP00000024829
ENSP00000304111	ENSMUSP00000124647
ENSP00000272286	ENSMUSP00000035246
ENSP00000260645	ENSMUSP00000069495
ENSP00000292672	ENSMUSP00000113675
ENSP00000410584	ENSMUSP00000111483
ENSP00000290583	ENSMUSP00000029784
ENSP00000389951	ENSMUSP00000110574
ENSP00000309591	ENSMUSP00000005606
ENSP00000359719	ENSMUSP00000005164
ENSP00000378945	ENSMUSP00000124963
ENSP00000363092	ENSMUSP00000073268
ENSP00000261464	ENSMUSP00000082710
ENSP00000454207	ENSMUSP00000021706
ENSP00000362994	ENSMUSP00000130759
ENSP00000247668	ENSMUSP00000028311
ENSP00000433623	ENSMUSP00000004949
ENSP00000376765	ENSMUSP00000069259
ENSP00000249636	ENSMUSP00000096248
ENSP00000465676	ENSMUSP00000110425
ENSP00000262971	ENSMUSP00000005064
ENSP00000334474	ENSMUSP00000124863
ENSP00000311778	ENSMUSP00000105409
ENSP00000247207	ENSMUSP00000079306
ENSP00000364805	ENSMUSP00000007248
ENSP00000432083	ENSMUSP00000015800
ENSP00000324173	ENSMUSP00000097747
ENSP00000367623	ENSMUSP00000027961
ENSP00000297185	ENSMUSP00000025217
ENSP00000217182	ENSMUSP00000054556
ENSP00000234038	ENSMUSP00000027494
ENSP00000454748	ENSMUSP00000124394
ENSP00000453273	ENSMUSP00000070606
ENSP00000362962	ENSMUSP00000108660
ENSP00000367815	ENSMUSP00000090790
ENSP00000326870	ENSMUSP00000104363
ENSP00000303549	ENSMUSP00000062535
ENSP00000308361	ENSMUSP00000088642
ENSP00000260843	ENSMUSP00000059272
ENSP00000320376	ENSMUSP00000044730
ENSP00000307259	ENSMUSP00000051353
ENSP00000308479	ENSMUSP00000082115
ENSP00000367384	ENSMUSP00000042715
ENSP00000337618	ENSMUSP00000114020
ENSP00000295461	ENSMUSP00000084462
ENSP00000311687	ENSMUSP00000020679
ENSP00000337452	ENSMUSP00000053871
ENSP00000363520	ENSMUSP00000099608
ENSP00000339256	ENSMUSP00000038922
ENSP00000313059	ENSMUSP00000086017
ENSP00000297954	ENSMUSP00000089212
ENSP00000346667	ENSMUSP00000138839
ENSP00000414055	ENSMUSP00000019516
ENSP00000369666	ENSMUSP00000033081
ENSP00000366271	ENSMUSP00000038229
ENSP00000352185	ENSMUSP00000047308
