ENSGALP00000006197	ENSDARP00000074624
ENSGALP00000003140	ENSDARP00000061719
ENSGALP00000003140	ENSDARP00000095914
ENSGALP00000007499	ENSDARP00000118051
ENSGALP00000006308	ENSDARP00000006624
ENSGALP00000002175	ENSDARP00000105714
ENSGALP00000013518	ENSDARP00000093807
ENSGALP00000003417	ENSDARP00000023678
ENSGALP00000024624	ENSDARP00000117083
ENSGALP00000006527	ENSDARP00000001240
ENSGALP00000013423	ENSDARP00000101815
ENSGALP00000042226	ENSDARP00000123904
ENSGALP00000010474	ENSDARP00000106622
ENSGALP00000005074	ENSDARP00000039056
ENSGALP00000041254	ENSDARP00000003432
ENSGALP00000002938	ENSDARP00000042321
ENSGALP00000013077	ENSDARP00000101214
ENSGALP00000003834	ENSDARP00000085160
ENSGALP00000026172	ENSDARP00000111829
ENSGALP00000009477	ENSDARP00000035017
ENSGALP00000015078	ENSDARP00000099341
ENSGALP00000023036	ENSDARP00000083503
ENSGALP00000005964	ENSDARP00000016279
ENSGALP00000025999	ENSDARP00000087241
ENSGALP00000016167	ENSDARP00000120245
ENSGALP00000016163	ENSDARP00000086278
ENSGALP00000042521	ENSDARP00000006351
ENSGALP00000042521	ENSDARP00000039628
ENSGALP00000010845	ENSDARP00000108480
ENSGALP00000013128	ENSDARP00000111278
ENSGALP00000017721	ENSDARP00000071397
ENSGALP00000006027	ENSDARP00000043235
ENSGALP00000006027	ENSDARP00000112135
ENSGALP00000041168	ENSDARP00000020894
ENSGALP00000029643	ENSDARP00000117890
ENSGALP00000016021	ENSDARP00000040549
ENSGALP00000018553	ENSDARP00000105765
ENSGALP00000002401	ENSDARP00000091948
ENSGALP00000014649	ENSDARP00000016657
ENSGALP00000014649	ENSDARP00000043465
ENSGALP00000012873	ENSDARP00000036715
ENSGALP00000006340	ENSDARP00000013849
ENSGALP00000012927	ENSDARP00000128322
ENSGALP00000012927	ENSDARP00000052396
ENSGALP00000007730	ENSDARP00000097747
ENSGALP00000007730	ENSDARP00000102479
ENSGALP00000001474	ENSDARP00000017456
ENSGALP00000010718	ENSDARP00000075275
ENSGALP00000003717	ENSDARP00000003744
ENSGALP00000036285	ENSDARP00000010921
ENSGALP00000009351	ENSDARP00000025441
ENSGALP00000019566	ENSDARP00000097768
ENSGALP00000005150	ENSDARP00000115728
ENSGALP00000007847	ENSDARP00000060526
ENSGALP00000032312	ENSDARP00000102702
ENSGALP00000016882	ENSDARP00000128926
ENSGALP00000016891	ENSDARP00000104196
ENSGALP00000008089	ENSDARP00000022016
ENSGALP00000007963	ENSDARP00000105356
ENSGALP00000005960	ENSDARP00000123389
ENSGALP00000035809	ENSDARP00000072786
ENSGALP00000006776	ENSDARP00000122905
ENSGALP00000004717	ENSDARP00000083020
ENSGALP00000004717	ENSDARP00000129294
ENSGALP00000000103	ENSDARP00000109018
ENSGALP00000000103	ENSDARP00000041145
ENSGALP00000020923	ENSDARP00000104491
ENSGALP00000020923	ENSDARP00000050378
ENSGALP00000023528	ENSDARP00000052791
ENSGALP00000023528	ENSDARP00000102159
ENSGALP00000017712	ENSDARP00000070109
ENSGALP00000004991	ENSDARP00000087079
ENSGALP00000015926	ENSDARP00000033311
ENSGALP00000009004	ENSDARP00000067607
ENSGALP00000010541	ENSDARP00000016139
ENSGALP00000042528	ENSDARP00000096178
ENSGALP00000042528	ENSDARP00000087500
ENSGALP00000017856	ENSDARP00000010426
ENSGALP00000032649	ENSDARP00000062853
ENSGALP00000025114	ENSDARP00000036016
ENSGALP00000014101	ENSDARP00000104838
ENSGALP00000042998	ENSDARP00000110537
ENSGALP00000011134	ENSDARP00000022709
ENSGALP00000041611	ENSDARP00000011180
ENSGALP00000036527	ENSDARP00000109781
ENSGALP00000042712	ENSDARP00000100111
ENSGALP00000042464	ENSDARP00000101968
ENSGALP00000030960	ENSDARP00000121362
ENSGALP00000030213	ENSDARP00000056678
ENSGALP00000002638	ENSDARP00000011396
ENSGALP00000009200	ENSDARP00000086789
ENSGALP00000040642	ENSDARP00000078040
