ENSGACP00000003450	ENSCAFP00000014731
ENSGACP00000018304	ENSCAFP00000004893
ENSGACP00000003045	ENSCAFP00000004893
ENSGACP00000008784	ENSCAFP00000000536
ENSGACP00000017512	ENSCAFP00000026820
ENSGACP00000003444	ENSCAFP00000014703
ENSGACP00000013204	ENSCAFP00000027009
ENSGACP00000004939	ENSCAFP00000014101
ENSGACP00000007033	ENSCAFP00000010599
ENSGACP00000012136	ENSCAFP00000041478
ENSGACP00000000014	ENSCAFP00000011228
ENSGACP00000010389	ENSCAFP00000025792
ENSGACP00000022876	ENSCAFP00000025906
ENSGACP00000020510	ENSCAFP00000020532
ENSGACP00000004209	ENSCAFP00000019636
ENSGACP00000025947	ENSCAFP00000008815
ENSGACP00000000488	ENSCAFP00000012433
ENSGACP00000013531	ENSCAFP00000022926
ENSGACP00000014122	ENSCAFP00000003668
ENSGACP00000014108	ENSCAFP00000003657
ENSGACP00000013540	ENSCAFP00000035869
ENSGACP00000012095	ENSCAFP00000035869
ENSGACP00000025883	ENSCAFP00000041440
ENSGACP00000005703	ENSCAFP00000026713
ENSGACP00000020860	ENSCAFP00000028894
ENSGACP00000006974	ENSCAFP00000028894
ENSGACP00000022648	ENSCAFP00000010159
ENSGACP00000014759	ENSCAFP00000027741
ENSGACP00000006839	ENSCAFP00000025741
ENSGACP00000022315	ENSCAFP00000025741
ENSGACP00000011561	ENSCAFP00000023060
ENSGACP00000002990	ENSCAFP00000023060
ENSGACP00000021969	ENSCAFP00000029957
ENSGACP00000025513	ENSCAFP00000007014
ENSGACP00000025845	ENSCAFP00000001849
ENSGACP00000019294	ENSCAFP00000025988
ENSGACP00000009755	ENSCAFP00000029580
ENSGACP00000015915	ENSCAFP00000027190
ENSGACP00000010900	ENSCAFP00000021251
ENSGACP00000013505	ENSCAFP00000012528
ENSGACP00000002295	ENSCAFP00000025582
ENSGACP00000012521	ENSCAFP00000019089
ENSGACP00000004603	ENSCAFP00000035150
ENSGACP00000006206	ENSCAFP00000002012
ENSGACP00000019496	ENSCAFP00000024610
ENSGACP00000022493	ENSCAFP00000012157
ENSGACP00000015690	ENSCAFP00000012157
ENSGACP00000011590	ENSCAFP00000024137
ENSGACP00000013724	ENSCAFP00000027297
ENSGACP00000004274	ENSCAFP00000018115
ENSGACP00000015475	ENSCAFP00000018115
ENSGACP00000017407	ENSCAFP00000015735
ENSGACP00000007063	ENSCAFP00000017392
ENSGACP00000013968	ENSCAFP00000030690
ENSGACP00000015931	ENSCAFP00000018258
ENSGACP00000009933	ENSCAFP00000025261
ENSGACP00000005141	ENSCAFP00000011525
ENSGACP00000023842	ENSCAFP00000000688
ENSGACP00000009128	ENSCAFP00000004119
ENSGACP00000012449	ENSCAFP00000037844
ENSGACP00000005885	ENSCAFP00000019894
ENSGACP00000009355	ENSCAFP00000004239
ENSGACP00000008256	ENSCAFP00000041229
ENSGACP00000021278	ENSCAFP00000025974
ENSGACP00000026085	ENSCAFP00000017436
ENSGACP00000024121	ENSCAFP00000000191
ENSGACP00000014218	ENSCAFP00000016481
ENSGACP00000008788	ENSCAFP00000041377
ENSGACP00000006233	ENSCAFP00000011055
ENSGACP00000018261	ENSCAFP00000037675
ENSGACP00000007046	ENSCAFP00000028469
ENSGACP00000016853	ENSCAFP00000005175
ENSGACP00000010215	ENSCAFP00000000678
ENSGACP00000007839	ENSCAFP00000004185
ENSGACP00000024328	ENSCAFP00000001898
ENSGACP00000003687	ENSCAFP00000034643
ENSGACP00000013891	ENSCAFP00000010553
ENSGACP00000015752	ENSCAFP00000010553
ENSGACP00000024876	ENSCAFP00000013282
ENSGACP00000005558	ENSCAFP00000012034
ENSGACP00000011056	ENSCAFP00000001467
ENSGACP00000023914	ENSCAFP00000028666
ENSGACP00000004412	ENSCAFP00000028666
ENSGACP00000010614	ENSCAFP00000022241
ENSGACP00000000678	ENSCAFP00000016786
ENSGACP00000008325	ENSCAFP00000018033
ENSGACP00000002669	ENSCAFP00000030540
ENSGACP00000022578	ENSCAFP00000035073
ENSGACP00000016521	ENSCAFP00000013243
ENSGACP00000011213	ENSCAFP00000014218
