ENSLOCP00000009128	ENSMGAP00000004951
ENSLOCP00000003817	ENSMGAP00000003068
ENSLOCP00000018009	ENSMGAP00000000132
ENSLOCP00000021014	ENSMGAP00000013265
ENSLOCP00000007024	ENSMGAP00000013498
ENSLOCP00000007725	ENSMGAP00000010739
ENSLOCP00000009060	ENSMGAP00000004925
ENSLOCP00000011549	ENSMGAP00000002621
ENSLOCP00000018593	ENSMGAP00000011180
ENSLOCP00000011472	ENSMGAP00000003978
ENSLOCP00000013012	ENSMGAP00000015197
ENSLOCP00000009147	ENSMGAP00000003388
ENSLOCP00000020429	ENSMGAP00000002654
ENSLOCP00000019200	ENSMGAP00000009217
ENSLOCP00000006554	ENSMGAP00000002648
ENSLOCP00000003596	ENSMGAP00000009326
ENSLOCP00000004161	ENSMGAP00000007525
ENSLOCP00000007780	ENSMGAP00000001572
ENSLOCP00000017232	ENSMGAP00000010575
ENSLOCP00000016944	ENSMGAP00000000479
ENSLOCP00000018831	ENSMGAP00000003900
ENSLOCP00000009530	ENSMGAP00000015491
ENSLOCP00000020825	ENSMGAP00000013487
ENSLOCP00000005280	ENSMGAP00000000415
ENSLOCP00000013773	ENSMGAP00000000276
ENSLOCP00000010078	ENSMGAP00000000909
ENSLOCP00000015968	ENSMGAP00000012849
ENSLOCP00000007610	ENSMGAP00000000973
ENSLOCP00000002487	ENSMGAP00000015435
ENSLOCP00000020267	ENSMGAP00000010566
ENSLOCP00000020273	ENSMGAP00000010545
ENSLOCP00000013950	ENSMGAP00000007706
ENSLOCP00000007870	ENSMGAP00000007436
ENSLOCP00000019319	ENSMGAP00000018658
ENSLOCP00000007227	ENSMGAP00000011060
ENSLOCP00000010181	ENSMGAP00000006437
ENSLOCP00000008648	ENSMGAP00000007584
ENSLOCP00000007649	ENSMGAP00000000941
ENSLOCP00000000762	ENSMGAP00000015853
ENSLOCP00000012473	ENSMGAP00000015605
ENSLOCP00000019175	ENSMGAP00000017353
ENSLOCP00000012015	ENSMGAP00000014132
ENSLOCP00000007747	ENSMGAP00000003168
ENSLOCP00000001624	ENSMGAP00000000271
ENSLOCP00000001262	ENSMGAP00000010789
ENSLOCP00000007089	ENSMGAP00000013478
ENSLOCP00000017180	ENSMGAP00000010388
ENSLOCP00000005887	ENSMGAP00000005618
ENSLOCP00000020663	ENSMGAP00000005019
ENSLOCP00000014860	ENSMGAP00000000922
ENSLOCP00000004833	ENSMGAP00000017433
ENSLOCP00000010959	ENSMGAP00000003400
ENSLOCP00000012282	ENSMGAP00000018942
ENSLOCP00000017952	ENSMGAP00000004974
ENSLOCP00000008038	ENSMGAP00000000263
ENSLOCP00000010721	ENSMGAP00000004440
ENSLOCP00000021479	ENSMGAP00000011375
ENSLOCP00000016952	ENSMGAP00000018280
ENSLOCP00000021874	ENSMGAP00000015477
ENSLOCP00000018849	ENSMGAP00000009720
ENSLOCP00000009980	ENSMGAP00000015641
ENSLOCP00000014738	ENSMGAP00000012633
