ENSACAP00000008923	ENSGACP00000024945
ENSACAP00000005936	ENSGACP00000003450
ENSACAP00000017014	ENSGACP00000018304
ENSACAP00000017014	ENSGACP00000003045
ENSACAP00000013370	ENSGACP00000026872
ENSACAP00000006833	ENSGACP00000008784
ENSACAP00000005194	ENSGACP00000027282
ENSACAP00000001737	ENSGACP00000017512
ENSACAP00000013552	ENSGACP00000003444
ENSACAP00000003212	ENSGACP00000027655
ENSACAP00000019299	ENSGACP00000015229
ENSACAP00000011250	ENSGACP00000018412
ENSACAP00000011817	ENSGACP00000004939
ENSACAP00000005957	ENSGACP00000007033
ENSACAP00000003898	ENSGACP00000017057
ENSACAP00000008564	ENSGACP00000012136
ENSACAP00000009531	ENSGACP00000004873
ENSACAP00000007380	ENSGACP00000002806
ENSACAP00000007380	ENSGACP00000023126
ENSACAP00000014328	ENSGACP00000004170
ENSACAP00000009158	ENSGACP00000000014
ENSACAP00000001723	ENSGACP00000010389
ENSACAP00000006548	ENSGACP00000008196
ENSACAP00000014601	ENSGACP00000020510
ENSACAP00000017344	ENSGACP00000004209
ENSACAP00000012678	ENSGACP00000025947
ENSACAP00000015321	ENSGACP00000000488
ENSACAP00000011594	ENSGACP00000021405
ENSACAP00000015067	ENSGACP00000013531
ENSACAP00000015078	ENSGACP00000014122
ENSACAP00000014992	ENSGACP00000014108
ENSACAP00000009043	ENSGACP00000021962
ENSACAP00000002119	ENSGACP00000018787
ENSACAP00000010068	ENSGACP00000002402
ENSACAP00000005444	ENSGACP00000013540
ENSACAP00000005444	ENSGACP00000012095
ENSACAP00000005623	ENSGACP00000020058
ENSACAP00000016112	ENSGACP00000025883
ENSACAP00000000193	ENSGACP00000005703
ENSACAP00000006987	ENSGACP00000020860
ENSACAP00000006987	ENSGACP00000006974
ENSACAP00000005007	ENSGACP00000022648
ENSACAP00000010047	ENSGACP00000006839
ENSACAP00000010047	ENSGACP00000022315
ENSACAP00000004219	ENSGACP00000011561
ENSACAP00000004219	ENSGACP00000002990
ENSACAP00000023104	ENSGACP00000010056
ENSACAP00000004798	ENSGACP00000026579
ENSACAP00000004798	ENSGACP00000013930
ENSACAP00000004078	ENSGACP00000021969
ENSACAP00000001088	ENSGACP00000025513
ENSACAP00000015698	ENSGACP00000025845
ENSACAP00000001835	ENSGACP00000017996
ENSACAP00000014840	ENSGACP00000011089
ENSACAP00000008406	ENSGACP00000019294
ENSACAP00000012838	ENSGACP00000009755
ENSACAP00000009680	ENSGACP00000015915
ENSACAP00000019211	ENSGACP00000013505
ENSACAP00000008106	ENSGACP00000023103
ENSACAP00000003419	ENSGACP00000002295
ENSACAP00000012467	ENSGACP00000018209
ENSACAP00000015858	ENSGACP00000004603
ENSACAP00000013670	ENSGACP00000019518
ENSACAP00000013670	ENSGACP00000004546
ENSACAP00000015929	ENSGACP00000006206
ENSACAP00000007518	ENSGACP00000019496
ENSACAP00000011870	ENSGACP00000011590
ENSACAP00000012669	ENSGACP00000026389
ENSACAP00000011796	ENSGACP00000004274
ENSACAP00000011796	ENSGACP00000015475
ENSACAP00000009619	ENSGACP00000017407
ENSACAP00000001319	ENSGACP00000007063
