ENSMUSP00000034074	ENSMODP00000016222
ENSMUSP00000037172	ENSMODP00000022186
ENSMUSP00000127603	ENSMODP00000018180
ENSMUSP00000040217	ENSMODP00000021006
ENSMUSP00000025288	ENSMODP00000012374
ENSMUSP00000105282	ENSMODP00000016247
ENSMUSP00000018989	ENSMODP00000023878
ENSMUSP00000018466	ENSMODP00000020244
ENSMUSP00000014505	ENSMODP00000028608
ENSMUSP00000028763	ENSMODP00000000113
ENSMUSP00000002677	ENSMODP00000031323
ENSMUSP00000035203	ENSMODP00000015454
ENSMUSP00000111103	ENSMODP00000019742
ENSMUSP00000032264	ENSMODP00000022766
ENSMUSP00000029128	ENSMODP00000003267
ENSMUSP00000050314	ENSMODP00000022045
ENSMUSP00000097060	ENSMODP00000022029
ENSMUSP00000015484	ENSMODP00000026393
ENSMUSP00000024565	ENSMODP00000010124
ENSMUSP00000032781	ENSMODP00000003331
ENSMUSP00000045511	ENSMODP00000001568
ENSMUSP00000075235	ENSMODP00000020576
ENSMUSP00000024829	ENSMODP00000026284
ENSMUSP00000124647	ENSMODP00000016589
ENSMUSP00000035246	ENSMODP00000028394
ENSMUSP00000069495	ENSMODP00000000677
ENSMUSP00000113675	ENSMODP00000023901
ENSMUSP00000034840	ENSMODP00000036724
ENSMUSP00000110574	ENSMODP00000020923
ENSMUSP00000124963	ENSMODP00000025995
ENSMUSP00000073268	ENSMODP00000020567
ENSMUSP00000082710	ENSMODP00000003305
ENSMUSP00000021706	ENSMODP00000016701
ENSMUSP00000130759	ENSMODP00000030326
ENSMUSP00000028311	ENSMODP00000021625
ENSMUSP00000004949	ENSMODP00000024756
ENSMUSP00000017530	ENSMODP00000024090
ENSMUSP00000069259	ENSMODP00000028954
ENSMUSP00000096248	ENSMODP00000034686
ENSMUSP00000005064	ENSMODP00000000916
ENSMUSP00000124863	ENSMODP00000001331
ENSMUSP00000105409	ENSMODP00000020102
ENSMUSP00000079306	ENSMODP00000005916
ENSMUSP00000007248	ENSMODP00000004149
ENSMUSP00000097747	ENSMODP00000024667
ENSMUSP00000027961	ENSMODP00000021116
ENSMUSP00000025217	ENSMODP00000015137
ENSMUSP00000124394	ENSMODP00000010650
ENSMUSP00000070606	ENSMODP00000011243
ENSMUSP00000108660	ENSMODP00000024507
ENSMUSP00000090790	ENSMODP00000006081
ENSMUSP00000104363	ENSMODP00000017560
ENSMUSP00000062535	ENSMODP00000037659
ENSMUSP00000088642	ENSMODP00000026600
ENSMUSP00000059272	ENSMODP00000026601
ENSMUSP00000044730	ENSMODP00000035510
ENSMUSP00000051353	ENSMODP00000035512
ENSMUSP00000082115	ENSMODP00000035509
ENSMUSP00000042715	ENSMODP00000037658
