ENSORLP00000011382	ENSDARP00000122973
ENSORLP00000017023	ENSDARP00000074624
ENSORLP00000018100	ENSDARP00000061719
ENSORLP00000011872	ENSDARP00000095914
ENSORLP00000011982	ENSDARP00000118051
ENSORLP00000006953	ENSDARP00000006624
ENSORLP00000016021	ENSDARP00000105714
ENSORLP00000014861	ENSDARP00000093807
ENSORLP00000011600	ENSDARP00000023678
ENSORLP00000020191	ENSDARP00000117083
ENSORLP00000018033	ENSDARP00000001240
ENSORLP00000003489	ENSDARP00000104892
ENSORLP00000014071	ENSDARP00000101815
ENSORLP00000012612	ENSDARP00000116623
ENSORLP00000017918	ENSDARP00000124745
ENSORLP00000004365	ENSDARP00000123874
ENSORLP00000024532	ENSDARP00000123904
ENSORLP00000001259	ENSDARP00000106622
ENSORLP00000018991	ENSDARP00000039056
ENSORLP00000014971	ENSDARP00000060036
ENSORLP00000024884	ENSDARP00000065589
ENSORLP00000003491	ENSDARP00000102425
ENSORLP00000015857	ENSDARP00000003432
ENSORLP00000003595	ENSDARP00000042321
ENSORLP00000017662	ENSDARP00000101214
ENSORLP00000006648	ENSDARP00000085160
ENSORLP00000002049	ENSDARP00000111829
ENSORLP00000011527	ENSDARP00000105632
ENSORLP00000018607	ENSDARP00000127882
ENSORLP00000025526	ENSDARP00000035017
ENSORLP00000003018	ENSDARP00000099341
ENSORLP00000007356	ENSDARP00000083503
ENSORLP00000016722	ENSDARP00000016279
ENSORLP00000025748	ENSDARP00000087241
ENSORLP00000009370	ENSDARP00000081045
ENSORLP00000019247	ENSDARP00000102351
ENSORLP00000005821	ENSDARP00000120245
ENSORLP00000005856	ENSDARP00000086278
ENSORLP00000011473	ENSDARP00000126778
ENSORLP00000008769	ENSDARP00000113983
ENSORLP00000003411	ENSDARP00000063179
ENSORLP00000005783	ENSDARP00000087742
ENSORLP00000011184	ENSDARP00000122295
ENSORLP00000013089	ENSDARP00000006351
ENSORLP00000003278	ENSDARP00000039628
ENSORLP00000008832	ENSDARP00000110780
ENSORLP00000018527	ENSDARP00000002825
ENSORLP00000007943	ENSDARP00000023805
ENSORLP00000001301	ENSDARP00000085704
ENSORLP00000022254	ENSDARP00000071397
