ENSTNIP00000004863	ENSGALP00000006197
ENSTNIP00000000782	ENSGALP00000003140
ENSTNIP00000014782	ENSGALP00000007499
ENSTNIP00000018279	ENSGALP00000024336
ENSTNIP00000007712	ENSGALP00000006178
ENSTNIP00000010478	ENSGALP00000002175
ENSTNIP00000015128	ENSGALP00000013518
ENSTNIP00000018487	ENSGALP00000003417
ENSTNIP00000013577	ENSGALP00000024624
ENSTNIP00000006735	ENSGALP00000006527
ENSTNIP00000019716	ENSGALP00000013423
ENSTNIP00000019148	ENSGALP00000042226
ENSTNIP00000021849	ENSGALP00000010474
ENSTNIP00000011698	ENSGALP00000005074
ENSTNIP00000005529	ENSGALP00000005074
ENSTNIP00000005402	ENSGALP00000002938
ENSTNIP00000004390	ENSGALP00000013077
ENSTNIP00000016699	ENSGALP00000003834
ENSTNIP00000019972	ENSGALP00000010835
ENSTNIP00000013161	ENSGALP00000026172
ENSTNIP00000020722	ENSGALP00000025476
ENSTNIP00000011565	ENSGALP00000015078
ENSTNIP00000008871	ENSGALP00000023036
ENSTNIP00000006170	ENSGALP00000005964
ENSTNIP00000014150	ENSGALP00000025999
ENSTNIP00000010280	ENSGALP00000016167
ENSTNIP00000010281	ENSGALP00000016163
ENSTNIP00000010886	ENSGALP00000042521
ENSTNIP00000020690	ENSGALP00000042521
ENSTNIP00000006171	ENSGALP00000006027
ENSTNIP00000011460	ENSGALP00000006027
ENSTNIP00000019469	ENSGALP00000041168
ENSTNIP00000017513	ENSGALP00000029643
ENSTNIP00000005138	ENSGALP00000018553
ENSTNIP00000016461	ENSGALP00000014649
ENSTNIP00000013509	ENSGALP00000014649
ENSTNIP00000012472	ENSGALP00000012873
ENSTNIP00000019321	ENSGALP00000006340
ENSTNIP00000011270	ENSGALP00000012927
ENSTNIP00000011480	ENSGALP00000007730
ENSTNIP00000016134	ENSGALP00000007730
ENSTNIP00000011443	ENSGALP00000010510
ENSTNIP00000021926	ENSGALP00000001474
ENSTNIP00000018299	ENSGALP00000009351
ENSTNIP00000020489	ENSGALP00000019566
ENSTNIP00000003517	ENSGALP00000006447
ENSTNIP00000003418	ENSGALP00000007847
ENSTNIP00000004064	ENSGALP00000032312
ENSTNIP00000010517	ENSGALP00000016882
ENSTNIP00000018824	ENSGALP00000007963
ENSTNIP00000010483	ENSGALP00000005960
ENSTNIP00000013568	ENSGALP00000035809
ENSTNIP00000016288	ENSGALP00000035831
ENSTNIP00000017450	ENSGALP00000004717
ENSTNIP00000016676	ENSGALP00000000103
ENSTNIP00000014336	ENSGALP00000020923
ENSTNIP00000022426	ENSGALP00000023528
ENSTNIP00000021883	ENSGALP00000017712
ENSTNIP00000018584	ENSGALP00000004991
ENSTNIP00000020563	ENSGALP00000016880
ENSTNIP00000020641	ENSGALP00000009004
ENSTNIP00000007081	ENSGALP00000009685
ENSTNIP00000002296	ENSGALP00000010541
ENSTNIP00000020347	ENSGALP00000010541
ENSTNIP00000001653	ENSGALP00000042528
ENSTNIP00000020081	ENSGALP00000032649
ENSTNIP00000006467	ENSGALP00000025114
ENSTNIP00000000186	ENSGALP00000014101
ENSTNIP00000009228	ENSGALP00000042998
ENSTNIP00000013970	ENSGALP00000021550
ENSTNIP00000012496	ENSGALP00000036527
ENSTNIP00000020402	ENSGALP00000042712
ENSTNIP00000007715	ENSGALP00000042464
ENSTNIP00000004648	ENSGALP00000030213
ENSTNIP00000017400	ENSGALP00000009200
ENSTNIP00000006361	ENSGALP00000040642
ENSTNIP00000004911	ENSGALP00000016547
ENSTNIP00000005718	ENSGALP00000021543
ENSTNIP00000011862	ENSGALP00000003847
ENSTNIP00000013215	ENSGALP00000008131
ENSTNIP00000019644	ENSGALP00000008131
ENSTNIP00000011017	ENSGALP00000035892
ENSTNIP00000001471	ENSGALP00000010428
ENSTNIP00000015450	ENSGALP00000010428
ENSTNIP00000014174	ENSGALP00000025899
ENSTNIP00000018720	ENSGALP00000026322
ENSTNIP00000006011	ENSGALP00000013796
ENSTNIP00000012789	ENSGALP00000043032
ENSTNIP00000002037	ENSGALP00000006299
ENSTNIP00000003018	ENSGALP00000038075
ENSTNIP00000008097	ENSGALP00000000412
ENSTNIP00000011488	ENSGALP00000039341
ENSTNIP00000011323	ENSGALP00000008661
ENSTNIP00000014635	ENSGALP00000040060
ENSTNIP00000020177	ENSGALP00000018503
ENSTNIP00000015675	ENSGALP00000024768
ENSTNIP00000014001	ENSGALP00000041815
