ENSP00000262384	ENSGACP00000003450
ENSP00000362179	ENSGACP00000018304
ENSP00000362179	ENSGACP00000003045
ENSP00000386616	ENSGACP00000008784
ENSP00000354794	ENSGACP00000017512
ENSP00000455426	ENSGACP00000003444
ENSP00000268876	ENSGACP00000013204
ENSP00000361900	ENSGACP00000004939
ENSP00000295408	ENSGACP00000007033
ENSP00000317272	ENSGACP00000012136
ENSP00000363970	ENSGACP00000000014
ENSP00000373518	ENSGACP00000010389
ENSP00000362057	ENSGACP00000022876
ENSP00000367851	ENSGACP00000020510
ENSP00000445366	ENSGACP00000025947
ENSP00000281722	ENSGACP00000000488
ENSP00000363107	ENSGACP00000013531
ENSP00000272286	ENSGACP00000014122
ENSP00000260645	ENSGACP00000014108
ENSP00000363092	ENSGACP00000013540
ENSP00000363092	ENSGACP00000012095
ENSP00000261464	ENSGACP00000025883
ENSP00000454207	ENSGACP00000005703
ENSP00000247668	ENSGACP00000020860
ENSP00000247668	ENSGACP00000006974
ENSP00000433623	ENSGACP00000022648
ENSP00000249636	ENSGACP00000006839
ENSP00000249636	ENSGACP00000022315
ENSP00000334474	ENSGACP00000011561
ENSP00000334474	ENSGACP00000002990
ENSP00000324173	ENSGACP00000021969
ENSP00000367623	ENSGACP00000025513
ENSP00000297185	ENSGACP00000025845
ENSP00000234038	ENSGACP00000017996
ENSP00000453273	ENSGACP00000019294
ENSP00000367815	ENSGACP00000009755
ENSP00000326870	ENSGACP00000015915
ENSP00000303549	ENSGACP00000010900
ENSP00000307259	ENSGACP00000013505
ENSP00000311687	ENSGACP00000002295
ENSP00000363520	ENSGACP00000012521
ENSP00000339256	ENSGACP00000004603
ENSP00000414055	ENSGACP00000006206
ENSP00000369666	ENSGACP00000019496
ENSP00000350676	ENSGACP00000011590
ENSP00000251363	ENSGACP00000013724
ENSP00000271688	ENSGACP00000004274
ENSP00000271688	ENSGACP00000015475
ENSP00000284382	ENSGACP00000017407
ENSP00000376453	ENSGACP00000007063
ENSP00000402697	ENSGACP00000013968
ENSP00000355929	ENSGACP00000015931
ENSP00000251089	ENSGACP00000009933
ENSP00000309142	ENSGACP00000005141
ENSP00000377024	ENSGACP00000023842
ENSP00000297071	ENSGACP00000009128
ENSP00000439120	ENSGACP00000012449
ENSP00000380252	ENSGACP00000005885
ENSP00000257749	ENSGACP00000008256
ENSP00000321343	ENSGACP00000021278
ENSP00000379353	ENSGACP00000026085
ENSP00000320431	ENSGACP00000024121
ENSP00000268164	ENSGACP00000014218
ENSP00000262904	ENSGACP00000008788
ENSP00000345571	ENSGACP00000006233
ENSP00000368686	ENSGACP00000018261
ENSP00000268989	ENSGACP00000007046
ENSP00000221543	ENSGACP00000016853
ENSP00000448182	ENSGACP00000010215
ENSP00000320434	ENSGACP00000007839
ENSP00000304669	ENSGACP00000024328
ENSP00000386141	ENSGACP00000003687
ENSP00000477059	ENSGACP00000013891
ENSP00000477059	ENSGACP00000015752
ENSP00000386881	ENSGACP00000024876
ENSP00000428280	ENSGACP00000011056
ENSP00000360475	ENSGACP00000023914
ENSP00000360475	ENSGACP00000004412
ENSP00000222250	ENSGACP00000010614
ENSP00000358323	ENSGACP00000000678
ENSP00000380759	ENSGACP00000008325
ENSP00000359095	ENSGACP00000002669
ENSP00000331879	ENSGACP00000022578
ENSP00000276440	ENSGACP00000016521
ENSP00000340677	ENSGACP00000011213
ENSP00000272164	ENSGACP00000023031
ENSP00000290015	ENSGACP00000018735
ENSP00000258411	ENSGACP00000010089
ENSP00000252456	ENSGACP00000008514
ENSP00000252677	ENSGACP00000024791
ENSP00000367942	ENSGACP00000024033
ENSP00000287139	ENSGACP00000003038
ENSP00000282701	ENSGACP00000002405
ENSP00000334314	ENSGACP00000011399
ENSP00000320663	ENSGACP00000016404
ENSP00000378254	ENSGACP00000001035
ENSP00000366267	ENSGACP00000020270
ENSP00000377836	ENSGACP00000024658
ENSP00000292377	ENSGACP00000021658
ENSP00000264039	ENSGACP00000018417
ENSP00000264039	ENSGACP00000008623
ENSP00000332886	ENSGACP00000022764
ENSP00000338728	ENSGACP00000014394
ENSP00000380785	ENSGACP00000008802
ENSP00000360252	ENSGACP00000019210
ENSP00000310015	ENSGACP00000002834
ENSP00000370713	ENSGACP00000002348
ENSP00000370713	ENSGACP00000023091
ENSP00000357459	ENSGACP00000015815
ENSP00000296513	ENSGACP00000022066
ENSP00000262803	ENSGACP00000010750
ENSP00000399797	ENSGACP00000012695
ENSP00000399797	ENSGACP00000007203
ENSP00000351524	ENSGACP00000024500
ENSP00000253008	ENSGACP00000022065
ENSP00000276594	ENSGACP00000003704
ENSP00000354960	ENSGACP00000016370
ENSP00000361929	ENSGACP00000022984
ENSP00000282903	ENSGACP00000004888
ENSP00000352603	ENSGACP00000002403
ENSP00000347408	ENSGACP00000008807
ENSP00000388996	ENSGACP00000022304
ENSP00000406472	ENSGACP00000020352
ENSP00000265741	ENSGACP00000018750
ENSP00000276052	ENSGACP00000000372
ENSP00000423665	ENSGACP00000014494
ENSP00000417914	ENSGACP00000004440
ENSP00000264607	ENSGACP00000002886
ENSP00000355195	ENSGACP00000007201
ENSP00000355195	ENSGACP00000024497
ENSP00000363512	ENSGACP00000010311
ENSP00000305426	ENSGACP00000020639
ENSP00000221399	ENSGACP00000011727
ENSP00000229771	ENSGACP00000006806
ENSP00000314444	ENSGACP00000017136
ENSP00000216271	ENSGACP00000005071
ENSP00000334061	ENSGACP00000001491
ENSP00000346236	ENSGACP00000000220
ENSP00000464050	ENSGACP00000012914
ENSP00000225792	ENSGACP00000009347
ENSP00000225792	ENSGACP00000025450
ENSP00000357650	ENSGACP00000024285
ENSP00000262462	ENSGACP00000024263
ENSP00000300456	ENSGACP00000023016
ENSP00000359520	ENSGACP00000019572
ENSP00000351520	ENSGACP00000014238
ENSP00000301825	ENSGACP00000008454
ENSP00000378046	ENSGACP00000008243
ENSP00000222803	ENSGACP00000010767
ENSP00000222803	ENSGACP00000009332
ENSP00000413152	ENSGACP00000003473
ENSP00000242209	ENSGACP00000006347
ENSP00000317232	ENSGACP00000008366
ENSP00000317232	ENSGACP00000011689
ENSP00000345964	ENSGACP00000021542
ENSP00000345964	ENSGACP00000012439
ENSP00000358715	ENSGACP00000012414
ENSP00000301464	ENSGACP00000000772
ENSP00000301464	ENSGACP00000014142
ENSP00000275525	ENSGACP00000006410
ENSP00000275525	ENSGACP00000017305
ENSP00000233809	ENSGACP00000018854
ENSP00000233809	ENSGACP00000003269
ENSP00000386942	ENSGACP00000004022
ENSP00000362239	ENSGACP00000021129
ENSP00000417583	ENSGACP00000021829
ENSP00000417583	ENSGACP00000015846
ENSP00000355968	ENSGACP00000013084
ENSP00000233535	ENSGACP00000016079
ENSP00000415011	ENSGACP00000003931
ENSP00000261867	ENSGACP00000022235
ENSP00000362195	ENSGACP00000018219
ENSP00000262345	ENSGACP00000019166
ENSP00000263409	ENSGACP00000008117
ENSP00000261721	ENSGACP00000019859
ENSP00000384545	ENSGACP00000005941
ENSP00000260743	ENSGACP00000005138
ENSP00000329926	ENSGACP00000025436
ENSP00000357588	ENSGACP00000005837
ENSP00000445952	ENSGACP00000012209
ENSP00000445952	ENSGACP00000000820
ENSP00000251527	ENSGACP00000023196
ENSP00000251527	ENSGACP00000005211
ENSP00000424126	ENSGACP00000013771
ENSP00000424126	ENSGACP00000020523
ENSP00000340594	ENSGACP00000008747
ENSP00000341489	ENSGACP00000013296
ENSP00000368566	ENSGACP00000027605
ENSP00000348429	ENSGACP00000004758
ENSP00000233156	ENSGACP00000003129
ENSP00000222543	ENSGACP00000008282
ENSP00000311184	ENSGACP00000007790
ENSP00000311184	ENSGACP00000016640
ENSP00000324763	ENSGACP00000025425
ENSP00000265132	ENSGACP00000023045
ENSP00000376652	ENSGACP00000011374
ENSP00000376652	ENSGACP00000016639
ENSP00000345405	ENSGACP00000017297
ENSP00000281156	ENSGACP00000008073
ENSP00000328694	ENSGACP00000014609
ENSP00000349575	ENSGACP00000010177
ENSP00000271139	ENSGACP00000015729
ENSP00000331305	ENSGACP00000010104
ENSP00000348300	ENSGACP00000027541
ENSP00000423541	ENSGACP00000020789
ENSP00000423541	ENSGACP00000013293
ENSP00000358142	ENSGACP00000017434
ENSP00000358142	ENSGACP00000005074
ENSP00000299134	ENSGACP00000011768
ENSP00000452871	ENSGACP00000006905
ENSP00000452871	ENSGACP00000022342
ENSP00000351484	ENSGACP00000018068
ENSP00000353224	ENSGACP00000007159
ENSP00000353224	ENSGACP00000021629
ENSP00000420525	ENSGACP00000001510
ENSP00000223026	ENSGACP00000011518
ENSP00000337425	ENSGACP00000007653
ENSP00000157600	ENSGACP00000005156
ENSP00000365494	ENSGACP00000015987
ENSP00000401060	ENSGACP00000005372
ENSP00000373648	ENSGACP00000020863
ENSP00000262916	ENSGACP00000006436
ENSP00000337354	ENSGACP00000013194
ENSP00000316842	ENSGACP00000012821
ENSP00000216513	ENSGACP00000011152
ENSP00000247182	ENSGACP00000011147
ENSP00000304502	ENSGACP00000014281
ENSP00000216602	ENSGACP00000006350
ENSP00000390941	ENSGACP00000022338
ENSP00000390941	ENSGACP00000014096
ENSP00000357927	ENSGACP00000013148
ENSP00000310491	ENSGACP00000020152
ENSP00000346151	ENSGACP00000026379
ENSP00000346151	ENSGACP00000015814
ENSP00000324729	ENSGACP00000015693
ENSP00000325663	ENSGACP00000018115
ENSP00000275015	ENSGACP00000017867
ENSP00000311837	ENSGACP00000007480
ENSP00000429842	ENSGACP00000023702
ENSP00000217381	ENSGACP00000008047
ENSP00000338191	ENSGACP00000002773
ENSP00000378965	ENSGACP00000009197
ENSP00000357484	ENSGACP00000007682
ENSP00000419378	ENSGACP00000023139
ENSP00000358460	ENSGACP00000022997
ENSP00000410811	ENSGACP00000003972
ENSP00000333836	ENSGACP00000007261
ENSP00000218436	ENSGACP00000015077
ENSP00000233630	ENSGACP00000022041
ENSP00000354724	ENSGACP00000022171
ENSP00000337500	ENSGACP00000014617
ENSP00000461961	ENSGACP00000023960
ENSP00000355026	ENSGACP00000025585
ENSP00000056217	ENSGACP00000013823
ENSP00000264051	ENSGACP00000000546
ENSP00000367629	ENSGACP00000008541
ENSP00000366477	ENSGACP00000005245
ENSP00000402584	ENSGACP00000021564
ENSP00000319388	ENSGACP00000023933
ENSP00000441214	ENSGACP00000014594
ENSP00000406191	ENSGACP00000012065
ENSP00000291536	ENSGACP00000002976
ENSP00000356436	ENSGACP00000009782
ENSP00000360762	ENSGACP00000014610
ENSP00000263674	ENSGACP00000010870
ENSP00000250894	ENSGACP00000017221
ENSP00000262013	ENSGACP00000006610
ENSP00000369981	ENSGACP00000024519
ENSP00000369981	ENSGACP00000022977
ENSP00000418744	ENSGACP00000002710
ENSP00000361645	ENSGACP00000004756
ENSP00000361645	ENSGACP00000024428
ENSP00000278937	ENSGACP00000008120
ENSP00000278937	ENSGACP00000026911
ENSP00000432943	ENSGACP00000023362
ENSP00000278947	ENSGACP00000009622
ENSP00000322460	ENSGACP00000009627
ENSP00000322460	ENSGACP00000026912
ENSP00000278949	ENSGACP00000008126
ENSP00000266712	ENSGACP00000012368
