ENSGACP00000003450	ENSMUSP00000034074
ENSGACP00000018304	ENSMUSP00000037172
ENSGACP00000003045	ENSMUSP00000037172
ENSGACP00000008784	ENSMUSP00000040217
ENSGACP00000017512	ENSMUSP00000025288
ENSGACP00000003444	ENSMUSP00000105282
ENSGACP00000013204	ENSMUSP00000018989
ENSGACP00000004939	ENSMUSP00000018466
ENSGACP00000007033	ENSMUSP00000014505
ENSGACP00000012136	ENSMUSP00000111103
ENSGACP00000000014	ENSMUSP00000029128
ENSGACP00000022876	ENSMUSP00000033610
ENSGACP00000020510	ENSMUSP00000015484
ENSGACP00000025947	ENSMUSP00000054412
ENSGACP00000000488	ENSMUSP00000045511
ENSGACP00000013531	ENSMUSP00000075235
ENSGACP00000014122	ENSMUSP00000035246
ENSGACP00000014108	ENSMUSP00000069495
ENSGACP00000013540	ENSMUSP00000073268
ENSGACP00000012095	ENSMUSP00000073268
ENSGACP00000025883	ENSMUSP00000082710
ENSGACP00000005703	ENSMUSP00000021706
ENSGACP00000020860	ENSMUSP00000028311
ENSGACP00000006974	ENSMUSP00000028311
ENSGACP00000022648	ENSMUSP00000004949
ENSGACP00000014759	ENSMUSP00000017530
ENSGACP00000006839	ENSMUSP00000096248
ENSGACP00000022315	ENSMUSP00000096248
ENSGACP00000011561	ENSMUSP00000124863
ENSGACP00000002990	ENSMUSP00000124863
ENSGACP00000021969	ENSMUSP00000097747
ENSGACP00000025513	ENSMUSP00000027961
ENSGACP00000025845	ENSMUSP00000025217
ENSGACP00000017996	ENSMUSP00000027494
ENSGACP00000019294	ENSMUSP00000070606
ENSGACP00000009755	ENSMUSP00000090790
ENSGACP00000015915	ENSMUSP00000104363
ENSGACP00000010900	ENSMUSP00000062535
ENSGACP00000013505	ENSMUSP00000051353
ENSGACP00000002295	ENSMUSP00000020679
ENSGACP00000012521	ENSMUSP00000099608
ENSGACP00000004603	ENSMUSP00000038922
ENSGACP00000006206	ENSMUSP00000019516
ENSGACP00000019496	ENSMUSP00000033081
ENSGACP00000013724	ENSMUSP00000138819
ENSGACP00000004274	ENSMUSP00000015858
ENSGACP00000015475	ENSMUSP00000015858
ENSGACP00000017407	ENSMUSP00000069238
ENSGACP00000007063	ENSMUSP00000028426
ENSGACP00000013968	ENSMUSP00000120598
ENSGACP00000015931	ENSMUSP00000064556
ENSGACP00000009933	ENSMUSP00000021682
ENSGACP00000005141	ENSMUSP00000059666
ENSGACP00000023842	ENSMUSP00000020624
ENSGACP00000009128	ENSMUSP00000031841
ENSGACP00000012449	ENSMUSP00000122476
ENSGACP00000005885	ENSMUSP00000099733
ENSGACP00000009355	ENSMUSP00000005103
ENSGACP00000008256	ENSMUSP00000103815
ENSGACP00000021278	ENSMUSP00000074764
ENSGACP00000026085	ENSMUSP00000032421
ENSGACP00000024121	ENSMUSP00000025477
ENSGACP00000014218	ENSMUSP00000026896
ENSGACP00000008788	ENSMUSP00000100012
ENSGACP00000006233	ENSMUSP00000099434
ENSGACP00000018261	ENSMUSP00000015003
ENSGACP00000007046	ENSMUSP00000050496
ENSGACP00000016853	ENSMUSP00000048260
ENSGACP00000010215	ENSMUSP00000020339
ENSGACP00000007839	ENSMUSP00000036487
ENSGACP00000024328	ENSMUSP00000049007
ENSGACP00000003687	ENSMUSP00000085900
ENSGACP00000013891	ENSMUSP00000049346
ENSGACP00000015752	ENSMUSP00000049346
ENSGACP00000024876	ENSMUSP00000080579
ENSGACP00000005558	ENSMUSP00000105240
ENSGACP00000011056	ENSMUSP00000125718
ENSGACP00000023914	ENSMUSP00000028349
ENSGACP00000004412	ENSMUSP00000028349
ENSGACP00000010614	ENSMUSP00000002989
ENSGACP00000000678	ENSMUSP00000102710
ENSGACP00000008325	ENSMUSP00000097166
ENSGACP00000002669	ENSMUSP00000102177
ENSGACP00000022578	ENSMUSP00000032715
ENSGACP00000016521	ENSMUSP00000036674
ENSGACP00000011213	ENSMUSP00000042867
ENSGACP00000023031	ENSMUSP00000104411
ENSGACP00000018735	ENSMUSP00000018630
ENSGACP00000010089	ENSMUSP00000006718
ENSGACP00000008514	ENSMUSP00000001384
ENSGACP00000024791	ENSMUSP00000024049
ENSGACP00000024033	ENSMUSP00000018382
ENSGACP00000003038	ENSMUSP00000039653
ENSGACP00000002405	ENSMUSP00000031278
ENSGACP00000011399	ENSMUSP00000105486
ENSGACP00000016404	ENSMUSP00000094528
ENSGACP00000001035	ENSMUSP00000093960
ENSGACP00000020270	ENSMUSP00000022707
ENSGACP00000024658	ENSMUSP00000064131
ENSGACP00000021658	ENSMUSP00000124459
ENSGACP00000018417	ENSMUSP00000047199
ENSGACP00000008623	ENSMUSP00000047199
ENSGACP00000022764	ENSMUSP00000038015
ENSGACP00000006111	ENSMUSP00000119993
ENSGACP00000023493	ENSMUSP00000119993
ENSGACP00000014394	ENSMUSP00000048978
ENSGACP00000008802	ENSMUSP00000067752
ENSGACP00000019210	ENSMUSP00000030306
ENSGACP00000002834	ENSMUSP00000034427
ENSGACP00000002348	ENSMUSP00000064775
ENSGACP00000023091	ENSMUSP00000064775
ENSGACP00000015815	ENSMUSP00000103028
ENSGACP00000022066	ENSMUSP00000115260
ENSGACP00000010750	ENSMUSP00000075089
ENSGACP00000012695	ENSMUSP00000126897
ENSGACP00000007203	ENSMUSP00000126897
ENSGACP00000024500	ENSMUSP00000074533
ENSGACP00000022065	ENSMUSP00000109098
ENSGACP00000003704	ENSMUSP00000044245
ENSGACP00000016370	ENSMUSP00000037532
ENSGACP00000022984	ENSMUSP00000041622
ENSGACP00000004888	ENSMUSP00000125373
ENSGACP00000002403	ENSMUSP00000019662
ENSGACP00000008807	ENSMUSP00000117346
ENSGACP00000022304	ENSMUSP00000003117
ENSGACP00000020352	ENSMUSP00000109886
ENSGACP00000018750	ENSMUSP00000030763
ENSGACP00000000372	ENSMUSP00000033380
ENSGACP00000014494	ENSMUSP00000027697
ENSGACP00000023747	ENSMUSP00000030814
ENSGACP00000004440	ENSMUSP00000033755
ENSGACP00000005070	ENSMUSP00000033756
ENSGACP00000002886	ENSMUSP00000027538
ENSGACP00000007201	ENSMUSP00000033549
ENSGACP00000024497	ENSMUSP00000033549
ENSGACP00000010311	ENSMUSP00000026795
ENSGACP00000020639	ENSMUSP00000033341
ENSGACP00000011727	ENSMUSP00000103391
ENSGACP00000006806	ENSMUSP00000049070
ENSGACP00000017136	ENSMUSP00000082895
ENSGACP00000005071	ENSMUSP00000080832
ENSGACP00000001491	ENSMUSP00000033501
ENSGACP00000000220	ENSMUSP00000133245
ENSGACP00000012914	ENSMUSP00000021046
ENSGACP00000009347	ENSMUSP00000021062
ENSGACP00000025450	ENSMUSP00000021062
ENSGACP00000024285	ENSMUSP00000029541
ENSGACP00000024263	ENSMUSP00000025500
ENSGACP00000023016	ENSMUSP00000078971
ENSGACP00000019572	ENSMUSP00000079864
ENSGACP00000014238	ENSMUSP00000138944
ENSGACP00000008454	ENSMUSP00000036830
ENSGACP00000008243	ENSMUSP00000066839
ENSGACP00000003473	ENSMUSP00000002809
ENSGACP00000006347	ENSMUSP00000031795
ENSGACP00000008366	ENSMUSP00000001595
ENSGACP00000011689	ENSMUSP00000001595
ENSGACP00000021542	ENSMUSP00000072472
ENSGACP00000012439	ENSMUSP00000072472
ENSGACP00000012414	ENSMUSP00000077919
ENSGACP00000000772	ENSMUSP00000023807
ENSGACP00000014142	ENSMUSP00000023807
ENSGACP00000006410	ENSMUSP00000020704
ENSGACP00000017305	ENSMUSP00000020704
ENSGACP00000018854	ENSMUSP00000046610
ENSGACP00000003269	ENSMUSP00000046610
ENSGACP00000004022	ENSMUSP00000084091
ENSGACP00000021129	ENSMUSP00000092654
ENSGACP00000021829	ENSMUSP00000036227
ENSGACP00000015846	ENSMUSP00000036227
ENSGACP00000013084	ENSMUSP00000042410
ENSGACP00000016079	ENSMUSP00000031037
ENSGACP00000003931	ENSMUSP00000035257
ENSGACP00000022235	ENSMUSP00000005952
ENSGACP00000018219	ENSMUSP00000101768
ENSGACP00000019166	ENSMUSP00000010605
ENSGACP00000008117	ENSMUSP00000126137
ENSGACP00000019859	ENSMUSP00000026093
ENSGACP00000005941	ENSMUSP00000074864
ENSGACP00000005138	ENSMUSP00000047278
ENSGACP00000025436	ENSMUSP00000107444
ENSGACP00000005837	ENSMUSP00000064462
ENSGACP00000012209	ENSMUSP00000026427
ENSGACP00000000820	ENSMUSP00000026427
ENSGACP00000023196	ENSMUSP00000098548
ENSGACP00000005211	ENSMUSP00000098548
ENSGACP00000013771	ENSMUSP00000105212
ENSGACP00000020523	ENSMUSP00000105212
ENSGACP00000008747	ENSMUSP00000041897
ENSGACP00000013296	ENSMUSP00000043085
ENSGACP00000027605	ENSMUSP00000104533
ENSGACP00000004758	ENSMUSP00000046585
ENSGACP00000003129	ENSMUSP00000107347
ENSGACP00000008282	ENSMUSP00000031674
ENSGACP00000007790	ENSMUSP00000053238
ENSGACP00000016640	ENSMUSP00000053238
ENSGACP00000025425	ENSMUSP00000093141
ENSGACP00000023045	ENSMUSP00000030041
ENSGACP00000011374	ENSMUSP00000021689
ENSGACP00000016639	ENSMUSP00000021689
ENSGACP00000017297	ENSMUSP00000046216
ENSGACP00000001068	ENSMUSP00000121309
ENSGACP00000008073	ENSMUSP00000027226
ENSGACP00000014609	ENSMUSP00000081455
ENSGACP00000010177	ENSMUSP00000003438
ENSGACP00000015729	ENSMUSP00000030477
ENSGACP00000010104	ENSMUSP00000061390
ENSGACP00000027541	ENSMUSP00000110074
ENSGACP00000020789	ENSMUSP00000124473
ENSGACP00000013293	ENSMUSP00000124473
ENSGACP00000017434	ENSMUSP00000037576
ENSGACP00000005074	ENSMUSP00000037576
ENSGACP00000011768	ENSMUSP00000050730
ENSGACP00000006905	ENSMUSP00000124131
ENSGACP00000022342	ENSMUSP00000124131
ENSGACP00000018068	ENSMUSP00000044231
ENSGACP00000007159	ENSMUSP00000023486
ENSGACP00000021629	ENSMUSP00000023486
ENSGACP00000001510	ENSMUSP00000031729
ENSGACP00000011518	ENSMUSP00000031691
ENSGACP00000011514	ENSMUSP00000031690
ENSGACP00000007653	ENSMUSP00000042667
ENSGACP00000005156	ENSMUSP00000032376
ENSGACP00000015987	ENSMUSP00000127892
ENSGACP00000005372	ENSMUSP00000104878
ENSGACP00000020863	ENSMUSP00000063380
ENSGACP00000006436	ENSMUSP00000030376
ENSGACP00000013194	ENSMUSP00000053270
ENSGACP00000012821	ENSMUSP00000045973
ENSGACP00000011152	ENSMUSP00000036150
ENSGACP00000011147	ENSMUSP00000059026
ENSGACP00000014281	ENSMUSP00000125871
ENSGACP00000006350	ENSMUSP00000021714
ENSGACP00000022338	ENSMUSP00000036721
ENSGACP00000014096	ENSMUSP00000036721
ENSGACP00000013148	ENSMUSP00000102813
ENSGACP00000020152	ENSMUSP00000106963
ENSGACP00000026379	ENSMUSP00000085872
ENSGACP00000015814	ENSMUSP00000085872
ENSGACP00000015693	ENSMUSP00000021467
ENSGACP00000018115	ENSMUSP00000041173
ENSGACP00000017867	ENSMUSP00000024742
ENSGACP00000007480	ENSMUSP00000021004
ENSGACP00000023702	ENSMUSP00000111151
ENSGACP00000008047	ENSMUSP00000105350
ENSGACP00000002773	ENSMUSP00000037324
ENSGACP00000009197	ENSMUSP00000041294
ENSGACP00000007682	ENSMUSP00000020008
ENSGACP00000003774	ENSMUSP00000007257
ENSGACP00000023139	ENSMUSP00000109904
ENSGACP00000003972	ENSMUSP00000126340
ENSGACP00000007261	ENSMUSP00000122855
ENSGACP00000011199	ENSMUSP00000137256
ENSGACP00000022041	ENSMUSP00000090277
ENSGACP00000022171	ENSMUSP00000041790
ENSGACP00000014617	ENSMUSP00000058730
ENSGACP00000023960	ENSMUSP00000137517
ENSGACP00000003253	ENSMUSP00000028071
ENSGACP00000025585	ENSMUSP00000104311
ENSGACP00000013823	ENSMUSP00000031750
ENSGACP00000000546	ENSMUSP00000066894
ENSGACP00000008541	ENSMUSP00000030898
ENSGACP00000021564	ENSMUSP00000073246
ENSGACP00000023933	ENSMUSP00000092735
ENSGACP00000014594	ENSMUSP00000101903
ENSGACP00000012065	ENSMUSP00000071859
ENSGACP00000002976	ENSMUSP00000024832
ENSGACP00000009782	ENSMUSP00000070868
ENSGACP00000014610	ENSMUSP00000025718
ENSGACP00000010870	ENSMUSP00000102647
ENSGACP00000017221	ENSMUSP00000085683
ENSGACP00000006610	ENSMUSP00000042271
ENSGACP00000024519	ENSMUSP00000030212
ENSGACP00000022977	ENSMUSP00000030212
ENSGACP00000002710	ENSMUSP00000129800
ENSGACP00000004756	ENSMUSP00000028214
ENSGACP00000024428	ENSMUSP00000028214
ENSGACP00000008120	ENSMUSP00000034600
ENSGACP00000026911	ENSMUSP00000034600
ENSGACP00000023362	ENSMUSP00000066701
ENSGACP00000009622	ENSMUSP00000126826
ENSGACP00000009627	ENSMUSP00000062507
ENSGACP00000026912	ENSMUSP00000062507
ENSGACP00000008126	ENSMUSP00000110311
ENSGACP00000012368	ENSMUSP00000061470
ENSGACP00000002501	ENSMUSP00000046368
ENSGACP00000024161	ENSMUSP00000045409
ENSGACP00000015186	ENSMUSP00000128922
ENSGACP00000019007	ENSMUSP00000095845
ENSGACP00000009364	ENSMUSP00000054545
ENSGACP00000022283	ENSMUSP00000054545
ENSGACP00000016040	ENSMUSP00000019920
ENSGACP00000027323	ENSMUSP00000025208
ENSGACP00000012004	ENSMUSP00000048350
ENSGACP00000008427	ENSMUSP00000048350
ENSGACP00000020774	ENSMUSP00000053431
ENSGACP00000019686	ENSMUSP00000029850
ENSGACP00000007393	ENSMUSP00000052544
ENSGACP00000014077	ENSMUSP00000090567
ENSGACP00000002623	ENSMUSP00000090567
ENSGACP00000015404	ENSMUSP00000047888
ENSGACP00000024486	ENSMUSP00000047888
ENSGACP00000018930	ENSMUSP00000081664
ENSGACP00000022151	ENSMUSP00000081664
ENSGACP00000024490	ENSMUSP00000021066
ENSGACP00000016156	ENSMUSP00000021066
ENSGACP00000014072	ENSMUSP00000138618
ENSGACP00000003890	ENSMUSP00000082220
ENSGACP00000008971	ENSMUSP00000123078
ENSGACP00000010715	ENSMUSP00000123078
ENSGACP00000009867	ENSMUSP00000101700
ENSGACP00000012507	ENSMUSP00000040416
ENSGACP00000018335	ENSMUSP00000029575
ENSGACP00000020593	ENSMUSP00000028623
ENSGACP00000003601	ENSMUSP00000030643
ENSGACP00000008287	ENSMUSP00000076505
ENSGACP00000003954	ENSMUSP00000076505
ENSGACP00000011110	ENSMUSP00000022550
ENSGACP00000008952	ENSMUSP00000015256
ENSGACP00000007269	ENSMUSP00000019226
ENSGACP00000018118	ENSMUSP00000108302
ENSGACP00000017819	ENSMUSP00000084062
ENSGACP00000011957	ENSMUSP00000097909
ENSGACP00000020024	ENSMUSP00000065205
ENSGACP00000020028	ENSMUSP00000028362
ENSGACP00000010507	ENSMUSP00000027896
ENSGACP00000015759	ENSMUSP00000029307
ENSGACP00000027242	ENSMUSP00000029307
ENSGACP00000006238	ENSMUSP00000034883
ENSGACP00000007062	ENSMUSP00000054226
ENSGACP00000006011	ENSMUSP00000094076
ENSGACP00000018621	ENSMUSP00000106460
ENSGACP00000025390	ENSMUSP00000031868
ENSGACP00000015595	ENSMUSP00000029208
ENSGACP00000027075	ENSMUSP00000001122
ENSGACP00000011371	ENSMUSP00000001122
ENSGACP00000014438	ENSMUSP00000021161
ENSGACP00000002482	ENSMUSP00000021161
ENSGACP00000010138	ENSMUSP00000022040
ENSGACP00000014484	ENSMUSP00000129216
ENSGACP00000007335	ENSMUSP00000110348
ENSGACP00000014770	ENSMUSP00000095533
ENSGACP00000010547	ENSMUSP00000068716
ENSGACP00000014826	ENSMUSP00000091964
ENSGACP00000007626	ENSMUSP00000128308
ENSGACP00000011322	ENSMUSP00000003659
ENSGACP00000021331	ENSMUSP00000022213
ENSGACP00000013049	ENSMUSP00000022213
ENSGACP00000014740	ENSMUSP00000060441
ENSGACP00000025750	ENSMUSP00000057488
ENSGACP00000019139	ENSMUSP00000059654
ENSGACP00000021558	ENSMUSP00000040229
ENSGACP00000025677	ENSMUSP00000040229
ENSGACP00000015799	ENSMUSP00000031607
ENSGACP00000011290	ENSMUSP00000044627
ENSGACP00000021467	ENSMUSP00000025645
ENSGACP00000006721	ENSMUSP00000095169
ENSGACP00000012822	ENSMUSP00000095169
ENSGACP00000022562	ENSMUSP00000129378
ENSGACP00000011924	ENSMUSP00000088089
ENSGACP00000008097	ENSMUSP00000076751
ENSGACP00000013458	ENSMUSP00000076751
ENSGACP00000018946	ENSMUSP00000124179
ENSGACP00000012763	ENSMUSP00000130758
ENSGACP00000023501	ENSMUSP00000030080
ENSGACP00000014637	ENSMUSP00000084578
ENSGACP00000017766	ENSMUSP00000065679
ENSGACP00000017720	ENSMUSP00000101060
ENSGACP00000023168	ENSMUSP00000101060
ENSGACP00000000388	ENSMUSP00000043522
ENSGACP00000010687	ENSMUSP00000043522
ENSGACP00000027546	ENSMUSP00000060591
ENSGACP00000022436	ENSMUSP00000103897
ENSGACP00000009783	ENSMUSP00000136611
ENSGACP00000013794	ENSMUSP00000125580
ENSGACP00000002583	ENSMUSP00000125580
ENSGACP00000008851	ENSMUSP00000037867
ENSGACP00000011962	ENSMUSP00000049285
ENSGACP00000013617	ENSMUSP00000034698
ENSGACP00000024845	ENSMUSP00000034698
ENSGACP00000007476	ENSMUSP00000002837
ENSGACP00000008862	ENSMUSP00000132514
ENSGACP00000002243	ENSMUSP00000043210
ENSGACP00000004347	ENSMUSP00000100991
ENSGACP00000024642	ENSMUSP00000006027
ENSGACP00000023961	ENSMUSP00000036065
ENSGACP00000010920	ENSMUSP00000112662
ENSGACP00000020256	ENSMUSP00000020023
ENSGACP00000018674	ENSMUSP00000036726
ENSGACP00000001541	ENSMUSP00000041599
ENSGACP00000025293	ENSMUSP00000036110
ENSGACP00000021244	ENSMUSP00000059757
ENSGACP00000015197	ENSMUSP00000099509
ENSGACP00000010883	ENSMUSP00000000939
ENSGACP00000016455	ENSMUSP00000091769
ENSGACP00000007247	ENSMUSP00000028252
ENSGACP00000008515	ENSMUSP00000091011
ENSGACP00000010891	ENSMUSP00000091011
ENSGACP00000005764	ENSMUSP00000019456
ENSGACP00000006690	ENSMUSP00000034969
ENSGACP00000027174	ENSMUSP00000077899
ENSGACP00000023717	ENSMUSP00000031096
ENSGACP00000003615	ENSMUSP00000027053
ENSGACP00000005917	ENSMUSP00000122552
ENSGACP00000024117	ENSMUSP00000026027
ENSGACP00000018050	ENSMUSP00000017821
ENSGACP00000018757	ENSMUSP00000031309
