ENSTNIP00000006282	ENSGACP00000024945
ENSTNIP00000004863	ENSGACP00000003450
ENSTNIP00000000782	ENSGACP00000003045
ENSTNIP00000018759	ENSGACP00000001735
ENSTNIP00000017542	ENSGACP00000018749
ENSTNIP00000014782	ENSGACP00000026872
ENSTNIP00000018279	ENSGACP00000017512
ENSTNIP00000007712	ENSGACP00000003444
ENSTNIP00000010478	ENSGACP00000027655
ENSTNIP00000015128	ENSGACP00000015229
ENSTNIP00000018487	ENSGACP00000013204
ENSTNIP00000013577	ENSGACP00000018412
ENSTNIP00000006735	ENSGACP00000004939
ENSTNIP00000016295	ENSGACP00000004648
ENSTNIP00000012005	ENSGACP00000004796
ENSTNIP00000019716	ENSGACP00000007033
ENSTNIP00000005193	ENSGACP00000005128
ENSTNIP00000022203	ENSGACP00000017057
ENSTNIP00000007841	ENSGACP00000001015
ENSTNIP00000010138	ENSGACP00000015909
ENSTNIP00000017783	ENSGACP00000013972
ENSTNIP00000019148	ENSGACP00000012136
ENSTNIP00000021849	ENSGACP00000004873
ENSTNIP00000011698	ENSGACP00000002806
ENSTNIP00000005529	ENSGACP00000023126
ENSTNIP00000011130	ENSGACP00000013826
ENSTNIP00000007394	ENSGACP00000026047
ENSTNIP00000019905	ENSGACP00000023281
ENSTNIP00000005402	ENSGACP00000000014
ENSTNIP00000004390	ENSGACP00000010389
ENSTNIP00000016699	ENSGACP00000008196
ENSTNIP00000019972	ENSGACP00000022876
ENSTNIP00000013161	ENSGACP00000020510
ENSTNIP00000005384	ENSGACP00000015431
ENSTNIP00000020437	ENSGACP00000012075
ENSTNIP00000020722	ENSGACP00000004209
ENSTNIP00000011565	ENSGACP00000000488
ENSTNIP00000008871	ENSGACP00000021405
ENSTNIP00000006170	ENSGACP00000013531
ENSTNIP00000014695	ENSGACP00000026980
ENSTNIP00000017396	ENSGACP00000007004
ENSTNIP00000010280	ENSGACP00000014122
ENSTNIP00000010281	ENSGACP00000014108
ENSTNIP00000023041	ENSGACP00000021962
ENSTNIP00000013982	ENSGACP00000022891
ENSTNIP00000010621	ENSGACP00000024574
ENSTNIP00000013547	ENSGACP00000017005
ENSTNIP00000013594	ENSGACP00000011557
ENSTNIP00000010886	ENSGACP00000015493
ENSTNIP00000020690	ENSGACP00000004288
ENSTNIP00000010004	ENSGACP00000001460
ENSTNIP00000019098	ENSGACP00000005846
ENSTNIP00000013350	ENSGACP00000013822
ENSTNIP00000017048	ENSGACP00000024909
ENSTNIP00000015136	ENSGACP00000012693
ENSTNIP00000011358	ENSGACP00000023579
ENSTNIP00000016594	ENSGACP00000020477
ENSTNIP00000006171	ENSGACP00000013540
ENSTNIP00000011460	ENSGACP00000012095
ENSTNIP00000019469	ENSGACP00000013490
ENSTNIP00000017513	ENSGACP00000020058
ENSTNIP00000005138	ENSGACP00000005703
ENSTNIP00000016461	ENSGACP00000020860
ENSTNIP00000013509	ENSGACP00000006974
ENSTNIP00000011878	ENSGACP00000022084
ENSTNIP00000012472	ENSGACP00000022648
ENSTNIP00000019321	ENSGACP00000014759
ENSTNIP00000011270	ENSGACP00000006839
ENSTNIP00000005826	ENSGACP00000016761
ENSTNIP00000011480	ENSGACP00000011561
ENSTNIP00000016134	ENSGACP00000002990
ENSTNIP00000008577	ENSGACP00000001431
ENSTNIP00000021647	ENSGACP00000010056
ENSTNIP00000011443	ENSGACP00000026579
ENSTNIP00000021926	ENSGACP00000021969
ENSTNIP00000005171	ENSGACP00000002832
ENSTNIP00000017166	ENSGACP00000023903
ENSTNIP00000020273	ENSGACP00000005981
ENSTNIP00000018299	ENSGACP00000017996
ENSTNIP00000020489	ENSGACP00000011089
ENSTNIP00000003517	ENSGACP00000019294
ENSTNIP00000003418	ENSGACP00000015915
ENSTNIP00000010518	ENSGACP00000013498
ENSTNIP00000010517	ENSGACP00000013505
ENSTNIP00000018824	ENSGACP00000023103
ENSTNIP00000013569	ENSGACP00000018225
ENSTNIP00000010483	ENSGACP00000002295
