ENSDARP00000074624	ENSMUSP00000034074
ENSDARP00000061719	ENSMUSP00000037172
ENSDARP00000095914	ENSMUSP00000037172
ENSDARP00000023678	ENSMUSP00000018989
ENSDARP00000001240	ENSMUSP00000018466
ENSDARP00000101815	ENSMUSP00000014505
ENSDARP00000123904	ENSMUSP00000111103
ENSDARP00000042321	ENSMUSP00000029128
ENSDARP00000111829	ENSMUSP00000015484
ENSDARP00000035017	ENSMUSP00000054412
ENSDARP00000099341	ENSMUSP00000045511
ENSDARP00000016279	ENSMUSP00000075235
ENSDARP00000087241	ENSMUSP00000024829
ENSDARP00000120245	ENSMUSP00000035246
ENSDARP00000086278	ENSMUSP00000069495
ENSDARP00000108480	ENSMUSP00000110574
ENSDARP00000043235	ENSMUSP00000073268
ENSDARP00000112135	ENSMUSP00000073268
ENSDARP00000040549	ENSMUSP00000082710
ENSDARP00000105765	ENSMUSP00000021706
ENSDARP00000091948	ENSMUSP00000130759
ENSDARP00000016657	ENSMUSP00000028311
ENSDARP00000043465	ENSMUSP00000028311
ENSDARP00000036715	ENSMUSP00000004949
ENSDARP00000013849	ENSMUSP00000017530
ENSDARP00000128322	ENSMUSP00000096248
ENSDARP00000052396	ENSMUSP00000096248
ENSDARP00000097747	ENSMUSP00000124863
ENSDARP00000102479	ENSMUSP00000124863
ENSDARP00000017456	ENSMUSP00000097747
ENSDARP00000075275	ENSMUSP00000027961
ENSDARP00000003744	ENSMUSP00000025217
ENSDARP00000025441	ENSMUSP00000027494
ENSDARP00000115728	ENSMUSP00000090790
ENSDARP00000060526	ENSMUSP00000104363
ENSDARP00000102702	ENSMUSP00000088642
ENSDARP00000128926	ENSMUSP00000051353
ENSDARP00000104196	ENSMUSP00000082115
ENSDARP00000123389	ENSMUSP00000020679
ENSDARP00000122905	ENSMUSP00000099608
ENSDARP00000109018	ENSMUSP00000019516
ENSDARP00000041145	ENSMUSP00000019516
ENSDARP00000098378	ENSMUSP00000033081
ENSDARP00000042193	ENSMUSP00000138819
ENSDARP00000033512	ENSMUSP00000138819
ENSDARP00000099879	ENSMUSP00000015858
ENSDARP00000076418	ENSMUSP00000015858
ENSDARP00000052791	ENSMUSP00000069238
ENSDARP00000102159	ENSMUSP00000069238
ENSDARP00000070109	ENSMUSP00000028426
ENSDARP00000087079	ENSMUSP00000120598
ENSDARP00000033311	ENSMUSP00000064556
ENSDARP00000067607	ENSMUSP00000059666
ENSDARP00000071278	ENSMUSP00000108629
ENSDARP00000096178	ENSMUSP00000101004
ENSDARP00000087500	ENSMUSP00000101004
ENSDARP00000010426	ENSMUSP00000031841
ENSDARP00000105608	ENSMUSP00000122476
ENSDARP00000062853	ENSMUSP00000099733
ENSDARP00000015027	ENSMUSP00000005103
ENSDARP00000036016	ENSMUSP00000103815
ENSDARP00000104838	ENSMUSP00000003509
ENSDARP00000110537	ENSMUSP00000074764
ENSDARP00000066622	ENSMUSP00000025477
ENSDARP00000022709	ENSMUSP00000026896
ENSDARP00000011180	ENSMUSP00000043477
ENSDARP00000109781	ENSMUSP00000100012
ENSDARP00000101968	ENSMUSP00000099434
ENSDARP00000011396	ENSMUSP00000015003
ENSDARP00000086789	ENSMUSP00000050496
ENSDARP00000020784	ENSMUSP00000048260
ENSDARP00000111457	ENSMUSP00000020339
ENSDARP00000013157	ENSMUSP00000036487
ENSDARP00000052440	ENSMUSP00000049007
ENSDARP00000107372	ENSMUSP00000085900
ENSDARP00000107947	ENSMUSP00000049346
ENSDARP00000053660	ENSMUSP00000049346
ENSDARP00000114340	ENSMUSP00000080579
ENSDARP00000101407	ENSMUSP00000105240
ENSDARP00000056104	ENSMUSP00000125718
ENSDARP00000098075	ENSMUSP00000028349
ENSDARP00000089131	ENSMUSP00000028349
ENSDARP00000017762	ENSMUSP00000002989
ENSDARP00000052420	ENSMUSP00000102710
ENSDARP00000128041	ENSMUSP00000102710
ENSDARP00000086597	ENSMUSP00000097166
ENSDARP00000106043	ENSMUSP00000102177
ENSDARP00000003829	ENSMUSP00000032715
ENSDARP00000123474	ENSMUSP00000036674
ENSDARP00000049623	ENSMUSP00000042867
ENSDARP00000105575	ENSMUSP00000104411
ENSDARP00000055224	ENSMUSP00000018630
ENSDARP00000005680	ENSMUSP00000006718
ENSDARP00000121183	ENSMUSP00000001384
ENSDARP00000003525	ENSMUSP00000001384
ENSDARP00000129116	ENSMUSP00000024049
ENSDARP00000008475	ENSMUSP00000018382
ENSDARP00000058968	ENSMUSP00000039653
ENSDARP00000079823	ENSMUSP00000031278
ENSDARP00000104791	ENSMUSP00000105486
ENSDARP00000075280	ENSMUSP00000093960
ENSDARP00000108980	ENSMUSP00000022707
ENSDARP00000039553	ENSMUSP00000064131
ENSDARP00000105944	ENSMUSP00000124459
ENSDARP00000106138	ENSMUSP00000047199
ENSDARP00000123199	ENSMUSP00000038015
ENSDARP00000121158	ENSMUSP00000119993
ENSDARP00000102048	ENSMUSP00000119993
ENSDARP00000057433	ENSMUSP00000067752
ENSDARP00000063051	ENSMUSP00000030306
ENSDARP00000081844	ENSMUSP00000034427
ENSDARP00000115372	ENSMUSP00000064775
ENSDARP00000115965	ENSMUSP00000103028
ENSDARP00000101420	ENSMUSP00000095964
ENSDARP00000112407	ENSMUSP00000115260
ENSDARP00000013006	ENSMUSP00000075089
ENSDARP00000064825	ENSMUSP00000126897
ENSDARP00000042673	ENSMUSP00000074533
ENSDARP00000127476	ENSMUSP00000106905
ENSDARP00000015394	ENSMUSP00000109098
ENSDARP00000013506	ENSMUSP00000037532
ENSDARP00000117090	ENSMUSP00000037532
ENSDARP00000102910	ENSMUSP00000041622
ENSDARP00000012147	ENSMUSP00000125373
ENSDARP00000073893	ENSMUSP00000019662
ENSDARP00000104859	ENSMUSP00000117346
ENSDARP00000053426	ENSMUSP00000003117
ENSDARP00000075572	ENSMUSP00000109886
ENSDARP00000091375	ENSMUSP00000030763
ENSDARP00000087820	ENSMUSP00000033380
ENSDARP00000002635	ENSMUSP00000027697
ENSDARP00000108255	ENSMUSP00000030814
ENSDARP00000073523	ENSMUSP00000033755
ENSDARP00000030625	ENSMUSP00000027538
ENSDARP00000014061	ENSMUSP00000033549
ENSDARP00000054692	ENSMUSP00000033549
ENSDARP00000084007	ENSMUSP00000033341
ENSDARP00000078442	ENSMUSP00000103391
ENSDARP00000124333	ENSMUSP00000049070
ENSDARP00000099556	ENSMUSP00000049070
ENSDARP00000091436	ENSMUSP00000082895
ENSDARP00000109870	ENSMUSP00000080832
ENSDARP00000124246	ENSMUSP00000033501
ENSDARP00000129124	ENSMUSP00000133245
ENSDARP00000070686	ENSMUSP00000021046
ENSDARP00000055491	ENSMUSP00000021062
ENSDARP00000067708	ENSMUSP00000029541
ENSDARP00000106457	ENSMUSP00000025500
ENSDARP00000012791	ENSMUSP00000078971
ENSDARP00000056073	ENSMUSP00000138944
ENSDARP00000111869	ENSMUSP00000036830
ENSDARP00000065396	ENSMUSP00000066839
ENSDARP00000106564	ENSMUSP00000002809
ENSDARP00000022147	ENSMUSP00000031795
ENSDARP00000066366	ENSMUSP00000001595
ENSDARP00000095220	ENSMUSP00000001595
ENSDARP00000099181	ENSMUSP00000072472
ENSDARP00000100931	ENSMUSP00000077919
ENSDARP00000127731	ENSMUSP00000077919
ENSDARP00000027644	ENSMUSP00000020702
ENSDARP00000095343	ENSMUSP00000023807
ENSDARP00000109154	ENSMUSP00000023807
ENSDARP00000019674	ENSMUSP00000020704
ENSDARP00000056452	ENSMUSP00000020704
ENSDARP00000068816	ENSMUSP00000046610
ENSDARP00000019643	ENSMUSP00000046610
ENSDARP00000122397	ENSMUSP00000084091
ENSDARP00000129467	ENSMUSP00000084091
ENSDARP00000053606	ENSMUSP00000092654
ENSDARP00000057298	ENSMUSP00000036227
ENSDARP00000063586	ENSMUSP00000036227
ENSDARP00000022487	ENSMUSP00000042410
ENSDARP00000050473	ENSMUSP00000031037
ENSDARP00000074794	ENSMUSP00000035257
ENSDARP00000025373	ENSMUSP00000005952
ENSDARP00000063985	ENSMUSP00000101768
ENSDARP00000058305	ENSMUSP00000126137
ENSDARP00000062984	ENSMUSP00000126137
ENSDARP00000109601	ENSMUSP00000074864
ENSDARP00000091774	ENSMUSP00000107444
ENSDARP00000104127	ENSMUSP00000107444
ENSDARP00000028904	ENSMUSP00000026427
ENSDARP00000114008	ENSMUSP00000026427
ENSDARP00000025094	ENSMUSP00000098548
ENSDARP00000097628	ENSMUSP00000105212
ENSDARP00000080655	ENSMUSP00000105212
ENSDARP00000097784	ENSMUSP00000041897
ENSDARP00000098809	ENSMUSP00000043085
ENSDARP00000079273	ENSMUSP00000104533
ENSDARP00000123999	ENSMUSP00000046585
ENSDARP00000083765	ENSMUSP00000034822
ENSDARP00000047652	ENSMUSP00000107347
ENSDARP00000081855	ENSMUSP00000031674
ENSDARP00000076606	ENSMUSP00000053238
ENSDARP00000025648	ENSMUSP00000053238
ENSDARP00000098282	ENSMUSP00000093141
ENSDARP00000011426	ENSMUSP00000030041
ENSDARP00000109709	ENSMUSP00000021689
ENSDARP00000045814	ENSMUSP00000021689
