ENSTGUP00000008915	ENSMGAP00000004951
ENSTGUP00000011592	ENSMGAP00000016060
ENSTGUP00000002935	ENSMGAP00000000132
ENSTGUP00000010998	ENSMGAP00000013265
ENSTGUP00000006346	ENSMGAP00000013498
ENSTGUP00000010909	ENSMGAP00000010739
ENSTGUP00000008898	ENSMGAP00000004925
ENSTGUP00000010401	ENSMGAP00000011180
ENSTGUP00000005020	ENSMGAP00000003978
ENSTGUP00000014038	ENSMGAP00000015197
ENSTGUP00000005254	ENSMGAP00000003388
ENSTGUP00000007673	ENSMGAP00000002654
ENSTGUP00000011252	ENSMGAP00000019425
ENSTGUP00000005191	ENSMGAP00000002402
ENSTGUP00000005389	ENSMGAP00000009217
ENSTGUP00000006862	ENSMGAP00000002648
ENSTGUP00000008706	ENSMGAP00000009326
ENSTGUP00000010982	ENSMGAP00000012078
ENSTGUP00000007828	ENSMGAP00000007525
ENSTGUP00000003676	ENSMGAP00000001572
ENSTGUP00000004968	ENSMGAP00000000479
ENSTGUP00000002319	ENSMGAP00000003900
ENSTGUP00000011474	ENSMGAP00000013487
ENSTGUP00000013282	ENSMGAP00000016149
ENSTGUP00000012847	ENSMGAP00000018471
ENSTGUP00000000909	ENSMGAP00000000415
ENSTGUP00000001623	ENSMGAP00000000276
ENSTGUP00000005458	ENSMGAP00000000909
ENSTGUP00000008967	ENSMGAP00000012849
ENSTGUP00000005263	ENSMGAP00000000973
ENSTGUP00000000371	ENSMGAP00000002277
ENSTGUP00000003862	ENSMGAP00000010566
ENSTGUP00000003819	ENSMGAP00000010545
ENSTGUP00000004420	ENSMGAP00000001323
ENSTGUP00000002205	ENSMGAP00000018658
ENSTGUP00000010714	ENSMGAP00000011060
ENSTGUP00000002960	ENSMGAP00000007584
ENSTGUP00000016783	ENSMGAP00000000941
ENSTGUP00000008885	ENSMGAP00000015605
ENSTGUP00000003276	ENSMGAP00000017353
ENSTGUP00000013203	ENSMGAP00000014132
ENSTGUP00000006737	ENSMGAP00000003168
ENSTGUP00000002510	ENSMGAP00000000271
ENSTGUP00000010462	ENSMGAP00000010789
ENSTGUP00000009884	ENSMGAP00000010388
ENSTGUP00000001025	ENSMGAP00000011657
ENSTGUP00000006567	ENSMGAP00000005618
ENSTGUP00000013314	ENSMGAP00000016332
ENSTGUP00000000503	ENSMGAP00000001450
