ENSACAP00000008923	ENSLOCP00000011371
ENSACAP00000005936	ENSLOCP00000009128
ENSACAP00000017014	ENSLOCP00000003817
ENSACAP00000013370	ENSLOCP00000018009
ENSACAP00000006833	ENSLOCP00000021014
ENSACAP00000005194	ENSLOCP00000007024
ENSACAP00000001737	ENSLOCP00000007725
ENSACAP00000013552	ENSLOCP00000009060
ENSACAP00000003212	ENSLOCP00000011549
ENSACAP00000019299	ENSLOCP00000018593
ENSACAP00000011250	ENSLOCP00000013012
ENSACAP00000011817	ENSLOCP00000009147
ENSACAP00000005957	ENSLOCP00000020429
ENSACAP00000003898	ENSLOCP00000017457
ENSACAP00000008564	ENSLOCP00000019200
ENSACAP00000009531	ENSLOCP00000006554
ENSACAP00000007380	ENSLOCP00000003596
ENSACAP00000014328	ENSLOCP00000004161
ENSACAP00000009158	ENSLOCP00000007780
ENSACAP00000001723	ENSLOCP00000017232
ENSACAP00000006548	ENSLOCP00000016944
ENSACAP00000014601	ENSLOCP00000009530
ENSACAP00000005110	ENSLOCP00000020825
ENSACAP00000017344	ENSLOCP00000005280
ENSACAP00000012678	ENSLOCP00000013773
ENSACAP00000015321	ENSLOCP00000010078
ENSACAP00000011594	ENSLOCP00000015968
ENSACAP00000015067	ENSLOCP00000007610
ENSACAP00000003045	ENSLOCP00000002487
ENSACAP00000015078	ENSLOCP00000020267
ENSACAP00000014992	ENSLOCP00000020273
ENSACAP00000009043	ENSLOCP00000010732
ENSACAP00000007603	ENSLOCP00000019319
ENSACAP00000002119	ENSLOCP00000007227
ENSACAP00000023193	ENSLOCP00000010181
ENSACAP00000010068	ENSLOCP00000008648
ENSACAP00000005444	ENSLOCP00000007649
ENSACAP00000005623	ENSLOCP00000012473
ENSACAP00000016112	ENSLOCP00000019175
ENSACAP00000000193	ENSLOCP00000012015
ENSACAP00000010321	ENSLOCP00000007747
ENSACAP00000006987	ENSLOCP00000001624
ENSACAP00000005007	ENSLOCP00000001262
ENSACAP00000010047	ENSLOCP00000017180
ENSACAP00000004219	ENSLOCP00000005887
ENSACAP00000004078	ENSLOCP00000005999
ENSACAP00000001088	ENSLOCP00000020663
ENSACAP00000015698	ENSLOCP00000014860
ENSACAP00000005873	ENSLOCP00000004833
ENSACAP00000001835	ENSLOCP00000010959
ENSACAP00000014840	ENSLOCP00000012282
ENSACAP00000008406	ENSLOCP00000017952
ENSACAP00000012838	ENSLOCP00000008038
ENSACAP00000009680	ENSLOCP00000010721
ENSACAP00000007792	ENSLOCP00000002259
ENSACAP00000018412	ENSLOCP00000021479
ENSACAP00000019211	ENSLOCP00000002287
ENSACAP00000007789	ENSLOCP00000002248
ENSACAP00000020838	ENSLOCP00000016952
ENSACAP00000017650	ENSLOCP00000021874
ENSACAP00000008106	ENSLOCP00000018849
ENSACAP00000012446	ENSLOCP00000009980
ENSACAP00000006460	ENSLOCP00000014738
ENSACAP00000003419	ENSLOCP00000012061
ENSACAP00000012467	ENSLOCP00000009990
ENSACAP00000015858	ENSLOCP00000011989
ENSACAP00000013670	ENSLOCP00000015226
ENSACAP00000001119	ENSLOCP00000017354
ENSACAP00000015929	ENSLOCP00000012353
ENSACAP00000007518	ENSLOCP00000004132
ENSACAP00000011870	ENSLOCP00000018214
ENSACAP00000012669	ENSLOCP00000020601
ENSACAP00000011796	ENSLOCP00000007900
ENSACAP00000009619	ENSLOCP00000015688
ENSACAP00000001319	ENSLOCP00000010023
ENSACAP00000006086	ENSLOCP00000020756
ENSACAP00000016842	ENSLOCP00000013047
ENSACAP00000001864	ENSLOCP00000012968
ENSACAP00000002959	ENSLOCP00000016356
ENSACAP00000011884	ENSLOCP00000009007
ENSACAP00000016298	ENSLOCP00000012360
ENSACAP00000022391	ENSLOCP00000011681
ENSACAP00000013286	ENSLOCP00000014277
ENSACAP00000019060	ENSLOCP00000007849
ENSACAP00000011970	ENSLOCP00000008437
ENSACAP00000012809	ENSLOCP00000014423
ENSACAP00000014097	ENSLOCP00000020956
ENSACAP00000005123	ENSLOCP00000015752
ENSACAP00000012263	ENSLOCP00000013775
ENSACAP00000009190	ENSLOCP00000004341
