ENSMODP00000016222	ENSGALP00000006197
ENSMODP00000022186	ENSGALP00000003140
ENSMODP00000018180	ENSGALP00000027652
ENSMODP00000006413	ENSGALP00000007499
ENSMODP00000020505	ENSGALP00000006308
ENSMODP00000024085	ENSGALP00000006308
ENSMODP00000012374	ENSGALP00000024336
ENSMODP00000016247	ENSGALP00000006178
ENSMODP00000009976	ENSGALP00000002175
ENSMODP00000024314	ENSGALP00000013518
ENSMODP00000023878	ENSGALP00000003417
ENSMODP00000002624	ENSGALP00000024624
ENSMODP00000020244	ENSGALP00000006527
ENSMODP00000028608	ENSGALP00000013423
ENSMODP00000015454	ENSGALP00000035505
ENSMODP00000019742	ENSGALP00000042226
ENSMODP00000023074	ENSGALP00000010474
ENSMODP00000002660	ENSGALP00000005074
ENSMODP00000022766	ENSGALP00000023699
ENSMODP00000008476	ENSGALP00000017457
ENSMODP00000005540	ENSGALP00000041254
ENSMODP00000003267	ENSGALP00000002938
ENSMODP00000011631	ENSGALP00000013077
ENSMODP00000026393	ENSGALP00000026172
ENSMODP00000010124	ENSGALP00000022178
ENSMODP00000003331	ENSGALP00000027810
ENSMODP00000020165	ENSGALP00000025476
ENSMODP00000001568	ENSGALP00000015078
ENSMODP00000020576	ENSGALP00000005964
ENSMODP00000026284	ENSGALP00000025999
ENSMODP00000016589	ENSGALP00000010976
ENSMODP00000028394	ENSGALP00000016167
ENSMODP00000000677	ENSGALP00000016163
ENSMODP00000023901	ENSGALP00000042824
ENSMODP00000036724	ENSGALP00000039322
ENSMODP00000023578	ENSGALP00000042521
ENSMODP00000020923	ENSGALP00000010845
ENSMODP00000024842	ENSGALP00000013128
ENSMODP00000020567	ENSGALP00000006027
ENSMODP00000000005	ENSGALP00000029643
ENSMODP00000003305	ENSGALP00000016021
ENSMODP00000016701	ENSGALP00000018553
ENSMODP00000030326	ENSGALP00000002401
ENSMODP00000021625	ENSGALP00000014649
ENSMODP00000024756	ENSGALP00000012873
ENSMODP00000024090	ENSGALP00000006340
ENSMODP00000028954	ENSGALP00000041588
ENSMODP00000034686	ENSGALP00000012927
ENSMODP00000004064	ENSGALP00000002848
ENSMODP00000000916	ENSGALP00000002836
ENSMODP00000001331	ENSGALP00000007730
ENSMODP00000005916	ENSGALP00000019120
ENSMODP00000024667	ENSGALP00000001474
ENSMODP00000021116	ENSGALP00000010718
ENSMODP00000015137	ENSGALP00000003717
ENSMODP00000021051	ENSGALP00000036285
ENSMODP00000011243	ENSGALP00000006447
ENSMODP00000006081	ENSGALP00000005150
ENSMODP00000017560	ENSGALP00000007847
ENSMODP00000037659	ENSGALP00000042836
ENSMODP00000026600	ENSGALP00000032312
ENSMODP00000026601	ENSGALP00000016886
ENSMODP00000035510	ENSGALP00000016883
ENSMODP00000035512	ENSGALP00000016882
ENSMODP00000035509	ENSGALP00000016891
ENSMODP00000037658	ENSGALP00000026119
ENSMODP00000014612	ENSGALP00000007963
ENSMODP00000000679	ENSGALP00000026960
ENSMODP00000025796	ENSGALP00000041360
ENSMODP00000010442	ENSGALP00000005960
ENSMODP00000016379	ENSGALP00000006776
ENSMODP00000008107	ENSGALP00000035831
ENSMODP00000010998	ENSGALP00000008354
ENSMODP00000019519	ENSGALP00000042174
ENSMODP00000011474	ENSGALP00000000103
ENSMODP00000009649	ENSGALP00000021661
ENSMODP00000010914	ENSGALP00000008273
ENSMODP00000015235	ENSGALP00000023528
ENSMODP00000041284	ENSGALP00000017712
ENSMODP00000004541	ENSGALP00000004991
ENSMODP00000003832	ENSGALP00000015926
ENSMODP00000006867	ENSGALP00000016880
ENSMODP00000000092	ENSGALP00000015871
ENSMODP00000000179	ENSGALP00000009004
ENSMODP00000004891	ENSGALP00000009685
ENSMODP00000006523	ENSGALP00000042528
ENSMODP00000000959	ENSGALP00000017856
ENSMODP00000012028	ENSGALP00000032649
ENSMODP00000029754	ENSGALP00000025114
ENSMODP00000012160	ENSGALP00000014101
ENSMODP00000004041	ENSGALP00000042998
ENSMODP00000022102	ENSGALP00000021550
ENSMODP00000016495	ENSGALP00000011134
ENSMODP00000024060	ENSGALP00000041611
ENSMODP00000014171	ENSGALP00000036527
ENSMODP00000015986	ENSGALP00000042712
ENSMODP00000003492	ENSGALP00000042464
ENSMODP00000013925	ENSGALP00000030960
ENSMODP00000007364	ENSGALP00000030213
ENSMODP00000007623	ENSGALP00000002638
ENSMODP00000002626	ENSGALP00000011413
ENSMODP00000013412	ENSGALP00000009200
ENSMODP00000012859	ENSGALP00000040642
ENSMODP00000037068	ENSGALP00000016547
ENSMODP00000015720	ENSGALP00000021543
ENSMODP00000000761	ENSGALP00000008131
ENSMODP00000013478	ENSGALP00000001054
ENSMODP00000036453	ENSGALP00000035892
ENSMODP00000028839	ENSGALP00000026853
ENSMODP00000024298	ENSGALP00000010428
ENSMODP00000011108	ENSGALP00000026821
ENSMODP00000013611	ENSGALP00000025899
ENSMODP00000029024	ENSGALP00000000107
ENSMODP00000007844	ENSGALP00000038965
ENSMODP00000034167	ENSGALP00000026322
ENSMODP00000019696	ENSGALP00000026707
ENSMODP00000021361	ENSGALP00000013796
ENSMODP00000025206	ENSGALP00000043032
ENSMODP00000014344	ENSGALP00000005571
ENSMODP00000016010	ENSGALP00000011333
ENSMODP00000022856	ENSGALP00000021646
ENSMODP00000011376	ENSGALP00000006299
ENSMODP00000014984	ENSGALP00000003671
ENSMODP00000020886	ENSGALP00000000412
ENSMODP00000013331	ENSGALP00000039341
ENSMODP00000017273	ENSGALP00000008661
ENSMODP00000013863	ENSGALP00000040060
ENSMODP00000036044	ENSGALP00000018503
ENSMODP00000012564	ENSGALP00000042171
ENSMODP00000017182	ENSGALP00000019399
ENSMODP00000022560	ENSGALP00000024768
ENSMODP00000006951	ENSGALP00000041815
ENSMODP00000013900	ENSGALP00000007547
ENSMODP00000002540	ENSGALP00000009611
ENSMODP00000025996	ENSGALP00000017701
ENSMODP00000016389	ENSGALP00000018224
ENSMODP00000000402	ENSGALP00000016105
ENSMODP00000002182	ENSGALP00000013191
ENSMODP00000009150	ENSGALP00000018964
ENSMODP00000011765	ENSGALP00000027271
ENSMODP00000019074	ENSGALP00000009806
ENSMODP00000019101	ENSGALP00000009798
ENSMODP00000016852	ENSGALP00000003684
ENSMODP00000012769	ENSGALP00000027482
ENSMODP00000026029	ENSGALP00000037588
ENSMODP00000024292	ENSGALP00000032215
ENSMODP00000003122	ENSGALP00000017417
ENSMODP00000013464	ENSGALP00000013142
ENSMODP00000004044	ENSGALP00000017678
ENSMODP00000002679	ENSGALP00000001334
ENSMODP00000007893	ENSGALP00000010979
ENSMODP00000021412	ENSGALP00000039924
ENSMODP00000023606	ENSGALP00000019325
ENSMODP00000004519	ENSGALP00000005090
ENSMODP00000039634	ENSGALP00000002366
ENSMODP00000037970	ENSGALP00000038404
ENSMODP00000007067	ENSGALP00000019689
ENSMODP00000021169	ENSGALP00000009892
ENSMODP00000024799	ENSGALP00000013052
ENSMODP00000001757	ENSGALP00000020571
ENSMODP00000016775	ENSGALP00000008574
ENSMODP00000015165	ENSGALP00000006182
ENSMODP00000036437	ENSGALP00000035907
ENSMODP00000005386	ENSGALP00000038563
ENSMODP00000007425	ENSGALP00000007976
ENSMODP00000013628	ENSGALP00000007204
ENSMODP00000026554	ENSGALP00000010958
ENSMODP00000004039	ENSGALP00000013724
ENSMODP00000000790	ENSGALP00000008112
ENSMODP00000012861	ENSGALP00000005789
ENSMODP00000031750	ENSGALP00000006300
ENSMODP00000020405	ENSGALP00000013714
ENSMODP00000013151	ENSGALP00000014734
ENSMODP00000002193	ENSGALP00000000973
ENSMODP00000009886	ENSGALP00000018656
ENSMODP00000005016	ENSGALP00000041492
ENSMODP00000004613	ENSGALP00000017596
ENSMODP00000021509	ENSGALP00000026677
ENSMODP00000021545	ENSGALP00000026679
ENSMODP00000023068	ENSGALP00000013670
ENSMODP00000002877	ENSGALP00000006782
ENSMODP00000008929	ENSGALP00000012265
ENSMODP00000013499	ENSGALP00000009402
ENSMODP00000034760	ENSGALP00000009612
ENSMODP00000022870	ENSGALP00000021856
ENSMODP00000031383	ENSGALP00000010281
ENSMODP00000027887	ENSGALP00000036082
ENSMODP00000006876	ENSGALP00000014065
ENSMODP00000001749	ENSGALP00000017619
ENSMODP00000020580	ENSGALP00000033098
ENSMODP00000017923	ENSGALP00000010325
ENSMODP00000012407	ENSGALP00000000810
ENSMODP00000012104	ENSGALP00000019975
ENSMODP00000004582	ENSGALP00000005576
ENSMODP00000041023	ENSGALP00000042896
ENSMODP00000007382	ENSGALP00000007948
ENSMODP00000005455	ENSGALP00000021686
ENSMODP00000004284	ENSGALP00000038787
ENSMODP00000020969	ENSGALP00000000530
ENSMODP00000021538	ENSGALP00000039421
ENSMODP00000021367	ENSGALP00000014501
ENSMODP00000019075	ENSGALP00000018774
ENSMODP00000019115	ENSGALP00000018209
ENSMODP00000012345	ENSGALP00000014878
ENSMODP00000026928	ENSGALP00000019882
ENSMODP00000018395	ENSGALP00000041356
ENSMODP00000013451	ENSGALP00000013781
ENSMODP00000013531	ENSGALP00000013726
ENSMODP00000016287	ENSGALP00000010625
ENSMODP00000011895	ENSGALP00000020311
ENSMODP00000033297	ENSGALP00000020307
ENSMODP00000019398	ENSGALP00000018675
ENSMODP00000016469	ENSGALP00000040685
ENSMODP00000016648	ENSGALP00000008889
ENSMODP00000003179	ENSGALP00000027075
ENSMODP00000007000	ENSGALP00000008481
ENSMODP00000024699	ENSGALP00000014663
ENSMODP00000006196	ENSGALP00000024150
ENSMODP00000003320	ENSGALP00000016015
ENSMODP00000005329	ENSGALP00000041013
ENSMODP00000017619	ENSGALP00000016884
ENSMODP00000021986	ENSGALP00000009133
ENSMODP00000024349	ENSGALP00000023682
ENSMODP00000022203	ENSGALP00000003295
ENSMODP00000001020	ENSGALP00000018278
ENSMODP00000025425	ENSGALP00000005914
