ENSGALP00000006197	ENSMGAP00000004951
ENSGALP00000003140	ENSMGAP00000003068
ENSGALP00000027652	ENSMGAP00000016060
ENSGALP00000007499	ENSMGAP00000000132
ENSGALP00000006308	ENSMGAP00000013498
ENSGALP00000024336	ENSMGAP00000010739
ENSGALP00000006178	ENSMGAP00000004925
ENSGALP00000002175	ENSMGAP00000002621
ENSGALP00000013518	ENSMGAP00000011180
ENSGALP00000003417	ENSMGAP00000003978
ENSGALP00000024624	ENSMGAP00000015197
ENSGALP00000006527	ENSMGAP00000003388
ENSGALP00000025791	ENSMGAP00000012833
ENSGALP00000013423	ENSMGAP00000002654
ENSGALP00000014051	ENSMGAP00000019425
ENSGALP00000035505	ENSMGAP00000002402
ENSGALP00000042226	ENSMGAP00000009217
ENSGALP00000010474	ENSMGAP00000002648
ENSGALP00000005074	ENSMGAP00000009326
ENSGALP00000017457	ENSMGAP00000012078
ENSGALP00000041254	ENSMGAP00000007525
ENSGALP00000002938	ENSMGAP00000001572
ENSGALP00000013077	ENSMGAP00000010575
ENSGALP00000003834	ENSMGAP00000000479
ENSGALP00000010835	ENSMGAP00000003900
ENSGALP00000026172	ENSMGAP00000015491
ENSGALP00000022178	ENSMGAP00000013487
ENSGALP00000027810	ENSMGAP00000016149
ENSGALP00000025475	ENSMGAP00000018471
ENSGALP00000025476	ENSMGAP00000000415
ENSGALP00000009477	ENSMGAP00000000276
ENSGALP00000015078	ENSMGAP00000000909
ENSGALP00000023036	ENSMGAP00000012849
ENSGALP00000005964	ENSMGAP00000000973
ENSGALP00000025999	ENSMGAP00000015435
ENSGALP00000010976	ENSMGAP00000002277
ENSGALP00000016167	ENSMGAP00000010566
ENSGALP00000016163	ENSMGAP00000010545
ENSGALP00000009290	ENSMGAP00000007706
ENSGALP00000039322	ENSMGAP00000001323
ENSGALP00000042521	ENSMGAP00000007436
ENSGALP00000010845	ENSMGAP00000018658
ENSGALP00000013128	ENSMGAP00000011060
ENSGALP00000041979	ENSMGAP00000006437
ENSGALP00000017721	ENSMGAP00000007584
ENSGALP00000006027	ENSMGAP00000000941
ENSGALP00000041168	ENSMGAP00000015853
ENSGALP00000029643	ENSMGAP00000015605
ENSGALP00000016021	ENSMGAP00000017353
ENSGALP00000018553	ENSMGAP00000014132
ENSGALP00000002401	ENSMGAP00000003168
ENSGALP00000014649	ENSMGAP00000000271
ENSGALP00000012873	ENSMGAP00000010789
ENSGALP00000006340	ENSMGAP00000013478
ENSGALP00000012927	ENSMGAP00000010388
ENSGALP00000002836	ENSMGAP00000011657
ENSGALP00000007730	ENSMGAP00000005618
ENSGALP00000019120	ENSMGAP00000016332
ENSGALP00000010510	ENSMGAP00000001450
ENSGALP00000010718	ENSMGAP00000005019
ENSGALP00000003717	ENSMGAP00000000922
ENSGALP00000025606	ENSMGAP00000014622
ENSGALP00000036285	ENSMGAP00000017433
ENSGALP00000009351	ENSMGAP00000003400
ENSGALP00000019566	ENSMGAP00000018942
ENSGALP00000006447	ENSMGAP00000004974
ENSGALP00000005150	ENSMGAP00000000263
ENSGALP00000007847	ENSMGAP00000004440
ENSGALP00000016886	ENSMGAP00000011375
ENSGALP00000008089	ENSMGAP00000018280
ENSGALP00000026119	ENSMGAP00000015477
ENSGALP00000007963	ENSMGAP00000009720
ENSGALP00000026960	ENSMGAP00000015641
ENSGALP00000041360	ENSMGAP00000012633
ENSGALP00000005960	ENSMGAP00000004973
ENSGALP00000035809	ENSMGAP00000015643
ENSGALP00000006776	ENSMGAP00000005906
ENSGALP00000035831	ENSMGAP00000012790
ENSGALP00000021178	ENSMGAP00000014176
ENSGALP00000004717	ENSMGAP00000003923
ENSGALP00000008354	ENSMGAP00000005521
ENSGALP00000042174	ENSMGAP00000014885
ENSGALP00000000103	ENSMGAP00000013787
ENSGALP00000006714	ENSMGAP00000004134
ENSGALP00000021661	ENSMGAP00000010708
ENSGALP00000008273	ENSMGAP00000005425
ENSGALP00000020923	ENSMGAP00000013930
ENSGALP00000000406	ENSMGAP00000015553
ENSGALP00000000552	ENSMGAP00000000115
ENSGALP00000009966	ENSMGAP00000010970
ENSGALP00000004991	ENSMGAP00000004536
ENSGALP00000015926	ENSMGAP00000017297
ENSGALP00000016880	ENSMGAP00000013514
ENSGALP00000015871	ENSMGAP00000002404
ENSGALP00000009004	ENSMGAP00000006458
ENSGALP00000016801	ENSMGAP00000005038
ENSGALP00000010541	ENSMGAP00000002526
ENSGALP00000042528	ENSMGAP00000010640
ENSGALP00000010414	ENSMGAP00000003316
ENSGALP00000017856	ENSMGAP00000010940
ENSGALP00000035379	ENSMGAP00000000717
ENSGALP00000032649	ENSMGAP00000009863
ENSGALP00000025472	ENSMGAP00000015359
ENSGALP00000025114	ENSMGAP00000014406
ENSGALP00000014101	ENSMGAP00000007874
ENSGALP00000021550	ENSMGAP00000014447
ENSGALP00000004810	ENSMGAP00000002964
