ENSMGAP00000004951	ENSACAP00000005936
ENSMGAP00000003068	ENSACAP00000017014
ENSMGAP00000016060	ENSACAP00000000964
ENSMGAP00000000132	ENSACAP00000013370
ENSMGAP00000013265	ENSACAP00000006833
ENSMGAP00000013498	ENSACAP00000005194
ENSMGAP00000010739	ENSACAP00000001737
ENSMGAP00000004925	ENSACAP00000013552
ENSMGAP00000002621	ENSACAP00000003212
ENSMGAP00000011180	ENSACAP00000019299
ENSMGAP00000015197	ENSACAP00000011250
ENSMGAP00000003388	ENSACAP00000011817
ENSMGAP00000012833	ENSACAP00000016107
ENSMGAP00000002654	ENSACAP00000005957
ENSMGAP00000019425	ENSACAP00000014027
ENSMGAP00000002402	ENSACAP00000008269
ENSMGAP00000009217	ENSACAP00000008564
ENSMGAP00000002648	ENSACAP00000009531
ENSMGAP00000009326	ENSACAP00000007380
ENSMGAP00000012078	ENSACAP00000003299
ENSMGAP00000007525	ENSACAP00000014328
ENSMGAP00000001572	ENSACAP00000009158
ENSMGAP00000010575	ENSACAP00000001723
ENSMGAP00000000479	ENSACAP00000006548
ENSMGAP00000015491	ENSACAP00000014601
ENSMGAP00000013487	ENSACAP00000005110
ENSMGAP00000016149	ENSACAP00000014675
ENSMGAP00000018471	ENSACAP00000014993
ENSMGAP00000000415	ENSACAP00000017344
ENSMGAP00000000276	ENSACAP00000012678
ENSMGAP00000000909	ENSACAP00000015321
ENSMGAP00000012849	ENSACAP00000011594
ENSMGAP00000000973	ENSACAP00000015067
ENSMGAP00000015435	ENSACAP00000003045
ENSMGAP00000002277	ENSACAP00000002376
ENSMGAP00000010566	ENSACAP00000015078
ENSMGAP00000010545	ENSACAP00000014992
ENSMGAP00000017561	ENSACAP00000012212
ENSMGAP00000001323	ENSACAP00000005988
ENSMGAP00000018658	ENSACAP00000007603
ENSMGAP00000011060	ENSACAP00000002119
ENSMGAP00000006437	ENSACAP00000023193
ENSMGAP00000007584	ENSACAP00000010068
ENSMGAP00000000941	ENSACAP00000005444
ENSMGAP00000015605	ENSACAP00000005623
ENSMGAP00000017353	ENSACAP00000016112
ENSMGAP00000014132	ENSACAP00000000193
ENSMGAP00000003168	ENSACAP00000010321
ENSMGAP00000000271	ENSACAP00000006987
ENSMGAP00000010789	ENSACAP00000005007
ENSMGAP00000010388	ENSACAP00000010047
ENSMGAP00000011657	ENSACAP00000018690
ENSMGAP00000005618	ENSACAP00000004219
ENSMGAP00000016332	ENSACAP00000015494
