ENSTGUP00000008915	ENSLOCP00000009128
ENSTGUP00000002935	ENSLOCP00000018009
ENSTGUP00000010998	ENSLOCP00000021014
ENSTGUP00000010909	ENSLOCP00000007725
ENSTGUP00000008898	ENSLOCP00000009060
ENSTGUP00000010401	ENSLOCP00000018593
ENSTGUP00000005020	ENSLOCP00000011472
ENSTGUP00000014038	ENSLOCP00000013012
ENSTGUP00000005254	ENSLOCP00000009147
ENSTGUP00000007673	ENSLOCP00000020429
ENSTGUP00000005389	ENSLOCP00000019200
ENSTGUP00000006862	ENSLOCP00000006554
ENSTGUP00000008706	ENSLOCP00000003596
ENSTGUP00000007828	ENSLOCP00000004161
ENSTGUP00000003676	ENSLOCP00000007780
ENSTGUP00000004968	ENSLOCP00000016944
ENSTGUP00000002319	ENSLOCP00000018831
ENSTGUP00000011474	ENSLOCP00000020825
ENSTGUP00000000909	ENSLOCP00000005280
ENSTGUP00000001623	ENSLOCP00000013773
ENSTGUP00000005458	ENSLOCP00000010078
ENSTGUP00000008967	ENSLOCP00000015968
ENSTGUP00000005263	ENSLOCP00000007610
ENSTGUP00000003862	ENSLOCP00000020267
ENSTGUP00000003819	ENSLOCP00000020273
ENSTGUP00000002205	ENSLOCP00000019319
ENSTGUP00000010714	ENSLOCP00000007227
ENSTGUP00000002960	ENSLOCP00000008648
ENSTGUP00000016783	ENSLOCP00000007649
ENSTGUP00000008885	ENSLOCP00000012473
ENSTGUP00000003276	ENSLOCP00000019175
ENSTGUP00000013203	ENSLOCP00000012015
ENSTGUP00000006737	ENSLOCP00000007747
ENSTGUP00000002510	ENSLOCP00000001624
ENSTGUP00000010462	ENSLOCP00000001262
ENSTGUP00000009884	ENSLOCP00000017180
ENSTGUP00000006567	ENSLOCP00000005887
ENSTGUP00000007517	ENSLOCP00000005999
ENSTGUP00000002402	ENSLOCP00000020663
ENSTGUP00000007645	ENSLOCP00000004833
ENSTGUP00000006436	ENSLOCP00000010959
ENSTGUP00000005879	ENSLOCP00000017952
ENSTGUP00000006914	ENSLOCP00000008038
ENSTGUP00000007511	ENSLOCP00000010721
ENSTGUP00000011707	ENSLOCP00000002259
ENSTGUP00000017731	ENSLOCP00000021479
ENSTGUP00000011705	ENSLOCP00000002287
ENSTGUP00000018265	ENSLOCP00000002248
ENSTGUP00000006604	ENSLOCP00000021874
ENSTGUP00000010836	ENSLOCP00000009980
ENSTGUP00000010829	ENSLOCP00000009990
ENSTGUP00000001184	ENSLOCP00000003317
ENSTGUP00000012380	ENSLOCP00000011989
ENSTGUP00000002856	ENSLOCP00000015226
ENSTGUP00000003773	ENSLOCP00000017354
ENSTGUP00000012053	ENSLOCP00000020601
ENSTGUP00000004874	ENSLOCP00000007900
ENSTGUP00000009101	ENSLOCP00000015688
ENSTGUP00000007812	ENSLOCP00000010023
ENSTGUP00000014440	ENSLOCP00000004830
ENSTGUP00000003097	ENSLOCP00000020756
ENSTGUP00000012631	ENSLOCP00000013047
ENSTGUP00000007507	ENSLOCP00000016356
ENSTGUP00000001158	ENSLOCP00000012360
ENSTGUP00000002880	ENSLOCP00000014277
ENSTGUP00000009297	ENSLOCP00000008437
ENSTGUP00000012744	ENSLOCP00000020956
ENSTGUP00000001335	ENSLOCP00000015752
ENSTGUP00000001616	ENSLOCP00000013775
ENSTGUP00000017784	ENSLOCP00000004341
ENSTGUP00000008788	ENSLOCP00000017705
ENSTGUP00000000920	ENSLOCP00000011055
ENSTGUP00000006514	ENSLOCP00000010892
ENSTGUP00000000930	ENSLOCP00000006526
ENSTGUP00000013468	ENSLOCP00000020785
ENSTGUP00000005575	ENSLOCP00000007583
ENSTGUP00000007749	ENSLOCP00000004907
ENSTGUP00000007512	ENSLOCP00000020036
ENSTGUP00000008852	ENSLOCP00000008734
ENSTGUP00000015232	ENSLOCP00000014576
ENSTGUP00000006775	ENSLOCP00000006533
ENSTGUP00000013703	ENSLOCP00000019487
ENSTGUP00000000722	ENSLOCP00000001962
ENSTGUP00000000421	ENSLOCP00000002578
ENSTGUP00000008875	ENSLOCP00000017726
ENSTGUP00000016110	ENSLOCP00000005920
ENSTGUP00000005741	ENSLOCP00000019609
ENSTGUP00000015454	ENSLOCP00000009405
ENSTGUP00000004581	ENSLOCP00000019306
ENSTGUP00000007902	ENSLOCP00000006448
ENSTGUP00000000228	ENSLOCP00000011240
ENSTGUP00000013997	ENSLOCP00000005310
ENSTGUP00000000954	ENSLOCP00000002972
ENSTGUP00000005006	ENSLOCP00000017649
ENSTGUP00000008308	ENSLOCP00000004694
ENSTGUP00000013118	ENSLOCP00000018185
ENSTGUP00000003528	ENSLOCP00000020346
ENSTGUP00000007385	ENSLOCP00000019133
ENSTGUP00000012794	ENSLOCP00000012778
ENSTGUP00000011586	ENSLOCP00000005737
ENSTGUP00000005627	ENSLOCP00000006828
ENSTGUP00000003067	ENSLOCP00000018546
ENSTGUP00000011582	ENSLOCP00000005812
ENSTGUP00000005646	ENSLOCP00000006853
ENSTGUP00000007259	ENSLOCP00000019163
ENSTGUP00000010021	ENSLOCP00000010916
ENSTGUP00000008703	ENSLOCP00000003607
ENSTGUP00000000869	ENSLOCP00000015072
ENSTGUP00000011510	ENSLOCP00000011033
ENSTGUP00000002050	ENSLOCP00000003380
ENSTGUP00000001084	ENSLOCP00000002426
ENSTGUP00000017815	ENSLOCP00000012613
ENSTGUP00000004062	ENSLOCP00000019084
ENSTGUP00000004566	ENSLOCP00000016794
ENSTGUP00000010614	ENSLOCP00000007049
ENSTGUP00000001146	ENSLOCP00000010539
ENSTGUP00000011805	ENSLOCP00000004953
ENSTGUP00000009073	ENSLOCP00000009421
ENSTGUP00000010457	ENSLOCP00000010161
ENSTGUP00000006886	ENSLOCP00000005393
ENSTGUP00000010484	ENSLOCP00000012552
ENSTGUP00000001484	ENSLOCP00000012928
ENSTGUP00000017785	ENSLOCP00000014564
ENSTGUP00000008916	ENSLOCP00000019362
ENSTGUP00000008359	ENSLOCP00000009470
ENSTGUP00000003284	ENSLOCP00000011077
ENSTGUP00000005747	ENSLOCP00000017982
ENSTGUP00000008668	ENSLOCP00000003826
ENSTGUP00000001739	ENSLOCP00000011874
ENSTGUP00000011408	ENSLOCP00000020061
ENSTGUP00000013534	ENSLOCP00000021247
ENSTGUP00000004152	ENSLOCP00000018907
ENSTGUP00000002713	ENSLOCP00000014009
ENSTGUP00000003338	ENSLOCP00000011105
ENSTGUP00000001990	ENSLOCP00000014471
ENSTGUP00000013056	ENSLOCP00000019926
ENSTGUP00000004793	ENSLOCP00000016691
ENSTGUP00000016062	ENSLOCP00000016017
ENSTGUP00000000367	ENSLOCP00000010143
ENSTGUP00000003797	ENSLOCP00000003063
ENSTGUP00000009690	ENSLOCP00000010983
ENSTGUP00000004020	ENSLOCP00000001148
