ENSP00000262384	ENSTNIP00000004863
ENSP00000362179	ENSTNIP00000000782
ENSP00000354794	ENSTNIP00000018279
ENSP00000455426	ENSTNIP00000007712
ENSP00000268876	ENSTNIP00000018487
ENSP00000361900	ENSTNIP00000006735
ENSP00000295408	ENSTNIP00000019716
ENSP00000301178	ENSTNIP00000005151
ENSP00000317272	ENSTNIP00000019148
ENSP00000363970	ENSTNIP00000005402
ENSP00000373518	ENSTNIP00000004390
ENSP00000362057	ENSTNIP00000019972
ENSP00000367851	ENSTNIP00000013161
ENSP00000281722	ENSTNIP00000011565
ENSP00000363107	ENSTNIP00000006170
ENSP00000354995	ENSTNIP00000014150
ENSP00000272286	ENSTNIP00000010280
ENSP00000260645	ENSTNIP00000010281
ENSP00000363092	ENSTNIP00000006171
ENSP00000363092	ENSTNIP00000011460
ENSP00000454207	ENSTNIP00000005138
ENSP00000247668	ENSTNIP00000016461
ENSP00000247668	ENSTNIP00000013509
ENSP00000433623	ENSTNIP00000012472
ENSP00000249636	ENSTNIP00000011270
ENSP00000334474	ENSTNIP00000011480
ENSP00000334474	ENSTNIP00000016134
ENSP00000324173	ENSTNIP00000021926
ENSP00000234038	ENSTNIP00000018299
ENSP00000453273	ENSTNIP00000003517
ENSP00000326870	ENSTNIP00000003418
ENSP00000308361	ENSTNIP00000004064
ENSP00000307259	ENSTNIP00000010517
ENSP00000311687	ENSTNIP00000010483
ENSP00000339256	ENSTNIP00000016288
ENSP00000414055	ENSTNIP00000016676
ENSP00000369666	ENSTNIP00000009262
ENSP00000350676	ENSTNIP00000018140
ENSP00000271688	ENSTNIP00000020689
ENSP00000271688	ENSTNIP00000010887
ENSP00000284382	ENSTNIP00000022426
ENSP00000376453	ENSTNIP00000021883
ENSP00000402697	ENSTNIP00000018584
ENSP00000251089	ENSTNIP00000020563
ENSP00000309142	ENSTNIP00000020641
ENSP00000264903	ENSTNIP00000019827
ENSP00000377024	ENSTNIP00000007081
ENSP00000468788	ENSTNIP00000001653
ENSP00000439120	ENSTNIP00000018097
ENSP00000380252	ENSTNIP00000020081
ENSP00000257749	ENSTNIP00000006467
ENSP00000366827	ENSTNIP00000000186
ENSP00000321343	ENSTNIP00000009228
ENSP00000379353	ENSTNIP00000013970
ENSP00000262904	ENSTNIP00000012496
ENSP00000345571	ENSTNIP00000007715
ENSP00000268989	ENSTNIP00000017400
ENSP00000221543	ENSTNIP00000008907
ENSP00000448182	ENSTNIP00000004911
ENSP00000320434	ENSTNIP00000005718
ENSP00000304669	ENSTNIP00000011862
ENSP00000386141	ENSTNIP00000011017
ENSP00000477059	ENSTNIP00000001471
ENSP00000477059	ENSTNIP00000015450
ENSP00000386881	ENSTNIP00000014174
ENSP00000428280	ENSTNIP00000018720
ENSP00000360475	ENSTNIP00000006011
ENSP00000358323	ENSTNIP00000007675
ENSP00000380759	ENSTNIP00000019554
ENSP00000359095	ENSTNIP00000022151
ENSP00000331879	ENSTNIP00000002037
ENSP00000276440	ENSTNIP00000008097
ENSP00000340677	ENSTNIP00000011488
ENSP00000272164	ENSTNIP00000011323
ENSP00000290015	ENSTNIP00000014635
ENSP00000258411	ENSTNIP00000020177
ENSP00000252809	ENSTNIP00000014004
ENSP00000252677	ENSTNIP00000008502
ENSP00000367942	ENSTNIP00000011795
ENSP00000287139	ENSTNIP00000008278
ENSP00000282701	ENSTNIP00000019819
ENSP00000334314	ENSTNIP00000020469
ENSP00000320663	ENSTNIP00000016383
ENSP00000366267	ENSTNIP00000012306
ENSP00000377836	ENSTNIP00000007331
ENSP00000292377	ENSTNIP00000018800
ENSP00000264039	ENSTNIP00000018334
ENSP00000264039	ENSTNIP00000000638
ENSP00000332886	ENSTNIP00000020868
ENSP00000338728	ENSTNIP00000010267
ENSP00000360252	ENSTNIP00000013793
ENSP00000370713	ENSTNIP00000010816
ENSP00000357459	ENSTNIP00000003575
ENSP00000268624	ENSTNIP00000007340
ENSP00000296513	ENSTNIP00000016040
ENSP00000262803	ENSTNIP00000014011
ENSP00000262803	ENSTNIP00000002898
ENSP00000399797	ENSTNIP00000021443
ENSP00000351524	ENSTNIP00000001502
ENSP00000384725	ENSTNIP00000007089
ENSP00000253008	ENSTNIP00000008582
ENSP00000253008	ENSTNIP00000011876
ENSP00000276594	ENSTNIP00000011020
ENSP00000354960	ENSTNIP00000009412
ENSP00000361929	ENSTNIP00000016188
ENSP00000223127	ENSTNIP00000005272
ENSP00000282903	ENSTNIP00000002453
ENSP00000352603	ENSTNIP00000010487
ENSP00000347408	ENSTNIP00000019645
ENSP00000406472	ENSTNIP00000013536
ENSP00000276052	ENSTNIP00000002580
ENSP00000423665	ENSTNIP00000010184
ENSP00000417914	ENSTNIP00000016915
ENSP00000264607	ENSTNIP00000011744
ENSP00000355195	ENSTNIP00000007098
ENSP00000355195	ENSTNIP00000018861
ENSP00000363512	ENSTNIP00000011521
ENSP00000305426	ENSTNIP00000012246
ENSP00000221399	ENSTNIP00000015807
ENSP00000229771	ENSTNIP00000004001
ENSP00000314444	ENSTNIP00000009462
ENSP00000216271	ENSTNIP00000019057
ENSP00000334061	ENSTNIP00000004593
ENSP00000346236	ENSTNIP00000019191
ENSP00000464050	ENSTNIP00000017983
ENSP00000225792	ENSTNIP00000020654
ENSP00000262462	ENSTNIP00000005696
ENSP00000300456	ENSTNIP00000016193
ENSP00000359520	ENSTNIP00000004730
ENSP00000351520	ENSTNIP00000013737
ENSP00000301825	ENSTNIP00000022314
ENSP00000378046	ENSTNIP00000002392
ENSP00000222803	ENSTNIP00000021604
ENSP00000222803	ENSTNIP00000012073
ENSP00000413152	ENSTNIP00000018794
ENSP00000242209	ENSTNIP00000020092
ENSP00000317232	ENSTNIP00000009396
ENSP00000317232	ENSTNIP00000005167
ENSP00000345964	ENSTNIP00000006348
ENSP00000358715	ENSTNIP00000016316
ENSP00000301464	ENSTNIP00000005481
ENSP00000275525	ENSTNIP00000003187
ENSP00000275525	ENSTNIP00000003719
ENSP00000233809	ENSTNIP00000011174
ENSP00000233809	ENSTNIP00000011717
ENSP00000386942	ENSTNIP00000016889
ENSP00000362239	ENSTNIP00000002630
ENSP00000417583	ENSTNIP00000013618
ENSP00000355968	ENSTNIP00000013679
ENSP00000233535	ENSTNIP00000008113
ENSP00000415011	ENSTNIP00000007337
ENSP00000261867	ENSTNIP00000012410
ENSP00000362195	ENSTNIP00000000096
ENSP00000262345	ENSTNIP00000004169
ENSP00000263409	ENSTNIP00000019810
ENSP00000261721	ENSTNIP00000012366
ENSP00000384545	ENSTNIP00000005750
ENSP00000329926	ENSTNIP00000015048
ENSP00000445952	ENSTNIP00000018112
ENSP00000445952	ENSTNIP00000017584
ENSP00000251527	ENSTNIP00000010808
ENSP00000251527	ENSTNIP00000008567
ENSP00000424126	ENSTNIP00000016575
ENSP00000340594	ENSTNIP00000021248
ENSP00000341489	ENSTNIP00000005097
ENSP00000368566	ENSTNIP00000019177
ENSP00000348429	ENSTNIP00000017433
ENSP00000233156	ENSTNIP00000000410
ENSP00000222543	ENSTNIP00000022974
ENSP00000311184	ENSTNIP00000006791
ENSP00000311184	ENSTNIP00000015607
ENSP00000324763	ENSTNIP00000015045
ENSP00000265132	ENSTNIP00000004007
ENSP00000376652	ENSTNIP00000001462
ENSP00000376652	ENSTNIP00000013657
ENSP00000345405	ENSTNIP00000001947
ENSP00000281156	ENSTNIP00000019677
ENSP00000328694	ENSTNIP00000009421
ENSP00000349575	ENSTNIP00000013063
ENSP00000271139	ENSTNIP00000009402
ENSP00000331305	ENSTNIP00000004502
ENSP00000348300	ENSTNIP00000010409
ENSP00000423541	ENSTNIP00000017707
ENSP00000423541	ENSTNIP00000018493
ENSP00000358142	ENSTNIP00000013202
ENSP00000358142	ENSTNIP00000012018
ENSP00000299134	ENSTNIP00000018958
ENSP00000452871	ENSTNIP00000012426
ENSP00000452871	ENSTNIP00000012427
ENSP00000353224	ENSTNIP00000016631
ENSP00000353224	ENSTNIP00000010696
ENSP00000420525	ENSTNIP00000007261
ENSP00000223026	ENSTNIP00000000583
ENSP00000337425	ENSTNIP00000007749
ENSP00000157600	ENSTNIP00000020639
ENSP00000365494	ENSTNIP00000015466
ENSP00000401060	ENSTNIP00000019074
ENSP00000373648	ENSTNIP00000008726
ENSP00000262916	ENSTNIP00000005762
ENSP00000262916	ENSTNIP00000000686
ENSP00000337354	ENSTNIP00000005334
ENSP00000316842	ENSTNIP00000010559
ENSP00000216513	ENSTNIP00000002104
ENSP00000247182	ENSTNIP00000020483
ENSP00000304502	ENSTNIP00000010273
ENSP00000260653	ENSTNIP00000010274
ENSP00000216602	ENSTNIP00000015355
ENSP00000390941	ENSTNIP00000006777
ENSP00000390941	ENSTNIP00000018579
