ENSORLP00000011382	ENSGACP00000024945
ENSORLP00000017023	ENSGACP00000003450
ENSORLP00000018100	ENSGACP00000018304
ENSORLP00000011872	ENSGACP00000003045
ENSORLP00000011526	ENSGACP00000001735
ENSORLP00000011982	ENSGACP00000026872
ENSORLP00000019139	ENSGACP00000008784
ENSORLP00000006953	ENSGACP00000027282
ENSORLP00000021204	ENSGACP00000017512
ENSORLP00000017158	ENSGACP00000003444
ENSORLP00000016021	ENSGACP00000027655
ENSORLP00000014861	ENSGACP00000015229
ENSORLP00000011600	ENSGACP00000013204
ENSORLP00000020191	ENSGACP00000018412
ENSORLP00000018033	ENSGACP00000004939
ENSORLP00000003422	ENSGACP00000004648
ENSORLP00000003489	ENSGACP00000004796
ENSORLP00000014071	ENSGACP00000007033
ENSORLP00000012612	ENSGACP00000005128
ENSORLP00000001378	ENSGACP00000017057
ENSORLP00000017918	ENSGACP00000015909
ENSORLP00000004365	ENSGACP00000013972
ENSORLP00000024532	ENSGACP00000012136
ENSORLP00000001259	ENSGACP00000004873
ENSORLP00000018991	ENSGACP00000002806
ENSORLP00000000678	ENSGACP00000023126
ENSORLP00000014971	ENSGACP00000013826
ENSORLP00000024884	ENSGACP00000026047
ENSORLP00000003491	ENSGACP00000023281
ENSORLP00000015857	ENSGACP00000004170
ENSORLP00000003595	ENSGACP00000000014
ENSORLP00000017662	ENSGACP00000010389
ENSORLP00000006648	ENSGACP00000008196
ENSORLP00000001741	ENSGACP00000022876
ENSORLP00000002049	ENSGACP00000020510
ENSORLP00000013801	ENSGACP00000010533
ENSORLP00000011527	ENSGACP00000015431
ENSORLP00000018607	ENSGACP00000012075
ENSORLP00000003123	ENSGACP00000004209
ENSORLP00000025526	ENSGACP00000025947
ENSORLP00000003018	ENSGACP00000000488
ENSORLP00000007356	ENSGACP00000021405
ENSORLP00000016722	ENSGACP00000013531
ENSORLP00000009370	ENSGACP00000026980
ENSORLP00000019247	ENSGACP00000007004
ENSORLP00000005821	ENSGACP00000014122
ENSORLP00000005856	ENSGACP00000014108
ENSORLP00000011473	ENSGACP00000021962
ENSORLP00000008769	ENSGACP00000022891
ENSORLP00000003411	ENSGACP00000024574
ENSORLP00000005783	ENSGACP00000017005
ENSORLP00000011184	ENSGACP00000011557
ENSORLP00000013089	ENSGACP00000015493
ENSORLP00000003278	ENSGACP00000004288
ENSORLP00000021411	ENSGACP00000001460
ENSORLP00000004864	ENSGACP00000005846
ENSORLP00000008832	ENSGACP00000013822
ENSORLP00000018527	ENSGACP00000024909
ENSORLP00000007943	ENSGACP00000012693
ENSORLP00000021647	ENSGACP00000023579
ENSORLP00000022254	ENSGACP00000002402
ENSORLP00000000450	ENSGACP00000020477
ENSORLP00000013873	ENSGACP00000014386
ENSORLP00000007952	ENSGACP00000012095
ENSORLP00000021688	ENSGACP00000013490
ENSORLP00000025578	ENSGACP00000020058
ENSORLP00000001368	ENSGACP00000025883
ENSORLP00000024257	ENSGACP00000005703
ENSORLP00000003220	ENSGACP00000020860
ENSORLP00000020860	ENSGACP00000006974
ENSORLP00000008989	ENSGACP00000022084
ENSORLP00000001290	ENSGACP00000022648
ENSORLP00000005579	ENSGACP00000014759
ENSORLP00000008446	ENSGACP00000006839
ENSORLP00000002593	ENSGACP00000022315
ENSORLP00000006265	ENSGACP00000016761
ENSORLP00000008437	ENSGACP00000011561
ENSORLP00000011200	ENSGACP00000002990
ENSORLP00000021916	ENSGACP00000001431
ENSORLP00000008024	ENSGACP00000010056
ENSORLP00000007708	ENSGACP00000010471
ENSORLP00000006701	ENSGACP00000013930
ENSORLP00000008651	ENSGACP00000021969
ENSORLP00000015785	ENSGACP00000025513
ENSORLP00000009506	ENSGACP00000002832
ENSORLP00000023779	ENSGACP00000005981
ENSORLP00000020633	ENSGACP00000017996
ENSORLP00000019791	ENSGACP00000011089
ENSORLP00000011714	ENSGACP00000015915
ENSORLP00000007530	ENSGACP00000013498
ENSORLP00000007515	ENSGACP00000013505
ENSORLP00000017154	ENSGACP00000010896
ENSORLP00000006057	ENSGACP00000019865
ENSORLP00000000994	ENSGACP00000023103
ENSORLP00000019941	ENSGACP00000018225
ENSORLP00000023088	ENSGACP00000002295
ENSORLP00000019930	ENSGACP00000018209
ENSORLP00000018127	ENSGACP00000012521
ENSORLP00000003515	ENSGACP00000004603
ENSORLP00000017345	ENSGACP00000026004
ENSORLP00000014267	ENSGACP00000004546
ENSORLP00000013997	ENSGACP00000000105
ENSORLP00000008956	ENSGACP00000011567
ENSORLP00000015452	ENSGACP00000013013
ENSORLP00000014316	ENSGACP00000021448
ENSORLP00000015272	ENSGACP00000006206
ENSORLP00000010748	ENSGACP00000022493
ENSORLP00000016221	ENSGACP00000015690
ENSORLP00000004226	ENSGACP00000023440
ENSORLP00000013894	ENSGACP00000021682
ENSORLP00000008997	ENSGACP00000011590
ENSORLP00000016307	ENSGACP00000014860
ENSORLP00000019966	ENSGACP00000026389
ENSORLP00000006561	ENSGACP00000013724
ENSORLP00000017429	ENSGACP00000020448
ENSORLP00000003243	ENSGACP00000004274
ENSORLP00000013178	ENSGACP00000015475
ENSORLP00000021323	ENSGACP00000007063
ENSORLP00000008585	ENSGACP00000007544
ENSORLP00000012814	ENSGACP00000003609
ENSORLP00000021828	ENSGACP00000013968
ENSORLP00000020822	ENSGACP00000009933
ENSORLP00000025306	ENSGACP00000025933
ENSORLP00000002614	ENSGACP00000024414
ENSORLP00000021812	ENSGACP00000005141
ENSORLP00000006376	ENSGACP00000023842
ENSORLP00000020723	ENSGACP00000007915
ENSORLP00000017283	ENSGACP00000013351
ENSORLP00000002104	ENSGACP00000022780
ENSORLP00000005874	ENSGACP00000009128
ENSORLP00000015446	ENSGACP00000005129
ENSORLP00000021345	ENSGACP00000007455
ENSORLP00000021980	ENSGACP00000005885
ENSORLP00000006256	ENSGACP00000009355
ENSORLP00000004152	ENSGACP00000015603
ENSORLP00000013922	ENSGACP00000002617
ENSORLP00000022436	ENSGACP00000008256
ENSORLP00000006361	ENSGACP00000021278
ENSORLP00000018342	ENSGACP00000026085
ENSORLP00000018930	ENSGACP00000024121
ENSORLP00000000494	ENSGACP00000018289
ENSORLP00000010509	ENSGACP00000014218
ENSORLP00000017999	ENSGACP00000012624
ENSORLP00000001148	ENSGACP00000006233
ENSORLP00000022707	ENSGACP00000015833
ENSORLP00000022426	ENSGACP00000022472
ENSORLP00000019667	ENSGACP00000018261
ENSORLP00000011262	ENSGACP00000015509
ENSORLP00000010168	ENSGACP00000022347
ENSORLP00000010566	ENSGACP00000007046
ENSORLP00000024016	ENSGACP00000017631
ENSORLP00000008012	ENSGACP00000010032
ENSORLP00000002272	ENSGACP00000016853
ENSORLP00000000244	ENSGACP00000010215
ENSORLP00000004298	ENSGACP00000007839
ENSORLP00000009022	ENSGACP00000024328
ENSORLP00000010698	ENSGACP00000002797
ENSORLP00000011805	ENSGACP00000008850
ENSORLP00000011799	ENSGACP00000003106
ENSORLP00000011784	ENSGACP00000003102
ENSORLP00000010106	ENSGACP00000003687
ENSORLP00000016231	ENSGACP00000012330
ENSORLP00000020930	ENSGACP00000013891
ENSORLP00000018662	ENSGACP00000015752
ENSORLP00000005348	ENSGACP00000019427
ENSORLP00000020541	ENSGACP00000014390
ENSORLP00000005516	ENSGACP00000019719
ENSORLP00000004264	ENSGACP00000024876
ENSORLP00000005046	ENSGACP00000012938
ENSORLP00000008900	ENSGACP00000010785
ENSORLP00000022821	ENSGACP00000011056
ENSORLP00000016795	ENSGACP00000011849
ENSORLP00000021772	ENSGACP00000004412
ENSORLP00000012768	ENSGACP00000013707
ENSORLP00000001280	ENSGACP00000020513
ENSORLP00000013008	ENSGACP00000013838
ENSORLP00000010763	ENSGACP00000010614
ENSORLP00000013654	ENSGACP00000000678
ENSORLP00000002328	ENSGACP00000004693
ENSORLP00000021497	ENSGACP00000006490
ENSORLP00000020053	ENSGACP00000017987
ENSORLP00000018687	ENSGACP00000026134
ENSORLP00000020331	ENSGACP00000008325
ENSORLP00000007167	ENSGACP00000002669
ENSORLP00000021655	ENSGACP00000007346
ENSORLP00000001018	ENSGACP00000022578
ENSORLP00000012502	ENSGACP00000003509
ENSORLP00000013287	ENSGACP00000025019
ENSORLP00000012411	ENSGACP00000003466
ENSORLP00000018097	ENSGACP00000016521
ENSORLP00000005077	ENSGACP00000023637
ENSORLP00000008607	ENSGACP00000011213
ENSORLP00000009584	ENSGACP00000024426
ENSORLP00000009605	ENSGACP00000024432
ENSORLP00000022020	ENSGACP00000023031
ENSORLP00000005695	ENSGACP00000018735
ENSORLP00000022851	ENSGACP00000010089
ENSORLP00000009589	ENSGACP00000012027
ENSORLP00000022913	ENSGACP00000000086
ENSORLP00000019677	ENSGACP00000007945
ENSORLP00000011292	ENSGACP00000026908
ENSORLP00000010876	ENSGACP00000003980
ENSORLP00000007022	ENSGACP00000020505
ENSORLP00000005015	ENSGACP00000000125
ENSORLP00000020711	ENSGACP00000008514
ENSORLP00000010817	ENSGACP00000024791
ENSORLP00000007342	ENSGACP00000024033
ENSORLP00000011413	ENSGACP00000003038
ENSORLP00000008226	ENSGACP00000011235
ENSORLP00000014132	ENSGACP00000023409
ENSORLP00000010993	ENSGACP00000009451
ENSORLP00000022256	ENSGACP00000002405
ENSORLP00000001811	ENSGACP00000016753
ENSORLP00000019505	ENSGACP00000011399
ENSORLP00000004295	ENSGACP00000016404
ENSORLP00000014720	ENSGACP00000001035
ENSORLP00000002403	ENSGACP00000015343
ENSORLP00000020546	ENSGACP00000010214
ENSORLP00000020030	ENSGACP00000018406
ENSORLP00000012324	ENSGACP00000024658
ENSORLP00000012321	ENSGACP00000024661
ENSORLP00000000585	ENSGACP00000021658
ENSORLP00000020019	ENSGACP00000018417
ENSORLP00000013874	ENSGACP00000008623
ENSORLP00000004387	ENSGACP00000015439
ENSORLP00000005138	ENSGACP00000027196
ENSORLP00000004358	ENSGACP00000004121
ENSORLP00000025595	ENSGACP00000001213
ENSORLP00000002330	ENSGACP00000006111
ENSORLP00000014471	ENSGACP00000023493
ENSORLP00000002265	ENSGACP00000009940
ENSORLP00000022693	ENSGACP00000002481
ENSORLP00000005351	ENSGACP00000014394
ENSORLP00000016415	ENSGACP00000025422
ENSORLP00000003185	ENSGACP00000022344
ENSORLP00000019519	ENSGACP00000008802
ENSORLP00000018585	ENSGACP00000019210
ENSORLP00000013734	ENSGACP00000023316
ENSORLP00000018984	ENSGACP00000002834
ENSORLP00000006254	ENSGACP00000002348
ENSORLP00000007804	ENSGACP00000023091
ENSORLP00000022675	ENSGACP00000002879
ENSORLP00000025617	ENSGACP00000020109
ENSORLP00000012489	ENSGACP00000015815
ENSORLP00000025830	ENSGACP00000022066
ENSORLP00000010622	ENSGACP00000010750
ENSORLP00000010171	ENSGACP00000012695
ENSORLP00000003679	ENSGACP00000005237
ENSORLP00000013378	ENSGACP00000015235
ENSORLP00000014034	ENSGACP00000004374
ENSORLP00000013805	ENSGACP00000025056
ENSORLP00000008922	ENSGACP00000022065
ENSORLP00000010172	ENSGACP00000003704
ENSORLP00000024935	ENSGACP00000022984
ENSORLP00000018772	ENSGACP00000024827
ENSORLP00000008322	ENSGACP00000013455
ENSORLP00000023595	ENSGACP00000017542
ENSORLP00000012679	ENSGACP00000004888
ENSORLP00000017769	ENSGACP00000020376
ENSORLP00000016516	ENSGACP00000002403
ENSORLP00000011838	ENSGACP00000008807
ENSORLP00000019208	ENSGACP00000017318
ENSORLP00000013358	ENSGACP00000008998
ENSORLP00000023512	ENSGACP00000025770
ENSORLP00000022565	ENSGACP00000022304
ENSORLP00000015239	ENSGACP00000014494
ENSORLP00000011704	ENSGACP00000025317
ENSORLP00000005017	ENSGACP00000005952
ENSORLP00000021947	ENSGACP00000023747
ENSORLP00000025301	ENSGACP00000021799
ENSORLP00000013828	ENSGACP00000021695
ENSORLP00000011216	ENSGACP00000004440
ENSORLP00000022337	ENSGACP00000005070
ENSORLP00000004811	ENSGACP00000005802
ENSORLP00000015050	ENSGACP00000025572
ENSORLP00000022670	ENSGACP00000002886
ENSORLP00000010397	ENSGACP00000024497
ENSORLP00000012944	ENSGACP00000000952
ENSORLP00000009355	ENSGACP00000010311
ENSORLP00000008594	ENSGACP00000020639
ENSORLP00000020183	ENSGACP00000026334
ENSORLP00000008023	ENSGACP00000006806
ENSORLP00000022797	ENSGACP00000017136
ENSORLP00000011723	ENSGACP00000005071
ENSORLP00000025157	ENSGACP00000001491
ENSORLP00000020522	ENSGACP00000010554
ENSORLP00000021264	ENSGACP00000006953
ENSORLP00000009115	ENSGACP00000010693
ENSORLP00000022663	ENSGACP00000002894
ENSORLP00000001104	ENSGACP00000000220
ENSORLP00000002977	ENSGACP00000012914
ENSORLP00000002814	ENSGACP00000015985
ENSORLP00000018169	ENSGACP00000025322
ENSORLP00000018923	ENSGACP00000009347
ENSORLP00000004009	ENSGACP00000019821
ENSORLP00000003938	ENSGACP00000019817
ENSORLP00000006530	ENSGACP00000008225
ENSORLP00000023720	ENSGACP00000024263
ENSORLP00000012925	ENSGACP00000023016
ENSORLP00000018812	ENSGACP00000024823
ENSORLP00000008407	ENSGACP00000013546
ENSORLP00000000034	ENSGACP00000019572
ENSORLP00000013671	ENSGACP00000014238
ENSORLP00000012537	ENSGACP00000003505
ENSORLP00000017746	ENSGACP00000023940
ENSORLP00000006742	ENSGACP00000008454
ENSORLP00000014072	ENSGACP00000008243
ENSORLP00000001903	ENSGACP00000000960
ENSORLP00000009294	ENSGACP00000010767
ENSORLP00000006181	ENSGACP00000009332
ENSORLP00000018956	ENSGACP00000003473
ENSORLP00000014883	ENSGACP00000006347
ENSORLP00000017224	ENSGACP00000008366
ENSORLP00000004455	ENSGACP00000011689
ENSORLP00000007557	ENSGACP00000012439
ENSORLP00000007575	ENSGACP00000012414
ENSORLP00000007606	ENSGACP00000010409
ENSORLP00000020003	ENSGACP00000000436
ENSORLP00000019078	ENSGACP00000026167
ENSORLP00000018441	ENSGACP00000003272
ENSORLP00000002784	ENSGACP00000018845
ENSORLP00000021454	ENSGACP00000017308
