ENSLOCP00000011371	ENSDARP00000122973
ENSLOCP00000009128	ENSDARP00000074624
ENSLOCP00000003817	ENSDARP00000061719
ENSLOCP00000003817	ENSDARP00000095914
ENSLOCP00000018009	ENSDARP00000118051
ENSLOCP00000007024	ENSDARP00000006624
ENSLOCP00000011549	ENSDARP00000105714
ENSLOCP00000018593	ENSDARP00000093807
ENSLOCP00000011472	ENSDARP00000023678
ENSLOCP00000013012	ENSDARP00000117083
ENSLOCP00000009147	ENSDARP00000001240
ENSLOCP00000020429	ENSDARP00000101815
ENSLOCP00000013339	ENSDARP00000124745
ENSLOCP00000019200	ENSDARP00000123904
ENSLOCP00000006554	ENSDARP00000106622
ENSLOCP00000003596	ENSDARP00000039056
ENSLOCP00000010127	ENSDARP00000060036
ENSLOCP00000017832	ENSDARP00000068351
ENSLOCP00000017832	ENSDARP00000051546
ENSLOCP00000019587	ENSDARP00000065589
ENSLOCP00000004161	ENSDARP00000003432
ENSLOCP00000007780	ENSDARP00000042321
ENSLOCP00000017232	ENSDARP00000101214
ENSLOCP00000016944	ENSDARP00000085160
ENSLOCP00000009530	ENSDARP00000111829
ENSLOCP00000020915	ENSDARP00000127882
ENSLOCP00000013773	ENSDARP00000035017
ENSLOCP00000010078	ENSDARP00000099341
ENSLOCP00000015968	ENSDARP00000083503
ENSLOCP00000007610	ENSDARP00000016279
ENSLOCP00000002487	ENSDARP00000087241
ENSLOCP00000004672	ENSDARP00000081045
ENSLOCP00000020267	ENSDARP00000120245
ENSLOCP00000020273	ENSDARP00000086278
ENSLOCP00000010732	ENSDARP00000126778
ENSLOCP00000010732	ENSDARP00000033222
ENSLOCP00000016575	ENSDARP00000113983
ENSLOCP00000016575	ENSDARP00000063179
ENSLOCP00000006610	ENSDARP00000087742
ENSLOCP00000006610	ENSDARP00000115413
ENSLOCP00000018635	ENSDARP00000125671
ENSLOCP00000007870	ENSDARP00000006351
ENSLOCP00000007870	ENSDARP00000039628
ENSLOCP00000019319	ENSDARP00000108480
ENSLOCP00000007227	ENSDARP00000111278
ENSLOCP00000012214	ENSDARP00000110780
ENSLOCP00000012214	ENSDARP00000002825
ENSLOCP00000011625	ENSDARP00000085704
ENSLOCP00000008648	ENSDARP00000071397
ENSLOCP00000007649	ENSDARP00000043235
ENSLOCP00000007649	ENSDARP00000112135
ENSLOCP00000000762	ENSDARP00000020894
ENSLOCP00000012473	ENSDARP00000117890
ENSLOCP00000019175	ENSDARP00000040549
ENSLOCP00000012015	ENSDARP00000105765
ENSLOCP00000007747	ENSDARP00000091948
ENSLOCP00000001624	ENSDARP00000016657
ENSLOCP00000001624	ENSDARP00000043465
ENSLOCP00000000941	ENSDARP00000117927
ENSLOCP00000001262	ENSDARP00000036715
ENSLOCP00000007089	ENSDARP00000013849
ENSLOCP00000017180	ENSDARP00000128322
ENSLOCP00000017180	ENSDARP00000052396
ENSLOCP00000008030	ENSDARP00000122573
ENSLOCP00000007201	ENSDARP00000096293
ENSLOCP00000005887	ENSDARP00000097747
ENSLOCP00000005887	ENSDARP00000102479
ENSLOCP00000018808	ENSDARP00000099582
ENSLOCP00000003218	ENSDARP00000004394
ENSLOCP00000005999	ENSDARP00000017456
ENSLOCP00000020663	ENSDARP00000075275
ENSLOCP00000014860	ENSDARP00000003744
ENSLOCP00000019922	ENSDARP00000118774
ENSLOCP00000019922	ENSDARP00000104468
ENSLOCP00000004833	ENSDARP00000010921
ENSLOCP00000013825	ENSDARP00000097050
ENSLOCP00000010959	ENSDARP00000025441
ENSLOCP00000012282	ENSDARP00000097768
ENSLOCP00000000639	ENSDARP00000111923
ENSLOCP00000008038	ENSDARP00000115728
ENSLOCP00000010721	ENSDARP00000060526
ENSLOCP00000002436	ENSDARP00000114666
ENSLOCP00000002259	ENSDARP00000102702
ENSLOCP00000021480	ENSDARP00000128832
ENSLOCP00000002287	ENSDARP00000128926
ENSLOCP00000002248	ENSDARP00000104196
ENSLOCP00000016952	ENSDARP00000022016
ENSLOCP00000018849	ENSDARP00000105356
ENSLOCP00000012061	ENSDARP00000123389
ENSLOCP00000009990	ENSDARP00000072786
ENSLOCP00000003317	ENSDARP00000122905
ENSLOCP00000020953	ENSDARP00000007995
ENSLOCP00000020953	ENSDARP00000129163
ENSLOCP00000015226	ENSDARP00000129294
