ENSCAFP00000014731	ENSTNIP00000004863
ENSCAFP00000004893	ENSTNIP00000000782
ENSCAFP00000026820	ENSTNIP00000018279
ENSCAFP00000014703	ENSTNIP00000007712
ENSCAFP00000027009	ENSTNIP00000018487
ENSCAFP00000014101	ENSTNIP00000006735
ENSCAFP00000010599	ENSTNIP00000019716
ENSCAFP00000007520	ENSTNIP00000005151
ENSCAFP00000041478	ENSTNIP00000019148
ENSCAFP00000011228	ENSTNIP00000005402
ENSCAFP00000025792	ENSTNIP00000004390
ENSCAFP00000025906	ENSTNIP00000019972
ENSCAFP00000020532	ENSTNIP00000013161
ENSCAFP00000019636	ENSTNIP00000020722
ENSCAFP00000012433	ENSTNIP00000011565
ENSCAFP00000022926	ENSTNIP00000006170
ENSCAFP00000015206	ENSTNIP00000014150
ENSCAFP00000003668	ENSTNIP00000010280
ENSCAFP00000003657	ENSTNIP00000010281
ENSCAFP00000035869	ENSTNIP00000006171
ENSCAFP00000035869	ENSTNIP00000011460
ENSCAFP00000026713	ENSTNIP00000005138
ENSCAFP00000028894	ENSTNIP00000016461
ENSCAFP00000028894	ENSTNIP00000013509
ENSCAFP00000010159	ENSTNIP00000012472
ENSCAFP00000027741	ENSTNIP00000019321
ENSCAFP00000025741	ENSTNIP00000011270
ENSCAFP00000023060	ENSTNIP00000011480
ENSCAFP00000023060	ENSTNIP00000016134
ENSCAFP00000029957	ENSTNIP00000021926
ENSCAFP00000025988	ENSTNIP00000003517
ENSCAFP00000027190	ENSTNIP00000003418
ENSCAFP00000032029	ENSTNIP00000004064
ENSCAFP00000012528	ENSTNIP00000010517
ENSCAFP00000025582	ENSTNIP00000010483
ENSCAFP00000035150	ENSTNIP00000016288
ENSCAFP00000002012	ENSTNIP00000016676
ENSCAFP00000024610	ENSTNIP00000009262
ENSCAFP00000012157	ENSTNIP00000009047
ENSCAFP00000024137	ENSTNIP00000018140
ENSCAFP00000018115	ENSTNIP00000020689
ENSCAFP00000018115	ENSTNIP00000010887
ENSCAFP00000015735	ENSTNIP00000022426
ENSCAFP00000017392	ENSTNIP00000021883
ENSCAFP00000030690	ENSTNIP00000018584
ENSCAFP00000025261	ENSTNIP00000020563
ENSCAFP00000011525	ENSTNIP00000020641
ENSCAFP00000012786	ENSTNIP00000019827
ENSCAFP00000000688	ENSTNIP00000007081
ENSCAFP00000028846	ENSTNIP00000001653
ENSCAFP00000037844	ENSTNIP00000018097
ENSCAFP00000019894	ENSTNIP00000020081
ENSCAFP00000004239	ENSTNIP00000000829
ENSCAFP00000041229	ENSTNIP00000006467
ENSCAFP00000039048	ENSTNIP00000000186
ENSCAFP00000025974	ENSTNIP00000009228
ENSCAFP00000017436	ENSTNIP00000013970
ENSCAFP00000041377	ENSTNIP00000012496
ENSCAFP00000011055	ENSTNIP00000007715
ENSCAFP00000028469	ENSTNIP00000017400
ENSCAFP00000005175	ENSTNIP00000008907
ENSCAFP00000000678	ENSTNIP00000004911
ENSCAFP00000004185	ENSTNIP00000005718
ENSCAFP00000001898	ENSTNIP00000011862
ENSCAFP00000034643	ENSTNIP00000011017
ENSCAFP00000010553	ENSTNIP00000001471
ENSCAFP00000010553	ENSTNIP00000015450
ENSCAFP00000013282	ENSTNIP00000014174
ENSCAFP00000012034	ENSTNIP00000006548
ENSCAFP00000001467	ENSTNIP00000018720
ENSCAFP00000028666	ENSTNIP00000006011
ENSCAFP00000016786	ENSTNIP00000007675
ENSCAFP00000018033	ENSTNIP00000019554
ENSCAFP00000030540	ENSTNIP00000022151
ENSCAFP00000035073	ENSTNIP00000002037
ENSCAFP00000013243	ENSTNIP00000008097
ENSCAFP00000014218	ENSTNIP00000011488
ENSCAFP00000042751	ENSTNIP00000011323
ENSCAFP00000019792	ENSTNIP00000014635
ENSCAFP00000022068	ENSTNIP00000020177
ENSCAFP00000021938	ENSTNIP00000014004
ENSCAFP00000023624	ENSTNIP00000008502
ENSCAFP00000001306	ENSTNIP00000011795
ENSCAFP00000020713	ENSTNIP00000008278
ENSCAFP00000013047	ENSTNIP00000019819
ENSCAFP00000026382	ENSTNIP00000020469
ENSCAFP00000009752	ENSTNIP00000016383
ENSCAFP00000007928	ENSTNIP00000012306
ENSCAFP00000027825	ENSTNIP00000007331
ENSCAFP00000021439	ENSTNIP00000018800
ENSCAFP00000018637	ENSTNIP00000018334
ENSCAFP00000018637	ENSTNIP00000000638
ENSCAFP00000004138	ENSTNIP00000010267
ENSCAFP00000027841	ENSTNIP00000013793
ENSCAFP00000025289	ENSTNIP00000003575
ENSCAFP00000029577	ENSTNIP00000007340
ENSCAFP00000005947	ENSTNIP00000016040
ENSCAFP00000021524	ENSTNIP00000014011
ENSCAFP00000021524	ENSTNIP00000002898
ENSCAFP00000019815	ENSTNIP00000021443
ENSCAFP00000016801	ENSTNIP00000001502
ENSCAFP00000031903	ENSTNIP00000007089
ENSCAFP00000030461	ENSTNIP00000008582
ENSCAFP00000030461	ENSTNIP00000011876
ENSCAFP00000036507	ENSTNIP00000011020
ENSCAFP00000019811	ENSTNIP00000009412
ENSCAFP00000029719	ENSTNIP00000016188
ENSCAFP00000020467	ENSTNIP00000005272
ENSCAFP00000011995	ENSTNIP00000002453
ENSCAFP00000021690	ENSTNIP00000010487
ENSCAFP00000022596	ENSTNIP00000019645
ENSCAFP00000018253	ENSTNIP00000013536
ENSCAFP00000022118	ENSTNIP00000002580
ENSCAFP00000014825	ENSTNIP00000010184
ENSCAFP00000007048	ENSTNIP00000011332
ENSCAFP00000017550	ENSTNIP00000016915
ENSCAFP00000037940	ENSTNIP00000016960
ENSCAFP00000018354	ENSTNIP00000011744
ENSCAFP00000024345	ENSTNIP00000007098
ENSCAFP00000024345	ENSTNIP00000018861
ENSCAFP00000010341	ENSTNIP00000011521
ENSCAFP00000010262	ENSTNIP00000012246
ENSCAFP00000005775	ENSTNIP00000015807
ENSCAFP00000001922	ENSTNIP00000004001
ENSCAFP00000005678	ENSTNIP00000009462
ENSCAFP00000000979	ENSTNIP00000019057
ENSCAFP00000022990	ENSTNIP00000004593
ENSCAFP00000001491	ENSTNIP00000019191
ENSCAFP00000018897	ENSTNIP00000017983
ENSCAFP00000017225	ENSTNIP00000020654
ENSCAFP00000001025	ENSTNIP00000005696
ENSCAFP00000029725	ENSTNIP00000016193
ENSCAFP00000013959	ENSTNIP00000004730
ENSCAFP00000013459	ENSTNIP00000013737
ENSCAFP00000007656	ENSTNIP00000022314
ENSCAFP00000021476	ENSTNIP00000002392
ENSCAFP00000004543	ENSTNIP00000021604
ENSCAFP00000004543	ENSTNIP00000012073
ENSCAFP00000042734	ENSTNIP00000018794
ENSCAFP00000004699	ENSTNIP00000020092
ENSCAFP00000023374	ENSTNIP00000009396
ENSCAFP00000023374	ENSTNIP00000005167
ENSCAFP00000033673	ENSTNIP00000006348
ENSCAFP00000015628	ENSTNIP00000016316
ENSCAFP00000041937	ENSTNIP00000005481
ENSCAFP00000018097	ENSTNIP00000003187
ENSCAFP00000018097	ENSTNIP00000003719
ENSCAFP00000021381	ENSTNIP00000011174
ENSCAFP00000021381	ENSTNIP00000011717
ENSCAFP00000003057	ENSTNIP00000016889
ENSCAFP00000042913	ENSTNIP00000002630
ENSCAFP00000030233	ENSTNIP00000013618
ENSCAFP00000041421	ENSTNIP00000013679
ENSCAFP00000007210	ENSTNIP00000008113
ENSCAFP00000001179	ENSTNIP00000007337
ENSCAFP00000032670	ENSTNIP00000012410
