ENSGALP00000006197	ENSMUSP00000034074
ENSGALP00000003140	ENSMUSP00000037172
ENSGALP00000027652	ENSMUSP00000127603
ENSGALP00000024336	ENSMUSP00000025288
ENSGALP00000006178	ENSMUSP00000105282
ENSGALP00000003417	ENSMUSP00000018989
ENSGALP00000006527	ENSMUSP00000018466
ENSGALP00000013423	ENSMUSP00000014505
ENSGALP00000035505	ENSMUSP00000035203
ENSGALP00000042226	ENSMUSP00000111103
ENSGALP00000023699	ENSMUSP00000032264
ENSGALP00000002938	ENSMUSP00000029128
ENSGALP00000010835	ENSMUSP00000033610
ENSGALP00000026172	ENSMUSP00000015484
ENSGALP00000022178	ENSMUSP00000024565
ENSGALP00000027810	ENSMUSP00000032781
ENSGALP00000025475	ENSMUSP00000133649
ENSGALP00000009477	ENSMUSP00000054412
ENSGALP00000015078	ENSMUSP00000045511
ENSGALP00000005964	ENSMUSP00000075235
ENSGALP00000025999	ENSMUSP00000024829
ENSGALP00000010976	ENSMUSP00000124647
ENSGALP00000016167	ENSMUSP00000035246
ENSGALP00000016163	ENSMUSP00000069495
ENSGALP00000042824	ENSMUSP00000113675
ENSGALP00000039322	ENSMUSP00000034840
ENSGALP00000010845	ENSMUSP00000110574
ENSGALP00000006027	ENSMUSP00000073268
ENSGALP00000016021	ENSMUSP00000082710
ENSGALP00000018553	ENSMUSP00000021706
ENSGALP00000002401	ENSMUSP00000130759
ENSGALP00000014649	ENSMUSP00000028311
ENSGALP00000012873	ENSMUSP00000004949
ENSGALP00000006340	ENSMUSP00000017530
ENSGALP00000041588	ENSMUSP00000069259
ENSGALP00000012927	ENSMUSP00000096248
ENSGALP00000002836	ENSMUSP00000005064
ENSGALP00000007730	ENSMUSP00000124863
ENSGALP00000019120	ENSMUSP00000079306
ENSGALP00000001474	ENSMUSP00000097747
ENSGALP00000010718	ENSMUSP00000027961
ENSGALP00000003717	ENSMUSP00000025217
ENSGALP00000009351	ENSMUSP00000027494
ENSGALP00000006447	ENSMUSP00000070606
ENSGALP00000005150	ENSMUSP00000090790
ENSGALP00000007847	ENSMUSP00000104363
ENSGALP00000042836	ENSMUSP00000062535
ENSGALP00000032312	ENSMUSP00000088642
ENSGALP00000016886	ENSMUSP00000059272
ENSGALP00000016883	ENSMUSP00000044730
ENSGALP00000016882	ENSMUSP00000051353
ENSGALP00000016891	ENSMUSP00000082115
ENSGALP00000026119	ENSMUSP00000042715
ENSGALP00000026960	ENSMUSP00000114020
ENSGALP00000041360	ENSMUSP00000084462
ENSGALP00000005960	ENSMUSP00000020679
ENSGALP00000006776	ENSMUSP00000099608
ENSGALP00000035831	ENSMUSP00000038922
ENSGALP00000008354	ENSMUSP00000089212
ENSGALP00000000103	ENSMUSP00000019516
ENSGALP00000008273	ENSMUSP00000047308
ENSGALP00000023528	ENSMUSP00000069238
ENSGALP00000017712	ENSMUSP00000028426
ENSGALP00000009966	ENSMUSP00000023762
ENSGALP00000004991	ENSMUSP00000120598
ENSGALP00000015926	ENSMUSP00000064556
ENSGALP00000016880	ENSMUSP00000021682
ENSGALP00000009004	ENSMUSP00000059666
ENSGALP00000009685	ENSMUSP00000020624
ENSGALP00000042528	ENSMUSP00000101004
ENSGALP00000017856	ENSMUSP00000031841
ENSGALP00000032649	ENSMUSP00000099733
ENSGALP00000025114	ENSMUSP00000103815
ENSGALP00000014101	ENSMUSP00000003509
ENSGALP00000042998	ENSMUSP00000074764
ENSGALP00000021550	ENSMUSP00000032421
ENSGALP00000011134	ENSMUSP00000026896
ENSGALP00000041611	ENSMUSP00000043477
ENSGALP00000036527	ENSMUSP00000100012
ENSGALP00000042464	ENSMUSP00000099434
ENSGALP00000002638	ENSMUSP00000015003
ENSGALP00000009200	ENSMUSP00000050496
ENSGALP00000016547	ENSMUSP00000020339
ENSGALP00000021543	ENSMUSP00000036487
ENSGALP00000003847	ENSMUSP00000049007
ENSGALP00000035892	ENSMUSP00000085900
ENSGALP00000026853	ENSMUSP00000093089
ENSGALP00000010428	ENSMUSP00000049346
ENSGALP00000026821	ENSMUSP00000113708
ENSGALP00000025899	ENSMUSP00000080579
ENSGALP00000026322	ENSMUSP00000125718
ENSGALP00000026707	ENSMUSP00000073803
ENSGALP00000013796	ENSMUSP00000028349
ENSGALP00000005571	ENSMUSP00000002989
ENSGALP00000011333	ENSMUSP00000044578
ENSGALP00000021646	ENSMUSP00000032500
ENSGALP00000006299	ENSMUSP00000032715
ENSGALP00000000412	ENSMUSP00000036674
ENSGALP00000039341	ENSMUSP00000042867
ENSGALP00000008661	ENSMUSP00000104411
ENSGALP00000040060	ENSMUSP00000018630
ENSGALP00000018503	ENSMUSP00000006718
ENSGALP00000042171	ENSMUSP00000106861
ENSGALP00000007547	ENSMUSP00000024049
ENSGALP00000009611	ENSMUSP00000128621
ENSGALP00000017701	ENSMUSP00000031278
ENSGALP00000018224	ENSMUSP00000105486
ENSGALP00000016105	ENSMUSP00000094528
ENSGALP00000018964	ENSMUSP00000086409
ENSGALP00000027271	ENSMUSP00000022707
ENSGALP00000009806	ENSMUSP00000064131
ENSGALP00000009798	ENSMUSP00000033450
ENSGALP00000003684	ENSMUSP00000047199
ENSGALP00000027482	ENSMUSP00000088670
ENSGALP00000037588	ENSMUSP00000043250
ENSGALP00000032215	ENSMUSP00000119993
ENSGALP00000017417	ENSMUSP00000068629
ENSGALP00000013142	ENSMUSP00000048978
ENSGALP00000017678	ENSMUSP00000030306
ENSGALP00000001334	ENSMUSP00000034427
ENSGALP00000010979	ENSMUSP00000064775
ENSGALP00000038745	ENSMUSP00000101046
ENSGALP00000039924	ENSMUSP00000103028
ENSGALP00000019325	ENSMUSP00000115260
ENSGALP00000005090	ENSMUSP00000075089
ENSGALP00000002366	ENSMUSP00000126897
ENSGALP00000019689	ENSMUSP00000044432
ENSGALP00000009892	ENSMUSP00000104459
ENSGALP00000013052	ENSMUSP00000106905
ENSGALP00000008574	ENSMUSP00000089513
ENSGALP00000006182	ENSMUSP00000109098
ENSGALP00000038563	ENSMUSP00000037532
ENSGALP00000007976	ENSMUSP00000041622
ENSGALP00000007204	ENSMUSP00000019199
ENSGALP00000010958	ENSMUSP00000125373
ENSGALP00000013724	ENSMUSP00000007216
ENSGALP00000008112	ENSMUSP00000117346
ENSGALP00000005789	ENSMUSP00000128446
ENSGALP00000006300	ENSMUSP00000003117
ENSGALP00000013714	ENSMUSP00000109886
ENSGALP00000014734	ENSMUSP00000030763
ENSGALP00000000973	ENSMUSP00000027697
ENSGALP00000041492	ENSMUSP00000030814
ENSGALP00000017596	ENSMUSP00000033918
ENSGALP00000026677	ENSMUSP00000033755
ENSGALP00000026679	ENSMUSP00000033756
ENSGALP00000013670	ENSMUSP00000046476
ENSGALP00000006782	ENSMUSP00000027538
ENSGALP00000012265	ENSMUSP00000033549
ENSGALP00000009402	ENSMUSP00000026795
ENSGALP00000009612	ENSMUSP00000033341
ENSGALP00000021856	ENSMUSP00000001562
ENSGALP00000010281	ENSMUSP00000049070
ENSGALP00000036082	ENSMUSP00000082895
ENSGALP00000014065	ENSMUSP00000080832
ENSGALP00000041045	ENSMUSP00000112110
ENSGALP00000010325	ENSMUSP00000133245
ENSGALP00000000810	ENSMUSP00000021046
ENSGALP00000019975	ENSMUSP00000055535
ENSGALP00000005576	ENSMUSP00000021062
ENSGALP00000042896	ENSMUSP00000032539
ENSGALP00000000239	ENSMUSP00000025500
ENSGALP00000007948	ENSMUSP00000078971
ENSGALP00000021686	ENSMUSP00000034267
ENSGALP00000038787	ENSMUSP00000079864
ENSGALP00000000530	ENSMUSP00000138944
ENSGALP00000039421	ENSMUSP00000028328
ENSGALP00000018774	ENSMUSP00000036830
ENSGALP00000014878	ENSMUSP00000002809
ENSGALP00000019882	ENSMUSP00000031795
ENSGALP00000041356	ENSMUSP00000001595
ENSGALP00000013781	ENSMUSP00000072472
ENSGALP00000013726	ENSMUSP00000077919
ENSGALP00000020311	ENSMUSP00000020702
ENSGALP00000020307	ENSMUSP00000020704
ENSGALP00000018675	ENSMUSP00000046610
ENSGALP00000040685	ENSMUSP00000017637
ENSGALP00000008889	ENSMUSP00000023601
ENSGALP00000027075	ENSMUSP00000084091
ENSGALP00000008481	ENSMUSP00000092654
ENSGALP00000014663	ENSMUSP00000036227
ENSGALP00000016015	ENSMUSP00000042410
ENSGALP00000016884	ENSMUSP00000101500
ENSGALP00000025920	ENSMUSP00000035257
ENSGALP00000009133	ENSMUSP00000005952
ENSGALP00000003295	ENSMUSP00000101768
ENSGALP00000018278	ENSMUSP00000010605
ENSGALP00000005914	ENSMUSP00000126137
ENSGALP00000043195	ENSMUSP00000138230
ENSGALP00000009678	ENSMUSP00000026093
ENSGALP00000014673	ENSMUSP00000074864
ENSGALP00000019114	ENSMUSP00000002880
ENSGALP00000024076	ENSMUSP00000042466
ENSGALP00000013447	ENSMUSP00000047278
ENSGALP00000013448	ENSMUSP00000107444
ENSGALP00000024082	ENSMUSP00000064462
ENSGALP00000023592	ENSMUSP00000105212
ENSGALP00000014112	ENSMUSP00000041897
ENSGALP00000041748	ENSMUSP00000043085
ENSGALP00000010722	ENSMUSP00000104533
ENSGALP00000041770	ENSMUSP00000046585
ENSGALP00000005190	ENSMUSP00000034822
ENSGALP00000033380	ENSMUSP00000107347
ENSGALP00000015469	ENSMUSP00000031674
ENSGALP00000011904	ENSMUSP00000053238
ENSGALP00000000058	ENSMUSP00000093141
ENSGALP00000014581	ENSMUSP00000030041
ENSGALP00000018258	ENSMUSP00000021689
ENSGALP00000015125	ENSMUSP00000077781
ENSGALP00000014259	ENSMUSP00000090987
ENSGALP00000026192	ENSMUSP00000027226
ENSGALP00000026072	ENSMUSP00000022954
ENSGALP00000018821	ENSMUSP00000095025
ENSGALP00000010760	ENSMUSP00000081455
ENSGALP00000018856	ENSMUSP00000006424
ENSGALP00000016984	ENSMUSP00000003438
ENSGALP00000041658	ENSMUSP00000030477
ENSGALP00000037169	ENSMUSP00000061390
ENSGALP00000042394	ENSMUSP00000020692
ENSGALP00000012308	ENSMUSP00000110074
ENSGALP00000032209	ENSMUSP00000124473
ENSGALP00000042413	ENSMUSP00000037576
ENSGALP00000007956	ENSMUSP00000050730
ENSGALP00000041485	ENSMUSP00000002518
ENSGALP00000013164	ENSMUSP00000124131
ENSGALP00000032172	ENSMUSP00000057527
ENSGALP00000027805	ENSMUSP00000001824
ENSGALP00000027801	ENSMUSP00000128674
ENSGALP00000012087	ENSMUSP00000023486
ENSGALP00000030077	ENSMUSP00000031690
ENSGALP00000003336	ENSMUSP00000010191
ENSGALP00000001136	ENSMUSP00000010195
ENSGALP00000040977	ENSMUSP00000042667
ENSGALP00000013575	ENSMUSP00000032376
ENSGALP00000011851	ENSMUSP00000032093
ENSGALP00000015542	ENSMUSP00000104878
ENSGALP00000026153	ENSMUSP00000063380
ENSGALP00000010290	ENSMUSP00000053270
ENSGALP00000028023	ENSMUSP00000036150
ENSGALP00000036578	ENSMUSP00000059026
ENSGALP00000043451	ENSMUSP00000125871
ENSGALP00000014354	ENSMUSP00000079926
ENSGALP00000025071	ENSMUSP00000022217
ENSGALP00000018782	ENSMUSP00000021714
ENSGALP00000040460	ENSMUSP00000036721
ENSGALP00000038910	ENSMUSP00000085872
ENSGALP00000002804	ENSMUSP00000112934
ENSGALP00000020137	ENSMUSP00000021467
ENSGALP00000024720	ENSMUSP00000041173
ENSGALP00000016518	ENSMUSP00000024742
ENSGALP00000026350	ENSMUSP00000021004
ENSGALP00000024556	ENSMUSP00000111151
ENSGALP00000040830	ENSMUSP00000105350
ENSGALP00000043176	ENSMUSP00000037324
ENSGALP00000026399	ENSMUSP00000041294
ENSGALP00000023990	ENSMUSP00000020008
ENSGALP00000040961	ENSMUSP00000109904
ENSGALP00000025221	ENSMUSP00000099947
ENSGALP00000043302	ENSMUSP00000126340
ENSGALP00000037618	ENSMUSP00000122855
ENSGALP00000009621	ENSMUSP00000137256
ENSGALP00000040755	ENSMUSP00000090277
ENSGALP00000024701	ENSMUSP00000041790
ENSGALP00000010493	ENSMUSP00000058730
ENSGALP00000039384	ENSMUSP00000137517
ENSGALP00000041259	ENSMUSP00000028071
ENSGALP00000027876	ENSMUSP00000031750
ENSGALP00000002287	ENSMUSP00000066894
ENSGALP00000001583	ENSMUSP00000030898
ENSGALP00000016838	ENSMUSP00000078281
ENSGALP00000016475	ENSMUSP00000073246
ENSGALP00000039646	ENSMUSP00000092735
ENSGALP00000016529	ENSMUSP00000126313
ENSGALP00000024015	ENSMUSP00000116057
ENSGALP00000029600	ENSMUSP00000121212
ENSGALP00000039846	ENSMUSP00000039600
ENSGALP00000033374	ENSMUSP00000000926
ENSGALP00000007049	ENSMUSP00000062239
ENSGALP00000027473	ENSMUSP00000056364
ENSGALP00000041378	ENSMUSP00000124470
ENSGALP00000042939	ENSMUSP00000101903
ENSGALP00000007183	ENSMUSP00000018651
ENSGALP00000007393	ENSMUSP00000099585
ENSGALP00000007413	ENSMUSP00000053755
ENSGALP00000008256	ENSMUSP00000071859
ENSGALP00000005438	ENSMUSP00000132687
ENSGALP00000008707	ENSMUSP00000115718
ENSGALP00000013692	ENSMUSP00000027178
ENSGALP00000026019	ENSMUSP00000024832
ENSGALP00000006744	ENSMUSP00000031437
ENSGALP00000008107	ENSMUSP00000070868
ENSGALP00000012178	ENSMUSP00000026172
ENSGALP00000010477	ENSMUSP00000025718
ENSGALP00000025385	ENSMUSP00000041300
ENSGALP00000002718	ENSMUSP00000085683
ENSGALP00000011876	ENSMUSP00000042271
ENSGALP00000024312	ENSMUSP00000030212
ENSGALP00000007174	ENSMUSP00000129800
ENSGALP00000011976	ENSMUSP00000034600
ENSGALP00000024855	ENSMUSP00000107062
ENSGALP00000042850	ENSMUSP00000066701
ENSGALP00000033652	ENSMUSP00000126826
ENSGALP00000011971	ENSMUSP00000062507
ENSGALP00000033649	ENSMUSP00000110311
ENSGALP00000018235	ENSMUSP00000061470
ENSGALP00000021103	ENSMUSP00000056353
ENSGALP00000027206	ENSMUSP00000046368
ENSGALP00000008699	ENSMUSP00000045409
ENSGALP00000026929	ENSMUSP00000109229
ENSGALP00000036123	ENSMUSP00000023437
ENSGALP00000006738	ENSMUSP00000128922
ENSGALP00000024953	ENSMUSP00000095845
ENSGALP00000041666	ENSMUSP00000054545
ENSGALP00000023925	ENSMUSP00000019920
ENSGALP00000024913	ENSMUSP00000035649
ENSGALP00000003973	ENSMUSP00000025208
ENSGALP00000004444	ENSMUSP00000048350
ENSGALP00000021570	ENSMUSP00000053431
ENSGALP00000018510	ENSMUSP00000029850
ENSGALP00000006916	ENSMUSP00000044945
ENSGALP00000036151	ENSMUSP00000052544
ENSGALP00000040814	ENSMUSP00000081664
ENSGALP00000040622	ENSMUSP00000019290
ENSGALP00000038523	ENSMUSP00000031423
ENSGALP00000026331	ENSMUSP00000123078
ENSGALP00000003970	ENSMUSP00000101700
ENSGALP00000019842	ENSMUSP00000040416
ENSGALP00000043429	ENSMUSP00000029575
ENSGALP00000040906	ENSMUSP00000030643
ENSGALP00000015519	ENSMUSP00000122103
ENSGALP00000015517	ENSMUSP00000015256
ENSGALP00000000410	ENSMUSP00000019226
ENSGALP00000001713	ENSMUSP00000051118
ENSGALP00000000626	ENSMUSP00000097909
ENSGALP00000032471	ENSMUSP00000065205
ENSGALP00000018165	ENSMUSP00000028362
ENSGALP00000006610	ENSMUSP00000027896
ENSGALP00000027477	ENSMUSP00000029307
ENSGALP00000002224	ENSMUSP00000034883
ENSGALP00000003207	ENSMUSP00000030169
ENSGALP00000041121	ENSMUSP00000104732
ENSGALP00000042973	ENSMUSP00000054226
ENSGALP00000020036	ENSMUSP00000094076
ENSGALP00000011799	ENSMUSP00000053899
ENSGALP00000006645	ENSMUSP00000106460
ENSGALP00000021021	ENSMUSP00000031868
ENSGALP00000014400	ENSMUSP00000031713
ENSGALP00000007061	ENSMUSP00000029208
ENSGALP00000034297	ENSMUSP00000001122
ENSGALP00000009628	ENSMUSP00000021161
ENSGALP00000020540	ENSMUSP00000022040
ENSGALP00000039900	ENSMUSP00000129216
ENSGALP00000019136	ENSMUSP00000110669
ENSGALP00000026608	ENSMUSP00000110348
ENSGALP00000006816	ENSMUSP00000020441
ENSGALP00000010237	ENSMUSP00000091964
ENSGALP00000018239	ENSMUSP00000128308
ENSGALP00000005183	ENSMUSP00000003659
ENSGALP00000023854	ENSMUSP00000022213
ENSGALP00000042279	ENSMUSP00000064220
ENSGALP00000043296	ENSMUSP00000059654
ENSGALP00000016504	ENSMUSP00000046812
ENSGALP00000017594	ENSMUSP00000040229
ENSGALP00000042395	ENSMUSP00000031607
ENSGALP00000003605	ENSMUSP00000090528
ENSGALP00000004272	ENSMUSP00000113090
ENSGALP00000004366	ENSMUSP00000006523
ENSGALP00000000423	ENSMUSP00000095169
ENSGALP00000006426	ENSMUSP00000129378
ENSGALP00000014860	ENSMUSP00000088089
ENSGALP00000041570	ENSMUSP00000076751
ENSGALP00000025581	ENSMUSP00000091329
ENSGALP00000024602	ENSMUSP00000124179
ENSGALP00000041590	ENSMUSP00000130758
ENSGALP00000034083	ENSMUSP00000034946
ENSGALP00000025200	ENSMUSP00000030080
ENSGALP00000010774	ENSMUSP00000084578
ENSGALP00000041595	ENSMUSP00000065679
ENSGALP00000033543	ENSMUSP00000061402
ENSGALP00000038111	ENSMUSP00000049054
ENSGALP00000033249	ENSMUSP00000101060
ENSGALP00000000223	ENSMUSP00000043522
ENSGALP00000006462	ENSMUSP00000060591
ENSGALP00000015273	ENSMUSP00000103897
ENSGALP00000003483	ENSMUSP00000136611
ENSGALP00000023027	ENSMUSP00000125580
ENSGALP00000043336	ENSMUSP00000037867
ENSGALP00000042407	ENSMUSP00000049285
ENSGALP00000009483	ENSMUSP00000002837
ENSGALP00000041928	ENSMUSP00000132514
ENSGALP00000027543	ENSMUSP00000043210
ENSGALP00000024461	ENSMUSP00000100991
ENSGALP00000037103	ENSMUSP00000006027
ENSGALP00000027996	ENSMUSP00000036065
ENSGALP00000025409	ENSMUSP00000112662
ENSGALP00000004574	ENSMUSP00000020023
ENSGALP00000024889	ENSMUSP00000036726
ENSGALP00000018252	ENSMUSP00000041599
ENSGALP00000025261	ENSMUSP00000036110
ENSGALP00000024026	ENSMUSP00000059757
ENSGALP00000038592	ENSMUSP00000000939
ENSGALP00000010316	ENSMUSP00000091769
ENSGALP00000012240	ENSMUSP00000014290
ENSGALP00000032500	ENSMUSP00000028252
ENSGALP00000021356	ENSMUSP00000091011
ENSGALP00000043046	ENSMUSP00000019456
ENSGALP00000027517	ENSMUSP00000077899
ENSGALP00000023080	ENSMUSP00000031096
ENSGALP00000020127	ENSMUSP00000073190
ENSGALP00000043303	ENSMUSP00000027053
ENSGALP00000006759	ENSMUSP00000122552
ENSGALP00000013398	ENSMUSP00000026027
ENSGALP00000009076	ENSMUSP00000017821
ENSGALP00000013225	ENSMUSP00000031309
ENSGALP00000020504	ENSMUSP00000028368
ENSGALP00000042157	ENSMUSP00000022698
ENSGALP00000041481	ENSMUSP00000046695
ENSGALP00000022304	ENSMUSP00000095103
ENSGALP00000012613	ENSMUSP00000029075
ENSGALP00000001743	ENSMUSP00000043554
ENSGALP00000027184	ENSMUSP00000023835
ENSGALP00000015323	ENSMUSP00000093229
ENSGALP00000038332	ENSMUSP00000131010
ENSGALP00000030103	ENSMUSP00000038203
ENSGALP00000020966	ENSMUSP00000031977
ENSGALP00000007477	ENSMUSP00000109340
ENSGALP00000018083	ENSMUSP00000102481
ENSGALP00000009349	ENSMUSP00000100028
ENSGALP00000015531	ENSMUSP00000107770
ENSGALP00000027001	ENSMUSP00000114175
ENSGALP00000042648	ENSMUSP00000135959
ENSGALP00000017612	ENSMUSP00000067541
ENSGALP00000017617	ENSMUSP00000031663
ENSGALP00000023901	ENSMUSP00000106317
ENSGALP00000013735	ENSMUSP00000064246
ENSGALP00000039792	ENSMUSP00000126281
ENSGALP00000042131	ENSMUSP00000040775
ENSGALP00000024866	ENSMUSP00000037966
ENSGALP00000033981	ENSMUSP00000126243
ENSGALP00000005919	ENSMUSP00000105250
ENSGALP00000003108	ENSMUSP00000096258
ENSGALP00000018057	ENSMUSP00000075011
ENSGALP00000000236	ENSMUSP00000025197
ENSGALP00000041758	ENSMUSP00000128401
ENSGALP00000005918	ENSMUSP00000031354
ENSGALP00000026916	ENSMUSP00000130073
ENSGALP00000024965	ENSMUSP00000037487
ENSGALP00000024844	ENSMUSP00000029905
ENSGALP00000036419	ENSMUSP00000129831
ENSGALP00000040927	ENSMUSP00000038833
ENSGALP00000025962	ENSMUSP00000019386
ENSGALP00000012668	ENSMUSP00000034792
ENSGALP00000024856	ENSMUSP00000099975
ENSGALP00000042108	ENSMUSP00000034697
ENSGALP00000018540	ENSMUSP00000087394
ENSGALP00000021333	ENSMUSP00000075992
ENSGALP00000021927	ENSMUSP00000099430
ENSGALP00000042828	ENSMUSP00000035583
ENSGALP00000008742	ENSMUSP00000044457
ENSGALP00000017812	ENSMUSP00000030289
ENSGALP00000016052	ENSMUSP00000039943
ENSGALP00000027572	ENSMUSP00000082754
ENSGALP00000031452	ENSMUSP00000070554
ENSGALP00000015855	ENSMUSP00000000642
ENSGALP00000006706	ENSMUSP00000020277
ENSGALP00000041197	ENSMUSP00000051215
ENSGALP00000042434	ENSMUSP00000099984
ENSGALP00000016919	ENSMUSP00000031982
ENSGALP00000041062	ENSMUSP00000103546
ENSGALP00000006699	ENSMUSP00000017851
ENSGALP00000023943	ENSMUSP00000020027
ENSGALP00000022517	ENSMUSP00000051261
ENSGALP00000023842	ENSMUSP00000047547
ENSGALP00000005320	ENSMUSP00000091163
ENSGALP00000021227	ENSMUSP00000087694
ENSGALP00000031642	ENSMUSP00000105884
ENSGALP00000009416	ENSMUSP00000098594
ENSGALP00000042029	ENSMUSP00000099976
ENSGALP00000000835	ENSMUSP00000065225
ENSGALP00000024641	ENSMUSP00000101141
ENSGALP00000041822	ENSMUSP00000099716
ENSGALP00000027470	ENSMUSP00000055308
ENSGALP00000009065	ENSMUSP00000059420
ENSGALP00000014081	ENSMUSP00000100025
ENSGALP00000034313	ENSMUSP00000099572
ENSGALP00000012522	ENSMUSP00000062924
ENSGALP00000037969	ENSMUSP00000057725
ENSGALP00000029689	ENSMUSP00000056313
ENSGALP00000002266	ENSMUSP00000027373
ENSGALP00000008101	ENSMUSP00000061278
ENSGALP00000015507	ENSMUSP00000029355
ENSGALP00000010092	ENSMUSP00000027534
ENSGALP00000018364	ENSMUSP00000041395
ENSGALP00000008859	ENSMUSP00000068197
ENSGALP00000011107	ENSMUSP00000006851
ENSGALP00000002102	ENSMUSP00000101225
ENSGALP00000009912	ENSMUSP00000045527
ENSGALP00000012993	ENSMUSP00000021090
ENSGALP00000019667	ENSMUSP00000046532
ENSGALP00000005132	ENSMUSP00000070413
ENSGALP00000010583	ENSMUSP00000126828
ENSGALP00000004578	ENSMUSP00000027151
ENSGALP00000000815	ENSMUSP00000102570
ENSGALP00000043277	ENSMUSP00000078715
ENSGALP00000034605	ENSMUSP00000085253
ENSGALP00000020510	ENSMUSP00000062771
ENSGALP00000007047	ENSMUSP00000139310
ENSGALP00000014260	ENSMUSP00000000137
ENSGALP00000010991	ENSMUSP00000082150
ENSGALP00000002380	ENSMUSP00000087680
ENSGALP00000020754	ENSMUSP00000096994
ENSGALP00000024086	ENSMUSP00000047126
ENSGALP00000015963	ENSMUSP00000070726
ENSGALP00000013883	ENSMUSP00000002839
ENSGALP00000017157	ENSMUSP00000124370
ENSGALP00000019672	ENSMUSP00000039632
ENSGALP00000018684	ENSMUSP00000038013
ENSGALP00000010319	ENSMUSP00000020411
ENSGALP00000004476	ENSMUSP00000109915
ENSGALP00000002903	ENSMUSP00000053175
ENSGALP00000013470	ENSMUSP00000033805
ENSGALP00000021645	ENSMUSP00000115813
ENSGALP00000011511	ENSMUSP00000122395
ENSGALP00000038293	ENSMUSP00000016471
ENSGALP00000027108	ENSMUSP00000033826
ENSGALP00000004355	ENSMUSP00000034983
ENSGALP00000024537	ENSMUSP00000027863
ENSGALP00000007090	ENSMUSP00000138773
ENSGALP00000009799	ENSMUSP00000093914
ENSGALP00000008508	ENSMUSP00000102366
