ENSTGUP00000008915	ENSMUSP00000034074
ENSTGUP00000011592	ENSMUSP00000127603
ENSTGUP00000010998	ENSMUSP00000040217
ENSTGUP00000010909	ENSMUSP00000025288
ENSTGUP00000008898	ENSMUSP00000105282
ENSTGUP00000005020	ENSMUSP00000018989
ENSTGUP00000005254	ENSMUSP00000018466
ENSTGUP00000007673	ENSMUSP00000014505
ENSTGUP00000005191	ENSMUSP00000035203
ENSTGUP00000005389	ENSMUSP00000111103
ENSTGUP00000014566	ENSMUSP00000032264
ENSTGUP00000003676	ENSMUSP00000029128
ENSTGUP00000002319	ENSMUSP00000033610
ENSTGUP00000011474	ENSMUSP00000024565
ENSTGUP00000013282	ENSMUSP00000032781
ENSTGUP00000012847	ENSMUSP00000133649
ENSTGUP00000001623	ENSMUSP00000054412
ENSTGUP00000005458	ENSMUSP00000045511
ENSTGUP00000005263	ENSMUSP00000075235
ENSTGUP00000000371	ENSMUSP00000124647
ENSTGUP00000003862	ENSMUSP00000035246
ENSTGUP00000003819	ENSMUSP00000069495
ENSTGUP00000000526	ENSMUSP00000113675
ENSTGUP00000004420	ENSMUSP00000034840
ENSTGUP00000002205	ENSMUSP00000110574
ENSTGUP00000016783	ENSMUSP00000073268
ENSTGUP00000003276	ENSMUSP00000082710
ENSTGUP00000013203	ENSMUSP00000021706
ENSTGUP00000006737	ENSMUSP00000130759
ENSTGUP00000002510	ENSMUSP00000028311
ENSTGUP00000010462	ENSMUSP00000004949
ENSTGUP00000009884	ENSMUSP00000096248
ENSTGUP00000001025	ENSMUSP00000005064
ENSTGUP00000006567	ENSMUSP00000124863
ENSTGUP00000003388	ENSMUSP00000105409
ENSTGUP00000013314	ENSMUSP00000079306
ENSTGUP00000007517	ENSMUSP00000097747
ENSTGUP00000002402	ENSMUSP00000027961
ENSTGUP00000006436	ENSMUSP00000027494
ENSTGUP00000005879	ENSMUSP00000070606
ENSTGUP00000006914	ENSMUSP00000090790
ENSTGUP00000007511	ENSMUSP00000104363
ENSTGUP00000006599	ENSMUSP00000062535
ENSTGUP00000011707	ENSMUSP00000088642
ENSTGUP00000017731	ENSMUSP00000059272
ENSTGUP00000011705	ENSMUSP00000051353
ENSTGUP00000018265	ENSMUSP00000082115
ENSTGUP00000006604	ENSMUSP00000042715
ENSTGUP00000010836	ENSMUSP00000114020
ENSTGUP00000001184	ENSMUSP00000099608
ENSTGUP00000012380	ENSMUSP00000038922
ENSTGUP00000003773	ENSMUSP00000089212
ENSTGUP00000003831	ENSMUSP00000047308
ENSTGUP00000004874	ENSMUSP00000015858
ENSTGUP00000009101	ENSMUSP00000069238
ENSTGUP00000007812	ENSMUSP00000028426
ENSTGUP00000003687	ENSMUSP00000023762
ENSTGUP00000014440	ENSMUSP00000120598
ENSTGUP00000003097	ENSMUSP00000064556
ENSTGUP00000012631	ENSMUSP00000021682
ENSTGUP00000007507	ENSMUSP00000059666
ENSTGUP00000001158	ENSMUSP00000020624
ENSTGUP00000000912	ENSMUSP00000101004
ENSTGUP00000002880	ENSMUSP00000031841
ENSTGUP00000014205	ENSMUSP00000080467
ENSTGUP00000009297	ENSMUSP00000099733
ENSTGUP00000012744	ENSMUSP00000103815
ENSTGUP00000001335	ENSMUSP00000003509
ENSTGUP00000001616	ENSMUSP00000074764
ENSTGUP00000012121	ENSMUSP00000032421
ENSTGUP00000017784	ENSMUSP00000025477
ENSTGUP00000008788	ENSMUSP00000026896
ENSTGUP00000000920	ENSMUSP00000043477
ENSTGUP00000006514	ENSMUSP00000100012
ENSTGUP00000005575	ENSMUSP00000015003
ENSTGUP00000007512	ENSMUSP00000020339
ENSTGUP00000008852	ENSMUSP00000036487
ENSTGUP00000015232	ENSMUSP00000049007
ENSTGUP00000006775	ENSMUSP00000049346
ENSTGUP00000013703	ENSMUSP00000113708
ENSTGUP00000000421	ENSMUSP00000002989
ENSTGUP00000008875	ENSMUSP00000044578
ENSTGUP00000013567	ENSMUSP00000032500
ENSTGUP00000016110	ENSMUSP00000032715
ENSTGUP00000004581	ENSMUSP00000036674
ENSTGUP00000007902	ENSMUSP00000042867
ENSTGUP00000000228	ENSMUSP00000104411
ENSTGUP00000002076	ENSMUSP00000018630
ENSTGUP00000005006	ENSMUSP00000024049
ENSTGUP00000008308	ENSMUSP00000128621
ENSTGUP00000013118	ENSMUSP00000105486
ENSTGUP00000003528	ENSMUSP00000094528
ENSTGUP00000011773	ENSMUSP00000086409
ENSTGUP00000011586	ENSMUSP00000022707
ENSTGUP00000003067	ENSMUSP00000064131
ENSTGUP00000005646	ENSMUSP00000047199
ENSTGUP00000012331	ENSMUSP00000088670
ENSTGUP00000001808	ENSMUSP00000043250
ENSTGUP00000007259	ENSMUSP00000048978
ENSTGUP00000010021	ENSMUSP00000030306
ENSTGUP00000008703	ENSMUSP00000034427
ENSTGUP00000000869	ENSMUSP00000064775
ENSTGUP00000011510	ENSMUSP00000101046
ENSTGUP00000004236	ENSMUSP00000103028
ENSTGUP00000002050	ENSMUSP00000115260
ENSTGUP00000001084	ENSMUSP00000075089
ENSTGUP00000017815	ENSMUSP00000126897
ENSTGUP00000004566	ENSMUSP00000074533
ENSTGUP00000001855	ENSMUSP00000044432
ENSTGUP00000007193	ENSMUSP00000104459
ENSTGUP00000010614	ENSMUSP00000106905
ENSTGUP00000001146	ENSMUSP00000089513
ENSTGUP00000004826	ENSMUSP00000109098
