ENSCAFP00000014731	ENSDARP00000074624
ENSCAFP00000004893	ENSDARP00000061719
ENSCAFP00000004893	ENSDARP00000095914
ENSCAFP00000000026	ENSDARP00000113051
ENSCAFP00000027009	ENSDARP00000023678
ENSCAFP00000014101	ENSDARP00000001240
ENSCAFP00000010599	ENSDARP00000101815
ENSCAFP00000041478	ENSDARP00000123904
ENSCAFP00000011228	ENSDARP00000042321
ENSCAFP00000025792	ENSDARP00000101214
ENSCAFP00000020532	ENSDARP00000111829
ENSCAFP00000008815	ENSDARP00000035017
ENSCAFP00000012433	ENSDARP00000099341
ENSCAFP00000022926	ENSDARP00000016279
ENSCAFP00000015206	ENSDARP00000087241
ENSCAFP00000003668	ENSDARP00000120245
ENSCAFP00000003657	ENSDARP00000086278
ENSCAFP00000007426	ENSDARP00000108480
ENSCAFP00000035869	ENSDARP00000043235
ENSCAFP00000035869	ENSDARP00000112135
ENSCAFP00000041440	ENSDARP00000040549
ENSCAFP00000026713	ENSDARP00000105765
ENSCAFP00000028894	ENSDARP00000016657
ENSCAFP00000028894	ENSDARP00000043465
ENSCAFP00000010159	ENSDARP00000036715
ENSCAFP00000027741	ENSDARP00000013849
ENSCAFP00000025741	ENSDARP00000128322
ENSCAFP00000025741	ENSDARP00000052396
ENSCAFP00000023060	ENSDARP00000097747
ENSCAFP00000023060	ENSDARP00000102479
ENSCAFP00000029957	ENSDARP00000017456
ENSCAFP00000007014	ENSDARP00000075275
ENSCAFP00000001849	ENSDARP00000003744
ENSCAFP00000029580	ENSDARP00000115728
ENSCAFP00000027190	ENSDARP00000060526
ENSCAFP00000032029	ENSDARP00000102702
ENSCAFP00000012528	ENSDARP00000128926
ENSCAFP00000012512	ENSDARP00000104196
ENSCAFP00000025582	ENSDARP00000123389
ENSCAFP00000019089	ENSDARP00000122905
ENSCAFP00000002012	ENSDARP00000109018
ENSCAFP00000002012	ENSDARP00000041145
ENSCAFP00000024610	ENSDARP00000098378
ENSCAFP00000012157	ENSDARP00000093306
ENSCAFP00000012157	ENSDARP00000053157
ENSCAFP00000024137	ENSDARP00000007140
ENSCAFP00000027297	ENSDARP00000042193
ENSCAFP00000027297	ENSDARP00000033512
ENSCAFP00000018115	ENSDARP00000099879
ENSCAFP00000018115	ENSDARP00000076418
ENSCAFP00000015735	ENSDARP00000052791
ENSCAFP00000015735	ENSDARP00000102159
ENSCAFP00000017392	ENSDARP00000070109
ENSCAFP00000030690	ENSDARP00000087079
ENSCAFP00000018258	ENSDARP00000033311
ENSCAFP00000011525	ENSDARP00000067607
ENSCAFP00000012786	ENSDARP00000071278
ENSCAFP00000028846	ENSDARP00000096178
ENSCAFP00000028846	ENSDARP00000087500
ENSCAFP00000004119	ENSDARP00000010426
ENSCAFP00000037844	ENSDARP00000105608
ENSCAFP00000019894	ENSDARP00000062853
ENSCAFP00000004239	ENSDARP00000015027
ENSCAFP00000041229	ENSDARP00000036016
ENSCAFP00000039048	ENSDARP00000104838
ENSCAFP00000025974	ENSDARP00000110537
ENSCAFP00000000191	ENSDARP00000066622
ENSCAFP00000016481	ENSDARP00000022709
ENSCAFP00000011295	ENSDARP00000011180
ENSCAFP00000041377	ENSDARP00000109781
ENSCAFP00000011055	ENSDARP00000101968
ENSCAFP00000037675	ENSDARP00000011396
ENSCAFP00000028469	ENSDARP00000086789
ENSCAFP00000005175	ENSDARP00000020784
ENSCAFP00000000678	ENSDARP00000111457
ENSCAFP00000004185	ENSDARP00000013157
ENSCAFP00000001898	ENSDARP00000052440
ENSCAFP00000034643	ENSDARP00000107372
ENSCAFP00000010553	ENSDARP00000107947
ENSCAFP00000010553	ENSDARP00000053660
ENSCAFP00000013282	ENSDARP00000114340
ENSCAFP00000012034	ENSDARP00000101407
ENSCAFP00000001467	ENSDARP00000056104
ENSCAFP00000028666	ENSDARP00000098075
ENSCAFP00000028666	ENSDARP00000089131
ENSCAFP00000022241	ENSDARP00000017762
ENSCAFP00000016786	ENSDARP00000052420
ENSCAFP00000016786	ENSDARP00000128041
ENSCAFP00000018033	ENSDARP00000086597
ENSCAFP00000030540	ENSDARP00000106043
ENSCAFP00000035073	ENSDARP00000003829
ENSCAFP00000013243	ENSDARP00000123474
ENSCAFP00000014218	ENSDARP00000049623
ENSCAFP00000042751	ENSDARP00000105575
ENSCAFP00000019792	ENSDARP00000055224
ENSCAFP00000022068	ENSDARP00000005680
ENSCAFP00000023624	ENSDARP00000129116
ENSCAFP00000001306	ENSDARP00000008475
ENSCAFP00000020713	ENSDARP00000058968
ENSCAFP00000013047	ENSDARP00000079823
ENSCAFP00000026382	ENSDARP00000104791
ENSCAFP00000023231	ENSDARP00000075280
ENSCAFP00000007928	ENSDARP00000108980
ENSCAFP00000027825	ENSDARP00000039553
ENSCAFP00000021439	ENSDARP00000105944
ENSCAFP00000018637	ENSDARP00000106138
ENSCAFP00000025317	ENSDARP00000057433
ENSCAFP00000027841	ENSDARP00000063051
ENSCAFP00000029742	ENSDARP00000081844
ENSCAFP00000025289	ENSDARP00000115965
ENSCAFP00000029577	ENSDARP00000101420
ENSCAFP00000005947	ENSDARP00000112407
ENSCAFP00000021524	ENSDARP00000013006
ENSCAFP00000019815	ENSDARP00000064825
ENSCAFP00000016801	ENSDARP00000042673
ENSCAFP00000030461	ENSDARP00000015394
ENSCAFP00000019811	ENSDARP00000013506
ENSCAFP00000019811	ENSDARP00000117090
ENSCAFP00000029719	ENSDARP00000102910
ENSCAFP00000011995	ENSDARP00000012147
ENSCAFP00000021690	ENSDARP00000073893
ENSCAFP00000022596	ENSDARP00000104859
ENSCAFP00000023182	ENSDARP00000053426
ENSCAFP00000018253	ENSDARP00000075572
ENSCAFP00000002791	ENSDARP00000091375
ENSCAFP00000022118	ENSDARP00000087820
ENSCAFP00000014825	ENSDARP00000002635
ENSCAFP00000007048	ENSDARP00000108255
ENSCAFP00000017550	ENSDARP00000073523
ENSCAFP00000018354	ENSDARP00000030625
ENSCAFP00000024345	ENSDARP00000014061
ENSCAFP00000024345	ENSDARP00000054692
ENSCAFP00000010262	ENSDARP00000084007
ENSCAFP00000005775	ENSDARP00000078442
ENSCAFP00000001922	ENSDARP00000124333
ENSCAFP00000001922	ENSDARP00000099556
ENSCAFP00000005678	ENSDARP00000091436
ENSCAFP00000000979	ENSDARP00000109870
ENSCAFP00000022990	ENSDARP00000124246
ENSCAFP00000018541	ENSDARP00000110473
ENSCAFP00000001491	ENSDARP00000129124
ENSCAFP00000018897	ENSDARP00000070686
ENSCAFP00000017225	ENSDARP00000055491
ENSCAFP00000025707	ENSDARP00000067708
ENSCAFP00000001025	ENSDARP00000106457
ENSCAFP00000029725	ENSDARP00000012791
ENSCAFP00000013459	ENSDARP00000056073
ENSCAFP00000007656	ENSDARP00000111869
ENSCAFP00000021476	ENSDARP00000065396
ENSCAFP00000004543	ENSDARP00000059618
ENSCAFP00000042734	ENSDARP00000106564
ENSCAFP00000004699	ENSDARP00000022147
ENSCAFP00000023374	ENSDARP00000066366
ENSCAFP00000023374	ENSDARP00000095220
ENSCAFP00000033673	ENSDARP00000099181
ENSCAFP00000015628	ENSDARP00000100931
ENSCAFP00000015628	ENSDARP00000127731
ENSCAFP00000018107	ENSDARP00000027644
ENSCAFP00000041937	ENSDARP00000095343
ENSCAFP00000041937	ENSDARP00000109154
ENSCAFP00000018097	ENSDARP00000019674
ENSCAFP00000018097	ENSDARP00000056452
ENSCAFP00000021381	ENSDARP00000068816
ENSCAFP00000021381	ENSDARP00000019643
ENSCAFP00000003057	ENSDARP00000122397
ENSCAFP00000003057	ENSDARP00000129467
ENSCAFP00000042913	ENSDARP00000053606
ENSCAFP00000030233	ENSDARP00000057298
ENSCAFP00000030233	ENSDARP00000063586
ENSCAFP00000041421	ENSDARP00000022487
ENSCAFP00000007210	ENSDARP00000050473
ENSCAFP00000001179	ENSDARP00000074794
ENSCAFP00000032670	ENSDARP00000025373
ENSCAFP00000005013	ENSDARP00000063985
ENSCAFP00000027533	ENSDARP00000058305
ENSCAFP00000027533	ENSDARP00000062984
ENSCAFP00000042805	ENSDARP00000109601
ENSCAFP00000015347	ENSDARP00000091774
ENSCAFP00000015347	ENSDARP00000104127
ENSCAFP00000036079	ENSDARP00000028904
ENSCAFP00000036079	ENSDARP00000114008
ENSCAFP00000007816	ENSDARP00000025094
ENSCAFP00000011829	ENSDARP00000097628
ENSCAFP00000011829	ENSDARP00000080655
ENSCAFP00000030086	ENSDARP00000097784
ENSCAFP00000023803	ENSDARP00000098809
ENSCAFP00000001165	ENSDARP00000079273
ENSCAFP00000016128	ENSDARP00000123999
ENSCAFP00000020918	ENSDARP00000083765
ENSCAFP00000040632	ENSDARP00000047652
