ENSMUSP00000034074	ENSTNIP00000004863
ENSMUSP00000037172	ENSTNIP00000000782
ENSMUSP00000025288	ENSTNIP00000018279
ENSMUSP00000105282	ENSTNIP00000007712
ENSMUSP00000018989	ENSTNIP00000018487
ENSMUSP00000018466	ENSTNIP00000006735
ENSMUSP00000014505	ENSTNIP00000019716
ENSMUSP00000002677	ENSTNIP00000005151
ENSMUSP00000111103	ENSTNIP00000019148
ENSMUSP00000029128	ENSTNIP00000005402
ENSMUSP00000033610	ENSTNIP00000019972
ENSMUSP00000015484	ENSTNIP00000013161
ENSMUSP00000045511	ENSTNIP00000011565
ENSMUSP00000075235	ENSTNIP00000006170
ENSMUSP00000024829	ENSTNIP00000014150
ENSMUSP00000035246	ENSTNIP00000010280
ENSMUSP00000069495	ENSTNIP00000010281
ENSMUSP00000073268	ENSTNIP00000006171
ENSMUSP00000073268	ENSTNIP00000011460
ENSMUSP00000021706	ENSTNIP00000005138
ENSMUSP00000028311	ENSTNIP00000016461
ENSMUSP00000028311	ENSTNIP00000013509
ENSMUSP00000004949	ENSTNIP00000012472
ENSMUSP00000017530	ENSTNIP00000019321
ENSMUSP00000096248	ENSTNIP00000011270
ENSMUSP00000124863	ENSTNIP00000011480
ENSMUSP00000124863	ENSTNIP00000016134
ENSMUSP00000097747	ENSTNIP00000021926
ENSMUSP00000027494	ENSTNIP00000018299
ENSMUSP00000070606	ENSTNIP00000003517
ENSMUSP00000104363	ENSTNIP00000003418
ENSMUSP00000088642	ENSTNIP00000004064
ENSMUSP00000051353	ENSTNIP00000010517
ENSMUSP00000020679	ENSTNIP00000010483
ENSMUSP00000038922	ENSTNIP00000016288
ENSMUSP00000019516	ENSTNIP00000016676
ENSMUSP00000033081	ENSTNIP00000009262
ENSMUSP00000015858	ENSTNIP00000020689
ENSMUSP00000015858	ENSTNIP00000010887
ENSMUSP00000069238	ENSTNIP00000022426
ENSMUSP00000028426	ENSTNIP00000021883
ENSMUSP00000120598	ENSTNIP00000018584
ENSMUSP00000021682	ENSTNIP00000020563
ENSMUSP00000059666	ENSTNIP00000020641
ENSMUSP00000108629	ENSTNIP00000019827
ENSMUSP00000020624	ENSTNIP00000007081
ENSMUSP00000101004	ENSTNIP00000001653
ENSMUSP00000122476	ENSTNIP00000018097
ENSMUSP00000099733	ENSTNIP00000020081
ENSMUSP00000005103	ENSTNIP00000000829
ENSMUSP00000103815	ENSTNIP00000006467
ENSMUSP00000003509	ENSTNIP00000000186
ENSMUSP00000074764	ENSTNIP00000009228
ENSMUSP00000032421	ENSTNIP00000013970
ENSMUSP00000100012	ENSTNIP00000012496
ENSMUSP00000099434	ENSTNIP00000007715
ENSMUSP00000050496	ENSTNIP00000017400
ENSMUSP00000048260	ENSTNIP00000008907
ENSMUSP00000020339	ENSTNIP00000004911
ENSMUSP00000036487	ENSTNIP00000005718
ENSMUSP00000049007	ENSTNIP00000011862
ENSMUSP00000085900	ENSTNIP00000011017
ENSMUSP00000049346	ENSTNIP00000001471
ENSMUSP00000049346	ENSTNIP00000015450
ENSMUSP00000080579	ENSTNIP00000014174
ENSMUSP00000105240	ENSTNIP00000006548
ENSMUSP00000125718	ENSTNIP00000018720
ENSMUSP00000028349	ENSTNIP00000006011
