ENSDARP00000074624	ENSP00000262384
ENSDARP00000061719	ENSP00000362179
ENSDARP00000095914	ENSP00000362179
ENSDARP00000023678	ENSP00000268876
ENSDARP00000001240	ENSP00000361900
ENSDARP00000101815	ENSP00000295408
ENSDARP00000123904	ENSP00000317272
ENSDARP00000042321	ENSP00000363970
ENSDARP00000101214	ENSP00000373518
ENSDARP00000111829	ENSP00000367851
ENSDARP00000035017	ENSP00000445366
ENSDARP00000099341	ENSP00000281722
ENSDARP00000016279	ENSP00000363107
ENSDARP00000087241	ENSP00000354995
ENSDARP00000120245	ENSP00000272286
ENSDARP00000086278	ENSP00000260645
ENSDARP00000108480	ENSP00000389951
ENSDARP00000043235	ENSP00000363092
ENSDARP00000112135	ENSP00000363092
ENSDARP00000040549	ENSP00000261464
ENSDARP00000105765	ENSP00000454207
ENSDARP00000091948	ENSP00000362994
ENSDARP00000016657	ENSP00000247668
ENSDARP00000043465	ENSP00000247668
ENSDARP00000036715	ENSP00000433623
ENSDARP00000128322	ENSP00000249636
ENSDARP00000052396	ENSP00000249636
ENSDARP00000097747	ENSP00000334474
ENSDARP00000102479	ENSP00000334474
ENSDARP00000017456	ENSP00000324173
ENSDARP00000075275	ENSP00000367623
ENSDARP00000003744	ENSP00000297185
ENSDARP00000025441	ENSP00000234038
ENSDARP00000115728	ENSP00000367815
ENSDARP00000060526	ENSP00000326870
ENSDARP00000102702	ENSP00000308361
ENSDARP00000128926	ENSP00000307259
ENSDARP00000104196	ENSP00000308479
ENSDARP00000123389	ENSP00000311687
ENSDARP00000122905	ENSP00000363520
ENSDARP00000109018	ENSP00000414055
ENSDARP00000041145	ENSP00000414055
ENSDARP00000098378	ENSP00000369666
ENSDARP00000007140	ENSP00000350676
ENSDARP00000042193	ENSP00000251363
ENSDARP00000033512	ENSP00000251363
ENSDARP00000099879	ENSP00000271688
ENSDARP00000076418	ENSP00000271688
ENSDARP00000052791	ENSP00000284382
ENSDARP00000102159	ENSP00000284382
ENSDARP00000070109	ENSP00000376453
ENSDARP00000087079	ENSP00000402697
ENSDARP00000033311	ENSP00000355929
ENSDARP00000067607	ENSP00000309142
ENSDARP00000071278	ENSP00000264903
ENSDARP00000096178	ENSP00000468788
ENSDARP00000087500	ENSP00000468788
ENSDARP00000010426	ENSP00000297071
ENSDARP00000105608	ENSP00000439120
ENSDARP00000062853	ENSP00000380252
ENSDARP00000036016	ENSP00000257749
ENSDARP00000104838	ENSP00000366827
ENSDARP00000110537	ENSP00000321343
ENSDARP00000066622	ENSP00000320431
ENSDARP00000022709	ENSP00000268164
ENSDARP00000011180	ENSP00000231461
ENSDARP00000109781	ENSP00000262904
ENSDARP00000101968	ENSP00000345571
ENSDARP00000011396	ENSP00000368686
ENSDARP00000086789	ENSP00000268989
ENSDARP00000020784	ENSP00000221543
ENSDARP00000111457	ENSP00000448182
ENSDARP00000013157	ENSP00000320434
ENSDARP00000052440	ENSP00000304669
ENSDARP00000107372	ENSP00000386141
ENSDARP00000107947	ENSP00000477059
ENSDARP00000053660	ENSP00000477059
ENSDARP00000114340	ENSP00000386881
ENSDARP00000056104	ENSP00000428280
ENSDARP00000098075	ENSP00000360475
ENSDARP00000089131	ENSP00000360475
ENSDARP00000017762	ENSP00000222250
ENSDARP00000052420	ENSP00000358323
ENSDARP00000128041	ENSP00000358323
ENSDARP00000086597	ENSP00000380759
ENSDARP00000106043	ENSP00000359095
ENSDARP00000003829	ENSP00000331879
ENSDARP00000123474	ENSP00000276440
ENSDARP00000049623	ENSP00000340677
ENSDARP00000105575	ENSP00000272164
ENSDARP00000055224	ENSP00000290015
ENSDARP00000005680	ENSP00000258411
ENSDARP00000121183	ENSP00000252456
ENSDARP00000003525	ENSP00000252456
ENSDARP00000129116	ENSP00000252677
ENSDARP00000008475	ENSP00000367942
ENSDARP00000058968	ENSP00000287139
ENSDARP00000079823	ENSP00000282701
ENSDARP00000104791	ENSP00000334314
ENSDARP00000075280	ENSP00000378254
ENSDARP00000108980	ENSP00000366267
ENSDARP00000039553	ENSP00000377836
ENSDARP00000105944	ENSP00000292377
ENSDARP00000106138	ENSP00000264039
ENSDARP00000123199	ENSP00000332886
ENSDARP00000057433	ENSP00000380785
ENSDARP00000063051	ENSP00000360252
ENSDARP00000081844	ENSP00000310015
ENSDARP00000115372	ENSP00000370713
ENSDARP00000115965	ENSP00000357459
ENSDARP00000101420	ENSP00000268624
ENSDARP00000112407	ENSP00000296513
ENSDARP00000013006	ENSP00000262803
