ENSTNIP00000004863	ENSTGUP00000008915
ENSTNIP00000014782	ENSTGUP00000002935
ENSTNIP00000018279	ENSTGUP00000010909
ENSTNIP00000007712	ENSTGUP00000008898
ENSTNIP00000015128	ENSTGUP00000010401
ENSTNIP00000018487	ENSTGUP00000005020
ENSTNIP00000013577	ENSTGUP00000014038
ENSTNIP00000006735	ENSTGUP00000005254
ENSTNIP00000019716	ENSTGUP00000007673
ENSTNIP00000019148	ENSTGUP00000005389
ENSTNIP00000021849	ENSTGUP00000006862
ENSTNIP00000011698	ENSTGUP00000008706
ENSTNIP00000005529	ENSTGUP00000008706
ENSTNIP00000005402	ENSTGUP00000003676
ENSTNIP00000016699	ENSTGUP00000004968
ENSTNIP00000019972	ENSTGUP00000002319
ENSTNIP00000020722	ENSTGUP00000000909
ENSTNIP00000011565	ENSTGUP00000005458
ENSTNIP00000008871	ENSTGUP00000008967
ENSTNIP00000006170	ENSTGUP00000005263
ENSTNIP00000010280	ENSTGUP00000003862
ENSTNIP00000010281	ENSTGUP00000003819
ENSTNIP00000004304	ENSTGUP00000001695
ENSTNIP00000006171	ENSTGUP00000016783
ENSTNIP00000011460	ENSTGUP00000016783
ENSTNIP00000017513	ENSTGUP00000008885
ENSTNIP00000005138	ENSTGUP00000013203
ENSTNIP00000016461	ENSTGUP00000002510
ENSTNIP00000013509	ENSTGUP00000002510
ENSTNIP00000012472	ENSTGUP00000010462
ENSTNIP00000011270	ENSTGUP00000009884
ENSTNIP00000011480	ENSTGUP00000006567
ENSTNIP00000016134	ENSTGUP00000006567
ENSTNIP00000011443	ENSTGUP00000000503
ENSTNIP00000021926	ENSTGUP00000007517
ENSTNIP00000018299	ENSTGUP00000006436
ENSTNIP00000003517	ENSTGUP00000005879
ENSTNIP00000003418	ENSTGUP00000007511
ENSTNIP00000004064	ENSTGUP00000011707
ENSTNIP00000010517	ENSTGUP00000011705
ENSTNIP00000013568	ENSTGUP00000010829
ENSTNIP00000016288	ENSTGUP00000012380
ENSTNIP00000017450	ENSTGUP00000002856
ENSTNIP00000014336	ENSTGUP00000012053
ENSTNIP00000020689	ENSTGUP00000004874
ENSTNIP00000010887	ENSTGUP00000004874
ENSTNIP00000022426	ENSTGUP00000009101
ENSTNIP00000021883	ENSTGUP00000007812
ENSTNIP00000018584	ENSTGUP00000014440
ENSTNIP00000020563	ENSTGUP00000012631
ENSTNIP00000020641	ENSTGUP00000007507
ENSTNIP00000007081	ENSTGUP00000001158
ENSTNIP00000001653	ENSTGUP00000000912
ENSTNIP00000020081	ENSTGUP00000009297
ENSTNIP00000006467	ENSTGUP00000012744
ENSTNIP00000000186	ENSTGUP00000001335
ENSTNIP00000009228	ENSTGUP00000001616
ENSTNIP00000013970	ENSTGUP00000012121
ENSTNIP00000012496	ENSTGUP00000006514
ENSTNIP00000020402	ENSTGUP00000000930
ENSTNIP00000004648	ENSTGUP00000012077
ENSTNIP00000011922	ENSTGUP00000007749
ENSTNIP00000004911	ENSTGUP00000007512
ENSTNIP00000005718	ENSTGUP00000008852
ENSTNIP00000011862	ENSTGUP00000015232
ENSTNIP00000001471	ENSTGUP00000006775
ENSTNIP00000015450	ENSTGUP00000006775
ENSTNIP00000012789	ENSTGUP00000000722
ENSTNIP00000002037	ENSTGUP00000016110
ENSTNIP00000003018	ENSTGUP00000005741
ENSTNIP00000008097	ENSTGUP00000004581
ENSTNIP00000011488	ENSTGUP00000007902
ENSTNIP00000011323	ENSTGUP00000000228
ENSTNIP00000014635	ENSTGUP00000002076
ENSTNIP00000015675	ENSTGUP00000013997
ENSTNIP00000014001	ENSTGUP00000000954
ENSTNIP00000008502	ENSTGUP00000005006
ENSTNIP00000018932	ENSTGUP00000004870
ENSTNIP00000016220	ENSTGUP00000004870
ENSTNIP00000020469	ENSTGUP00000013118
ENSTNIP00000016383	ENSTGUP00000003528
ENSTNIP00000020539	ENSTGUP00000012794
ENSTNIP00000012306	ENSTGUP00000011586
ENSTNIP00000004866	ENSTGUP00000005627
ENSTNIP00000018333	ENSTGUP00000005627
ENSTNIP00000007331	ENSTGUP00000003067
ENSTNIP00000012305	ENSTGUP00000011582
ENSTNIP00000016977	ENSTGUP00000011582
ENSTNIP00000018334	ENSTGUP00000005646
ENSTNIP00000000638	ENSTGUP00000005646
ENSTNIP00000010267	ENSTGUP00000007259
ENSTNIP00000013793	ENSTGUP00000010021
ENSTNIP00000010816	ENSTGUP00000000869
ENSTNIP00000003575	ENSTGUP00000004236
ENSTNIP00000016040	ENSTGUP00000002050
ENSTNIP00000014011	ENSTGUP00000001084
ENSTNIP00000002898	ENSTGUP00000001084
ENSTNIP00000021443	ENSTGUP00000017815
ENSTNIP00000019065	ENSTGUP00000004062
ENSTNIP00000001502	ENSTGUP00000004566
ENSTNIP00000007089	ENSTGUP00000001146
ENSTNIP00000011020	ENSTGUP00000011805
ENSTNIP00000002453	ENSTGUP00000009073
ENSTNIP00000019645	ENSTGUP00000006886
ENSTNIP00000013536	ENSTGUP00000010484
ENSTNIP00000010184	ENSTGUP00000017785
ENSTNIP00000016915	ENSTGUP00000008359
ENSTNIP00000011744	ENSTGUP00000003284
ENSTNIP00000007098	ENSTGUP00000005747
ENSTNIP00000018861	ENSTGUP00000005747
ENSTNIP00000012246	ENSTGUP00000008668
ENSTNIP00000004001	ENSTGUP00000001739
ENSTNIP00000015237	ENSTGUP00000011408
ENSTNIP00000022499	ENSTGUP00000011408
ENSTNIP00000009462	ENSTGUP00000013534
ENSTNIP00000019057	ENSTGUP00000004152
ENSTNIP00000021609	ENSTGUP00000002713
ENSTNIP00000017983	ENSTGUP00000001990
ENSTNIP00000012711	ENSTGUP00000013056
ENSTNIP00000020654	ENSTGUP00000004793
ENSTNIP00000009909	ENSTGUP00000016062
ENSTNIP00000005696	ENSTGUP00000000367
ENSTNIP00000016193	ENSTGUP00000003797
ENSTNIP00000004730	ENSTGUP00000009690
ENSTNIP00000022314	ENSTGUP00000004020
ENSTNIP00000017622	ENSTGUP00000015654
ENSTNIP00000018794	ENSTGUP00000009469
ENSTNIP00000009396	ENSTGUP00000002508
ENSTNIP00000005167	ENSTGUP00000002508
ENSTNIP00000006348	ENSTGUP00000010870
ENSTNIP00000003187	ENSTGUP00000007382
ENSTNIP00000003719	ENSTGUP00000007382
ENSTNIP00000011174	ENSTGUP00000005260
ENSTNIP00000011717	ENSTGUP00000005260
ENSTNIP00000016889	ENSTGUP00000010013
ENSTNIP00000002630	ENSTGUP00000003654
ENSTNIP00000013618	ENSTGUP00000007258
ENSTNIP00000005469	ENSTGUP00000007261
ENSTNIP00000013679	ENSTGUP00000003258
ENSTNIP00000008113	ENSTGUP00000015287
