ENSDARP00000074624	ENSMGAP00000004951
ENSDARP00000061719	ENSMGAP00000003068
ENSDARP00000095914	ENSMGAP00000003068
ENSDARP00000118051	ENSMGAP00000000132
ENSDARP00000006624	ENSMGAP00000013498
ENSDARP00000105714	ENSMGAP00000002621
ENSDARP00000093807	ENSMGAP00000011180
ENSDARP00000023678	ENSMGAP00000003978
ENSDARP00000117083	ENSMGAP00000015197
ENSDARP00000001240	ENSMGAP00000003388
ENSDARP00000101815	ENSMGAP00000002654
ENSDARP00000123904	ENSMGAP00000009217
ENSDARP00000106622	ENSMGAP00000002648
ENSDARP00000039056	ENSMGAP00000009326
ENSDARP00000003432	ENSMGAP00000007525
ENSDARP00000042321	ENSMGAP00000001572
ENSDARP00000101214	ENSMGAP00000010575
ENSDARP00000085160	ENSMGAP00000000479
ENSDARP00000111829	ENSMGAP00000015491
ENSDARP00000035017	ENSMGAP00000000276
ENSDARP00000099341	ENSMGAP00000000909
ENSDARP00000083503	ENSMGAP00000012849
ENSDARP00000016279	ENSMGAP00000000973
ENSDARP00000087241	ENSMGAP00000015435
ENSDARP00000120245	ENSMGAP00000010566
ENSDARP00000086278	ENSMGAP00000010545
ENSDARP00000006351	ENSMGAP00000007436
ENSDARP00000039628	ENSMGAP00000007436
ENSDARP00000108480	ENSMGAP00000018658
ENSDARP00000111278	ENSMGAP00000011060
ENSDARP00000071397	ENSMGAP00000007584
ENSDARP00000043235	ENSMGAP00000000941
ENSDARP00000112135	ENSMGAP00000000941
ENSDARP00000020894	ENSMGAP00000015853
ENSDARP00000117890	ENSMGAP00000015605
ENSDARP00000040549	ENSMGAP00000017353
ENSDARP00000105765	ENSMGAP00000014132
ENSDARP00000091948	ENSMGAP00000003168
ENSDARP00000016657	ENSMGAP00000000271
ENSDARP00000043465	ENSMGAP00000000271
ENSDARP00000036715	ENSMGAP00000010789
ENSDARP00000013849	ENSMGAP00000013478
ENSDARP00000128322	ENSMGAP00000010388
ENSDARP00000052396	ENSMGAP00000010388
ENSDARP00000097747	ENSMGAP00000005618
ENSDARP00000102479	ENSMGAP00000005618
ENSDARP00000075275	ENSMGAP00000005019
ENSDARP00000003744	ENSMGAP00000000922
ENSDARP00000010921	ENSMGAP00000017433
ENSDARP00000025441	ENSMGAP00000003400
ENSDARP00000097768	ENSMGAP00000018942
ENSDARP00000115728	ENSMGAP00000000263
ENSDARP00000060526	ENSMGAP00000004440
ENSDARP00000022016	ENSMGAP00000018280
ENSDARP00000105356	ENSMGAP00000009720
ENSDARP00000123389	ENSMGAP00000004973
ENSDARP00000072786	ENSMGAP00000015643
ENSDARP00000122905	ENSMGAP00000005906
ENSDARP00000083020	ENSMGAP00000003923
ENSDARP00000129294	ENSMGAP00000003923
ENSDARP00000109018	ENSMGAP00000013787
ENSDARP00000041145	ENSMGAP00000013787
ENSDARP00000104491	ENSMGAP00000013930
ENSDARP00000050378	ENSMGAP00000013930
ENSDARP00000099879	ENSMGAP00000006584
ENSDARP00000076418	ENSMGAP00000006584
ENSDARP00000087079	ENSMGAP00000004536
ENSDARP00000033311	ENSMGAP00000017297
ENSDARP00000067607	ENSMGAP00000006458
ENSDARP00000016139	ENSMGAP00000002526
ENSDARP00000096178	ENSMGAP00000010640
ENSDARP00000087500	ENSMGAP00000010640
ENSDARP00000010426	ENSMGAP00000010940
ENSDARP00000062853	ENSMGAP00000009863
ENSDARP00000036016	ENSMGAP00000014406
ENSDARP00000104838	ENSMGAP00000007874
ENSDARP00000022709	ENSMGAP00000009216
ENSDARP00000011180	ENSMGAP00000006576
ENSDARP00000109781	ENSMGAP00000002105
ENSDARP00000100111	ENSMGAP00000000989
ENSDARP00000101968	ENSMGAP00000001972
ENSDARP00000121362	ENSMGAP00000014828
ENSDARP00000056678	ENSMGAP00000012273
ENSDARP00000011396	ENSMGAP00000002149
ENSDARP00000047840	ENSMGAP00000006655
ENSDARP00000060945	ENSMGAP00000006655
ENSDARP00000086789	ENSMGAP00000008809
ENSDARP00000111457	ENSMGAP00000011192
ENSDARP00000013157	ENSMGAP00000007478
ENSDARP00000052440	ENSMGAP00000000881
ENSDARP00000105799	ENSMGAP00000017442
ENSDARP00000107372	ENSMGAP00000011996
ENSDARP00000107947	ENSMGAP00000007423
ENSDARP00000053660	ENSMGAP00000007423
ENSDARP00000056104	ENSMGAP00000013335
ENSDARP00000098075	ENSMGAP00000001910
ENSDARP00000089131	ENSMGAP00000001910
ENSDARP00000069080	ENSMGAP00000004502
ENSDARP00000017762	ENSMGAP00000004061
ENSDARP00000003829	ENSMGAP00000001781
ENSDARP00000123474	ENSMGAP00000000418
ENSDARP00000049623	ENSMGAP00000007539
ENSDARP00000105575	ENSMGAP00000011139
ENSDARP00000055224	ENSMGAP00000017915
ENSDARP00000005680	ENSMGAP00000011894
ENSDARP00000052060	ENSMGAP00000003757
ENSDARP00000129116	ENSMGAP00000010071
ENSDARP00000008475	ENSMGAP00000009399
ENSDARP00000113959	ENSMGAP00000001751
ENSDARP00000074144	ENSMGAP00000001751
ENSDARP00000079823	ENSMGAP00000007518
ENSDARP00000104791	ENSMGAP00000014040
ENSDARP00000079585	ENSMGAP00000001944
ENSDARP00000127915	ENSMGAP00000013734
ENSDARP00000019171	ENSMGAP00000000217
ENSDARP00000098897	ENSMGAP00000000217
ENSDARP00000039553	ENSMGAP00000002878
ENSDARP00000106138	ENSMGAP00000000231
ENSDARP00000063051	ENSMGAP00000012130
ENSDARP00000115372	ENSMGAP00000005494
ENSDARP00000115965	ENSMGAP00000006701
ENSDARP00000112407	ENSMGAP00000010996
ENSDARP00000013006	ENSMGAP00000004600
ENSDARP00000064825	ENSMGAP00000004769
ENSDARP00000040837	ENSMGAP00000008135
ENSDARP00000042673	ENSMGAP00000007577
ENSDARP00000127476	ENSMGAP00000010974
ENSDARP00000099506	ENSMGAP00000013515
ENSDARP00000015394	ENSMGAP00000005346
ENSDARP00000110909	ENSMGAP00000011943
ENSDARP00000013506	ENSMGAP00000000964
ENSDARP00000117090	ENSMGAP00000000964
ENSDARP00000102910	ENSMGAP00000003538
ENSDARP00000012147	ENSMGAP00000006673
ENSDARP00000104859	ENSMGAP00000018976
ENSDARP00000053426	ENSMGAP00000005664
ENSDARP00000075572	ENSMGAP00000008306
ENSDARP00000091375	ENSMGAP00000008756
ENSDARP00000002635	ENSMGAP00000005181
ENSDARP00000093844	ENSMGAP00000012044
ENSDARP00000073523	ENSMGAP00000015568
ENSDARP00000030625	ENSMGAP00000001772
ENSDARP00000014061	ENSMGAP00000005589
ENSDARP00000054692	ENSMGAP00000005589
ENSDARP00000084007	ENSMGAP00000006564
ENSDARP00000124333	ENSMGAP00000000062
ENSDARP00000099556	ENSMGAP00000000062
ENSDARP00000118167	ENSMGAP00000013566
ENSDARP00000129724	ENSMGAP00000013566
ENSDARP00000091436	ENSMGAP00000014847
ENSDARP00000109870	ENSMGAP00000008226
ENSDARP00000110473	ENSMGAP00000001752
ENSDARP00000129124	ENSMGAP00000008466
ENSDARP00000070686	ENSMGAP00000001356
ENSDARP00000092253	ENSMGAP00000014625
ENSDARP00000055491	ENSMGAP00000007848
ENSDARP00000106457	ENSMGAP00000010300
ENSDARP00000012791	ENSMGAP00000003617
ENSDARP00000056073	ENSMGAP00000000737
ENSDARP00000105119	ENSMGAP00000009657
ENSDARP00000111869	ENSMGAP00000011815
ENSDARP00000059618	ENSMGAP00000011218
ENSDARP00000022147	ENSMGAP00000012705
ENSDARP00000066366	ENSMGAP00000007078
ENSDARP00000095220	ENSMGAP00000007078
ENSDARP00000099181	ENSMGAP00000011134
ENSDARP00000100931	ENSMGAP00000017509
ENSDARP00000127731	ENSMGAP00000017509
ENSDARP00000101400	ENSMGAP00000013574
ENSDARP00000027644	ENSMGAP00000000718
ENSDARP00000019674	ENSMGAP00000000730
ENSDARP00000056452	ENSMGAP00000000730
ENSDARP00000068816	ENSMGAP00000012182
ENSDARP00000019643	ENSMGAP00000012182
ENSDARP00000122397	ENSMGAP00000015716
ENSDARP00000129467	ENSMGAP00000015716
ENSDARP00000053606	ENSMGAP00000003367
ENSDARP00000057298	ENSMGAP00000009944
ENSDARP00000063586	ENSMGAP00000009944
ENSDARP00000064460	ENSMGAP00000003349
ENSDARP00000116789	ENSMGAP00000009979
ENSDARP00000022487	ENSMGAP00000016886
ENSDARP00000052075	ENSMGAP00000009563
ENSDARP00000074794	ENSMGAP00000013153
ENSDARP00000025373	ENSMGAP00000007392
ENSDARP00000046044	ENSMGAP00000006485
ENSDARP00000063985	ENSMGAP00000003262
ENSDARP00000117105	ENSMGAP00000003178
ENSDARP00000069251	ENSMGAP00000011128
ENSDARP00000109601	ENSMGAP00000006160
ENSDARP00000091774	ENSMGAP00000010925
ENSDARP00000104127	ENSMGAP00000010925
ENSDARP00000092792	ENSMGAP00000014141
ENSDARP00000010917	ENSMGAP00000012934
ENSDARP00000101279	ENSMGAP00000009394
ENSDARP00000001617	ENSMGAP00000009394
ENSDARP00000097628	ENSMGAP00000008318
ENSDARP00000080655	ENSMGAP00000008318
ENSDARP00000097784	ENSMGAP00000009205
ENSDARP00000020703	ENSMGAP00000010936
ENSDARP00000072810	ENSMGAP00000011774
ENSDARP00000039916	ENSMGAP00000006256
ENSDARP00000109890	ENSMGAP00000006256
ENSDARP00000079273	ENSMGAP00000009009
ENSDARP00000123999	ENSMGAP00000011385
ENSDARP00000107734	ENSMGAP00000001142
ENSDARP00000083765	ENSMGAP00000003590
ENSDARP00000047652	ENSMGAP00000004457
ENSDARP00000081855	ENSMGAP00000008988
ENSDARP00000076606	ENSMGAP00000008872
ENSDARP00000025648	ENSMGAP00000008872
ENSDARP00000098282	ENSMGAP00000010443
ENSDARP00000011426	ENSMGAP00000000679
ENSDARP00000109709	ENSMGAP00000014048
ENSDARP00000045814	ENSMGAP00000014048
ENSDARP00000060763	ENSMGAP00000012880
ENSDARP00000046463	ENSMGAP00000014779
ENSDARP00000094247	ENSMGAP00000004289
ENSDARP00000069273	ENSMGAP00000004289
ENSDARP00000014920	ENSMGAP00000018702
ENSDARP00000106281	ENSMGAP00000008743
ENSDARP00000108347	ENSMGAP00000008743
ENSDARP00000068196	ENSMGAP00000009271
ENSDARP00000088385	ENSMGAP00000010280
ENSDARP00000064175	ENSMGAP00000011153
ENSDARP00000006800	ENSMGAP00000006427
ENSDARP00000031665	ENSMGAP00000016637
ENSDARP00000050948	ENSMGAP00000003533
ENSDARP00000078459	ENSMGAP00000009178
ENSDARP00000106886	ENSMGAP00000009175
ENSDARP00000089497	ENSMGAP00000005907
ENSDARP00000075190	ENSMGAP00000013873
ENSDARP00000045678	ENSMGAP00000010650
ENSDARP00000109120	ENSMGAP00000010650
ENSDARP00000122069	ENSMGAP00000007940
ENSDARP00000068002	ENSMGAP00000008533
ENSDARP00000114765	ENSMGAP00000005766
ENSDARP00000128272	ENSMGAP00000010471
ENSDARP00000059513	ENSMGAP00000009748
ENSDARP00000067176	ENSMGAP00000009748
ENSDARP00000093008	ENSMGAP00000014629
ENSDARP00000079805	ENSMGAP00000014629
ENSDARP00000077949	ENSMGAP00000007961
ENSDARP00000026364	ENSMGAP00000008585
ENSDARP00000110487	ENSMGAP00000014345
ENSDARP00000030834	ENSMGAP00000014345
ENSDARP00000116818	ENSMGAP00000013739
ENSDARP00000077905	ENSMGAP00000000980
ENSDARP00000034827	ENSMGAP00000011431
ENSDARP00000118891	ENSMGAP00000005911
ENSDARP00000103999	ENSMGAP00000005911
ENSDARP00000106287	ENSMGAP00000014536
ENSDARP00000126959	ENSMGAP00000017551
ENSDARP00000075402	ENSMGAP00000003873
ENSDARP00000015303	ENSMGAP00000013170
ENSDARP00000109941	ENSMGAP00000013170
ENSDARP00000089603	ENSMGAP00000019340
ENSDARP00000077021	ENSMGAP00000014778
ENSDARP00000083042	ENSMGAP00000011272
ENSDARP00000104940	ENSMGAP00000001815
ENSDARP00000067932	ENSMGAP00000008157
ENSDARP00000061163	ENSMGAP00000013247
ENSDARP00000061134	ENSMGAP00000014108
ENSDARP00000119520	ENSMGAP00000000499
ENSDARP00000035859	ENSMGAP00000001575
ENSDARP00000030813	ENSMGAP00000015092
ENSDARP00000088399	ENSMGAP00000015391
ENSDARP00000014010	ENSMGAP00000001688
ENSDARP00000040307	ENSMGAP00000007893
ENSDARP00000039821	ENSMGAP00000003355
ENSDARP00000011705	ENSMGAP00000003355
ENSDARP00000117905	ENSMGAP00000016365
ENSDARP00000006334	ENSMGAP00000016855
ENSDARP00000109638	ENSMGAP00000016855
ENSDARP00000029675	ENSMGAP00000011869
ENSDARP00000066933	ENSMGAP00000004109
ENSDARP00000095486	ENSMGAP00000008731
ENSDARP00000080646	ENSMGAP00000008731
ENSDARP00000098618	ENSMGAP00000014707
ENSDARP00000098684	ENSMGAP00000001163
ENSDARP00000111989	ENSMGAP00000001348
ENSDARP00000111319	ENSMGAP00000007519
ENSDARP00000097773	ENSMGAP00000011156
ENSDARP00000108057	ENSMGAP00000001091
ENSDARP00000032295	ENSMGAP00000013568
ENSDARP00000126208	ENSMGAP00000004554
ENSDARP00000101821	ENSMGAP00000008420
ENSDARP00000066188	ENSMGAP00000000085
ENSDARP00000116649	ENSMGAP00000000085
ENSDARP00000111119	ENSMGAP00000018204
ENSDARP00000121795	ENSMGAP00000006390
ENSDARP00000068089	ENSMGAP00000000887
ENSDARP00000094167	ENSMGAP00000015441
ENSDARP00000024335	ENSMGAP00000000762
ENSDARP00000090686	ENSMGAP00000000762
ENSDARP00000069315	ENSMGAP00000010097
ENSDARP00000097889	ENSMGAP00000008714
ENSDARP00000098001	ENSMGAP00000008714
ENSDARP00000027821	ENSMGAP00000000509
ENSDARP00000111756	ENSMGAP00000000509
ENSDARP00000120365	ENSMGAP00000010586
ENSDARP00000082784	ENSMGAP00000008852
ENSDARP00000067629	ENSMGAP00000009255
ENSDARP00000085044	ENSMGAP00000009255
ENSDARP00000007836	ENSMGAP00000008040
ENSDARP00000018632	ENSMGAP00000008876
ENSDARP00000045932	ENSMGAP00000008876
ENSDARP00000051402	ENSMGAP00000004670
ENSDARP00000114502	ENSMGAP00000004670
ENSDARP00000095328	ENSMGAP00000003422
ENSDARP00000032601	ENSMGAP00000003422
ENSDARP00000092425	ENSMGAP00000015273
ENSDARP00000084700	ENSMGAP00000003689
ENSDARP00000079303	ENSMGAP00000003689
ENSDARP00000103451	ENSMGAP00000003725
ENSDARP00000051104	ENSMGAP00000011606
ENSDARP00000067260	ENSMGAP00000011606
ENSDARP00000128595	ENSMGAP00000011689
ENSDARP00000109667	ENSMGAP00000015781
ENSDARP00000094710	ENSMGAP00000003710
ENSDARP00000117556	ENSMGAP00000011655
ENSDARP00000095187	ENSMGAP00000008858
ENSDARP00000026805	ENSMGAP00000008858
ENSDARP00000069597	ENSMGAP00000014047
ENSDARP00000093113	ENSMGAP00000011759
ENSDARP00000091828	ENSMGAP00000000744
ENSDARP00000057524	ENSMGAP00000005385
ENSDARP00000077702	ENSMGAP00000005473
ENSDARP00000080290	ENSMGAP00000005473
ENSDARP00000101110	ENSMGAP00000014873
ENSDARP00000073439	ENSMGAP00000004123
ENSDARP00000106240	ENSMGAP00000006694
ENSDARP00000118753	ENSMGAP00000012758
ENSDARP00000098491	ENSMGAP00000006418
ENSDARP00000055022	ENSMGAP00000006418
ENSDARP00000057324	ENSMGAP00000007499
ENSDARP00000099217	ENSMGAP00000007499
ENSDARP00000121065	ENSMGAP00000002574
ENSDARP00000076873	ENSMGAP00000014767
ENSDARP00000093925	ENSMGAP00000004080
ENSDARP00000066410	ENSMGAP00000014427
ENSDARP00000086549	ENSMGAP00000006889
ENSDARP00000107675	ENSMGAP00000002312
ENSDARP00000003397	ENSMGAP00000013161
ENSDARP00000108198	ENSMGAP00000013161
ENSDARP00000093555	ENSMGAP00000010056
ENSDARP00000092351	ENSMGAP00000003946
ENSDARP00000073394	ENSMGAP00000007704
ENSDARP00000102728	ENSMGAP00000000859
ENSDARP00000098758	ENSMGAP00000011580
ENSDARP00000011500	ENSMGAP00000019406
