ENSMGAP00000004951	ENSP00000262384
ENSMGAP00000003068	ENSP00000362179
ENSMGAP00000016060	ENSP00000278590
ENSMGAP00000013265	ENSP00000386616
ENSMGAP00000010739	ENSP00000354794
ENSMGAP00000004925	ENSP00000455426
ENSMGAP00000003978	ENSP00000268876
ENSMGAP00000003388	ENSP00000361900
ENSMGAP00000002654	ENSP00000295408
ENSMGAP00000002402	ENSP00000296474
ENSMGAP00000009217	ENSP00000317272
ENSMGAP00000001572	ENSP00000363970
ENSMGAP00000010575	ENSP00000373518
ENSMGAP00000003900	ENSP00000362057
ENSMGAP00000015491	ENSP00000367851
ENSMGAP00000013487	ENSP00000159060
ENSMGAP00000016149	ENSP00000263317
ENSMGAP00000018471	ENSP00000358635
ENSMGAP00000000276	ENSP00000445366
ENSMGAP00000000909	ENSP00000281722
ENSMGAP00000000973	ENSP00000363107
ENSMGAP00000015435	ENSP00000354995
ENSMGAP00000002277	ENSP00000304111
ENSMGAP00000010566	ENSP00000272286
ENSMGAP00000010545	ENSP00000260645
ENSMGAP00000017561	ENSP00000410584
ENSMGAP00000018658	ENSP00000389951
ENSMGAP00000000941	ENSP00000363092
ENSMGAP00000017353	ENSP00000261464
ENSMGAP00000014132	ENSP00000454207
ENSMGAP00000003168	ENSP00000362994
ENSMGAP00000000271	ENSP00000247668
ENSMGAP00000010789	ENSP00000433623
ENSMGAP00000010388	ENSP00000249636
ENSMGAP00000011657	ENSP00000262971
ENSMGAP00000005618	ENSP00000334474
ENSMGAP00000016332	ENSP00000247207
ENSMGAP00000005019	ENSP00000367623
ENSMGAP00000000922	ENSP00000297185
ENSMGAP00000003400	ENSP00000234038
ENSMGAP00000004974	ENSP00000453273
ENSMGAP00000000263	ENSP00000367815
ENSMGAP00000004440	ENSP00000326870
ENSMGAP00000011375	ENSP00000260843
ENSMGAP00000015477	ENSP00000367384
ENSMGAP00000015641	ENSP00000337618
ENSMGAP00000012633	ENSP00000295461
ENSMGAP00000004973	ENSP00000311687
ENSMGAP00000005906	ENSP00000363520
ENSMGAP00000012790	ENSP00000339256
ENSMGAP00000005521	ENSP00000297954
ENSMGAP00000013787	ENSP00000414055
ENSMGAP00000005425	ENSP00000352185
ENSMGAP00000006584	ENSP00000271688
ENSMGAP00000010970	ENSP00000325485
ENSMGAP00000004536	ENSP00000402697
ENSMGAP00000017297	ENSP00000355929
ENSMGAP00000013514	ENSP00000251089
ENSMGAP00000006458	ENSP00000309142
ENSMGAP00000010640	ENSP00000468788
ENSMGAP00000010940	ENSP00000297071
ENSMGAP00000009863	ENSP00000380252
ENSMGAP00000014406	ENSP00000257749
ENSMGAP00000007874	ENSP00000366827
ENSMGAP00000014447	ENSP00000379353
ENSMGAP00000009216	ENSP00000268164
ENSMGAP00000006576	ENSP00000231461
ENSMGAP00000002105	ENSP00000262904
ENSMGAP00000001972	ENSP00000345571
ENSMGAP00000002149	ENSP00000368686
ENSMGAP00000008809	ENSP00000268989
ENSMGAP00000011192	ENSP00000448182
ENSMGAP00000007478	ENSP00000320434
ENSMGAP00000000881	ENSP00000304669
ENSMGAP00000011996	ENSP00000386141
ENSMGAP00000007423	ENSP00000477059
ENSMGAP00000015017	ENSP00000416707
ENSMGAP00000013335	ENSP00000428280
ENSMGAP00000014950	ENSP00000272371
ENSMGAP00000001910	ENSP00000360475
ENSMGAP00000004061	ENSP00000222250
ENSMGAP00000009429	ENSP00000268042
ENSMGAP00000014704	ENSP00000372067
ENSMGAP00000001781	ENSP00000331879
ENSMGAP00000000418	ENSP00000276440
ENSMGAP00000007539	ENSP00000340677
ENSMGAP00000011139	ENSP00000272164
ENSMGAP00000017915	ENSP00000290015
ENSMGAP00000011894	ENSP00000258411
ENSMGAP00000010071	ENSP00000252677
ENSMGAP00000009399	ENSP00000367942
ENSMGAP00000008128	ENSP00000224605
ENSMGAP00000007518	ENSP00000282701
ENSMGAP00000014040	ENSP00000334314
ENSMGAP00000010374	ENSP00000320663
