ENSP00000262384	ENSACAP00000005936
ENSP00000362179	ENSACAP00000017014
ENSP00000278590	ENSACAP00000000964
ENSP00000386616	ENSACAP00000006833
ENSP00000354794	ENSACAP00000001737
ENSP00000455426	ENSACAP00000013552
ENSP00000361900	ENSACAP00000011817
ENSP00000295408	ENSACAP00000005957
ENSP00000296474	ENSACAP00000008269
ENSP00000317272	ENSACAP00000008564
ENSP00000266458	ENSACAP00000017290
ENSP00000363970	ENSACAP00000009158
ENSP00000373518	ENSACAP00000001723
ENSP00000367851	ENSACAP00000014601
ENSP00000159060	ENSACAP00000005110
ENSP00000263317	ENSACAP00000014675
ENSP00000358635	ENSACAP00000014993
ENSP00000445366	ENSACAP00000012678
ENSP00000281722	ENSACAP00000015321
ENSP00000363107	ENSACAP00000015067
ENSP00000354995	ENSACAP00000003045
ENSP00000304111	ENSACAP00000002376
ENSP00000272286	ENSACAP00000015078
ENSP00000260645	ENSACAP00000014992
ENSP00000292672	ENSACAP00000016695
ENSP00000410584	ENSACAP00000012212
ENSP00000389951	ENSACAP00000007603
ENSP00000363092	ENSACAP00000005444
ENSP00000261464	ENSACAP00000016112
ENSP00000454207	ENSACAP00000000193
ENSP00000362994	ENSACAP00000010321
ENSP00000247668	ENSACAP00000006987
ENSP00000433623	ENSACAP00000005007
ENSP00000376765	ENSACAP00000013643
ENSP00000249636	ENSACAP00000010047
ENSP00000262971	ENSACAP00000018690
ENSP00000334474	ENSACAP00000004219
ENSP00000311778	ENSACAP00000001811
ENSP00000247207	ENSACAP00000015494
ENSP00000324173	ENSACAP00000004078
ENSP00000367623	ENSACAP00000001088
ENSP00000297185	ENSACAP00000015698
ENSP00000234038	ENSACAP00000001835
ENSP00000453273	ENSACAP00000008406
ENSP00000367815	ENSACAP00000012838
ENSP00000326870	ENSACAP00000009680
ENSP00000308361	ENSACAP00000007792
ENSP00000260843	ENSACAP00000018412
ENSP00000320376	ENSACAP00000017761
ENSP00000307259	ENSACAP00000019211
ENSP00000308479	ENSACAP00000007789
ENSP00000367384	ENSACAP00000017650
ENSP00000337618	ENSACAP00000012446
ENSP00000295461	ENSACAP00000006460
ENSP00000311687	ENSACAP00000003419
ENSP00000339256	ENSACAP00000015858
ENSP00000297954	ENSACAP00000001119
ENSP00000414055	ENSACAP00000015929
ENSP00000369666	ENSACAP00000007518
ENSP00000350676	ENSACAP00000011870
ENSP00000352185	ENSACAP00000000777
ENSP00000271688	ENSACAP00000011796
ENSP00000284382	ENSACAP00000009619
ENSP00000376453	ENSACAP00000001319
ENSP00000325485	ENSACAP00000016817
ENSP00000355929	ENSACAP00000006086
ENSP00000251089	ENSACAP00000016842
ENSP00000309142	ENSACAP00000002959
ENSP00000264903	ENSACAP00000011884
ENSP00000377024	ENSACAP00000016298
ENSP00000468788	ENSACAP00000000477
ENSP00000297071	ENSACAP00000013286
ENSP00000439120	ENSACAP00000019060
ENSP00000380252	ENSACAP00000011970
ENSP00000257749	ENSACAP00000014097
ENSP00000366827	ENSACAP00000005123
ENSP00000321343	ENSACAP00000012263
ENSP00000379353	ENSACAP00000016998
ENSP00000320431	ENSACAP00000009190
ENSP00000268164	ENSACAP00000000083
ENSP00000231461	ENSACAP00000004428
ENSP00000262904	ENSACAP00000002974
ENSP00000345571	ENSACAP00000008599
ENSP00000368686	ENSACAP00000022297
ENSP00000268989	ENSACAP00000011579
ENSP00000221543	ENSACAP00000004949
ENSP00000448182	ENSACAP00000007355
ENSP00000320434	ENSACAP00000018297
ENSP00000304669	ENSACAP00000015927
ENSP00000386141	ENSACAP00000014517
ENSP00000477059	ENSACAP00000016774
ENSP00000416707	ENSACAP00000007485
ENSP00000272371	ENSACAP00000021579
ENSP00000360475	ENSACAP00000003327
ENSP00000268042	ENSACAP00000000079
ENSP00000358323	ENSACAP00000001174
ENSP00000372067	ENSACAP00000009131
ENSP00000331879	ENSACAP00000015338
ENSP00000276440	ENSACAP00000010928
ENSP00000340677	ENSACAP00000010696
ENSP00000272164	ENSACAP00000005094
ENSP00000290015	ENSACAP00000016443
ENSP00000258411	ENSACAP00000012452
ENSP00000252456	ENSACAP00000016759
ENSP00000252677	ENSACAP00000005904
ENSP00000367942	ENSACAP00000012803
ENSP00000287139	ENSACAP00000008215
ENSP00000282701	ENSACAP00000009961
ENSP00000334314	ENSACAP00000013070
ENSP00000320663	ENSACAP00000014146
ENSP00000378254	ENSACAP00000013946
ENSP00000377836	ENSACAP00000015780
ENSP00000264039	ENSACAP00000002299
ENSP00000332886	ENSACAP00000003195
ENSP00000264895	ENSACAP00000006047
ENSP00000374507	ENSACAP00000009598
ENSP00000338728	ENSACAP00000003471
ENSP00000380785	ENSACAP00000003380
ENSP00000360252	ENSACAP00000007070
ENSP00000310015	ENSACAP00000007401
ENSP00000370713	ENSACAP00000019189
ENSP00000441897	ENSACAP00000009600
ENSP00000357459	ENSACAP00000018998
ENSP00000268624	ENSACAP00000000860
ENSP00000296513	ENSACAP00000011711
ENSP00000399797	ENSACAP00000017664
ENSP00000351524	ENSACAP00000000195
ENSP00000424737	ENSACAP00000010451
ENSP00000417401	ENSACAP00000011342
ENSP00000394314	ENSACAP00000014285
ENSP00000384725	ENSACAP00000003308
ENSP00000276594	ENSACAP00000014909
ENSP00000354960	ENSACAP00000015061
ENSP00000252599	ENSACAP00000016420
ENSP00000196061	ENSACAP00000011989
ENSP00000223127	ENSACAP00000004060
ENSP00000282903	ENSACAP00000006661
ENSP00000292807	ENSACAP00000010344
ENSP00000352603	ENSACAP00000011938
ENSP00000347408	ENSACAP00000008723
ENSP00000428787	ENSACAP00000012354
ENSP00000388996	ENSACAP00000008800
ENSP00000406472	ENSACAP00000000609
ENSP00000265741	ENSACAP00000015558
ENSP00000276052	ENSACAP00000005087
ENSP00000423665	ENSACAP00000014183
ENSP00000296525	ENSACAP00000005792
ENSP00000417914	ENSACAP00000010506
ENSP00000264607	ENSACAP00000009513
ENSP00000355195	ENSACAP00000002901
ENSP00000363512	ENSACAP00000013575
ENSP00000305426	ENSACAP00000012544
ENSP00000380321	ENSACAP00000015144
ENSP00000221399	ENSACAP00000016973
ENSP00000229771	ENSACAP00000020331
ENSP00000314444	ENSACAP00000007051
ENSP00000216271	ENSACAP00000019114
ENSP00000334061	ENSACAP00000007918
ENSP00000080059	ENSACAP00000015012
ENSP00000225983	ENSACAP00000004435
ENSP00000346236	ENSACAP00000001475
ENSP00000464050	ENSACAP00000003976
ENSP00000380033	ENSACAP00000008062
ENSP00000262462	ENSACAP00000001594
ENSP00000300456	ENSACAP00000010217
ENSP00000252595	ENSACAP00000004865
ENSP00000359520	ENSACAP00000003655
ENSP00000351520	ENSACAP00000011875
ENSP00000301825	ENSACAP00000002928
ENSP00000378046	ENSACAP00000000665
ENSP00000222803	ENSACAP00000000868
ENSP00000413152	ENSACAP00000016976
ENSP00000242209	ENSACAP00000009221
ENSP00000317232	ENSACAP00000016880
ENSP00000358715	ENSACAP00000005302
ENSP00000256637	ENSACAP00000010646
ENSP00000370473	ENSACAP00000007917
ENSP00000301464	ENSACAP00000019641
ENSP00000275525	ENSACAP00000007896
ENSP00000233809	ENSACAP00000004457
ENSP00000269593	ENSACAP00000015885
ENSP00000169298	ENSACAP00000002426
ENSP00000386942	ENSACAP00000002385
ENSP00000362239	ENSACAP00000017474
ENSP00000417583	ENSACAP00000005740
