ENSACAP00000005936	ENSCAFP00000014731
ENSACAP00000017014	ENSCAFP00000004893
ENSACAP00000000964	ENSCAFP00000021101
ENSACAP00000006833	ENSCAFP00000000536
ENSACAP00000001737	ENSCAFP00000026820
ENSACAP00000013552	ENSCAFP00000014703
ENSACAP00000011817	ENSCAFP00000014101
ENSACAP00000005957	ENSCAFP00000010599
ENSACAP00000008269	ENSCAFP00000016175
ENSACAP00000008564	ENSCAFP00000041478
ENSACAP00000003299	ENSCAFP00000041897
ENSACAP00000009158	ENSCAFP00000011228
ENSACAP00000001723	ENSCAFP00000025792
ENSACAP00000014601	ENSCAFP00000020532
ENSACAP00000005110	ENSCAFP00000000844
ENSACAP00000014675	ENSCAFP00000006503
ENSACAP00000014993	ENSCAFP00000004514
ENSACAP00000017344	ENSCAFP00000019636
ENSACAP00000012678	ENSCAFP00000008815
ENSACAP00000015321	ENSCAFP00000012433
ENSACAP00000015067	ENSCAFP00000022926
ENSACAP00000003045	ENSCAFP00000015206
ENSACAP00000002376	ENSCAFP00000018010
ENSACAP00000015078	ENSCAFP00000003668
ENSACAP00000014992	ENSCAFP00000003657
ENSACAP00000016695	ENSCAFP00000028428
ENSACAP00000005988	ENSCAFP00000026110
ENSACAP00000007603	ENSCAFP00000007426
ENSACAP00000005444	ENSCAFP00000035869
ENSACAP00000016112	ENSCAFP00000041440
ENSACAP00000000193	ENSCAFP00000026713
ENSACAP00000006987	ENSCAFP00000028894
ENSACAP00000005007	ENSCAFP00000010159
ENSACAP00000013643	ENSCAFP00000016670
ENSACAP00000010047	ENSCAFP00000025741
ENSACAP00000018690	ENSCAFP00000028253
ENSACAP00000004219	ENSCAFP00000023060
ENSACAP00000015494	ENSCAFP00000023616
ENSACAP00000004078	ENSCAFP00000029957
ENSACAP00000001088	ENSCAFP00000007014
ENSACAP00000015698	ENSCAFP00000001849
ENSACAP00000008406	ENSCAFP00000025988
ENSACAP00000012838	ENSCAFP00000029580
ENSACAP00000009680	ENSCAFP00000027190
ENSACAP00000007792	ENSCAFP00000032029
ENSACAP00000018412	ENSCAFP00000012523
ENSACAP00000017761	ENSCAFP00000012527
ENSACAP00000019211	ENSCAFP00000012528
ENSACAP00000007789	ENSCAFP00000012512
ENSACAP00000017650	ENSCAFP00000021250
ENSACAP00000012446	ENSCAFP00000014319
ENSACAP00000006460	ENSCAFP00000038033
ENSACAP00000003419	ENSCAFP00000025582
ENSACAP00000015858	ENSCAFP00000035150
ENSACAP00000001119	ENSCAFP00000003298
ENSACAP00000015929	ENSCAFP00000002012
ENSACAP00000007518	ENSCAFP00000024610
ENSACAP00000011870	ENSCAFP00000024137
ENSACAP00000000777	ENSCAFP00000003277
ENSACAP00000011796	ENSCAFP00000018115
ENSACAP00000009619	ENSCAFP00000015735
ENSACAP00000001319	ENSCAFP00000017392
ENSACAP00000016817	ENSCAFP00000012144
ENSACAP00000006086	ENSCAFP00000018258
ENSACAP00000016842	ENSCAFP00000025261
ENSACAP00000002959	ENSCAFP00000011525
ENSACAP00000011884	ENSCAFP00000012786
ENSACAP00000016298	ENSCAFP00000000688
ENSACAP00000000477	ENSCAFP00000028846
ENSACAP00000013286	ENSCAFP00000004119
ENSACAP00000019060	ENSCAFP00000037844
ENSACAP00000011970	ENSCAFP00000019894
ENSACAP00000012809	ENSCAFP00000004239
ENSACAP00000014097	ENSCAFP00000041229
ENSACAP00000005123	ENSCAFP00000039048
ENSACAP00000012263	ENSCAFP00000025974
ENSACAP00000016998	ENSCAFP00000017436
ENSACAP00000009190	ENSCAFP00000000191
ENSACAP00000000083	ENSCAFP00000016481
ENSACAP00000004428	ENSCAFP00000011295
ENSACAP00000002974	ENSCAFP00000041377
ENSACAP00000008599	ENSCAFP00000011055
ENSACAP00000022297	ENSCAFP00000037675
ENSACAP00000011579	ENSCAFP00000028469
ENSACAP00000004949	ENSCAFP00000005175
ENSACAP00000007355	ENSCAFP00000000678
ENSACAP00000018297	ENSCAFP00000004185
ENSACAP00000015927	ENSCAFP00000001898
ENSACAP00000014517	ENSCAFP00000034643
ENSACAP00000016774	ENSCAFP00000010553
ENSACAP00000007485	ENSCAFP00000011914
ENSACAP00000006473	ENSCAFP00000003505
ENSACAP00000019597	ENSCAFP00000012034
ENSACAP00000021579	ENSCAFP00000006614
ENSACAP00000003327	ENSCAFP00000028666
ENSACAP00000000079	ENSCAFP00000016043
ENSACAP00000001174	ENSCAFP00000016786
ENSACAP00000009131	ENSCAFP00000022750
ENSACAP00000015338	ENSCAFP00000035073
ENSACAP00000010928	ENSCAFP00000013243
ENSACAP00000010696	ENSCAFP00000014218
ENSACAP00000005094	ENSCAFP00000042751
ENSACAP00000016443	ENSCAFP00000019792
ENSACAP00000012452	ENSCAFP00000022068
ENSACAP00000005904	ENSCAFP00000023624
ENSACAP00000012803	ENSCAFP00000001306
ENSACAP00000008215	ENSCAFP00000020713
ENSACAP00000009961	ENSCAFP00000013047
ENSACAP00000013070	ENSCAFP00000026382
ENSACAP00000014146	ENSCAFP00000009752
ENSACAP00000013946	ENSCAFP00000023231
ENSACAP00000015780	ENSCAFP00000027825
ENSACAP00000002299	ENSCAFP00000018637
ENSACAP00000006047	ENSCAFP00000038852
ENSACAP00000009598	ENSCAFP00000036156
ENSACAP00000003471	ENSCAFP00000004138
ENSACAP00000003380	ENSCAFP00000025317
ENSACAP00000007070	ENSCAFP00000027841
ENSACAP00000007401	ENSCAFP00000029742
ENSACAP00000009600	ENSCAFP00000016350
ENSACAP00000018998	ENSCAFP00000025289
ENSACAP00000000860	ENSCAFP00000029577
ENSACAP00000011711	ENSCAFP00000005947
ENSACAP00000017664	ENSCAFP00000019815
ENSACAP00000000195	ENSCAFP00000016801
ENSACAP00000010451	ENSCAFP00000017186
ENSACAP00000011342	ENSCAFP00000019101
ENSACAP00000003308	ENSCAFP00000031903
ENSACAP00000014909	ENSCAFP00000036507
ENSACAP00000015061	ENSCAFP00000019811
ENSACAP00000016420	ENSCAFP00000022462
ENSACAP00000011989	ENSCAFP00000024310
ENSACAP00000004060	ENSCAFP00000020467
ENSACAP00000006661	ENSCAFP00000011995
ENSACAP00000010344	ENSCAFP00000018117
ENSACAP00000011938	ENSCAFP00000021690
ENSACAP00000008723	ENSCAFP00000022596
ENSACAP00000012354	ENSCAFP00000008348
ENSACAP00000008800	ENSCAFP00000023182
ENSACAP00000000609	ENSCAFP00000018253
ENSACAP00000015558	ENSCAFP00000002791
ENSACAP00000005087	ENSCAFP00000022118
ENSACAP00000014183	ENSCAFP00000014825
ENSACAP00000005792	ENSCAFP00000012387
ENSACAP00000010506	ENSCAFP00000017550
ENSACAP00000009513	ENSCAFP00000018354
ENSACAP00000002901	ENSCAFP00000024345
ENSACAP00000013575	ENSCAFP00000010341
ENSACAP00000012544	ENSCAFP00000010262
ENSACAP00000015144	ENSCAFP00000022958
ENSACAP00000016973	ENSCAFP00000005775
ENSACAP00000020331	ENSCAFP00000001922
ENSACAP00000007051	ENSCAFP00000005678
ENSACAP00000019114	ENSCAFP00000000979
ENSACAP00000007918	ENSCAFP00000022990
ENSACAP00000015012	ENSCAFP00000013479
ENSACAP00000004435	ENSCAFP00000021172
ENSACAP00000009498	ENSCAFP00000018541
ENSACAP00000001475	ENSCAFP00000001491
ENSACAP00000003976	ENSCAFP00000018897
ENSACAP00000008062	ENSCAFP00000002001
ENSACAP00000001594	ENSCAFP00000001025
ENSACAP00000010217	ENSCAFP00000029725
ENSACAP00000004865	ENSCAFP00000022577
ENSACAP00000003655	ENSCAFP00000013959
ENSACAP00000011875	ENSCAFP00000013459
ENSACAP00000002928	ENSCAFP00000007656
ENSACAP00000000665	ENSCAFP00000021476
ENSACAP00000000868	ENSCAFP00000004543
ENSACAP00000016976	ENSCAFP00000042734
ENSACAP00000009221	ENSCAFP00000004699
ENSACAP00000016880	ENSCAFP00000023374
ENSACAP00000005302	ENSCAFP00000015628
ENSACAP00000010646	ENSCAFP00000029371
ENSACAP00000007917	ENSCAFP00000018107
ENSACAP00000019641	ENSCAFP00000041937
ENSACAP00000007896	ENSCAFP00000018097
ENSACAP00000004457	ENSCAFP00000021381
ENSACAP00000015885	ENSCAFP00000023677
ENSACAP00000002426	ENSCAFP00000020181
ENSACAP00000002385	ENSCAFP00000003057
ENSACAP00000017474	ENSCAFP00000042913
ENSACAP00000005740	ENSCAFP00000030233
ENSACAP00000016069	ENSCAFP00000041421
ENSACAP00000007667	ENSCAFP00000007210
ENSACAP00000017526	ENSCAFP00000018683
ENSACAP00000010676	ENSCAFP00000001179
ENSACAP00000015435	ENSCAFP00000032670
ENSACAP00000014665	ENSCAFP00000010258
ENSACAP00000000942	ENSCAFP00000005013
ENSACAP00000009728	ENSCAFP00000027533
ENSACAP00000018182	ENSCAFP00000037510
ENSACAP00000013525	ENSCAFP00000019445
ENSACAP00000001427	ENSCAFP00000042805
ENSACAP00000015468	ENSCAFP00000027189
ENSACAP00000004783	ENSCAFP00000015344
ENSACAP00000008216	ENSCAFP00000015347
ENSACAP00000007865	ENSCAFP00000036079
ENSACAP00000018145	ENSCAFP00000011829
ENSACAP00000012872	ENSCAFP00000030086
ENSACAP00000019293	ENSCAFP00000023803
ENSACAP00000012146	ENSCAFP00000001165
ENSACAP00000009720	ENSCAFP00000016128
ENSACAP00000005943	ENSCAFP00000020918
ENSACAP00000000973	ENSCAFP00000040632
ENSACAP00000013030	ENSCAFP00000003004
ENSACAP00000001579	ENSCAFP00000025369
ENSACAP00000012461	ENSCAFP00000029086
ENSACAP00000022538	ENSCAFP00000026399
ENSACAP00000005645	ENSCAFP00000023863
ENSACAP00000001953	ENSCAFP00000004789
ENSACAP00000002296	ENSCAFP00000008867
ENSACAP00000016164	ENSCAFP00000021003
ENSACAP00000006602	ENSCAFP00000003598
ENSACAP00000003200	ENSCAFP00000030367
ENSACAP00000009074	ENSCAFP00000014716
ENSACAP00000012719	ENSCAFP00000004331
ENSACAP00000010570	ENSCAFP00000002488
ENSACAP00000001753	ENSCAFP00000034674
ENSACAP00000001589	ENSCAFP00000025245
ENSACAP00000019903	ENSCAFP00000030999
ENSACAP00000009777	ENSCAFP00000013904
ENSACAP00000012169	ENSCAFP00000009236
ENSACAP00000006466	ENSCAFP00000020942
ENSACAP00000013796	ENSCAFP00000027123
ENSACAP00000015089	ENSCAFP00000016465
ENSACAP00000010728	ENSCAFP00000028496
ENSACAP00000014628	ENSCAFP00000025949
ENSACAP00000014351	ENSCAFP00000006408
ENSACAP00000006234	ENSCAFP00000020623
ENSACAP00000000607	ENSCAFP00000019067
ENSACAP00000019708	ENSCAFP00000021123
ENSACAP00000018133	ENSCAFP00000002572
ENSACAP00000008532	ENSCAFP00000015681
ENSACAP00000019778	ENSCAFP00000015600
ENSACAP00000008554	ENSCAFP00000015697
ENSACAP00000006509	ENSCAFP00000005055
ENSACAP00000004623	ENSCAFP00000008315
ENSACAP00000000901	ENSCAFP00000010158
ENSACAP00000010851	ENSCAFP00000023232
ENSACAP00000003028	ENSCAFP00000014368
ENSACAP00000002875	ENSCAFP00000002336
ENSACAP00000010760	ENSCAFP00000001557
ENSACAP00000012326	ENSCAFP00000004162
ENSACAP00000014689	ENSCAFP00000031518
ENSACAP00000008887	ENSCAFP00000023110
ENSACAP00000006450	ENSCAFP00000022969
ENSACAP00000020101	ENSCAFP00000040206
