ENSACAP00000008923	ENSORLP00000011382
ENSACAP00000005936	ENSORLP00000017023
ENSACAP00000017014	ENSORLP00000018100
ENSACAP00000017014	ENSORLP00000011872
ENSACAP00000013370	ENSORLP00000011982
ENSACAP00000006833	ENSORLP00000019139
ENSACAP00000005194	ENSORLP00000006953
ENSACAP00000001737	ENSORLP00000021204
ENSACAP00000013552	ENSORLP00000017158
ENSACAP00000003212	ENSORLP00000016021
ENSACAP00000019299	ENSORLP00000014861
ENSACAP00000011250	ENSORLP00000020191
ENSACAP00000011817	ENSORLP00000018033
ENSACAP00000005957	ENSORLP00000014071
ENSACAP00000014027	ENSORLP00000014078
ENSACAP00000003898	ENSORLP00000001378
ENSACAP00000008564	ENSORLP00000024532
ENSACAP00000009531	ENSORLP00000001259
ENSACAP00000007380	ENSORLP00000018991
ENSACAP00000007380	ENSORLP00000000678
ENSACAP00000014328	ENSORLP00000015857
ENSACAP00000009158	ENSORLP00000003595
ENSACAP00000001723	ENSORLP00000017662
ENSACAP00000006548	ENSORLP00000006648
ENSACAP00000014601	ENSORLP00000002049
ENSACAP00000017344	ENSORLP00000003123
ENSACAP00000012678	ENSORLP00000025526
ENSACAP00000015321	ENSORLP00000003018
ENSACAP00000011594	ENSORLP00000007356
ENSACAP00000015067	ENSORLP00000016722
ENSACAP00000003045	ENSORLP00000025748
ENSACAP00000015078	ENSORLP00000005821
ENSACAP00000014992	ENSORLP00000005856
ENSACAP00000009043	ENSORLP00000011473
ENSACAP00000010068	ENSORLP00000022254
ENSACAP00000005444	ENSORLP00000007952
ENSACAP00000005623	ENSORLP00000025578
ENSACAP00000016112	ENSORLP00000001368
ENSACAP00000000193	ENSORLP00000024257
ENSACAP00000006987	ENSORLP00000003220
ENSACAP00000006987	ENSORLP00000020860
ENSACAP00000005007	ENSORLP00000001290
ENSACAP00000010047	ENSORLP00000008446
ENSACAP00000010047	ENSORLP00000002593
ENSACAP00000004219	ENSORLP00000008437
ENSACAP00000004219	ENSORLP00000011200
ENSACAP00000023104	ENSORLP00000008024
ENSACAP00000004798	ENSORLP00000006701
ENSACAP00000004078	ENSORLP00000008651
ENSACAP00000001088	ENSORLP00000015785
ENSACAP00000001835	ENSORLP00000020633
ENSACAP00000014840	ENSORLP00000019791
ENSACAP00000009680	ENSORLP00000011714
ENSACAP00000019211	ENSORLP00000007515
ENSACAP00000007789	ENSORLP00000000443
ENSACAP00000008106	ENSORLP00000000994
ENSACAP00000003419	ENSORLP00000023088
ENSACAP00000012467	ENSORLP00000019930
ENSACAP00000015858	ENSORLP00000003515
ENSACAP00000013670	ENSORLP00000014267
ENSACAP00000015929	ENSORLP00000015272
ENSACAP00000011870	ENSORLP00000008997
ENSACAP00000012669	ENSORLP00000019966
ENSACAP00000011796	ENSORLP00000003243
ENSACAP00000011796	ENSORLP00000013178
ENSACAP00000001319	ENSORLP00000021323
ENSACAP00000016842	ENSORLP00000020822
ENSACAP00000002959	ENSORLP00000021812
ENSACAP00000011884	ENSORLP00000023561
ENSACAP00000016298	ENSORLP00000006376
ENSACAP00000022391	ENSORLP00000020723
ENSACAP00000022391	ENSORLP00000017283
ENSACAP00000000477	ENSORLP00000019321
ENSACAP00000013286	ENSORLP00000005874
ENSACAP00000011970	ENSORLP00000021980
ENSACAP00000012809	ENSORLP00000006256
ENSACAP00000014097	ENSORLP00000022436
ENSACAP00000005123	ENSORLP00000003775
ENSACAP00000012263	ENSORLP00000006361
ENSACAP00000016998	ENSORLP00000018342
ENSACAP00000009190	ENSORLP00000018930
ENSACAP00000000083	ENSORLP00000010509
ENSACAP00000013481	ENSORLP00000017999
ENSACAP00000008599	ENSORLP00000001148
ENSACAP00000013864	ENSORLP00000022426
ENSACAP00000022297	ENSORLP00000019667
ENSACAP00000011579	ENSORLP00000010566
ENSACAP00000006096	ENSORLP00000024016
ENSACAP00000013141	ENSORLP00000008012
ENSACAP00000004949	ENSORLP00000002272
ENSACAP00000007355	ENSORLP00000000244
ENSACAP00000018297	ENSORLP00000004298
ENSACAP00000015927	ENSORLP00000009022
ENSACAP00000008830	ENSORLP00000010698
ENSACAP00000008830	ENSORLP00000011805
ENSACAP00000014517	ENSORLP00000010106
ENSACAP00000016774	ENSORLP00000020930
ENSACAP00000016774	ENSORLP00000018662
ENSACAP00000003327	ENSORLP00000021772
ENSACAP00000013174	ENSORLP00000013008
ENSACAP00000001174	ENSORLP00000013654
ENSACAP00000001174	ENSORLP00000025491
ENSACAP00000003140	ENSORLP00000025625
ENSACAP00000015338	ENSORLP00000001018
ENSACAP00000005084	ENSORLP00000013287
ENSACAP00000010928	ENSORLP00000018097
ENSACAP00000010696	ENSORLP00000008607
ENSACAP00000005094	ENSORLP00000022020
ENSACAP00000016443	ENSORLP00000005695
ENSACAP00000012452	ENSORLP00000022851
ENSACAP00000008056	ENSORLP00000009589
ENSACAP00000014884	ENSORLP00000010876
ENSACAP00000016759	ENSORLP00000020711
ENSACAP00000005904	ENSORLP00000010817
ENSACAP00000012803	ENSORLP00000007342
ENSACAP00000008215	ENSORLP00000011413
ENSACAP00000009961	ENSORLP00000022256
ENSACAP00000011440	ENSORLP00000001811
ENSACAP00000013070	ENSORLP00000019505
ENSACAP00000014146	ENSORLP00000004295
ENSACAP00000013946	ENSORLP00000014720
ENSACAP00000011702	ENSORLP00000002403
ENSACAP00000015780	ENSORLP00000012324
ENSACAP00000002299	ENSORLP00000020019
ENSACAP00000002299	ENSORLP00000013874
ENSACAP00000020267	ENSORLP00000004358
ENSACAP00000015236	ENSORLP00000002330
ENSACAP00000015236	ENSORLP00000014471
ENSACAP00000002335	ENSORLP00000002265
ENSACAP00000003471	ENSORLP00000005351
ENSACAP00000003380	ENSORLP00000019519
ENSACAP00000007070	ENSORLP00000018585
ENSACAP00000007401	ENSORLP00000018984
ENSACAP00000019189	ENSORLP00000006254
ENSACAP00000019189	ENSORLP00000007804
ENSACAP00000018998	ENSORLP00000012489
ENSACAP00000000860	ENSORLP00000002135
ENSACAP00000011711	ENSORLP00000025830
ENSACAP00000017664	ENSORLP00000010171
ENSACAP00000002249	ENSORLP00000003679
ENSACAP00000014668	ENSORLP00000013805
ENSACAP00000003308	ENSORLP00000021378
ENSACAP00000014909	ENSORLP00000010172
ENSACAP00000006661	ENSORLP00000012679
ENSACAP00000011938	ENSORLP00000016516
ENSACAP00000008723	ENSORLP00000011838
ENSACAP00000008800	ENSORLP00000022565
ENSACAP00000014183	ENSORLP00000015239
ENSACAP00000010506	ENSORLP00000011216
ENSACAP00000009513	ENSORLP00000022670
ENSACAP00000002901	ENSORLP00000010397
ENSACAP00000013575	ENSORLP00000009355
ENSACAP00000012544	ENSORLP00000008594
ENSACAP00000020331	ENSORLP00000008023
ENSACAP00000007051	ENSORLP00000022797
ENSACAP00000019114	ENSORLP00000011723
ENSACAP00000007918	ENSORLP00000025157
ENSACAP00000001475	ENSORLP00000001104
ENSACAP00000003976	ENSORLP00000002977
ENSACAP00000004307	ENSORLP00000002814
ENSACAP00000001594	ENSORLP00000023720
ENSACAP00000010217	ENSORLP00000012925
ENSACAP00000003655	ENSORLP00000000034
ENSACAP00000011875	ENSORLP00000013671
ENSACAP00000004311	ENSORLP00000012537
ENSACAP00000002928	ENSORLP00000006742
ENSACAP00000000665	ENSORLP00000014072
ENSACAP00000008095	ENSORLP00000001903
ENSACAP00000000868	ENSORLP00000009294
ENSACAP00000000868	ENSORLP00000006181
ENSACAP00000016976	ENSORLP00000018956
ENSACAP00000009221	ENSORLP00000014883
ENSACAP00000016880	ENSORLP00000017224
ENSACAP00000016880	ENSORLP00000004455
ENSACAP00000005302	ENSORLP00000007575
ENSACAP00000019641	ENSORLP00000020818
ENSACAP00000007896	ENSORLP00000016131
ENSACAP00000007896	ENSORLP00000021474
ENSACAP00000004457	ENSORLP00000002773
ENSACAP00000004457	ENSORLP00000018416
ENSACAP00000002385	ENSORLP00000015721
ENSACAP00000017474	ENSORLP00000005075
ENSACAP00000005740	ENSORLP00000004108
ENSACAP00000005740	ENSORLP00000005033
ENSACAP00000000523	ENSORLP00000005082
ENSACAP00000005682	ENSORLP00000004103
ENSACAP00000015820	ENSORLP00000003294
ENSACAP00000016069	ENSORLP00000015324
ENSACAP00000007667	ENSORLP00000011019
ENSACAP00000010676	ENSORLP00000002202
ENSACAP00000015435	ENSORLP00000003059
ENSACAP00000000942	ENSORLP00000018136
ENSACAP00000009728	ENSORLP00000004173
ENSACAP00000009731	ENSORLP00000002542
ENSACAP00000014024	ENSORLP00000025253
ENSACAP00000013525	ENSORLP00000004274
ENSACAP00000001427	ENSORLP00000015164
ENSACAP00000008216	ENSORLP00000016308
ENSACAP00000013542	ENSORLP00000024941
ENSACAP00000007865	ENSORLP00000009657
ENSACAP00000007865	ENSORLP00000018316
ENSACAP00000009388	ENSORLP00000022635
ENSACAP00000001385	ENSORLP00000018715
ENSACAP00000001385	ENSORLP00000010626
ENSACAP00000018145	ENSORLP00000012886
ENSACAP00000018145	ENSORLP00000001311
ENSACAP00000012872	ENSORLP00000013607
ENSACAP00000019293	ENSORLP00000025288
ENSACAP00000016705	ENSORLP00000019460
ENSACAP00000012594	ENSORLP00000017788
ENSACAP00000002577	ENSORLP00000010861
ENSACAP00000012146	ENSORLP00000001374
ENSACAP00000009720	ENSORLP00000014802
ENSACAP00000000973	ENSORLP00000018111
ENSACAP00000013030	ENSORLP00000005218
ENSACAP00000001579	ENSORLP00000013299
ENSACAP00000012461	ENSORLP00000016364
ENSACAP00000005813	ENSORLP00000016628
ENSACAP00000005813	ENSORLP00000006481
ENSACAP00000022538	ENSORLP00000019561
ENSACAP00000022538	ENSORLP00000011906
ENSACAP00000015655	ENSORLP00000016312
ENSACAP00000002296	ENSORLP00000002839
ENSACAP00000005411	ENSORLP00000022007
ENSACAP00000005523	ENSORLP00000022338
ENSACAP00000016164	ENSORLP00000014848
ENSACAP00000011534	ENSORLP00000025861
ENSACAP00000011534	ENSORLP00000021466
ENSACAP00000006602	ENSORLP00000012741
ENSACAP00000011843	ENSORLP00000016856
ENSACAP00000001753	ENSORLP00000020718
ENSACAP00000019903	ENSORLP00000017749
ENSACAP00000012169	ENSORLP00000019122
ENSACAP00000006466	ENSORLP00000019397
ENSACAP00000008206	ENSORLP00000002704
ENSACAP00000008206	ENSORLP00000011850
ENSACAP00000004741	ENSORLP00000018351
ENSACAP00000004741	ENSORLP00000018365
ENSACAP00000015089	ENSORLP00000008892
ENSACAP00000013366	ENSORLP00000024191
ENSACAP00000010782	ENSORLP00000021088
ENSACAP00000014628	ENSORLP00000008411
ENSACAP00000014628	ENSORLP00000002451
ENSACAP00000002673	ENSORLP00000006366
ENSACAP00000006234	ENSORLP00000001579
ENSACAP00000000607	ENSORLP00000016596
ENSACAP00000000607	ENSORLP00000012171
ENSACAP00000018133	ENSORLP00000000631
ENSACAP00000008554	ENSORLP00000003863
ENSACAP00000004623	ENSORLP00000003946
ENSACAP00000010851	ENSORLP00000018264
ENSACAP00000003028	ENSORLP00000004025
ENSACAP00000004244	ENSORLP00000002826
ENSACAP00000004244	ENSORLP00000003087
ENSACAP00000010760	ENSORLP00000008236
ENSACAP00000012326	ENSORLP00000015074
ENSACAP00000008887	ENSORLP00000025646
ENSACAP00000006450	ENSORLP00000019732
ENSACAP00000020101	ENSORLP00000019739
ENSACAP00000003697	ENSORLP00000005562
ENSACAP00000003684	ENSORLP00000005568
ENSACAP00000021004	ENSORLP00000010004
ENSACAP00000010293	ENSORLP00000000954
ENSACAP00000023319	ENSORLP00000022406
ENSACAP00000008109	ENSORLP00000001585
ENSACAP00000022398	ENSORLP00000024109
ENSACAP00000008947	ENSORLP00000020061
ENSACAP00000008947	ENSORLP00000013463
ENSACAP00000010774	ENSORLP00000018070
ENSACAP00000014072	ENSORLP00000011283
ENSACAP00000001779	ENSORLP00000022136
ENSACAP00000001779	ENSORLP00000019865
ENSACAP00000005299	ENSORLP00000022013
ENSACAP00000012130	ENSORLP00000021863
ENSACAP00000008363	ENSORLP00000007508
ENSACAP00000014036	ENSORLP00000019672
ENSACAP00000017049	ENSORLP00000002659
ENSACAP00000007060	ENSORLP00000013177
ENSACAP00000017578	ENSORLP00000021900
ENSACAP00000012829	ENSORLP00000012795
ENSACAP00000012829	ENSORLP00000005479
ENSACAP00000005032	ENSORLP00000025635
ENSACAP00000009679	ENSORLP00000000891
ENSACAP00000009679	ENSORLP00000000591
ENSACAP00000012489	ENSORLP00000017575
ENSACAP00000012489	ENSORLP00000014312
ENSACAP00000000594	ENSORLP00000021168
ENSACAP00000000594	ENSORLP00000004254
ENSACAP00000016644	ENSORLP00000008713
ENSACAP00000016644	ENSORLP00000023858
ENSACAP00000000809	ENSORLP00000015312
ENSACAP00000011635	ENSORLP00000020381
ENSACAP00000004810	ENSORLP00000021195
ENSACAP00000021872	ENSORLP00000002046
ENSACAP00000000027	ENSORLP00000025494
ENSACAP00000000226	ENSORLP00000013846
ENSACAP00000007738	ENSORLP00000004640
ENSACAP00000013047	ENSORLP00000003433
ENSACAP00000020901	ENSORLP00000009051
ENSACAP00000003852	ENSORLP00000008276
ENSACAP00000002156	ENSORLP00000014984
ENSACAP00000006137	ENSORLP00000018887
ENSACAP00000017488	ENSORLP00000005319
ENSACAP00000000981	ENSORLP00000018843
ENSACAP00000009209	ENSORLP00000014859
ENSACAP00000015115	ENSORLP00000013942
ENSACAP00000012315	ENSORLP00000002967
ENSACAP00000016828	ENSORLP00000020153
ENSACAP00000016828	ENSORLP00000008018
ENSACAP00000016001	ENSORLP00000009719
ENSACAP00000002892	ENSORLP00000016385
ENSACAP00000002010	ENSORLP00000011881
ENSACAP00000007811	ENSORLP00000004619
ENSACAP00000019837	ENSORLP00000012934
