ENSLOCP00000009128	ENSGALP00000006197
ENSLOCP00000003817	ENSGALP00000003140
ENSLOCP00000018009	ENSGALP00000007499
ENSLOCP00000007024	ENSGALP00000006308
ENSLOCP00000007725	ENSGALP00000024336
ENSLOCP00000009060	ENSGALP00000006178
ENSLOCP00000011549	ENSGALP00000002175
ENSLOCP00000018593	ENSGALP00000013518
ENSLOCP00000011472	ENSGALP00000003417
ENSLOCP00000013012	ENSGALP00000024624
ENSLOCP00000009147	ENSGALP00000006527
ENSLOCP00000020429	ENSGALP00000013423
ENSLOCP00000019200	ENSGALP00000042226
ENSLOCP00000006554	ENSGALP00000010474
ENSLOCP00000003596	ENSGALP00000005074
ENSLOCP00000004161	ENSGALP00000041254
ENSLOCP00000007780	ENSGALP00000002938
ENSLOCP00000017232	ENSGALP00000013077
ENSLOCP00000016944	ENSGALP00000003834
ENSLOCP00000018831	ENSGALP00000010835
ENSLOCP00000009530	ENSGALP00000026172
ENSLOCP00000020825	ENSGALP00000022178
ENSLOCP00000005280	ENSGALP00000025476
ENSLOCP00000013773	ENSGALP00000009477
ENSLOCP00000010078	ENSGALP00000015078
ENSLOCP00000015968	ENSGALP00000023036
ENSLOCP00000007610	ENSGALP00000005964
ENSLOCP00000002487	ENSGALP00000025999
ENSLOCP00000020267	ENSGALP00000016167
ENSLOCP00000020273	ENSGALP00000016163
ENSLOCP00000013950	ENSGALP00000009290
ENSLOCP00000007870	ENSGALP00000042521
ENSLOCP00000019319	ENSGALP00000010845
ENSLOCP00000007227	ENSGALP00000013128
ENSLOCP00000010181	ENSGALP00000041979
ENSLOCP00000008648	ENSGALP00000017721
ENSLOCP00000007649	ENSGALP00000006027
ENSLOCP00000000762	ENSGALP00000041168
ENSLOCP00000012473	ENSGALP00000029643
ENSLOCP00000019175	ENSGALP00000016021
ENSLOCP00000012015	ENSGALP00000018553
ENSLOCP00000007747	ENSGALP00000002401
ENSLOCP00000001624	ENSGALP00000014649
ENSLOCP00000001262	ENSGALP00000012873
ENSLOCP00000007089	ENSGALP00000006340
ENSLOCP00000017180	ENSGALP00000012927
ENSLOCP00000005887	ENSGALP00000007730
ENSLOCP00000005999	ENSGALP00000001474
ENSLOCP00000020663	ENSGALP00000010718
ENSLOCP00000014860	ENSGALP00000003717
ENSLOCP00000004833	ENSGALP00000036285
ENSLOCP00000010959	ENSGALP00000009351
ENSLOCP00000012282	ENSGALP00000019566
ENSLOCP00000017952	ENSGALP00000006447
ENSLOCP00000008038	ENSGALP00000005150
ENSLOCP00000010721	ENSGALP00000007847
ENSLOCP00000002259	ENSGALP00000032312
ENSLOCP00000021479	ENSGALP00000016886
ENSLOCP00000002287	ENSGALP00000016882
ENSLOCP00000002248	ENSGALP00000016891
ENSLOCP00000016952	ENSGALP00000008089
ENSLOCP00000021874	ENSGALP00000026119
ENSLOCP00000018849	ENSGALP00000007963
ENSLOCP00000009980	ENSGALP00000026960
ENSLOCP00000014738	ENSGALP00000041360
ENSLOCP00000012061	ENSGALP00000005960
