ENSGACP00000003450	ENSMGAP00000004951
ENSGACP00000018304	ENSMGAP00000003068
ENSGACP00000003045	ENSMGAP00000003068
ENSGACP00000026872	ENSMGAP00000000132
ENSGACP00000008784	ENSMGAP00000013265
ENSGACP00000027282	ENSMGAP00000013498
ENSGACP00000017512	ENSMGAP00000010739
ENSGACP00000003444	ENSMGAP00000004925
ENSGACP00000027655	ENSMGAP00000002621
ENSGACP00000015229	ENSMGAP00000011180
ENSGACP00000013204	ENSMGAP00000003978
ENSGACP00000018412	ENSMGAP00000015197
ENSGACP00000004939	ENSMGAP00000003388
ENSGACP00000007033	ENSMGAP00000002654
ENSGACP00000012136	ENSMGAP00000009217
ENSGACP00000004873	ENSMGAP00000002648
ENSGACP00000002806	ENSMGAP00000009326
ENSGACP00000023126	ENSMGAP00000009326
ENSGACP00000004170	ENSMGAP00000007525
ENSGACP00000000014	ENSMGAP00000001572
ENSGACP00000010389	ENSMGAP00000010575
ENSGACP00000008196	ENSMGAP00000000479
ENSGACP00000022876	ENSMGAP00000003900
ENSGACP00000020510	ENSMGAP00000015491
ENSGACP00000004209	ENSMGAP00000000415
ENSGACP00000025947	ENSMGAP00000000276
ENSGACP00000000488	ENSMGAP00000000909
ENSGACP00000021405	ENSMGAP00000012849
ENSGACP00000013531	ENSMGAP00000000973
ENSGACP00000014122	ENSMGAP00000010566
ENSGACP00000014108	ENSMGAP00000010545
ENSGACP00000015493	ENSMGAP00000007436
ENSGACP00000004288	ENSMGAP00000007436
ENSGACP00000018787	ENSMGAP00000011060
ENSGACP00000002402	ENSMGAP00000007584
ENSGACP00000013540	ENSMGAP00000000941
ENSGACP00000012095	ENSMGAP00000000941
ENSGACP00000013490	ENSMGAP00000015853
ENSGACP00000020058	ENSMGAP00000015605
ENSGACP00000025883	ENSMGAP00000017353
ENSGACP00000005703	ENSMGAP00000014132
ENSGACP00000020860	ENSMGAP00000000271
ENSGACP00000006974	ENSMGAP00000000271
ENSGACP00000022648	ENSMGAP00000010789
ENSGACP00000014759	ENSMGAP00000013478
ENSGACP00000006839	ENSMGAP00000010388
ENSGACP00000022315	ENSMGAP00000010388
ENSGACP00000011561	ENSMGAP00000005618
ENSGACP00000002990	ENSMGAP00000005618
ENSGACP00000026579	ENSMGAP00000001450
ENSGACP00000013930	ENSMGAP00000001450
ENSGACP00000025513	ENSMGAP00000005019
ENSGACP00000025845	ENSMGAP00000000922
ENSGACP00000017996	ENSMGAP00000003400
ENSGACP00000011089	ENSMGAP00000018942
ENSGACP00000019294	ENSMGAP00000004974
ENSGACP00000009755	ENSMGAP00000000263
ENSGACP00000015915	ENSMGAP00000004440
ENSGACP00000023103	ENSMGAP00000009720
ENSGACP00000002295	ENSMGAP00000004973
ENSGACP00000018209	ENSMGAP00000015643
ENSGACP00000012521	ENSMGAP00000005906
ENSGACP00000004603	ENSMGAP00000012790
ENSGACP00000019518	ENSMGAP00000003923
ENSGACP00000004546	ENSMGAP00000003923
ENSGACP00000006206	ENSMGAP00000013787
ENSGACP00000026389	ENSMGAP00000013930
ENSGACP00000004274	ENSMGAP00000006584
ENSGACP00000015475	ENSMGAP00000006584
ENSGACP00000013968	ENSMGAP00000004536
ENSGACP00000015931	ENSMGAP00000017297
ENSGACP00000009933	ENSMGAP00000013514
ENSGACP00000005141	ENSMGAP00000006458
ENSGACP00000007915	ENSMGAP00000002526
ENSGACP00000013351	ENSMGAP00000002526
ENSGACP00000009128	ENSMGAP00000010940
ENSGACP00000005885	ENSMGAP00000009863
ENSGACP00000008256	ENSMGAP00000014406
ENSGACP00000026085	ENSMGAP00000014447
ENSGACP00000014218	ENSMGAP00000009216
ENSGACP00000008788	ENSMGAP00000002105
ENSGACP00000012624	ENSMGAP00000000989
ENSGACP00000006233	ENSMGAP00000001972
ENSGACP00000022472	ENSMGAP00000012273
ENSGACP00000018261	ENSMGAP00000002149
ENSGACP00000022347	ENSMGAP00000006655
ENSGACP00000007046	ENSMGAP00000008809
ENSGACP00000010215	ENSMGAP00000011192
ENSGACP00000007839	ENSMGAP00000007478
ENSGACP00000024328	ENSMGAP00000000881
ENSGACP00000002797	ENSMGAP00000017442
ENSGACP00000008850	ENSMGAP00000017442
ENSGACP00000003687	ENSMGAP00000011996
ENSGACP00000013891	ENSMGAP00000007423
ENSGACP00000015752	ENSMGAP00000007423
ENSGACP00000011056	ENSMGAP00000013335
ENSGACP00000023914	ENSMGAP00000001910
ENSGACP00000004412	ENSMGAP00000001910
ENSGACP00000013838	ENSMGAP00000004502
ENSGACP00000010614	ENSMGAP00000004061
ENSGACP00000022578	ENSMGAP00000001781
ENSGACP00000016521	ENSMGAP00000000418
ENSGACP00000011213	ENSMGAP00000007539
ENSGACP00000023031	ENSMGAP00000011139
ENSGACP00000018735	ENSMGAP00000017915
ENSGACP00000010089	ENSMGAP00000011894
ENSGACP00000003980	ENSMGAP00000015236
ENSGACP00000020505	ENSMGAP00000003757
ENSGACP00000024791	ENSMGAP00000010071
ENSGACP00000024033	ENSMGAP00000009399
ENSGACP00000011235	ENSMGAP00000001751
ENSGACP00000023409	ENSMGAP00000001751
ENSGACP00000002405	ENSMGAP00000007518
ENSGACP00000011399	ENSMGAP00000014040
ENSGACP00000016404	ENSMGAP00000010374
ENSGACP00000026319	ENSMGAP00000001944
ENSGACP00000015343	ENSMGAP00000001944
ENSGACP00000010214	ENSMGAP00000013734
ENSGACP00000018406	ENSMGAP00000000217
ENSGACP00000024658	ENSMGAP00000002878
ENSGACP00000018417	ENSMGAP00000000231
ENSGACP00000008623	ENSMGAP00000000231
ENSGACP00000014394	ENSMGAP00000001795
ENSGACP00000019210	ENSMGAP00000012130
ENSGACP00000002348	ENSMGAP00000005494
ENSGACP00000023091	ENSMGAP00000005494
ENSGACP00000015815	ENSMGAP00000006701
ENSGACP00000022066	ENSMGAP00000010996
ENSGACP00000010750	ENSMGAP00000004600
ENSGACP00000012695	ENSMGAP00000004769
ENSGACP00000007203	ENSMGAP00000004769
ENSGACP00000005237	ENSMGAP00000008135
ENSGACP00000024500	ENSMGAP00000007577
ENSGACP00000025056	ENSMGAP00000013515
ENSGACP00000003704	ENSMGAP00000011943
ENSGACP00000016370	ENSMGAP00000000964
ENSGACP00000022984	ENSMGAP00000003538
ENSGACP00000004888	ENSMGAP00000006673
ENSGACP00000008807	ENSMGAP00000018976
ENSGACP00000022304	ENSMGAP00000005664
ENSGACP00000020352	ENSMGAP00000008306
ENSGACP00000018750	ENSMGAP00000008756
ENSGACP00000014494	ENSMGAP00000005181
ENSGACP00000004440	ENSMGAP00000015568
ENSGACP00000005070	ENSMGAP00000015570
ENSGACP00000002886	ENSMGAP00000001772
ENSGACP00000007201	ENSMGAP00000005589
ENSGACP00000024497	ENSMGAP00000005589
ENSGACP00000010311	ENSMGAP00000007854
ENSGACP00000020639	ENSMGAP00000006564
ENSGACP00000006806	ENSMGAP00000000062
ENSGACP00000011680	ENSMGAP00000013566
ENSGACP00000015215	ENSMGAP00000013566
ENSGACP00000017136	ENSMGAP00000014847
ENSGACP00000005071	ENSMGAP00000008226
ENSGACP00000010693	ENSMGAP00000019750
ENSGACP00000000220	ENSMGAP00000008466
ENSGACP00000012914	ENSMGAP00000001356
ENSGACP00000015985	ENSMGAP00000014625
ENSGACP00000009347	ENSMGAP00000007848
ENSGACP00000025450	ENSMGAP00000007848
ENSGACP00000024263	ENSMGAP00000010300
ENSGACP00000023016	ENSMGAP00000003617
ENSGACP00000019572	ENSMGAP00000009825
ENSGACP00000014238	ENSMGAP00000000737
ENSGACP00000003505	ENSMGAP00000009657
ENSGACP00000008454	ENSMGAP00000011815
ENSGACP00000010767	ENSMGAP00000011218
ENSGACP00000009332	ENSMGAP00000011218
ENSGACP00000006347	ENSMGAP00000012705
ENSGACP00000008366	ENSMGAP00000007078
ENSGACP00000011689	ENSMGAP00000007078
ENSGACP00000021542	ENSMGAP00000011134
ENSGACP00000012439	ENSMGAP00000011134
ENSGACP00000012414	ENSMGAP00000017509
ENSGACP00000006410	ENSMGAP00000000730
ENSGACP00000017305	ENSMGAP00000000730
ENSGACP00000018854	ENSMGAP00000012182
ENSGACP00000003269	ENSMGAP00000012182
ENSGACP00000004022	ENSMGAP00000015716
ENSGACP00000021129	ENSMGAP00000003367
ENSGACP00000021829	ENSMGAP00000009944
ENSGACP00000015846	ENSMGAP00000009944
ENSGACP00000021132	ENSMGAP00000003349
ENSGACP00000021827	ENSMGAP00000009979
ENSGACP00000013084	ENSMGAP00000016886
ENSGACP00000003931	ENSMGAP00000013153
ENSGACP00000022235	ENSMGAP00000007392
ENSGACP00000024618	ENSMGAP00000006485
ENSGACP00000018219	ENSMGAP00000003262
ENSGACP00000019166	ENSMGAP00000012561
ENSGACP00000005801	ENSMGAP00000003178
ENSGACP00000002055	ENSMGAP00000011128
ENSGACP00000019859	ENSMGAP00000007926
ENSGACP00000005941	ENSMGAP00000006160
ENSGACP00000005138	ENSMGAP00000010923
ENSGACP00000025436	ENSMGAP00000010925
ENSGACP00000005832	ENSMGAP00000014141
ENSGACP00000005837	ENSMGAP00000014140
ENSGACP00000019610	ENSMGAP00000009394
ENSGACP00000017490	ENSMGAP00000009394
ENSGACP00000013771	ENSMGAP00000008318
ENSGACP00000020523	ENSMGAP00000008318
ENSGACP00000008747	ENSMGAP00000009205
ENSGACP00000023395	ENSMGAP00000006256
ENSGACP00000024826	ENSMGAP00000006256
ENSGACP00000027605	ENSMGAP00000009009
ENSGACP00000004758	ENSMGAP00000011385
ENSGACP00000010091	ENSMGAP00000001142
ENSGACP00000003129	ENSMGAP00000004457
ENSGACP00000008282	ENSMGAP00000008988
ENSGACP00000007790	ENSMGAP00000008872
ENSGACP00000016640	ENSMGAP00000008872
ENSGACP00000025425	ENSMGAP00000010443
ENSGACP00000023045	ENSMGAP00000000679
ENSGACP00000011374	ENSMGAP00000014048
ENSGACP00000016639	ENSMGAP00000014048
ENSGACP00000013919	ENSMGAP00000012880
ENSGACP00000007495	ENSMGAP00000014779
ENSGACP00000017514	ENSMGAP00000014780
ENSGACP00000012167	ENSMGAP00000004289
ENSGACP00000008702	ENSMGAP00000004289
ENSGACP00000014609	ENSMGAP00000008743
ENSGACP00000015729	ENSMGAP00000011153
ENSGACP00000010104	ENSMGAP00000016657
ENSGACP00000026169	ENSMGAP00000016637
ENSGACP00000027541	ENSMGAP00000003533
ENSGACP00000020789	ENSMGAP00000009178
ENSGACP00000013293	ENSMGAP00000009178
ENSGACP00000019511	ENSMGAP00000009175
ENSGACP00000011768	ENSMGAP00000005907
ENSGACP00000000857	ENSMGAP00000013873
ENSGACP00000006905	ENSMGAP00000010650
ENSGACP00000022342	ENSMGAP00000010650
ENSGACP00000007159	ENSMGAP00000007940
ENSGACP00000021629	ENSMGAP00000007940
ENSGACP00000011514	ENSMGAP00000008533
ENSGACP00000007653	ENSMGAP00000005766
ENSGACP00000005156	ENSMGAP00000010471
ENSGACP00000005372	ENSMGAP00000009748
ENSGACP00000015965	ENSMGAP00000014629
ENSGACP00000023911	ENSMGAP00000014629
ENSGACP00000020863	ENSMGAP00000013528
ENSGACP00000022656	ENSMGAP00000007961
ENSGACP00000013194	ENSMGAP00000008585
ENSGACP00000011152	ENSMGAP00000014342
ENSGACP00000011138	ENSMGAP00000014345
ENSGACP00000010944	ENSMGAP00000013739
ENSGACP00000022338	ENSMGAP00000000980
ENSGACP00000014096	ENSMGAP00000000980
ENSGACP00000020152	ENSMGAP00000011431
ENSGACP00000026379	ENSMGAP00000005911
ENSGACP00000015814	ENSMGAP00000005911
ENSGACP00000015693	ENSMGAP00000014536
ENSGACP00000018115	ENSMGAP00000017551
ENSGACP00000016549	ENSMGAP00000013170
ENSGACP00000006709	ENSMGAP00000013170
ENSGACP00000017867	ENSMGAP00000019340
ENSGACP00000007480	ENSMGAP00000014778
ENSGACP00000023702	ENSMGAP00000011272
ENSGACP00000008047	ENSMGAP00000001815
ENSGACP00000002773	ENSMGAP00000008157
ENSGACP00000009197	ENSMGAP00000013247
ENSGACP00000007682	ENSMGAP00000014108
ENSGACP00000023139	ENSMGAP00000000499
ENSGACP00000009670	ENSMGAP00000001575
ENSGACP00000016283	ENSMGAP00000015092
ENSGACP00000019711	ENSMGAP00000015092
ENSGACP00000020139	ENSMGAP00000015391
ENSGACP00000022997	ENSMGAP00000001688
ENSGACP00000017963	ENSMGAP00000003355
ENSGACP00000014611	ENSMGAP00000003355
ENSGACP00000003972	ENSMGAP00000016365
ENSGACP00000007261	ENSMGAP00000016855
ENSGACP00000005865	ENSMGAP00000011869
ENSGACP00000026557	ENSMGAP00000004109
ENSGACP00000022171	ENSMGAP00000007245
ENSGACP00000014617	ENSMGAP00000008731
ENSGACP00000023960	ENSMGAP00000000086
ENSGACP00000003253	ENSMGAP00000002593
ENSGACP00000013823	ENSMGAP00000014707
ENSGACP00000000546	ENSMGAP00000001163
ENSGACP00000008541	ENSMGAP00000001348
ENSGACP00000005245	ENSMGAP00000007519
ENSGACP00000021564	ENSMGAP00000011156
ENSGACP00000023933	ENSMGAP00000000369
ENSGACP00000010018	ENSMGAP00000001091
ENSGACP00000015645	ENSMGAP00000013568
