ENSP00000262384	ENSORLP00000017023
ENSP00000362179	ENSORLP00000018100
ENSP00000362179	ENSORLP00000011872
ENSP00000386616	ENSORLP00000019139
ENSP00000354794	ENSORLP00000021204
ENSP00000455426	ENSORLP00000017158
ENSP00000268876	ENSORLP00000011600
ENSP00000361900	ENSORLP00000018033
ENSP00000295408	ENSORLP00000014071
ENSP00000317272	ENSORLP00000024532
ENSP00000363970	ENSORLP00000003595
ENSP00000373518	ENSORLP00000017662
ENSP00000362057	ENSORLP00000001741
ENSP00000367851	ENSORLP00000002049
ENSP00000445366	ENSORLP00000025526
ENSP00000281722	ENSORLP00000003018
ENSP00000363107	ENSORLP00000016722
ENSP00000354995	ENSORLP00000025748
ENSP00000272286	ENSORLP00000005821
ENSP00000260645	ENSORLP00000005856
ENSP00000363092	ENSORLP00000007952
ENSP00000261464	ENSORLP00000001368
ENSP00000454207	ENSORLP00000024257
ENSP00000247668	ENSORLP00000003220
ENSP00000247668	ENSORLP00000020860
ENSP00000433623	ENSORLP00000001290
ENSP00000249636	ENSORLP00000008446
ENSP00000249636	ENSORLP00000002593
ENSP00000334474	ENSORLP00000008437
ENSP00000334474	ENSORLP00000011200
ENSP00000324173	ENSORLP00000008651
ENSP00000367623	ENSORLP00000015785
ENSP00000234038	ENSORLP00000020633
ENSP00000326870	ENSORLP00000011714
ENSP00000307259	ENSORLP00000007515
ENSP00000308479	ENSORLP00000000443
ENSP00000311687	ENSORLP00000023088
ENSP00000363520	ENSORLP00000018127
ENSP00000339256	ENSORLP00000003515
ENSP00000414055	ENSORLP00000015272
ENSP00000350676	ENSORLP00000008997
ENSP00000251363	ENSORLP00000006561
ENSP00000271688	ENSORLP00000003243
ENSP00000271688	ENSORLP00000013178
ENSP00000376453	ENSORLP00000021323
ENSP00000402697	ENSORLP00000021828
ENSP00000251089	ENSORLP00000020822
ENSP00000309142	ENSORLP00000021812
ENSP00000264903	ENSORLP00000023561
ENSP00000377024	ENSORLP00000006376
ENSP00000468788	ENSORLP00000019321
ENSP00000297071	ENSORLP00000005874
ENSP00000380252	ENSORLP00000021980
ENSP00000257749	ENSORLP00000022436
ENSP00000366827	ENSORLP00000003775
ENSP00000321343	ENSORLP00000006361
ENSP00000379353	ENSORLP00000018342
ENSP00000320431	ENSORLP00000018930
ENSP00000268164	ENSORLP00000010509
ENSP00000345571	ENSORLP00000001148
ENSP00000368686	ENSORLP00000019667
ENSP00000268989	ENSORLP00000010566
ENSP00000221543	ENSORLP00000002272
ENSP00000448182	ENSORLP00000000244
ENSP00000320434	ENSORLP00000004298
ENSP00000304669	ENSORLP00000009022
ENSP00000386141	ENSORLP00000010106
ENSP00000477059	ENSORLP00000020930
ENSP00000477059	ENSORLP00000018662
ENSP00000386881	ENSORLP00000004264
ENSP00000428280	ENSORLP00000022821
ENSP00000360475	ENSORLP00000021772
ENSP00000222250	ENSORLP00000010763
ENSP00000358323	ENSORLP00000013654
ENSP00000358323	ENSORLP00000025491
ENSP00000380759	ENSORLP00000020331
ENSP00000359095	ENSORLP00000007167
ENSP00000331879	ENSORLP00000001018
ENSP00000276440	ENSORLP00000018097
ENSP00000340677	ENSORLP00000008607
ENSP00000272164	ENSORLP00000022020
ENSP00000290015	ENSORLP00000005695
ENSP00000258411	ENSORLP00000022851
ENSP00000252456	ENSORLP00000020711
ENSP00000252677	ENSORLP00000010817
ENSP00000367942	ENSORLP00000007342
ENSP00000287139	ENSORLP00000011413
ENSP00000282701	ENSORLP00000022256
ENSP00000334314	ENSORLP00000019505
ENSP00000320663	ENSORLP00000004295
ENSP00000378254	ENSORLP00000014720
ENSP00000377836	ENSORLP00000012324
ENSP00000292377	ENSORLP00000000585
ENSP00000264039	ENSORLP00000020019
ENSP00000264039	ENSORLP00000013874
ENSP00000338728	ENSORLP00000005351
ENSP00000380785	ENSORLP00000019519
ENSP00000360252	ENSORLP00000018585
ENSP00000310015	ENSORLP00000018984
ENSP00000370713	ENSORLP00000006254
ENSP00000370713	ENSORLP00000007804
ENSP00000357459	ENSORLP00000012489
ENSP00000268624	ENSORLP00000002135
ENSP00000296513	ENSORLP00000025830
ENSP00000262803	ENSORLP00000010622
ENSP00000399797	ENSORLP00000010171
ENSP00000384725	ENSORLP00000021378
ENSP00000253008	ENSORLP00000021967
ENSP00000253008	ENSORLP00000008922
ENSP00000276594	ENSORLP00000010172
ENSP00000361929	ENSORLP00000024935
ENSP00000282903	ENSORLP00000012679
ENSP00000352603	ENSORLP00000016516
ENSP00000347408	ENSORLP00000011838
ENSP00000388996	ENSORLP00000022565
ENSP00000423665	ENSORLP00000015239
ENSP00000417914	ENSORLP00000011216
ENSP00000264607	ENSORLP00000022670
ENSP00000355195	ENSORLP00000010397
ENSP00000363512	ENSORLP00000009355
ENSP00000305426	ENSORLP00000008594
ENSP00000229771	ENSORLP00000008023
ENSP00000314444	ENSORLP00000022797
ENSP00000216271	ENSORLP00000011723
ENSP00000334061	ENSORLP00000025157
ENSP00000346236	ENSORLP00000001104
ENSP00000464050	ENSORLP00000002977
ENSP00000225792	ENSORLP00000018923
ENSP00000262462	ENSORLP00000023720
ENSP00000300456	ENSORLP00000012925
ENSP00000359520	ENSORLP00000000034
ENSP00000351520	ENSORLP00000013671
ENSP00000301825	ENSORLP00000006742
ENSP00000378046	ENSORLP00000014072
ENSP00000222803	ENSORLP00000009294
ENSP00000222803	ENSORLP00000006181
ENSP00000413152	ENSORLP00000018956
ENSP00000242209	ENSORLP00000014883
ENSP00000317232	ENSORLP00000017224
ENSP00000317232	ENSORLP00000004455
ENSP00000345964	ENSORLP00000007557
ENSP00000358715	ENSORLP00000007575
ENSP00000301464	ENSORLP00000020818
ENSP00000275525	ENSORLP00000016131
ENSP00000275525	ENSORLP00000021474
ENSP00000233809	ENSORLP00000002773
ENSP00000233809	ENSORLP00000018416
ENSP00000386942	ENSORLP00000015721
ENSP00000362239	ENSORLP00000005075
ENSP00000417583	ENSORLP00000004108
ENSP00000417583	ENSORLP00000005033
ENSP00000355968	ENSORLP00000015324
ENSP00000233535	ENSORLP00000011019
ENSP00000415011	ENSORLP00000002202
ENSP00000261867	ENSORLP00000003059
ENSP00000362195	ENSORLP00000018136
ENSP00000262345	ENSORLP00000018833
ENSP00000263409	ENSORLP00000004173
ENSP00000261721	ENSORLP00000004274
ENSP00000384545	ENSORLP00000015164
ENSP00000329926	ENSORLP00000016308
ENSP00000357588	ENSORLP00000024951
ENSP00000445952	ENSORLP00000009657
ENSP00000445952	ENSORLP00000018316
ENSP00000251527	ENSORLP00000007380
ENSP00000251527	ENSORLP00000013444
ENSP00000424126	ENSORLP00000012886
ENSP00000424126	ENSORLP00000001311
ENSP00000340594	ENSORLP00000013607
ENSP00000341489	ENSORLP00000025288
ENSP00000368566	ENSORLP00000001374
ENSP00000348429	ENSORLP00000014802
ENSP00000233156	ENSORLP00000018111
ENSP00000222543	ENSORLP00000005218
ENSP00000311184	ENSORLP00000013299
ENSP00000324763	ENSORLP00000016364
ENSP00000376652	ENSORLP00000019561
ENSP00000376652	ENSORLP00000011906
ENSP00000345405	ENSORLP00000002839
ENSP00000281156	ENSORLP00000012741
ENSP00000349575	ENSORLP00000011358
ENSP00000271139	ENSORLP00000020718
ENSP00000331305	ENSORLP00000017749
ENSP00000348300	ENSORLP00000019397
ENSP00000423541	ENSORLP00000002704
ENSP00000423541	ENSORLP00000011850
ENSP00000358142	ENSORLP00000020399
