ENSDARP00000074624	ENSMODP00000016222
ENSDARP00000061719	ENSMODP00000022186
ENSDARP00000095914	ENSMODP00000022186
ENSDARP00000118051	ENSMODP00000006413
ENSDARP00000006624	ENSMODP00000020505
ENSDARP00000105714	ENSMODP00000009976
ENSDARP00000093807	ENSMODP00000024314
ENSDARP00000023678	ENSMODP00000023878
ENSDARP00000117083	ENSMODP00000002624
ENSDARP00000001240	ENSMODP00000020244
ENSDARP00000101815	ENSMODP00000028608
ENSDARP00000123904	ENSMODP00000019742
ENSDARP00000106622	ENSMODP00000023074
ENSDARP00000039056	ENSMODP00000002660
ENSDARP00000003432	ENSMODP00000005540
ENSDARP00000042321	ENSMODP00000003267
ENSDARP00000101214	ENSMODP00000011631
ENSDARP00000111829	ENSMODP00000026393
ENSDARP00000099341	ENSMODP00000001568
ENSDARP00000016279	ENSMODP00000020576
ENSDARP00000087241	ENSMODP00000026284
ENSDARP00000120245	ENSMODP00000028394
ENSDARP00000086278	ENSMODP00000000677
ENSDARP00000006351	ENSMODP00000023578
ENSDARP00000039628	ENSMODP00000023578
ENSDARP00000108480	ENSMODP00000020923
ENSDARP00000111278	ENSMODP00000024842
ENSDARP00000043235	ENSMODP00000020567
ENSDARP00000112135	ENSMODP00000020567
ENSDARP00000117890	ENSMODP00000000005
ENSDARP00000040549	ENSMODP00000003305
ENSDARP00000105765	ENSMODP00000016701
ENSDARP00000091948	ENSMODP00000030326
ENSDARP00000016657	ENSMODP00000021625
ENSDARP00000043465	ENSMODP00000021625
ENSDARP00000036715	ENSMODP00000024756
ENSDARP00000013849	ENSMODP00000024090
ENSDARP00000128322	ENSMODP00000034686
ENSDARP00000052396	ENSMODP00000034686
ENSDARP00000097747	ENSMODP00000001331
ENSDARP00000102479	ENSMODP00000001331
ENSDARP00000017456	ENSMODP00000024667
ENSDARP00000075275	ENSMODP00000021116
ENSDARP00000003744	ENSMODP00000015137
ENSDARP00000010921	ENSMODP00000021051
ENSDARP00000115728	ENSMODP00000006081
ENSDARP00000060526	ENSMODP00000017560
ENSDARP00000102702	ENSMODP00000026600
ENSDARP00000128926	ENSMODP00000035512
ENSDARP00000104196	ENSMODP00000035509
ENSDARP00000105356	ENSMODP00000014612
ENSDARP00000123389	ENSMODP00000010442
ENSDARP00000122905	ENSMODP00000016379
ENSDARP00000036929	ENSMODP00000026124
ENSDARP00000109018	ENSMODP00000011474
ENSDARP00000041145	ENSMODP00000011474
ENSDARP00000007140	ENSMODP00000026122
ENSDARP00000099879	ENSMODP00000023478
ENSDARP00000076418	ENSMODP00000023478
ENSDARP00000052791	ENSMODP00000015235
ENSDARP00000102159	ENSMODP00000015235
ENSDARP00000070109	ENSMODP00000041284
ENSDARP00000087079	ENSMODP00000004541
ENSDARP00000033311	ENSMODP00000003832
ENSDARP00000067607	ENSMODP00000000179
ENSDARP00000071278	ENSMODP00000014712
ENSDARP00000096178	ENSMODP00000006523
ENSDARP00000087500	ENSMODP00000006523
ENSDARP00000010426	ENSMODP00000000959
ENSDARP00000062853	ENSMODP00000012028
ENSDARP00000036016	ENSMODP00000029754
ENSDARP00000104838	ENSMODP00000012160
ENSDARP00000110537	ENSMODP00000004041
ENSDARP00000066622	ENSMODP00000025585
ENSDARP00000022709	ENSMODP00000016495
ENSDARP00000011180	ENSMODP00000024060
ENSDARP00000109781	ENSMODP00000014171
ENSDARP00000100111	ENSMODP00000015986
ENSDARP00000101968	ENSMODP00000003492
ENSDARP00000121362	ENSMODP00000013925
ENSDARP00000056678	ENSMODP00000007364
ENSDARP00000011396	ENSMODP00000007623
ENSDARP00000047840	ENSMODP00000030239
ENSDARP00000060945	ENSMODP00000030239
ENSDARP00000086789	ENSMODP00000013412
ENSDARP00000078040	ENSMODP00000012859
ENSDARP00000110256	ENSMODP00000040508
ENSDARP00000020784	ENSMODP00000016741
ENSDARP00000111457	ENSMODP00000037068
ENSDARP00000013157	ENSMODP00000015720
ENSDARP00000105799	ENSMODP00000000761
ENSDARP00000107372	ENSMODP00000036453
ENSDARP00000107947	ENSMODP00000024298
ENSDARP00000053660	ENSMODP00000024298
ENSDARP00000114340	ENSMODP00000013611
ENSDARP00000101407	ENSMODP00000002121
ENSDARP00000056104	ENSMODP00000034167
ENSDARP00000098075	ENSMODP00000021361
ENSDARP00000089131	ENSMODP00000021361
ENSDARP00000069080	ENSMODP00000025206
ENSDARP00000017762	ENSMODP00000014344
ENSDARP00000052420	ENSMODP00000023381
ENSDARP00000128041	ENSMODP00000023381
ENSDARP00000106043	ENSMODP00000029105
ENSDARP00000003829	ENSMODP00000011376
ENSDARP00000123474	ENSMODP00000020886
ENSDARP00000049623	ENSMODP00000013331
ENSDARP00000105575	ENSMODP00000017273
ENSDARP00000055224	ENSMODP00000013863
ENSDARP00000005680	ENSMODP00000036044
ENSDARP00000052060	ENSMODP00000006951
ENSDARP00000121183	ENSMODP00000008288
ENSDARP00000003525	ENSMODP00000008288
ENSDARP00000129116	ENSMODP00000013900
ENSDARP00000008475	ENSMODP00000017320
ENSDARP00000058968	ENSMODP00000015229
ENSDARP00000079823	ENSMODP00000025996
ENSDARP00000104791	ENSMODP00000016389
ENSDARP00000075280	ENSMODP00000009650
ENSDARP00000079585	ENSMODP00000002182
ENSDARP00000108980	ENSMODP00000011765
ENSDARP00000039553	ENSMODP00000019074
ENSDARP00000105944	ENSMODP00000005435
ENSDARP00000106138	ENSMODP00000016852
ENSDARP00000123199	ENSMODP00000000500
ENSDARP00000121158	ENSMODP00000024292
ENSDARP00000102048	ENSMODP00000024292
ENSDARP00000057433	ENSMODP00000008628
ENSDARP00000063051	ENSMODP00000004044
ENSDARP00000081844	ENSMODP00000002679
ENSDARP00000115372	ENSMODP00000007893
ENSDARP00000115965	ENSMODP00000021412
ENSDARP00000101420	ENSMODP00000006018
ENSDARP00000112407	ENSMODP00000023606
ENSDARP00000013006	ENSMODP00000004519
ENSDARP00000064825	ENSMODP00000039634
ENSDARP00000040837	ENSMODP00000037970
ENSDARP00000042673	ENSMODP00000004963
ENSDARP00000127476	ENSMODP00000024799
ENSDARP00000099506	ENSMODP00000001757
ENSDARP00000015394	ENSMODP00000015165
ENSDARP00000110909	ENSMODP00000036437
ENSDARP00000013506	ENSMODP00000005386
ENSDARP00000117090	ENSMODP00000005386
ENSDARP00000102910	ENSMODP00000007425
ENSDARP00000012147	ENSMODP00000026554
ENSDARP00000073893	ENSMODP00000005255
ENSDARP00000104859	ENSMODP00000000790
ENSDARP00000053426	ENSMODP00000031750
ENSDARP00000075572	ENSMODP00000020405
