ENSP00000262384	ENSGALP00000006197
ENSP00000362179	ENSGALP00000003140
ENSP00000278590	ENSGALP00000027652
ENSP00000354794	ENSGALP00000024336
ENSP00000455426	ENSGALP00000006178
ENSP00000268876	ENSGALP00000003417
ENSP00000361900	ENSGALP00000006527
ENSP00000295408	ENSGALP00000013423
ENSP00000296474	ENSGALP00000035505
ENSP00000317272	ENSGALP00000042226
ENSP00000394008	ENSGALP00000023699
ENSP00000363970	ENSGALP00000002938
ENSP00000373518	ENSGALP00000013077
ENSP00000362057	ENSGALP00000010835
ENSP00000367851	ENSGALP00000026172
ENSP00000159060	ENSGALP00000022178
ENSP00000263317	ENSGALP00000027810
ENSP00000358635	ENSGALP00000025475
ENSP00000445366	ENSGALP00000009477
ENSP00000281722	ENSGALP00000015078
ENSP00000363107	ENSGALP00000005964
ENSP00000354995	ENSGALP00000025999
ENSP00000304111	ENSGALP00000010976
ENSP00000272286	ENSGALP00000016167
ENSP00000260645	ENSGALP00000016163
ENSP00000292672	ENSGALP00000042824
ENSP00000389951	ENSGALP00000010845
ENSP00000363092	ENSGALP00000006027
ENSP00000261464	ENSGALP00000016021
ENSP00000454207	ENSGALP00000018553
ENSP00000362994	ENSGALP00000002401
ENSP00000247668	ENSGALP00000014649
ENSP00000433623	ENSGALP00000012873
ENSP00000376765	ENSGALP00000041588
ENSP00000249636	ENSGALP00000012927
ENSP00000262971	ENSGALP00000002836
ENSP00000334474	ENSGALP00000007730
ENSP00000247207	ENSGALP00000019120
ENSP00000324173	ENSGALP00000001474
ENSP00000367623	ENSGALP00000010718
ENSP00000297185	ENSGALP00000003717
ENSP00000234038	ENSGALP00000009351
ENSP00000453273	ENSGALP00000006447
ENSP00000367815	ENSGALP00000005150
ENSP00000326870	ENSGALP00000007847
ENSP00000303549	ENSGALP00000042836
ENSP00000308361	ENSGALP00000032312
ENSP00000260843	ENSGALP00000016886
ENSP00000320376	ENSGALP00000016883
ENSP00000307259	ENSGALP00000016882
ENSP00000308479	ENSGALP00000016891
ENSP00000367384	ENSGALP00000026119
ENSP00000337618	ENSGALP00000026960
ENSP00000295461	ENSGALP00000041360
ENSP00000311687	ENSGALP00000005960
ENSP00000363520	ENSGALP00000006776
ENSP00000339256	ENSGALP00000035831
ENSP00000297954	ENSGALP00000008354
ENSP00000414055	ENSGALP00000000103
ENSP00000352185	ENSGALP00000008273
ENSP00000284382	ENSGALP00000023528
ENSP00000376453	ENSGALP00000017712
ENSP00000325485	ENSGALP00000009966
ENSP00000402697	ENSGALP00000004991
ENSP00000355929	ENSGALP00000015926
ENSP00000251089	ENSGALP00000016880
ENSP00000309142	ENSGALP00000009004
ENSP00000377024	ENSGALP00000009685
ENSP00000468788	ENSGALP00000042528
ENSP00000297071	ENSGALP00000017856
ENSP00000380252	ENSGALP00000032649
ENSP00000257749	ENSGALP00000025114
ENSP00000366827	ENSGALP00000014101
ENSP00000321343	ENSGALP00000042998
ENSP00000379353	ENSGALP00000021550
ENSP00000268164	ENSGALP00000011134
ENSP00000231461	ENSGALP00000041611
ENSP00000262904	ENSGALP00000036527
ENSP00000345571	ENSGALP00000042464
ENSP00000368686	ENSGALP00000002638
ENSP00000268989	ENSGALP00000009200
ENSP00000448182	ENSGALP00000016547
ENSP00000320434	ENSGALP00000021543
ENSP00000304669	ENSGALP00000003847
ENSP00000386141	ENSGALP00000035892
ENSP00000477059	ENSGALP00000010428
ENSP00000416707	ENSGALP00000026821
ENSP00000386881	ENSGALP00000025899
ENSP00000428280	ENSGALP00000026322
ENSP00000272371	ENSGALP00000026707
ENSP00000360475	ENSGALP00000013796
ENSP00000222250	ENSGALP00000005571
ENSP00000268042	ENSGALP00000011333
ENSP00000372067	ENSGALP00000021646
ENSP00000331879	ENSGALP00000006299
ENSP00000276440	ENSGALP00000000412
ENSP00000340677	ENSGALP00000039341
ENSP00000272164	ENSGALP00000008661
ENSP00000290015	ENSGALP00000040060
ENSP00000258411	ENSGALP00000018503
ENSP00000357077	ENSGALP00000042171
ENSP00000252677	ENSGALP00000007547
ENSP00000224605	ENSGALP00000009611
ENSP00000282701	ENSGALP00000017701
ENSP00000334314	ENSGALP00000018224
ENSP00000320663	ENSGALP00000016105
ENSP00000252660	ENSGALP00000018964
ENSP00000366267	ENSGALP00000027271
ENSP00000377836	ENSGALP00000009806
ENSP00000359864	ENSGALP00000009798
ENSP00000264039	ENSGALP00000003684
ENSP00000280481	ENSGALP00000027482
ENSP00000264895	ENSGALP00000037588
ENSP00000374507	ENSGALP00000017417
ENSP00000338728	ENSGALP00000013142
ENSP00000360252	ENSGALP00000017678
ENSP00000310015	ENSGALP00000001334
ENSP00000370713	ENSGALP00000010979
ENSP00000441897	ENSGALP00000038745
ENSP00000357459	ENSGALP00000039924
ENSP00000296513	ENSGALP00000019325
ENSP00000262803	ENSGALP00000005090
ENSP00000399797	ENSGALP00000002366
ENSP00000424737	ENSGALP00000019689
ENSP00000417401	ENSGALP00000009892
ENSP00000394314	ENSGALP00000013052
ENSP00000384725	ENSGALP00000008574
ENSP00000253008	ENSGALP00000006182
ENSP00000354960	ENSGALP00000038563
ENSP00000361929	ENSGALP00000007976
ENSP00000196061	ENSGALP00000007204
ENSP00000282903	ENSGALP00000010958
ENSP00000292807	ENSGALP00000013724
ENSP00000347408	ENSGALP00000008112
ENSP00000428787	ENSGALP00000005789
ENSP00000388996	ENSGALP00000006300
ENSP00000406472	ENSGALP00000013714
ENSP00000265741	ENSGALP00000014734
ENSP00000423665	ENSGALP00000000973
ENSP00000296525	ENSGALP00000017596
ENSP00000417914	ENSGALP00000026677
ENSP00000350331	ENSGALP00000013670
ENSP00000264607	ENSGALP00000006782
