ENSACAP00000005936	ENSMUSP00000034074
ENSACAP00000017014	ENSMUSP00000037172
ENSACAP00000000964	ENSMUSP00000127603
ENSACAP00000006833	ENSMUSP00000040217
ENSACAP00000001737	ENSMUSP00000025288
ENSACAP00000013552	ENSMUSP00000105282
ENSACAP00000011817	ENSMUSP00000018466
ENSACAP00000005957	ENSMUSP00000014505
ENSACAP00000008269	ENSMUSP00000035203
ENSACAP00000008564	ENSMUSP00000111103
ENSACAP00000009158	ENSMUSP00000029128
ENSACAP00000014601	ENSMUSP00000015484
ENSACAP00000005110	ENSMUSP00000024565
ENSACAP00000014675	ENSMUSP00000032781
ENSACAP00000014993	ENSMUSP00000133649
ENSACAP00000012678	ENSMUSP00000054412
ENSACAP00000015321	ENSMUSP00000045511
ENSACAP00000015067	ENSMUSP00000075235
ENSACAP00000003045	ENSMUSP00000024829
ENSACAP00000002376	ENSMUSP00000124647
ENSACAP00000015078	ENSMUSP00000035246
ENSACAP00000014992	ENSMUSP00000069495
ENSACAP00000016695	ENSMUSP00000113675
ENSACAP00000012212	ENSMUSP00000111483
ENSACAP00000005988	ENSMUSP00000034840
ENSACAP00000007603	ENSMUSP00000110574
ENSACAP00000005444	ENSMUSP00000073268
ENSACAP00000016112	ENSMUSP00000082710
ENSACAP00000000193	ENSMUSP00000021706
ENSACAP00000010321	ENSMUSP00000130759
ENSACAP00000006987	ENSMUSP00000028311
ENSACAP00000005007	ENSMUSP00000004949
ENSACAP00000013643	ENSMUSP00000069259
ENSACAP00000010047	ENSMUSP00000096248
ENSACAP00000018690	ENSMUSP00000005064
ENSACAP00000004219	ENSMUSP00000124863
ENSACAP00000001811	ENSMUSP00000105409
ENSACAP00000015494	ENSMUSP00000079306
ENSACAP00000004078	ENSMUSP00000097747
ENSACAP00000001088	ENSMUSP00000027961
ENSACAP00000015698	ENSMUSP00000025217
ENSACAP00000001835	ENSMUSP00000027494
ENSACAP00000008406	ENSMUSP00000070606
ENSACAP00000012838	ENSMUSP00000090790
ENSACAP00000009680	ENSMUSP00000104363
ENSACAP00000007792	ENSMUSP00000088642
ENSACAP00000018412	ENSMUSP00000059272
ENSACAP00000017761	ENSMUSP00000044730
ENSACAP00000019211	ENSMUSP00000051353
ENSACAP00000007789	ENSMUSP00000082115
ENSACAP00000017650	ENSMUSP00000042715
ENSACAP00000012446	ENSMUSP00000114020
ENSACAP00000006460	ENSMUSP00000084462
ENSACAP00000003419	ENSMUSP00000020679
ENSACAP00000015858	ENSMUSP00000038922
ENSACAP00000001119	ENSMUSP00000089212
ENSACAP00000015929	ENSMUSP00000019516
ENSACAP00000007518	ENSMUSP00000033081
ENSACAP00000000777	ENSMUSP00000047308
ENSACAP00000011796	ENSMUSP00000015858
ENSACAP00000009619	ENSMUSP00000069238
