ENSLOCP00000011371	ENSORLP00000011382
ENSLOCP00000009128	ENSORLP00000017023
ENSLOCP00000003817	ENSORLP00000018100
ENSLOCP00000003817	ENSORLP00000011872
ENSLOCP00000018009	ENSORLP00000011982
ENSLOCP00000021014	ENSORLP00000019139
ENSLOCP00000007024	ENSORLP00000006953
ENSLOCP00000007725	ENSORLP00000021204
ENSLOCP00000009060	ENSORLP00000017158
ENSLOCP00000005031	ENSORLP00000025700
ENSLOCP00000011549	ENSORLP00000016021
ENSLOCP00000018593	ENSORLP00000014861
ENSLOCP00000011472	ENSORLP00000011600
ENSLOCP00000013012	ENSORLP00000020191
ENSLOCP00000009147	ENSORLP00000018033
ENSLOCP00000020429	ENSORLP00000014071
ENSLOCP00000017457	ENSORLP00000001378
ENSLOCP00000013339	ENSORLP00000017918
ENSLOCP00000019200	ENSORLP00000024532
ENSLOCP00000006554	ENSORLP00000001259
ENSLOCP00000003596	ENSORLP00000018991
ENSLOCP00000003596	ENSORLP00000000678
ENSLOCP00000010127	ENSORLP00000014971
ENSLOCP00000019587	ENSORLP00000024884
ENSLOCP00000004161	ENSORLP00000015857
ENSLOCP00000007780	ENSORLP00000003595
ENSLOCP00000017232	ENSORLP00000017662
ENSLOCP00000016944	ENSORLP00000006648
ENSLOCP00000018831	ENSORLP00000001741
ENSLOCP00000009530	ENSORLP00000002049
ENSLOCP00000008728	ENSORLP00000013801
ENSLOCP00000020915	ENSORLP00000018607
ENSLOCP00000005280	ENSORLP00000003123
ENSLOCP00000013773	ENSORLP00000025526
ENSLOCP00000010078	ENSORLP00000003018
ENSLOCP00000015968	ENSORLP00000007356
ENSLOCP00000007610	ENSORLP00000016722
ENSLOCP00000002487	ENSORLP00000025748
ENSLOCP00000004672	ENSORLP00000009370
ENSLOCP00000020267	ENSORLP00000005821
ENSLOCP00000020273	ENSORLP00000005856
ENSLOCP00000010732	ENSORLP00000011473
ENSLOCP00000016575	ENSORLP00000008769
ENSLOCP00000016575	ENSORLP00000003411
ENSLOCP00000006610	ENSORLP00000005783
ENSLOCP00000007870	ENSORLP00000013089
ENSLOCP00000007870	ENSORLP00000003278
ENSLOCP00000012214	ENSORLP00000008832
ENSLOCP00000012214	ENSORLP00000018527
ENSLOCP00000011625	ENSORLP00000001301
ENSLOCP00000008648	ENSORLP00000022254
ENSLOCP00000007649	ENSORLP00000007952
ENSLOCP00000000762	ENSORLP00000021688
ENSLOCP00000012473	ENSORLP00000025578
ENSLOCP00000019175	ENSORLP00000001368
ENSLOCP00000012015	ENSORLP00000024257
ENSLOCP00000001624	ENSORLP00000003220
ENSLOCP00000001624	ENSORLP00000020860
ENSLOCP00000000941	ENSORLP00000008989
ENSLOCP00000001262	ENSORLP00000001290
ENSLOCP00000007089	ENSORLP00000005579
ENSLOCP00000017180	ENSORLP00000008446
ENSLOCP00000017180	ENSORLP00000002593
ENSLOCP00000008030	ENSORLP00000021702
ENSLOCP00000007201	ENSORLP00000006265
ENSLOCP00000005887	ENSORLP00000008437
ENSLOCP00000005887	ENSORLP00000011200
ENSLOCP00000003218	ENSORLP00000007708
ENSLOCP00000003218	ENSORLP00000000287
ENSLOCP00000005999	ENSORLP00000008651
ENSLOCP00000020663	ENSORLP00000015785
ENSLOCP00000019922	ENSORLP00000002804
ENSLOCP00000013825	ENSORLP00000023779
ENSLOCP00000010959	ENSORLP00000020633
ENSLOCP00000012282	ENSORLP00000019791
ENSLOCP00000000639	ENSORLP00000021946
ENSLOCP00000010721	ENSORLP00000011714
ENSLOCP00000021480	ENSORLP00000007530
ENSLOCP00000002287	ENSORLP00000007515
ENSLOCP00000002248	ENSORLP00000000443
ENSLOCP00000018849	ENSORLP00000000994
ENSLOCP00000012061	ENSORLP00000023088
ENSLOCP00000009990	ENSORLP00000019930
ENSLOCP00000003317	ENSORLP00000018127
ENSLOCP00000011989	ENSORLP00000003515
ENSLOCP00000015226	ENSORLP00000014267
ENSLOCP00000018208	ENSORLP00000008956
ENSLOCP00000019753	ENSORLP00000015452
ENSLOCP00000012353	ENSORLP00000015272
ENSLOCP00000006157	ENSORLP00000010748
ENSLOCP00000006157	ENSORLP00000016221
ENSLOCP00000010044	ENSORLP00000013894
ENSLOCP00000018214	ENSORLP00000008997
ENSLOCP00000020601	ENSORLP00000019966
ENSLOCP00000005255	ENSORLP00000006561
ENSLOCP00000007900	ENSORLP00000003243
ENSLOCP00000007900	ENSORLP00000013178
ENSLOCP00000010023	ENSORLP00000021323
ENSLOCP00000006473	ENSORLP00000008585
ENSLOCP00000004830	ENSORLP00000021828
ENSLOCP00000013047	ENSORLP00000020822
ENSLOCP00000016356	ENSORLP00000021812
ENSLOCP00000009007	ENSORLP00000023561
ENSLOCP00000012360	ENSORLP00000006376
ENSLOCP00000011681	ENSORLP00000020723
ENSLOCP00000011681	ENSORLP00000017283
ENSLOCP00000018637	ENSORLP00000002104
ENSLOCP00000014277	ENSORLP00000005874
ENSLOCP00000016536	ENSORLP00000015446
ENSLOCP00000008437	ENSORLP00000021980
ENSLOCP00000014423	ENSORLP00000006256
ENSLOCP00000020956	ENSORLP00000022436
ENSLOCP00000015752	ENSORLP00000003775
ENSLOCP00000013775	ENSORLP00000006361
ENSLOCP00000004341	ENSORLP00000018930
ENSLOCP00000017705	ENSORLP00000010509
ENSLOCP00000006526	ENSORLP00000017999
ENSLOCP00000001142	ENSORLP00000001148
ENSLOCP00000007583	ENSORLP00000019667
ENSLOCP00000017090	ENSORLP00000011262
ENSLOCP00000004907	ENSORLP00000010168
ENSLOCP00000006346	ENSORLP00000010566
ENSLOCP00000017659	ENSORLP00000024016
ENSLOCP00000000889	ENSORLP00000002272
ENSLOCP00000020036	ENSORLP00000000244
