ENSMODP00000016222	ENSACAP00000005936
ENSMODP00000022186	ENSACAP00000017014
ENSMODP00000018180	ENSACAP00000000964
ENSMODP00000006413	ENSACAP00000013370
ENSMODP00000021006	ENSACAP00000006833
ENSMODP00000020505	ENSACAP00000005194
ENSMODP00000012374	ENSACAP00000001737
ENSMODP00000016247	ENSACAP00000013552
ENSMODP00000009976	ENSACAP00000003212
ENSMODP00000024314	ENSACAP00000019299
ENSMODP00000002624	ENSACAP00000011250
ENSMODP00000020244	ENSACAP00000011817
ENSMODP00000028608	ENSACAP00000005957
ENSMODP00000015454	ENSACAP00000008269
ENSMODP00000019742	ENSACAP00000008564
ENSMODP00000023074	ENSACAP00000009531
ENSMODP00000002660	ENSACAP00000007380
ENSMODP00000027793	ENSACAP00000017290
ENSMODP00000008476	ENSACAP00000003299
ENSMODP00000005540	ENSACAP00000014328
ENSMODP00000003267	ENSACAP00000009158
ENSMODP00000011631	ENSACAP00000001723
ENSMODP00000026393	ENSACAP00000014601
ENSMODP00000010124	ENSACAP00000005110
ENSMODP00000003331	ENSACAP00000014675
ENSMODP00000020165	ENSACAP00000017344
ENSMODP00000001568	ENSACAP00000015321
ENSMODP00000020576	ENSACAP00000015067
ENSMODP00000026284	ENSACAP00000003045
ENSMODP00000016589	ENSACAP00000002376
ENSMODP00000028394	ENSACAP00000015078
ENSMODP00000000677	ENSACAP00000014992
ENSMODP00000023901	ENSACAP00000016695
ENSMODP00000000363	ENSACAP00000018787
ENSMODP00000036724	ENSACAP00000005988
ENSMODP00000020923	ENSACAP00000007603
ENSMODP00000024842	ENSACAP00000002119
ENSMODP00000020567	ENSACAP00000005444
ENSMODP00000000005	ENSACAP00000005623
ENSMODP00000003305	ENSACAP00000016112
ENSMODP00000016701	ENSACAP00000000193
ENSMODP00000030326	ENSACAP00000010321
ENSMODP00000021625	ENSACAP00000006987
ENSMODP00000024756	ENSACAP00000005007
ENSMODP00000028954	ENSACAP00000013643
ENSMODP00000034686	ENSACAP00000010047
ENSMODP00000004064	ENSACAP00000012012
ENSMODP00000000916	ENSACAP00000018690
ENSMODP00000001331	ENSACAP00000004219
ENSMODP00000020102	ENSACAP00000001811
ENSMODP00000005916	ENSACAP00000015494
ENSMODP00000024667	ENSACAP00000004078
ENSMODP00000021116	ENSACAP00000001088
ENSMODP00000015137	ENSACAP00000015698
ENSMODP00000021051	ENSACAP00000005873
ENSMODP00000011243	ENSACAP00000008406
