ENSGACP00000003450	ENSMODP00000016222
ENSGACP00000018304	ENSMODP00000022186
ENSGACP00000003045	ENSMODP00000022186
ENSGACP00000026872	ENSMODP00000006413
ENSGACP00000008784	ENSMODP00000021006
ENSGACP00000027282	ENSMODP00000020505
ENSGACP00000017512	ENSMODP00000012374
ENSGACP00000003444	ENSMODP00000016247
ENSGACP00000027655	ENSMODP00000009976
ENSGACP00000015229	ENSMODP00000024314
ENSGACP00000013204	ENSMODP00000023878
ENSGACP00000018412	ENSMODP00000002624
ENSGACP00000004939	ENSMODP00000020244
ENSGACP00000007033	ENSMODP00000028608
ENSGACP00000012136	ENSMODP00000019742
ENSGACP00000004873	ENSMODP00000023074
ENSGACP00000002806	ENSMODP00000002660
ENSGACP00000023126	ENSMODP00000002660
ENSGACP00000004170	ENSMODP00000005540
ENSGACP00000000014	ENSMODP00000003267
ENSGACP00000010389	ENSMODP00000011631
ENSGACP00000020510	ENSMODP00000026393
ENSGACP00000004209	ENSMODP00000020165
ENSGACP00000000488	ENSMODP00000001568
ENSGACP00000013531	ENSMODP00000020576
ENSGACP00000014122	ENSMODP00000028394
ENSGACP00000014108	ENSMODP00000000677
ENSGACP00000015493	ENSMODP00000023578
ENSGACP00000004288	ENSMODP00000023578
ENSGACP00000018787	ENSMODP00000024842
ENSGACP00000013540	ENSMODP00000020567
ENSGACP00000012095	ENSMODP00000020567
ENSGACP00000020058	ENSMODP00000000005
ENSGACP00000025883	ENSMODP00000003305
ENSGACP00000005703	ENSMODP00000016701
ENSGACP00000020860	ENSMODP00000021625
ENSGACP00000006974	ENSMODP00000021625
ENSGACP00000022648	ENSMODP00000024756
ENSGACP00000014759	ENSMODP00000024090
ENSGACP00000006839	ENSMODP00000034686
ENSGACP00000022315	ENSMODP00000034686
ENSGACP00000011561	ENSMODP00000001331
ENSGACP00000002990	ENSMODP00000001331
ENSGACP00000021969	ENSMODP00000024667
ENSGACP00000025513	ENSMODP00000021116
ENSGACP00000025845	ENSMODP00000015137
ENSGACP00000019294	ENSMODP00000011243
ENSGACP00000009755	ENSMODP00000006081
ENSGACP00000015915	ENSMODP00000017560
ENSGACP00000010900	ENSMODP00000037659
