ENSTNIP00000004863	ENSMODP00000016222
ENSTNIP00000000782	ENSMODP00000022186
ENSTNIP00000014782	ENSMODP00000006413
ENSTNIP00000018279	ENSMODP00000012374
ENSTNIP00000007712	ENSMODP00000016247
ENSTNIP00000010478	ENSMODP00000009976
ENSTNIP00000015128	ENSMODP00000024314
ENSTNIP00000018487	ENSMODP00000023878
ENSTNIP00000013577	ENSMODP00000002624
ENSTNIP00000006735	ENSMODP00000020244
ENSTNIP00000019716	ENSMODP00000028608
ENSTNIP00000005151	ENSMODP00000031323
ENSTNIP00000019148	ENSMODP00000019742
ENSTNIP00000021849	ENSMODP00000023074
ENSTNIP00000011698	ENSMODP00000002660
ENSTNIP00000005529	ENSMODP00000002660
ENSTNIP00000005402	ENSMODP00000003267
ENSTNIP00000004390	ENSMODP00000011631
ENSTNIP00000013161	ENSMODP00000026393
ENSTNIP00000020722	ENSMODP00000020165
ENSTNIP00000011565	ENSMODP00000001568
ENSTNIP00000006170	ENSMODP00000020576
ENSTNIP00000014150	ENSMODP00000026284
ENSTNIP00000010280	ENSMODP00000028394
ENSTNIP00000010281	ENSMODP00000000677
ENSTNIP00000010886	ENSMODP00000023578
ENSTNIP00000020690	ENSMODP00000023578
ENSTNIP00000006171	ENSMODP00000020567
ENSTNIP00000011460	ENSMODP00000020567
ENSTNIP00000017513	ENSMODP00000000005
ENSTNIP00000005138	ENSMODP00000016701
ENSTNIP00000016461	ENSMODP00000021625
ENSTNIP00000013509	ENSMODP00000021625
ENSTNIP00000012472	ENSMODP00000024756
ENSTNIP00000019321	ENSMODP00000024090
ENSTNIP00000011270	ENSMODP00000034686
ENSTNIP00000011480	ENSMODP00000001331
ENSTNIP00000016134	ENSMODP00000001331
ENSTNIP00000021926	ENSMODP00000024667
ENSTNIP00000003517	ENSMODP00000011243
ENSTNIP00000003418	ENSMODP00000017560
ENSTNIP00000004064	ENSMODP00000026600
ENSTNIP00000010517	ENSMODP00000035512
ENSTNIP00000018824	ENSMODP00000014612
ENSTNIP00000010483	ENSMODP00000010442
ENSTNIP00000016288	ENSMODP00000008107
ENSTNIP00000018141	ENSMODP00000026124
ENSTNIP00000016676	ENSMODP00000011474
ENSTNIP00000018140	ENSMODP00000026122
ENSTNIP00000020689	ENSMODP00000023478
ENSTNIP00000010887	ENSMODP00000023478
ENSTNIP00000022426	ENSMODP00000015235
ENSTNIP00000021883	ENSMODP00000041284
ENSTNIP00000018584	ENSMODP00000004541
ENSTNIP00000020563	ENSMODP00000006867
ENSTNIP00000020641	ENSMODP00000000179
ENSTNIP00000019827	ENSMODP00000014712
ENSTNIP00000007081	ENSMODP00000004891
ENSTNIP00000001653	ENSMODP00000006523
ENSTNIP00000020081	ENSMODP00000012028
ENSTNIP00000006467	ENSMODP00000029754
ENSTNIP00000000186	ENSMODP00000012160
ENSTNIP00000009228	ENSMODP00000004041
ENSTNIP00000013970	ENSMODP00000022102
ENSTNIP00000012496	ENSMODP00000014171
ENSTNIP00000020402	ENSMODP00000015986
ENSTNIP00000007715	ENSMODP00000003492
ENSTNIP00000004648	ENSMODP00000007364
ENSTNIP00000011922	ENSMODP00000030239
ENSTNIP00000017400	ENSMODP00000013412
ENSTNIP00000006361	ENSMODP00000012859
ENSTNIP00000021648	ENSMODP00000040508
ENSTNIP00000008907	ENSMODP00000016741
ENSTNIP00000004911	ENSMODP00000037068
ENSTNIP00000005718	ENSMODP00000015720
ENSTNIP00000013215	ENSMODP00000000761
ENSTNIP00000019644	ENSMODP00000000761
ENSTNIP00000011017	ENSMODP00000036453
ENSTNIP00000001471	ENSMODP00000024298
ENSTNIP00000015450	ENSMODP00000024298
ENSTNIP00000014174	ENSMODP00000013611
ENSTNIP00000006548	ENSMODP00000002121
ENSTNIP00000018720	ENSMODP00000034167
ENSTNIP00000006011	ENSMODP00000021361
ENSTNIP00000012789	ENSMODP00000025206
ENSTNIP00000007675	ENSMODP00000023381
ENSTNIP00000022151	ENSMODP00000029105
ENSTNIP00000002037	ENSMODP00000011376
ENSTNIP00000008097	ENSMODP00000020886
ENSTNIP00000011488	ENSMODP00000013331
ENSTNIP00000011323	ENSMODP00000017273
ENSTNIP00000014635	ENSMODP00000013863
ENSTNIP00000020177	ENSMODP00000036044
ENSTNIP00000015675	ENSMODP00000022560
ENSTNIP00000014001	ENSMODP00000006951
ENSTNIP00000014004	ENSMODP00000032324
ENSTNIP00000008502	ENSMODP00000013900
ENSTNIP00000011795	ENSMODP00000017320
ENSTNIP00000008278	ENSMODP00000015229
ENSTNIP00000019819	ENSMODP00000025996
ENSTNIP00000020469	ENSMODP00000016389
ENSTNIP00000016383	ENSMODP00000000402
ENSTNIP00000012306	ENSMODP00000011765
ENSTNIP00000007331	ENSMODP00000019074
