ENSMODP00000016222	ENSTGUP00000008915
ENSMODP00000018180	ENSTGUP00000011592
ENSMODP00000006413	ENSTGUP00000002935
ENSMODP00000021006	ENSTGUP00000010998
ENSMODP00000024085	ENSTGUP00000006346
ENSMODP00000012374	ENSTGUP00000010909
ENSMODP00000016247	ENSTGUP00000008898
ENSMODP00000024314	ENSTGUP00000010401
ENSMODP00000023878	ENSTGUP00000005020
ENSMODP00000002624	ENSTGUP00000014038
ENSMODP00000020244	ENSTGUP00000005254
ENSMODP00000028608	ENSTGUP00000007673
ENSMODP00000015454	ENSTGUP00000005191
ENSMODP00000019742	ENSTGUP00000005389
ENSMODP00000023074	ENSTGUP00000006862
ENSMODP00000002660	ENSTGUP00000008706
ENSMODP00000036305	ENSTGUP00000012416
ENSMODP00000022766	ENSTGUP00000014566
ENSMODP00000008476	ENSTGUP00000010982
ENSMODP00000005540	ENSTGUP00000007828
ENSMODP00000003267	ENSTGUP00000003676
ENSMODP00000010124	ENSTGUP00000011474
ENSMODP00000003331	ENSTGUP00000013282
ENSMODP00000020165	ENSTGUP00000000909
ENSMODP00000001568	ENSTGUP00000005458
ENSMODP00000020576	ENSTGUP00000005263
ENSMODP00000016589	ENSTGUP00000000371
ENSMODP00000028394	ENSTGUP00000003862
ENSMODP00000000677	ENSTGUP00000003819
ENSMODP00000023901	ENSTGUP00000000526
ENSMODP00000036724	ENSTGUP00000004420
ENSMODP00000020923	ENSTGUP00000002205
ENSMODP00000024842	ENSTGUP00000010714
ENSMODP00000020567	ENSTGUP00000016783
ENSMODP00000000005	ENSTGUP00000008885
ENSMODP00000003305	ENSTGUP00000003276
ENSMODP00000016701	ENSTGUP00000013203
ENSMODP00000030326	ENSTGUP00000006737
ENSMODP00000021625	ENSTGUP00000002510
ENSMODP00000024756	ENSTGUP00000010462
ENSMODP00000034686	ENSTGUP00000009884
ENSMODP00000004064	ENSTGUP00000000010
ENSMODP00000000916	ENSTGUP00000001025
ENSMODP00000001331	ENSTGUP00000006567
ENSMODP00000020102	ENSTGUP00000003388
ENSMODP00000005916	ENSTGUP00000013314
ENSMODP00000024667	ENSTGUP00000007517
ENSMODP00000021116	ENSTGUP00000002402
ENSMODP00000021051	ENSTGUP00000007645
ENSMODP00000011243	ENSTGUP00000005879
ENSMODP00000006081	ENSTGUP00000006914
ENSMODP00000017560	ENSTGUP00000007511
ENSMODP00000037659	ENSTGUP00000006599
ENSMODP00000026600	ENSTGUP00000011707
ENSMODP00000026601	ENSTGUP00000017731
ENSMODP00000035512	ENSTGUP00000011705
ENSMODP00000035509	ENSTGUP00000018265
ENSMODP00000037658	ENSTGUP00000006604
ENSMODP00000000679	ENSTGUP00000010836
ENSMODP00000016379	ENSTGUP00000001184
ENSMODP00000008107	ENSTGUP00000012380
ENSMODP00000010998	ENSTGUP00000003773
ENSMODP00000019519	ENSTGUP00000015109
ENSMODP00000009649	ENSTGUP00000006171
ENSMODP00000010914	ENSTGUP00000003831
ENSMODP00000023478	ENSTGUP00000004874
ENSMODP00000015235	ENSTGUP00000009101
ENSMODP00000041284	ENSTGUP00000007812
ENSMODP00000004541	ENSTGUP00000014440
ENSMODP00000003832	ENSTGUP00000003097
ENSMODP00000006867	ENSTGUP00000012631
ENSMODP00000000179	ENSTGUP00000007507
ENSMODP00000004891	ENSTGUP00000001158
ENSMODP00000006523	ENSTGUP00000000912
ENSMODP00000000959	ENSTGUP00000002880
ENSMODP00000012028	ENSTGUP00000009297
ENSMODP00000029754	ENSTGUP00000012744
ENSMODP00000012160	ENSTGUP00000001335
ENSMODP00000004041	ENSTGUP00000001616
ENSMODP00000022102	ENSTGUP00000012121
ENSMODP00000025585	ENSTGUP00000017784
ENSMODP00000016495	ENSTGUP00000008788
ENSMODP00000024060	ENSTGUP00000000920
ENSMODP00000014171	ENSTGUP00000006514
ENSMODP00000015986	ENSTGUP00000000930
ENSMODP00000013925	ENSTGUP00000013468
ENSMODP00000007364	ENSTGUP00000012077
ENSMODP00000007623	ENSTGUP00000005575
ENSMODP00000002626	ENSTGUP00000003238
ENSMODP00000030239	ENSTGUP00000007749
ENSMODP00000037068	ENSTGUP00000007512
