ENSMGAP00000004951	ENSORLP00000017023
ENSMGAP00000003068	ENSORLP00000018100
ENSMGAP00000003068	ENSORLP00000011872
ENSMGAP00000000132	ENSORLP00000011982
ENSMGAP00000013265	ENSORLP00000019139
ENSMGAP00000013498	ENSORLP00000006953
ENSMGAP00000010739	ENSORLP00000021204
ENSMGAP00000004925	ENSORLP00000017158
ENSMGAP00000002621	ENSORLP00000016021
ENSMGAP00000011180	ENSORLP00000014861
ENSMGAP00000003978	ENSORLP00000011600
ENSMGAP00000015197	ENSORLP00000020191
ENSMGAP00000003388	ENSORLP00000018033
ENSMGAP00000002654	ENSORLP00000014071
ENSMGAP00000019425	ENSORLP00000014078
ENSMGAP00000009217	ENSORLP00000024532
ENSMGAP00000002648	ENSORLP00000001259
ENSMGAP00000009326	ENSORLP00000018991
ENSMGAP00000009326	ENSORLP00000000678
ENSMGAP00000007525	ENSORLP00000015857
ENSMGAP00000001572	ENSORLP00000003595
ENSMGAP00000010575	ENSORLP00000017662
ENSMGAP00000000479	ENSORLP00000006648
ENSMGAP00000003900	ENSORLP00000001741
ENSMGAP00000015491	ENSORLP00000002049
ENSMGAP00000000415	ENSORLP00000003123
ENSMGAP00000000276	ENSORLP00000025526
ENSMGAP00000000909	ENSORLP00000003018
ENSMGAP00000012849	ENSORLP00000007356
ENSMGAP00000000973	ENSORLP00000016722
ENSMGAP00000015435	ENSORLP00000025748
ENSMGAP00000010566	ENSORLP00000005821
ENSMGAP00000010545	ENSORLP00000005856
ENSMGAP00000007436	ENSORLP00000013089
ENSMGAP00000007436	ENSORLP00000003278
ENSMGAP00000007584	ENSORLP00000022254
ENSMGAP00000000941	ENSORLP00000007952
ENSMGAP00000015853	ENSORLP00000021688
ENSMGAP00000015605	ENSORLP00000025578
ENSMGAP00000017353	ENSORLP00000001368
ENSMGAP00000014132	ENSORLP00000024257
ENSMGAP00000000271	ENSORLP00000003220
ENSMGAP00000000271	ENSORLP00000020860
ENSMGAP00000010789	ENSORLP00000001290
ENSMGAP00000013478	ENSORLP00000005579
ENSMGAP00000010388	ENSORLP00000008446
ENSMGAP00000010388	ENSORLP00000002593
ENSMGAP00000005618	ENSORLP00000008437
ENSMGAP00000005618	ENSORLP00000011200
ENSMGAP00000001450	ENSORLP00000006701
ENSMGAP00000005019	ENSORLP00000015785
ENSMGAP00000003400	ENSORLP00000020633
ENSMGAP00000018942	ENSORLP00000019791
ENSMGAP00000004440	ENSORLP00000011714
ENSMGAP00000009720	ENSORLP00000000994
ENSMGAP00000004973	ENSORLP00000023088
ENSMGAP00000015643	ENSORLP00000019930
ENSMGAP00000005906	ENSORLP00000018127
ENSMGAP00000012790	ENSORLP00000003515
ENSMGAP00000003923	ENSORLP00000014267
ENSMGAP00000013787	ENSORLP00000015272
ENSMGAP00000013930	ENSORLP00000019966
ENSMGAP00000006584	ENSORLP00000003243
ENSMGAP00000006584	ENSORLP00000013178
ENSMGAP00000004536	ENSORLP00000021828
ENSMGAP00000013514	ENSORLP00000020822
ENSMGAP00000006458	ENSORLP00000021812
ENSMGAP00000002526	ENSORLP00000020723
ENSMGAP00000002526	ENSORLP00000017283
ENSMGAP00000010640	ENSORLP00000019321
ENSMGAP00000010940	ENSORLP00000005874
ENSMGAP00000009863	ENSORLP00000021980
ENSMGAP00000014406	ENSORLP00000022436
ENSMGAP00000007874	ENSORLP00000003775
ENSMGAP00000014447	ENSORLP00000018342
ENSMGAP00000009216	ENSORLP00000010509
ENSMGAP00000000989	ENSORLP00000017999
ENSMGAP00000001972	ENSORLP00000001148
ENSMGAP00000012273	ENSORLP00000022426
ENSMGAP00000002149	ENSORLP00000019667
ENSMGAP00000006655	ENSORLP00000010168
ENSMGAP00000008809	ENSORLP00000010566
ENSMGAP00000011192	ENSORLP00000000244
ENSMGAP00000007478	ENSORLP00000004298
ENSMGAP00000000881	ENSORLP00000009022
ENSMGAP00000017442	ENSORLP00000010698
ENSMGAP00000017442	ENSORLP00000011805
ENSMGAP00000011996	ENSORLP00000010106
ENSMGAP00000007423	ENSORLP00000020930
ENSMGAP00000007423	ENSORLP00000018662
ENSMGAP00000013335	ENSORLP00000022821
ENSMGAP00000001910	ENSORLP00000021772
ENSMGAP00000004502	ENSORLP00000013008
ENSMGAP00000004061	ENSORLP00000010763
ENSMGAP00000001781	ENSORLP00000001018
ENSMGAP00000000418	ENSORLP00000018097
ENSMGAP00000007539	ENSORLP00000008607
ENSMGAP00000011139	ENSORLP00000022020
ENSMGAP00000017915	ENSORLP00000005695
ENSMGAP00000011894	ENSORLP00000022851
ENSMGAP00000015236	ENSORLP00000010876
ENSMGAP00000003757	ENSORLP00000007022
ENSMGAP00000010071	ENSORLP00000010817
ENSMGAP00000009399	ENSORLP00000007342
ENSMGAP00000001751	ENSORLP00000008226
ENSMGAP00000001751	ENSORLP00000014132
ENSMGAP00000007518	ENSORLP00000022256
ENSMGAP00000014040	ENSORLP00000019505
ENSMGAP00000010374	ENSORLP00000004295
ENSMGAP00000001944	ENSORLP00000002403
ENSMGAP00000013734	ENSORLP00000020546
ENSMGAP00000000217	ENSORLP00000013879
ENSMGAP00000000217	ENSORLP00000020030
ENSMGAP00000002878	ENSORLP00000012324
ENSMGAP00000000231	ENSORLP00000020019
ENSMGAP00000000231	ENSORLP00000013874
ENSMGAP00000001795	ENSORLP00000005351
ENSMGAP00000012130	ENSORLP00000018585
ENSMGAP00000005494	ENSORLP00000006254
ENSMGAP00000005494	ENSORLP00000007804
ENSMGAP00000006701	ENSORLP00000012489
ENSMGAP00000010996	ENSORLP00000025830
ENSMGAP00000004600	ENSORLP00000010622
ENSMGAP00000004769	ENSORLP00000010171
ENSMGAP00000008135	ENSORLP00000003679
ENSMGAP00000013515	ENSORLP00000013805
ENSMGAP00000011943	ENSORLP00000010172
ENSMGAP00000003538	ENSORLP00000024935
ENSMGAP00000006673	ENSORLP00000012679
ENSMGAP00000018976	ENSORLP00000011838
ENSMGAP00000005664	ENSORLP00000022565
ENSMGAP00000005181	ENSORLP00000015239
ENSMGAP00000015568	ENSORLP00000011216
ENSMGAP00000015570	ENSORLP00000022337
ENSMGAP00000001772	ENSORLP00000022670
ENSMGAP00000005589	ENSORLP00000010397
ENSMGAP00000007854	ENSORLP00000009355
ENSMGAP00000006564	ENSORLP00000008594
ENSMGAP00000000062	ENSORLP00000008023
ENSMGAP00000014847	ENSORLP00000022797
ENSMGAP00000008226	ENSORLP00000011723
ENSMGAP00000019750	ENSORLP00000009115
ENSMGAP00000008466	ENSORLP00000001104
ENSMGAP00000001356	ENSORLP00000002977
ENSMGAP00000014625	ENSORLP00000002814
ENSMGAP00000007848	ENSORLP00000018923
ENSMGAP00000010300	ENSORLP00000023720
ENSMGAP00000003617	ENSORLP00000012925
ENSMGAP00000009825	ENSORLP00000000034
ENSMGAP00000000737	ENSORLP00000013671
ENSMGAP00000009657	ENSORLP00000012537
ENSMGAP00000011815	ENSORLP00000006742
ENSMGAP00000011218	ENSORLP00000009294
ENSMGAP00000011218	ENSORLP00000006181
ENSMGAP00000012705	ENSORLP00000014883
ENSMGAP00000007078	ENSORLP00000017224
ENSMGAP00000007078	ENSORLP00000004455
ENSMGAP00000011134	ENSORLP00000007557
ENSMGAP00000017509	ENSORLP00000007575
ENSMGAP00000000730	ENSORLP00000016131
ENSMGAP00000000730	ENSORLP00000021474
ENSMGAP00000012182	ENSORLP00000002773
ENSMGAP00000012182	ENSORLP00000018416
ENSMGAP00000015716	ENSORLP00000015721
ENSMGAP00000003367	ENSORLP00000005075
ENSMGAP00000009944	ENSORLP00000004108
ENSMGAP00000009944	ENSORLP00000005033
ENSMGAP00000003349	ENSORLP00000005082
ENSMGAP00000009979	ENSORLP00000004103
ENSMGAP00000016886	ENSORLP00000015324
ENSMGAP00000013153	ENSORLP00000002202
ENSMGAP00000007392	ENSORLP00000003059
ENSMGAP00000003262	ENSORLP00000018136
ENSMGAP00000012561	ENSORLP00000018833
ENSMGAP00000003178	ENSORLP00000002542
ENSMGAP00000011128	ENSORLP00000025253
ENSMGAP00000007926	ENSORLP00000004274
ENSMGAP00000006160	ENSORLP00000015164
ENSMGAP00000010925	ENSORLP00000016308
ENSMGAP00000014141	ENSORLP00000024941
ENSMGAP00000014140	ENSORLP00000024951
ENSMGAP00000012934	ENSORLP00000022635
ENSMGAP00000009394	ENSORLP00000018715
ENSMGAP00000009394	ENSORLP00000010626
ENSMGAP00000008318	ENSORLP00000012886
ENSMGAP00000008318	ENSORLP00000001311
ENSMGAP00000009205	ENSORLP00000013607
ENSMGAP00000010936	ENSORLP00000019460
ENSMGAP00000011774	ENSORLP00000017788
ENSMGAP00000006256	ENSORLP00000010861
ENSMGAP00000009009	ENSORLP00000001374
ENSMGAP00000011385	ENSORLP00000014802
ENSMGAP00000001142	ENSORLP00000011582
ENSMGAP00000004457	ENSORLP00000018111
ENSMGAP00000008988	ENSORLP00000005218
ENSMGAP00000008872	ENSORLP00000013299
ENSMGAP00000010443	ENSORLP00000016364
ENSMGAP00000014048	ENSORLP00000019561
ENSMGAP00000014048	ENSORLP00000011906
ENSMGAP00000012880	ENSORLP00000016312
ENSMGAP00000014779	ENSORLP00000022007
ENSMGAP00000014780	ENSORLP00000022338
ENSMGAP00000004289	ENSORLP00000025861
ENSMGAP00000004289	ENSORLP00000021466
ENSMGAP00000011153	ENSORLP00000020718
ENSMGAP00000016657	ENSORLP00000017749
ENSMGAP00000016637	ENSORLP00000019122
ENSMGAP00000003533	ENSORLP00000019397
ENSMGAP00000009178	ENSORLP00000002704
ENSMGAP00000009178	ENSORLP00000011850
ENSMGAP00000009175	ENSORLP00000018351
ENSMGAP00000009175	ENSORLP00000018365
ENSMGAP00000005907	ENSORLP00000008892
ENSMGAP00000013873	ENSORLP00000024191
ENSMGAP00000010650	ENSORLP00000008411
ENSMGAP00000010650	ENSORLP00000002451
ENSMGAP00000007940	ENSORLP00000016596
ENSMGAP00000007940	ENSORLP00000012171
ENSMGAP00000008533	ENSORLP00000000643
ENSMGAP00000005766	ENSORLP00000003863
ENSMGAP00000010471	ENSORLP00000003946
ENSMGAP00000009748	ENSORLP00000004025
ENSMGAP00000014629	ENSORLP00000002826
ENSMGAP00000014629	ENSORLP00000003087
ENSMGAP00000013528	ENSORLP00000008236
ENSMGAP00000008585	ENSORLP00000025646
ENSMGAP00000014342	ENSORLP00000019732
ENSMGAP00000014345	ENSORLP00000019744
ENSMGAP00000013739	ENSORLP00000019916
ENSMGAP00000000980	ENSORLP00000022541
ENSMGAP00000000980	ENSORLP00000021818
ENSMGAP00000011431	ENSORLP00000024109
ENSMGAP00000005911	ENSORLP00000020061
ENSMGAP00000005911	ENSORLP00000013463
ENSMGAP00000014536	ENSORLP00000011283
ENSMGAP00000013170	ENSORLP00000022136
ENSMGAP00000013170	ENSORLP00000019865
ENSMGAP00000014778	ENSORLP00000022013
ENSMGAP00000011272	ENSORLP00000021863
ENSMGAP00000001815	ENSORLP00000007508
ENSMGAP00000014108	ENSORLP00000019672
ENSMGAP00000000499	ENSORLP00000013177
ENSMGAP00000001575	ENSORLP00000021900
ENSMGAP00000015092	ENSORLP00000012795
ENSMGAP00000015092	ENSORLP00000005479
